time,Cleveland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. T. Thompson (K. Irving gains possession),,,,Jump ball: D. Nowitzki vs. T. Thompson (K. Irving gains possession)
11:47.0,K. Irving misses 3-pt shot from 25 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by D. Nowitzki
11:22.0,,,0-0,,W. Matthews misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by T. Thompson,,0-0,,
11:09.0,L. James makes 2-pt shot from 8 ft,2,2-0,,
11:09.0,Shooting foul by W. Matthews (drawn by L. James),,2-0,,
11:09.0,L. James misses free throw 1 of 1,,2-0,,
11:08.0,,,2-0,,Defensive rebound by W. Matthews
10:50.0,,,2-3,3,S. Curry makes 3-pt shot from 24 ft (assist by W. Matthews)
10:28.0,I. Shumpert misses 2-pt shot from 14 ft,,2-3,,
10:28.0,,,2-3,,Defensive rebound by H. Barnes
10:18.0,,,2-5,2,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry)
9:52.0,R. Jefferson misses 2-pt shot from 6 ft,,2-5,,
9:50.0,,,2-5,,Defensive rebound by S. Curry
9:45.0,,,2-5,,Turnover by D. Nowitzki (lost ball)
9:34.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,5-5,,
9:12.0,,,5-7,2,H. Barnes makes 2-pt shot from 20 ft (assist by W. Matthews)
8:54.0,K. Irving misses 2-pt shot from 19 ft,,5-7,,
8:53.0,,,5-7,,Defensive rebound by H. Barnes
8:45.0,,,5-7,,Shooting foul by T. Thompson (drawn by W. Matthews)
8:45.0,,,5-8,1,W. Matthews makes free throw 1 of 2
8:45.0,,,5-9,1,W. Matthews makes free throw 2 of 2
8:34.0,L. James misses 3-pt shot from 25 ft,,5-9,,
8:33.0,,,5-9,,Defensive rebound by D. Nowitzki
8:23.0,,,5-12,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Y. Ferrell)
8:09.0,K. Irving misses 2-pt shot from 14 ft,,5-12,,
8:08.0,,,5-12,,Defensive rebound by Y. Ferrell
8:00.0,,,5-12,,Y. Ferrell misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by T. Thompson,,5-12,,
7:44.0,I. Shumpert misses 3-pt shot from 23 ft,,5-12,,
7:43.0,Offensive rebound by T. Thompson,,5-12,,
7:39.0,Turnover by T. Thompson (lost ball; steal by Y. Ferrell),,5-12,,
7:34.0,,,5-14,2,H. Barnes makes 2-pt shot at rim (assist by D. Nowitzki)
7:33.0,Cleveland full timeout,,5-14,,
7:12.0,L. James misses 2-pt shot from 16 ft,,5-14,,
7:12.0,,,5-14,,Defensive rebound by H. Barnes
6:59.0,,,5-14,,D. Nowitzki misses 2-pt shot from 15 ft
6:58.0,Defensive rebound by K. Irving,,5-14,,
6:50.0,R. Jefferson makes 3-pt shot from 23 ft (assist by L. James),3,8-14,,
6:37.0,,,8-14,,W. Matthews misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by I. Shumpert,,8-14,,
6:30.0,,,8-14,,S. Mejri enters the game for D. Nowitzki
