time,Charlotte,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Zeller (J. Green gains possession),,,,Jump ball: M. Gasol vs. C. Zeller (J. Green gains possession)
11:39.0,,,0-0,,M. Conley misses 3-pt shot from 25 ft
11:38.0,,,0-0,,Offensive rebound by T. Allen
11:26.0,,,0-0,,Turnover by M. Gasol (lost ball)
11:17.0,Turnover by C. Zeller (lost ball; steal by T. Williams),,0-0,,
11:06.0,,,0-0,,T. Allen misses 2-pt shot from 5 ft
11:05.0,,,0-0,,Offensive rebound by T. Allen
11:05.0,,,0-0,,T. Allen misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
11:03.0,Defensive rebound by C. Zeller,,0-0,,
10:52.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker),2,2-0,,
10:35.0,,,2-0,,T. Allen misses 2-pt shot from 12 ft
10:33.0,Defensive rebound by F. Kaminsky,,2-0,,
10:18.0,K. Walker misses 3-pt shot from 25 ft,,2-0,,
10:17.0,Offensive rebound by C. Zeller,,2-0,,
10:09.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by M. Kidd-Gilchrist),2,4-0,,
9:51.0,,,4-0,,J. Green misses 2-pt shot from 1 ft
9:51.0,,,4-0,,Offensive rebound by Team
9:46.0,,,4-0,,T. Williams misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by C. Zeller,,4-0,,
9:30.0,Turnover by K. Walker (lost ball; steal by M. Conley),,4-0,,
9:24.0,,,4-3,3,M. Conley makes 3-pt shot from 26 ft (assist by J. Green)
9:04.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,6-3,,
8:56.0,Personal foul by C. Zeller (drawn by M. Gasol),,6-3,,
8:43.0,,,6-3,,M. Gasol misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by F. Kaminsky,,6-3,,
8:39.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Allen),,6-3,,
8:39.0,Offensive rebound by Team,,6-3,,
8:33.0,K. Walker makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,9-3,,
8:18.0,,,9-3,,J. Green misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by M. Kidd-Gilchrist,,9-3,,
8:08.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by K. Walker),2,11-3,,
8:02.0,,,11-3,,Memphis full timeout
7:47.0,,,11-3,,T. Williams misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by C. Zeller,,11-3,,
7:34.0,N. Batum makes 2-pt shot from 22 ft (assist by K. Walker),2,13-3,,
7:22.0,,,13-5,2,M. Gasol makes 2-pt shot from 10 ft (assist by M. Conley)
7:22.0,,,13-5,,Violation by Team (delay of game)
7:10.0,Turnover by N. Batum (lost ball; steal by T. Allen),,13-5,,
7:06.0,,,13-7,2,T. Allen makes 2-pt shot at rim
6:48.0,K. Walker misses 3-pt shot from 25 ft,,13-7,,
6:44.0,Offensive rebound by M. Kidd-Gilchrist,,13-7,,
6:44.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,13-7,,
