time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Mozgov (E. Gordon gains possession),,,,Jump ball: C. Capela vs. T. Mozgov (E. Gordon gains possession)
11:44.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,3-0,,
11:31.0,,,3-0,,Offensive foul by T. Mozgov
11:31.0,,,3-0,,Turnover by T. Mozgov (offensive foul)
11:11.0,T. Ariza misses 2-pt shot from 7 ft,,3-0,,
11:11.0,Offensive rebound by Team,,3-0,,
10:58.0,J. Harden makes 2-pt shot from 3 ft,2,5-0,,
10:42.0,,,5-2,2,J. Randle makes 2-pt shot from 9 ft
10:27.0,E. Gordon makes 2-pt shot from 13 ft (assist by J. Harden),2,7-2,,
10:21.0,,,7-4,2,T. Mozgov makes 2-pt shot from 2 ft (assist by D. Russell)
10:15.0,J. Harden makes 2-pt shot from 2 ft,2,9-4,,
9:58.0,,,9-4,,D. Russell misses 3-pt shot from 26 ft
9:55.0,,,9-4,,Offensive rebound by L. Deng
9:53.0,,,9-4,,L. Deng misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by C. Capela,,9-4,,
9:43.0,R. Anderson makes 2-pt shot from 15 ft (assist by J. Harden),2,11-4,,
9:25.0,,,11-4,,N. Young misses 2-pt shot from 21 ft
9:23.0,,,11-4,,Offensive rebound by T. Mozgov
9:23.0,,,11-6,2,T. Mozgov makes 2-pt shot from 1 ft
9:14.0,J. Harden makes 3-pt shot from 26 ft,3,14-6,,
9:00.0,,,14-6,,N. Young misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by Team,,14-6,,
8:58.0,N. Hilario enters the game for C. Capela,,14-6,,
8:44.0,Shooting foul by N. Young (drawn by E. Gordon),,14-6,,
8:44.0,E. Gordon makes free throw 1 of 2,1,15-6,,
8:44.0,E. Gordon misses free throw 2 of 2,,15-6,,
8:43.0,,,15-6,,Defensive rebound by J. Randle
8:31.0,,,15-6,,N. Young misses 3-pt shot from 25 ft
8:31.0,,,15-6,,Offensive rebound by Team
8:28.0,,,15-6,,N. Young misses 2-pt shot from 3 ft
8:25.0,,,15-6,,Offensive rebound by T. Mozgov
8:18.0,,,15-9,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
8:07.0,N. Hilario misses 2-pt shot from 3 ft,,15-9,,
8:03.0,,,15-9,,Defensive rebound by N. Young
7:59.0,,,15-9,,N. Young misses 3-pt shot from 25 ft
7:56.0,,,15-9,,Offensive rebound by T. Mozgov
7:47.0,,,15-12,3,L. Deng makes 3-pt shot from 24 ft (assist by J. Randle)
7:30.0,N. Hilario misses 2-pt shot from 12 ft,,15-12,,
7:29.0,,,15-12,,Defensive rebound by J. Randle
7:20.0,,,15-15,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
7:20.0,Houston full timeout,,15-15,,
7:08.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,17-15,,
6:45.0,,,17-17,2,T. Mozgov makes 2-pt shot from 6 ft (assist by N. Young)
