time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. K. Towns (G. Dieng gains possession),,,,Jump ball: W. Cauley-Stein vs. K. Towns (G. Dieng gains possession)
11:45.0,,,0-0,,Shooting foul by B. McLemore (drawn by A. Wiggins)
11:45.0,,,0-0,,A. Wiggins misses free throw 1 of 2
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-1,1,A. Wiggins makes free throw 2 of 2
11:29.0,Turnover by B. McLemore (bad pass; steal by K. Towns),,0-1,,
11:24.0,,,0-1,,B. Rush misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by W. Cauley-Stein,,0-1,,
11:13.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Collison),2,2-1,,
11:13.0,Shooting foul by G. Dieng (drawn by W. Cauley-Stein),,2-1,,
11:13.0,W. Cauley-Stein misses free throw 1 of 1,,2-1,,
11:13.0,,,2-1,,Defensive rebound by G. Dieng
10:59.0,,,2-3,2,K. Towns makes 2-pt shot from 8 ft (assist by B. Rush)
10:38.0,B. Hield makes 2-pt shot from 6 ft,2,4-3,,
10:22.0,,,4-3,,Turnover by K. Towns (3 sec)
10:12.0,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Collison),2,6-3,,
9:49.0,,,6-3,,K. Towns misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by S. Labissiere,,6-3,,
9:41.0,Turnover by D. Collison (bad pass; steal by R. Rubio),,6-3,,
9:40.0,Personal foul by D. Collison (drawn by R. Rubio),,6-3,,
9:26.0,,,6-5,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
9:02.0,B. Hield makes 2-pt shot from 9 ft (assist by W. Cauley-Stein),2,8-5,,
8:48.0,,,8-5,,R. Rubio misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by W. Cauley-Stein,,8-5,,
8:37.0,S. Labissiere misses 2-pt shot from 12 ft,,8-5,,
8:36.0,,,8-5,,Defensive rebound by R. Rubio
8:26.0,,,8-8,3,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio)
8:15.0,,,8-8,,Violation by R. Rubio (kicked ball)
8:09.0,B. McLemore makes 2-pt shot from 20 ft,2,10-8,,
7:51.0,,,10-8,,Turnover by A. Wiggins (lost ball; steal by B. Hield)
7:43.0,Turnover by S. Labissiere (traveling),,10-8,,
7:31.0,,,10-11,3,B. Rush makes 3-pt shot from 25 ft (assist by R. Rubio)
7:15.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,10-11,,
7:14.0,,,10-11,,Defensive rebound by A. Wiggins
7:01.0,,,10-13,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
6:46.0,D. Collison misses 2-pt shot from 14 ft,,10-13,,
6:45.0,,,10-13,,Defensive rebound by K. Towns
6:40.0,,,10-15,2,R. Rubio makes 2-pt shot from 1 ft
6:23.0,W. Cauley-Stein makes 2-pt shot from 2 ft,2,12-15,,
6:09.0,,,12-15,,R. Rubio misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by S. Labissiere,,12-15,,
6:05.0,Turnover by B. McLemore (bad pass),,12-15,,
5:52.0,,,12-15,,Shooting foul by B. McLemore (drawn by R. Rubio)
5:52.0,,,12-15,,Minnesota full timeout
5:52.0,,,12-16,1,R. Rubio makes free throw 1 of 2
5:52.0,,,12-16,,R. Rubio misses free throw 2 of 2
5:52.0,Defensive rebound by W. Cauley-Stein,,12-16,,
5:29.0,,,12-16,,Personal foul by K. Towns (drawn by S. Labissiere)
5:28.0,,,12-16,,Personal foul by G. Dieng (drawn by S. Labissiere)
5:18.0,Turnover by B. McLemore (bad pass),,12-16,,
5:05.0,,,12-19,3,G. Dieng makes 3-pt shot from 23 ft (assist by R. Rubio)
4:48.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,12-19,,
4:47.0,Offensive rebound by S. Labissiere,,12-19,,
4:45.0,S. Labissiere misses 2-pt shot from 2 ft,,12-19,,
4:43.0,,,12-19,,Defensive rebound by K. Towns
4:32.0,,,12-19,,A. Wiggins misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by Team,,12-19,,
4:31.0,,,12-19,,O. Casspi enters the game for K. Towns
4:31.0,G. Papagiannis enters the game for W. Cauley-Stein,,12-19,,
4:31.0,Violation by Team (jump ball),,12-19,,
4:19.0,Shooting foul by O. Casspi (drawn by D. Collison),,12-19,,
4:19.0,D. Collison misses free throw 1 of 2,,12-19,,
4:19.0,Offensive rebound by Team,,12-19,,
4:19.0,D. Collison makes free throw 2 of 2,1,13-19,,
4:19.0,A. Tolliver enters the game for S. Labissiere,,12-19,,
4:13.0,,,13-19,,Turnover by R. Rubio (bad pass; steal by D. Collison)
3:59.0,B. Hield misses 2-pt shot from 20 ft,,13-19,,
3:57.0,Offensive rebound by B. McLemore,,13-19,,
3:57.0,Turnover by B. McLemore (traveling),,13-19,,
3:38.0,,,13-21,2,A. Wiggins makes 2-pt shot from 19 ft
3:12.0,G. Papagiannis misses 2-pt shot from 16 ft,,13-21,,
3:08.0,,,13-21,,Defensive rebound by B. Rush
3:00.0,,,13-21,,Shooting foul by B. McLemore (drawn by R. Rubio)
3:00.0,,,13-22,1,R. Rubio makes free throw 1 of 2
3:00.0,,,13-23,1,R. Rubio makes free throw 2 of 2
3:00.0,A. Afflalo enters the game for B. McLemore,,13-22,,
2:41.0,B. Hield misses 3-pt shot from 24 ft,,13-23,,
2:40.0,,,13-23,,Defensive rebound by G. Dieng
2:36.0,,,13-25,2,B. Rush makes 2-pt shot from 1 ft (assist by R. Rubio)
2:20.0,Turnover by A. Afflalo (traveling),,13-25,,
2:20.0,Sacramento full timeout,,13-25,,
2:20.0,T. Lawson enters the game for D. Collison,,13-25,,
2:20.0,,,13-25,,K. Dunn enters the game for B. Rush
2:15.0,Personal foul by A. Afflalo (drawn by R. Rubio),,13-25,,
2:15.0,,,13-26,1,R. Rubio makes free throw 1 of 2
2:15.0,,,13-27,1,R. Rubio makes free throw 2 of 2
2:03.0,Turnover by B. Hield (lost ball; steal by K. Dunn),,13-27,,
1:59.0,,,13-29,2,G. Dieng makes 2-pt shot at rim (assist by K. Dunn)
1:42.0,A. Afflalo misses 2-pt shot from 18 ft,,13-29,,
1:40.0,,,13-29,,Defensive rebound by R. Rubio
1:27.0,,,13-29,,G. Dieng misses 2-pt shot from 12 ft
1:26.0,Defensive rebound by B. Hield,,13-29,,
1:18.0,B. Hield makes 3-pt shot from 26 ft (assist by A. Afflalo),3,16-29,,
1:00.0,,,16-29,,R. Rubio misses 2-pt shot from 19 ft
0:58.0,Defensive rebound by G. Papagiannis,,16-29,,
0:45.0,Turnover by A. Afflalo (lost ball; steal by G. Dieng),,16-29,,
0:40.0,,,16-31,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rubio)
0:40.0,Sacramento full timeout,,16-31,,
0:40.0,L. Galloway enters the game for B. Hield,,16-31,,
0:40.0,,,16-31,,S. Muhammad enters the game for R. Rubio
0:18.0,Shooting foul by K. Dunn (drawn by T. Lawson),,16-31,,
0:18.0,T. Lawson makes free throw 1 of 2,1,17-31,,
0:18.0,T. Lawson makes free throw 2 of 2,1,18-31,,
0:18.0,W. Cauley-Stein enters the game for G. Papagiannis,,17-31,,
0:04.0,,,18-31,,O. Casspi misses 3-pt shot from 23 ft
0:01.0,,,18-31,,Offensive rebound by Team
0:00.0,,,18-31,,G. Dieng misses 2-pt shot from 22 ft
0:00.0,,,18-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. Galloway makes 3-pt shot from 24 ft (assist by T. Lawson),3,21-31,,
11:27.0,,,21-33,2,K. Towns makes 2-pt shot from 6 ft
11:07.0,A. Afflalo makes 3-pt shot from 22 ft (assist by W. Cauley-Stein),3,24-33,,
10:38.0,,,24-35,2,T. Jones makes 2-pt shot from 2 ft (assist by K. Dunn)
10:21.0,W. Cauley-Stein misses 2-pt shot from 6 ft,,24-35,,
10:20.0,,,24-35,,Defensive rebound by O. Casspi
10:13.0,,,24-35,,K. Dunn misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by W. Cauley-Stein,,24-35,,
9:58.0,A. Tolliver misses 3-pt shot from 22 ft,,24-35,,
9:56.0,,,24-35,,Defensive rebound by T. Jones
9:47.0,,,24-35,,Turnover by T. Jones (bad pass)
9:28.0,W. Cauley-Stein misses 2-pt shot from 11 ft,,24-35,,
9:27.0,,,24-35,,Defensive rebound by S. Muhammad
9:24.0,,,24-35,,Turnover by S. Muhammad (offensive foul)
9:24.0,,,24-35,,Offensive charge foul by S. Muhammad
9:16.0,Shooting foul by K. Dunn (drawn by T. Lawson),,24-35,,
9:16.0,T. Lawson makes free throw 1 of 3,1,25-35,,
9:16.0,T. Lawson makes free throw 2 of 3,1,26-35,,
9:16.0,T. Lawson makes free throw 3 of 3,1,27-35,,
9:11.0,Shooting block foul by W. Cauley-Stein (drawn by K. Towns),,27-35,,
9:11.0,,,27-36,1,K. Towns makes free throw 1 of 2
9:11.0,,,27-37,1,K. Towns makes free throw 2 of 2
8:59.0,A. Afflalo makes 3-pt shot from 25 ft (assist by A. Tolliver),3,30-37,,
8:45.0,,,30-37,,Shooting foul by A. Afflalo (drawn by S. Muhammad)
8:45.0,,,30-37,,Minnesota full timeout
8:45.0,,,30-38,1,S. Muhammad makes free throw 1 of 2
8:45.0,,,30-39,1,S. Muhammad makes free throw 2 of 2
