time,Atlanta,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Howard vs. Z. Pachulia (D. Green gains possession)
11:46.0,,,0-0,,K. Thompson misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by D. Howard,,0-0,,
11:28.0,Turnover by K. Korver (lost ball),,0-0,,
11:14.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by K. Bazemore,,0-0,,
10:53.0,K. Bazemore misses 3-pt shot from 28 ft,,0-0,,
10:53.0,Offensive rebound by P. Millsap,,0-0,,
10:43.0,D. Schroder makes 2-pt shot from 2 ft,2,2-0,,
10:32.0,,,2-3,3,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia)
10:10.0,P. Millsap misses 2-pt shot from 6 ft,,2-3,,
10:10.0,Offensive rebound by D. Howard,,2-3,,
9:56.0,D. Howard misses 2-pt shot from 8 ft,,2-3,,
9:56.0,,,2-3,,Defensive rebound by K. Durant
9:53.0,,,2-3,,Turnover by K. Durant (bad pass; steal by D. Schroder)
9:44.0,Turnover by K. Korver (bad pass),,2-3,,
9:30.0,,,2-3,,Turnover by K. Durant (lost ball; steal by K. Bazemore)
9:23.0,K. Bazemore misses 2-pt shot from 2 ft,,2-3,,
9:22.0,,,2-3,,Defensive rebound by K. Durant
9:15.0,,,2-6,3,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant)
8:57.0,D. Schroder makes 2-pt shot from 16 ft (assist by K. Korver),2,4-6,,
8:45.0,,,4-6,,Turnover by Z. Pachulia (lost ball; steal by D. Schroder)
8:37.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder),3,7-6,,
8:37.0,,,7-6,,Golden State full timeout
8:24.0,,,7-6,,K. Durant misses 2-pt shot from 18 ft (block by K. Bazemore)
8:23.0,Defensive rebound by P. Millsap,,7-6,,
8:13.0,Turnover by K. Bazemore (bad pass),,7-6,,
8:01.0,,,7-6,,K. Thompson misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by K. Bazemore,,7-6,,
7:55.0,K. Korver misses 3-pt shot from 26 ft,,7-6,,
7:54.0,,,7-6,,Defensive rebound by S. Curry
7:45.0,,,7-6,,D. Green misses 2-pt shot from 13 ft
7:41.0,,,7-6,,Offensive rebound by Z. Pachulia
7:41.0,,,7-8,2,Z. Pachulia makes 2-pt shot from 3 ft
7:25.0,D. Schroder makes 3-pt shot from 26 ft,3,10-8,,
7:22.0,,,10-8,,Turnover by S. Curry (lost ball)
7:10.0,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder),2,12-8,,
6:58.0,,,12-8,,S. Curry misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by D. Howard,,12-8,,
6:44.0,D. Schroder misses 2-pt shot from 17 ft,,12-8,,
6:41.0,Offensive rebound by K. Korver,,12-8,,
6:41.0,K. Korver misses 2-pt shot from 1 ft,,12-8,,
6:41.0,,,12-8,,Defensive rebound by Z. Pachulia
6:41.0,Personal foul by P. Millsap (drawn by K. Durant),,12-8,,
6:41.0,M. Muscala enters the game for P. Millsap,,12-8,,
6:33.0,,,12-8,,K. Durant misses 2-pt shot from 12 ft
6:32.0,Defensive rebound by M. Muscala,,12-8,,
6:16.0,,,12-8,,Violation by D. Green (kicked ball)
6:13.0,K. Bazemore makes 2-pt shot from 2 ft (assist by K. Korver),2,14-8,,
5:54.0,,,14-8,,Turnover by Z. Pachulia (bad pass; steal by D. Howard)
5:53.0,,,14-8,,Personal foul by Z. Pachulia (drawn by D. Howard)
5:53.0,,,14-8,,A. Iguodala enters the game for K. Durant
5:42.0,Offensive charge foul by D. Schroder,,14-8,,
5:42.0,Turnover by D. Schroder (offensive foul),,14-8,,
5:32.0,,,14-10,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
5:09.0,M. Muscala misses 3-pt shot from 25 ft,,14-10,,
5:09.0,,,14-10,,Defensive rebound by A. Iguodala
5:02.0,,,14-13,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Iguodala)
5:01.0,Atlanta full timeout,,14-13,,
5:01.0,,,14-13,,J. McGee enters the game for Z. Pachulia
5:01.0,T. Hardaway enters the game for K. Korver,,14-13,,
4:54.0,Turnover by D. Schroder (traveling),,14-13,,
4:42.0,,,14-13,,S. Curry misses 3-pt shot from 27 ft
4:41.0,,,14-13,,Offensive rebound by J. McGee
4:36.0,,,14-15,2,K. Thompson makes 2-pt shot from 13 ft (assist by J. McGee)
4:22.0,T. Hardaway misses 3-pt shot from 27 ft,,14-15,,
4:22.0,,,14-15,,Defensive rebound by K. Thompson
4:10.0,,,14-18,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
3:48.0,Shooting foul by D. Green (drawn by D. Howard),,14-18,,
3:48.0,D. Howard misses free throw 1 of 2,,14-18,,
3:48.0,Offensive rebound by Team,,14-18,,
3:48.0,,,14-18,,Violation by Team (jump ball)
3:48.0,D. Howard makes free throw 2 of 2,1,15-18,,
3:48.0,T. Sefolosha enters the game for D. Schroder,,14-18,,
3:48.0,M. Delaney enters the game for K. Bazemore,,14-18,,
3:48.0,,,14-18,,P. McCaw enters the game for K. Thompson
3:27.0,,,15-21,3,A. Iguodala makes 3-pt shot from 26 ft (assist by D. Green)
3:23.0,Offensive foul by D. Howard,,15-21,,
3:23.0,Turnover by D. Howard (offensive foul),,15-21,,
3:07.0,,,15-21,,P. McCaw misses 3-pt shot from 26 ft
3:06.0,,,15-21,,Offensive rebound by Team
3:06.0,P. Millsap enters the game for D. Howard,,15-21,,
3:06.0,,,15-21,,K. Durant enters the game for J. McGee
3:02.0,,,15-23,2,K. Durant makes 2-pt shot from 14 ft (assist by S. Curry)
2:42.0,M. Delaney makes 3-pt shot from 27 ft (assist by T. Sefolosha),3,18-23,,
2:29.0,,,18-25,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
2:15.0,T. Hardaway makes 2-pt shot from 2 ft (assist by M. Delaney),2,20-25,,
2:03.0,,,20-25,,Turnover by S. Curry (bad pass; steal by T. Hardaway)
2:02.0,,,20-25,,Clear path foul by P. McCaw
2:02.0,M. Delaney makes clear path free throw 1 of 2,1,21-25,,
2:02.0,M. Delaney makes clear path free throw 2 of 2,1,22-25,,
1:48.0,M. Muscala makes 2-pt shot from 7 ft (assist by M. Delaney),2,24-25,,
1:33.0,,,24-28,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
1:09.0,Turnover by P. Millsap (bad pass; steal by D. Green),,24-28,,
1:02.0,,,24-28,,K. Durant misses 3-pt shot from 28 ft
1:01.0,Defensive rebound by T. Sefolosha,,24-28,,
0:46.0,Shooting foul by S. Curry (drawn by T. Sefolosha),,24-28,,
0:46.0,T. Sefolosha makes free throw 1 of 2,1,25-28,,
0:46.0,T. Sefolosha misses free throw 2 of 2,,25-28,,
0:46.0,,,25-28,,K. Thompson enters the game for S. Curry
0:46.0,,,25-28,,D. West enters the game for D. Green
0:45.0,,,25-28,,Defensive rebound by K. Durant
0:28.0,,,25-28,,Shooting foul by M. Muscala (drawn by P. McCaw)
0:28.0,,,25-29,1,P. McCaw makes free throw 1 of 2
0:28.0,,,25-29,,P. McCaw misses free throw 2 of 2
0:27.0,Defensive rebound by P. Millsap,,25-29,,
0:10.0,M. Delaney makes 2-pt shot from 19 ft,2,27-29,,
0:02.0,,,27-29,,K. Thompson misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by P. Millsap,,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Hardaway makes 2-pt shot from 18 ft,2,29-29,,
11:26.0,,,29-31,2,K. Durant makes 2-pt shot from 12 ft
11:20.0,,,29-31,,Personal foul by K. Durant (drawn by M. Muscala)
11:06.0,Shooting foul by S. Livingston (drawn by P. Millsap),,29-31,,
11:06.0,P. Millsap makes free throw 1 of 2,1,30-31,,
11:06.0,P. Millsap makes free throw 2 of 2,1,31-31,,
10:53.0,Personal foul by M. Muscala (drawn by K. Durant),,31-31,,
10:50.0,Personal foul by T. Hardaway (drawn by K. Thompson),,31-31,,
10:42.0,,,31-33,2,K. Durant makes 2-pt shot from 15 ft (assist by S. Livingston)
10:24.0,P. Millsap misses 2-pt shot from 4 ft (block by D. West),,31-33,,
10:23.0,Offensive rebound by P. Millsap,,31-33,,
10:20.0,Turnover by P. Millsap (bad pass; steal by S. Livingston),,31-33,,
10:18.0,,,31-33,,D. West misses 2-pt shot from 3 ft
10:15.0,Defensive rebound by M. Delaney,,31-33,,
10:12.0,T. Sefolosha makes 2-pt shot from 21 ft (assist by M. Delaney),2,33-33,,
9:52.0,Personal foul by T. Sefolosha (drawn by K. Durant),,33-33,,
9:52.0,,,33-34,1,K. Durant makes free throw 1 of 2
9:52.0,,,33-35,1,K. Durant makes free throw 2 of 2
9:52.0,D. Howard enters the game for M. Muscala,,33-34,,
9:41.0,M. Delaney makes 2-pt shot from 20 ft,2,35-35,,
9:23.0,,,35-35,,Offensive foul by K. Thompson
9:23.0,,,35-35,,Turnover by K. Thompson (offensive foul)
9:23.0,,,35-35,,I. Clark enters the game for A. Iguodala
9:09.0,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Millsap),3,38-35,,
8:57.0,,,38-35,,K. Durant misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by P. Millsap,,38-35,,
8:43.0,D. Howard misses 2-pt shot from 14 ft,,38-35,,
8:43.0,,,38-35,,Defensive rebound by K. Durant
8:34.0,,,38-38,3,I. Clark makes 3-pt shot from 23 ft (assist by K. Durant)
8:23.0,T. Sefolosha makes 2-pt shot at rim (assist by M. Delaney),2,40-38,,
8:05.0,,,40-38,,K. Thompson misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by P. Millsap,,40-38,,
7:56.0,T. Hardaway misses 3-pt shot from 26 ft,,40-38,,
7:55.0,,,40-38,,Defensive rebound by K. Durant
7:48.0,,,40-38,,Turnover by K. Durant (lost ball; steal by T. Sefolosha)
7:45.0,Shooting foul by I. Clark (drawn by T. Sefolosha),,40-38,,
7:45.0,Official timeout,,40-38,,
7:45.0,T. Sefolosha makes free throw 1 of 2,1,41-38,,
7:45.0,T. Sefolosha makes free throw 2 of 2,1,42-38,,
7:45.0,,,40-38,,D. Green enters the game for K. Durant
7:45.0,,,40-38,,S. Curry enters the game for K. Thompson
7:45.0,,,40-38,,Z. Pachulia enters the game for D. West
7:45.0,K. Bazemore enters the game for P. Millsap,,40-38,,
7:45.0,D. Schroder enters the game for T. Hardaway,,40-38,,
7:32.0,,,42-40,2,S. Livingston makes 2-pt shot from 10 ft
7:17.0,T. Sefolosha misses 2-pt shot from 17 ft,,42-40,,
7:16.0,,,42-40,,Defensive rebound by S. Livingston
6:57.0,,,42-40,,S. Curry misses 2-pt shot from 19 ft
6:56.0,Defensive rebound by D. Howard,,42-40,,
6:44.0,Turnover by D. Schroder (lost ball),,42-40,,
6:44.0,K. Korver enters the game for M. Delaney,,42-40,,
6:44.0,M. Muscala enters the game for T. Sefolosha,,42-40,,
6:32.0,,,42-40,,Turnover by Z. Pachulia (lost ball; steal by K. Bazemore)
6:26.0,K. Bazemore misses 3-pt shot from 27 ft,,42-40,,
6:25.0,Offensive rebound by M. Muscala,,42-40,,
6:18.0,K. Bazemore makes 2-pt shot from 21 ft (assist by M. Muscala),2,44-40,,
6:05.0,,,44-40,,S. Curry misses 3-pt shot from 28 ft
6:05.0,Defensive rebound by D. Howard,,44-40,,
5:43.0,D. Schroder misses 3-pt shot from 26 ft,,44-40,,
5:43.0,,,44-40,,Defensive rebound by S. Curry
5:36.0,,,44-40,,I. Clark misses 3-pt shot from 26 ft
5:35.0,,,44-40,,Offensive rebound by D. Green
5:26.0,,,44-42,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
5:12.0,K. Korver misses 3-pt shot from 26 ft,,44-42,,
5:12.0,,,44-42,,Defensive rebound by Z. Pachulia
4:59.0,,,44-44,2,I. Clark makes 2-pt shot from 6 ft (assist by S. Curry)
4:48.0,Offensive foul by D. Howard,,44-44,,
4:48.0,Turnover by D. Howard (offensive foul),,44-44,,
4:48.0,,,44-44,,Golden State full timeout
4:37.0,,,44-44,,S. Curry misses 3-pt shot from 27 ft
4:35.0,Defensive rebound by K. Bazemore,,44-44,,
4:18.0,K. Bazemore misses 2-pt shot from 7 ft,,44-44,,
4:18.0,Offensive rebound by Team,,44-44,,
4:12.0,M. Muscala makes 2-pt shot from 13 ft (assist by K. Korver),2,46-44,,
3:52.0,,,46-44,,D. Green misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by D. Schroder,,46-44,,
3:44.0,D. Schroder makes 2-pt shot from 18 ft,2,48-44,,
3:29.0,,,48-44,,Turnover by D. Green (bad pass)
3:29.0,,,48-44,,K. Thompson enters the game for Z. Pachulia
3:29.0,,,48-44,,K. Durant enters the game for S. Livingston
3:29.0,,,48-44,,A. Iguodala enters the game for I. Clark
3:29.0,Atlanta full timeout,,48-44,,
3:29.0,P. Millsap enters the game for M. Muscala,,48-44,,
3:17.0,D. Schroder misses 2-pt shot from 3 ft (block by D. Green),,48-44,,
3:17.0,Offensive rebound by Team,,48-44,,
3:08.0,Turnover by D. Schroder (bad pass; steal by S. Curry),,48-44,,
3:03.0,,,48-44,,D. Green misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by P. Millsap,,48-44,,
2:51.0,Shooting foul by A. Iguodala (drawn by P. Millsap),,48-44,,
2:51.0,P. Millsap makes free throw 1 of 2,1,49-44,,
2:51.0,P. Millsap misses free throw 2 of 2,,49-44,,
2:50.0,,,49-44,,Defensive rebound by K. Durant
2:41.0,,,49-44,,Turnover by S. Curry (bad pass; steal by P. Millsap)
2:22.0,K. Korver misses 2-pt shot from 17 ft (block by K. Durant),,49-44,,
2:22.0,Offensive rebound by P. Millsap,,49-44,,
2:17.0,P. Millsap misses 3-pt shot from 23 ft,,49-44,,
2:16.0,Offensive rebound by K. Bazemore,,49-44,,
2:08.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,51-44,,
1:48.0,,,51-44,,K. Thompson misses 2-pt shot from 5 ft (block by D. Howard)
1:46.0,,,51-44,,Offensive rebound by K. Thompson
1:45.0,,,51-46,2,K. Thompson makes 2-pt shot from 2 ft
1:23.0,K. Bazemore misses 3-pt shot from 27 ft,,51-46,,
1:22.0,,,51-46,,Defensive rebound by A. Iguodala
1:13.0,,,51-46,,Shooting foul by K. Bazemore (drawn by S. Curry)
1:13.0,,,51-47,1,S. Curry makes free throw 1 of 2
1:13.0,,,51-48,1,S. Curry makes free throw 2 of 2
0:52.0,K. Bazemore misses 2-pt shot from 4 ft,,51-48,,
0:51.0,,,51-48,,Defensive rebound by K. Durant
