time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. K. Porzingis (W. Hernangomez gains possession),,,,Jump ball: T. Maker vs. K. Porzingis (W. Hernangomez gains possession)
11:35.0,K. Porzingis misses 2-pt shot from 14 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by T. Snell
11:21.0,,,0-2,2,K. Middleton makes 2-pt shot from 19 ft (assist by G. Antetokounmpo)
11:01.0,Turnover by W. Hernangomez (lost ball; steal by K. Middleton),,0-2,,
10:56.0,,,0-2,,T. Maker misses 2-pt shot from 1 ft (block by W. Hernangomez)
10:54.0,Defensive rebound by C. Anthony,,0-2,,
10:37.0,C. Lee makes 2-pt shot from 14 ft (assist by C. Anthony),2,2-2,,
10:16.0,,,2-2,,T. Maker misses 3-pt shot from 27 ft
10:16.0,Defensive rebound by Team,,2-2,,
10:00.0,Turnover by K. Porzingis (lost ball; steal by G. Antetokounmpo),,2-2,,
9:57.0,,,2-4,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
9:40.0,Turnover by D. Rose (lost ball; steal by G. Antetokounmpo),,2-4,,
9:27.0,,,2-4,,G. Antetokounmpo misses 2-pt shot from 21 ft
9:26.0,Defensive rebound by C. Lee,,2-4,,
9:17.0,Turnover by W. Hernangomez (bad pass; steal by G. Antetokounmpo),,2-4,,
9:12.0,,,2-6,2,T. Maker makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:54.0,K. Porzingis misses 2-pt shot from 13 ft,,2-6,,
8:53.0,,,2-6,,Defensive rebound by T. Maker
8:40.0,,,2-9,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon)
8:22.0,Turnover by K. Porzingis (lost ball; steal by G. Antetokounmpo),,2-9,,
8:19.0,,,2-11,2,T. Snell makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:19.0,New York full timeout,,2-11,,
8:07.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,5-11,,
7:57.0,,,5-11,,Shooting foul by C. Lee (drawn by M. Brogdon)
7:57.0,,,5-12,1,M. Brogdon makes free throw 1 of 2
7:57.0,,,5-13,1,M. Brogdon makes free throw 2 of 2
7:45.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Lee),2,7-13,,
7:35.0,,,7-13,,M. Brogdon misses 3-pt shot from 27 ft
7:33.0,Defensive rebound by C. Lee,,7-13,,
7:28.0,Offensive charge foul by W. Hernangomez,,7-13,,
7:28.0,Turnover by W. Hernangomez (offensive foul),,7-13,,
7:06.0,,,7-13,,T. Snell misses 2-pt shot from 18 ft
7:04.0,,,7-13,,Offensive rebound by G. Antetokounmpo
7:03.0,,,7-15,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:53.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by D. Rose),2,9-15,,
6:27.0,,,9-17,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:21.0,,,9-17,,Violation by T. Maker (def goaltending)
6:21.0,D. Rose makes 2-pt shot from 1 ft,2,11-17,,
6:05.0,,,11-19,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:52.0,,,11-19,,Def 3 sec tech foul by T. Maker
5:52.0,C. Anthony makes technical free throw,1,12-19,,
5:52.0,L. Thomas enters the game for K. Porzingis,,12-19,,
5:41.0,C. Anthony misses 2-pt shot from 17 ft (block by K. Middleton),,12-19,,
5:39.0,,,12-19,,Defensive rebound by K. Middleton
5:36.0,,,12-21,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:18.0,W. Hernangomez makes 2-pt shot from 7 ft (assist by D. Rose),2,14-21,,
5:08.0,,,14-24,3,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
4:54.0,W. Hernangomez misses 2-pt shot from 4 ft,,14-24,,
4:53.0,Offensive rebound by C. Anthony,,14-24,,
4:53.0,C. Anthony misses 2-pt shot at rim,,14-24,,
4:52.0,Offensive rebound by C. Anthony,,14-24,,
4:52.0,C. Anthony makes 2-pt shot at rim,2,16-24,,
4:32.0,Personal block foul by W. Hernangomez (drawn by T. Maker),,16-24,,
4:32.0,,,16-24,,M. Dellavedova enters the game for M. Brogdon
4:32.0,,,16-24,,G. Monroe enters the game for T. Maker
4:32.0,K. O'Quinn enters the game for W. Hernangomez,,16-24,,
4:28.0,,,16-27,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Monroe)
4:17.0,C. Anthony makes 2-pt shot from 11 ft,2,18-27,,
4:17.0,Shooting foul by K. Middleton (drawn by C. Anthony),,18-27,,
4:17.0,C. Anthony makes free throw 1 of 1,1,19-27,,
4:01.0,,,19-27,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by K. O'Quinn)
3:59.0,Defensive rebound by Team,,19-27,,
3:47.0,C. Anthony makes 2-pt shot from 14 ft,2,21-27,,
3:47.0,Shooting foul by T. Snell (drawn by C. Anthony),,21-27,,
3:47.0,C. Anthony misses free throw 1 of 1,,21-27,,
3:45.0,,,21-27,,Defensive rebound by G. Antetokounmpo
3:29.0,,,21-27,,M. Dellavedova misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by K. O'Quinn,,21-27,,
3:17.0,C. Lee misses 2-pt shot from 13 ft,,21-27,,
3:15.0,Offensive rebound by L. Thomas,,21-27,,
3:15.0,L. Thomas misses 2-pt shot from 3 ft,,21-27,,
3:15.0,,,21-27,,Defensive rebound by Team
3:15.0,J. Holiday enters the game for C. Lee,,21-27,,
3:05.0,,,21-27,,Turnover by M. Dellavedova (bad pass; steal by C. Anthony)
2:50.0,D. Rose makes 2-pt shot from 5 ft,2,23-27,,
2:49.0,,,23-27,,Milwaukee full timeout
2:49.0,,,23-27,,J. Terry enters the game for K. Middleton
2:31.0,,,23-27,,G. Monroe misses 2-pt shot from 4 ft (block by K. O'Quinn)
2:28.0,Defensive rebound by L. Thomas,,23-27,,
2:07.0,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony),2,25-27,,
1:55.0,,,25-27,,Turnover by T. Snell (bad pass; steal by J. Holiday)
1:43.0,C. Anthony misses 2-pt shot from 17 ft,,25-27,,
1:42.0,,,25-27,,Defensive rebound by J. Terry
1:30.0,,,25-27,,Shooting foul by K. O'Quinn (drawn by G. Monroe)
1:30.0,,,25-28,1,G. Monroe makes free throw 1 of 2
1:30.0,,,25-29,1,G. Monroe makes free throw 2 of 2
1:30.0,R. Baker enters the game for D. Rose,,25-28,,
1:15.0,Turnover by L. Thomas (bad pass; steal by T. Snell),,25-29,,
1:03.0,,,25-29,,Shooting foul by K. O'Quinn (drawn by G. Monroe)
1:03.0,,,25-29,,G. Monroe misses free throw 1 of 2
1:03.0,,,25-29,,Offensive rebound by Team
1:03.0,,,25-30,1,G. Monroe makes free throw 2 of 2
0:49.0,R. Baker makes 3-pt shot from 26 ft (assist by J. Holiday),3,28-30,,
0:36.0,,,28-30,,J. Terry misses 2-pt shot from 1 ft
0:35.0,,,28-30,,Offensive rebound by G. Monroe
0:34.0,,,28-32,2,G. Monroe makes 2-pt shot from 2 ft
0:18.0,R. Baker makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,30-32,,
0:01.0,,,30-32,,J. Terry misses 3-pt shot from 23 ft
0:00.0,,,30-32,,Offensive rebound by G. Monroe
0:00.0,,,30-32,,G. Monroe misses 2-pt shot from 1 ft
0:00.0,,,30-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
