time,Golden State,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. Z. Pachulia (J. Wall gains possession),,,,Jump ball: M. Gortat vs. Z. Pachulia (J. Wall gains possession)
11:47.0,,,0-0,,Turnover by M. Gortat (lost ball; steal by S. Curry)
11:40.0,K. Durant misses 2-pt shot from 3 ft (block by M. Gortat),,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Gortat
11:34.0,,,0-2,2,O. Porter makes 2-pt shot from 4 ft
11:17.0,Turnover by K. Durant (bad pass; steal by O. Porter),,0-2,,
11:03.0,,,0-2,,M. Morris misses 2-pt shot from 13 ft
11:03.0,Defensive rebound by Team,,0-2,,
11:03.0,,,0-2,,Loose ball foul by M. Gortat (drawn by Z. Pachulia)
10:55.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by S. Curry),2,2-2,,
10:43.0,,,2-5,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
10:27.0,Golden State full timeout,,2-5,,
10:27.0,P. McCaw enters the game for K. Durant,,2-5,,
10:22.0,S. Curry misses 2-pt shot from 22 ft,,2-5,,
10:21.0,,,2-5,,Defensive rebound by O. Porter
10:16.0,,,2-7,2,M. Morris makes 2-pt shot from 1 ft (assist by O. Porter)
10:05.0,Turnover by D. Green (lost ball; steal by B. Beal),,2-7,,
10:00.0,,,2-7,,Shooting foul by K. Thompson (drawn by M. Gortat)
10:00.0,,,2-8,1,M. Gortat makes free throw 1 of 2
10:00.0,,,2-9,1,M. Gortat makes free throw 2 of 2
9:43.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Green),2,4-9,,
9:31.0,,,4-11,2,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal)
9:19.0,Z. Pachulia misses 2-pt shot from 2 ft,,4-11,,
9:18.0,,,4-11,,Defensive rebound by M. Gortat
9:07.0,,,4-11,,M. Morris misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by K. Thompson,,4-11,,
8:59.0,Offensive foul by Z. Pachulia,,4-11,,
8:59.0,Turnover by Z. Pachulia (offensive foul),,4-11,,
8:48.0,,,4-13,2,B. Beal makes 2-pt shot from 10 ft
8:31.0,D. Green misses 2-pt shot from 9 ft,,4-13,,
8:31.0,,,4-13,,Defensive rebound by M. Gortat
8:24.0,,,4-16,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
8:14.0,Turnover by S. Curry (lost ball; steal by J. Wall),,4-16,,
8:10.0,,,4-16,,Turnover by M. Gortat (bad pass)
8:00.0,S. Curry makes 2-pt shot from 19 ft,2,6-16,,
7:46.0,,,6-16,,J. Wall misses 2-pt shot from 3 ft
7:45.0,,,6-16,,Offensive rebound by O. Porter
7:42.0,,,6-19,3,M. Morris makes 3-pt shot from 22 ft (assist by O. Porter)
7:29.0,S. Curry misses 3-pt shot from 26 ft,,6-19,,
7:28.0,,,6-19,,Defensive rebound by O. Porter
7:22.0,,,6-19,,Offensive foul by M. Gortat
7:22.0,,,6-19,,Turnover by M. Gortat (offensive foul)
7:22.0,,,6-19,,I. Mahinmi enters the game for M. Gortat
7:09.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,9-19,,
6:54.0,,,9-22,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
6:40.0,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry),2,11-22,,
6:27.0,,,11-22,,Turnover by B. Beal (bad pass; steal by K. Thompson)
6:15.0,K. Thompson makes 3-pt shot from 24 ft (assist by P. McCaw),3,14-22,,
6:06.0,,,14-22,,J. Wall misses 2-pt shot at rim
6:05.0,Defensive rebound by D. Green,,14-22,,
5:59.0,K. Thompson misses 3-pt shot from 29 ft,,14-22,,
5:58.0,,,14-22,,Defensive rebound by O. Porter
5:49.0,,,14-22,,Washington full timeout
5:48.0,,,14-24,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
5:48.0,,,14-24,,Shooting foul by S. Curry (drawn by B. Beal)
5:48.0,,,14-25,1,B. Beal makes free throw 1 of 1
5:38.0,D. Green misses 2-pt shot from 3 ft (block by I. Mahinmi),,14-25,,
5:36.0,Offensive rebound by Z. Pachulia,,14-25,,
5:33.0,Z. Pachulia misses 2-pt shot at rim (block by M. Morris),,14-25,,
5:32.0,Offensive rebound by Z. Pachulia,,14-25,,
5:25.0,Z. Pachulia misses 2-pt shot from 1 ft (block by M. Morris),,14-25,,
5:23.0,,,14-25,,Defensive rebound by Team
5:17.0,,,14-27,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by J. Wall)
5:08.0,Offensive foul by Z. Pachulia,,14-27,,
5:08.0,Turnover by Z. Pachulia (offensive foul),,14-27,,
5:08.0,J. McGee enters the game for Z. Pachulia,,14-27,,
5:08.0,A. Iguodala enters the game for D. Green,,14-27,,
5:08.0,,,14-27,,B. Bogdanovic enters the game for M. Morris
4:46.0,,,14-29,2,B. Beal makes 2-pt shot from 9 ft (assist by J. Wall)
4:36.0,Shooting foul by O. Porter (drawn by J. McGee),,14-29,,
4:36.0,J. McGee makes free throw 1 of 2,1,15-29,,
4:36.0,J. McGee makes free throw 2 of 2,1,16-29,,
4:22.0,,,16-29,,B. Beal misses 2-pt shot from 1 ft
4:21.0,,,16-29,,Offensive rebound by I. Mahinmi
4:20.0,,,16-29,,Shooting foul by S. Curry (drawn by I. Mahinmi)
4:20.0,,,16-29,,I. Mahinmi misses free throw 1 of 2
4:20.0,,,16-29,,Offensive rebound by Team
4:20.0,,,16-30,1,I. Mahinmi makes free throw 2 of 2
4:20.0,S. Livingston enters the game for S. Curry,,16-29,,
4:20.0,,,16-29,,K. Oubre enters the game for O. Porter
4:06.0,Turnover by J. McGee (step out of bounds),,16-30,,
3:56.0,,,16-32,2,J. Wall makes 2-pt shot at rim
3:53.0,Golden State full timeout,,16-32,,
3:53.0,Violation by Team (jump ball),,16-32,,
3:36.0,Shooting foul by I. Mahinmi (drawn by P. McCaw),,16-32,,
3:36.0,P. McCaw makes free throw 1 of 2,1,17-32,,
3:36.0,P. McCaw makes free throw 2 of 2,1,18-32,,
3:21.0,,,18-32,,B. Bogdanovic misses 3-pt shot from 24 ft
3:20.0,,,18-32,,Offensive rebound by I. Mahinmi
3:16.0,,,18-34,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by I. Mahinmi)
3:16.0,,,18-34,,Shooting foul by J. McGee (drawn by B. Bogdanovic)
3:16.0,,,18-35,1,B. Bogdanovic makes free throw 1 of 1
3:03.0,S. Livingston makes 2-pt shot from 14 ft,2,20-35,,
2:49.0,,,20-35,,B. Bogdanovic misses 2-pt shot from 1 ft
2:48.0,,,20-35,,Offensive rebound by I. Mahinmi
2:47.0,,,20-37,2,I. Mahinmi makes 2-pt shot from 2 ft
2:36.0,K. Thompson misses 3-pt shot from 32 ft,,20-37,,
2:35.0,Offensive rebound by S. Livingston,,20-37,,
2:26.0,Turnover by S. Livingston (bad pass; steal by K. Oubre),,20-37,,
2:20.0,,,20-39,2,K. Oubre makes 2-pt shot at rim (assist by B. Beal)
2:05.0,Turnover by K. Thompson (lost ball; steal by B. Beal),,20-39,,
2:01.0,,,20-39,,T. Satoransky enters the game for B. Beal
2:01.0,D. Green enters the game for K. Thompson,,20-39,,
2:01.0,J. McAdoo enters the game for J. McGee,,20-39,,
2:01.0,I. Clark enters the game for P. McCaw,,20-39,,
1:57.0,,,20-39,,Turnover by I. Mahinmi (lost ball)
1:44.0,I. Clark makes 2-pt shot from 20 ft (assist by D. Green),2,22-39,,
1:31.0,,,22-39,,J. Wall misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by D. Green,,22-39,,
1:21.0,J. McAdoo makes 2-pt shot from 2 ft (assist by D. Green),2,24-39,,
1:05.0,Personal foul by J. McAdoo (drawn by I. Mahinmi),,24-39,,
1:05.0,,,24-40,1,I. Mahinmi makes free throw 1 of 2
1:05.0,,,24-40,,I. Mahinmi misses free throw 2 of 2
1:04.0,Defensive rebound by J. McAdoo,,24-40,,
0:44.0,I. Clark misses 2-pt shot from 17 ft,,24-40,,
0:43.0,,,24-40,,Defensive rebound by J. Wall
0:38.0,,,24-40,,Turnover by J. Wall (lost ball)
0:31.0,J. McAdoo makes 2-pt shot at rim (assist by D. Green),2,26-40,,
0:09.0,,,26-40,,O. Porter enters the game for K. Oubre
0:09.0,,,26-40,,Turnover by T. Satoransky (bad pass; steal by A. Iguodala)
0:05.0,Turnover by I. Clark (bad pass; steal by B. Bogdanovic),,26-40,,
0:01.0,,,26-40,,J. Wall misses 2-pt shot at rim
0:00.0,,,26-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Thompson misses 3-pt shot from 26 ft,,26-40,,
11:44.0,,,26-40,,Defensive rebound by O. Porter
11:36.0,,,26-40,,Offensive foul by I. Mahinmi
11:36.0,,,26-40,,Turnover by I. Mahinmi (offensive foul)
11:36.0,,,26-40,,Violation by Team (jump ball)
11:18.0,D. West misses 2-pt shot from 5 ft,,26-40,,
11:18.0,,,26-40,,Defensive rebound by Team
11:18.0,Loose ball foul by D. West (drawn by I. Mahinmi),,26-40,,
11:08.0,,,26-42,2,B. Bogdanovic makes 2-pt shot from 18 ft (assist by T. Satoransky)
10:54.0,D. West makes 2-pt shot from 3 ft (assist by D. Green),2,28-42,,
10:29.0,,,28-42,,K. Oubre misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by D. West,,28-42,,
10:16.0,D. West makes 2-pt shot from 19 ft (assist by A. Iguodala),2,30-42,,
9:48.0,,,30-45,3,B. Bogdanovic makes 3-pt shot from 31 ft (assist by O. Porter)
9:29.0,A. Iguodala makes 2-pt shot from 2 ft (assist by D. West),2,32-45,,
9:28.0,Technical foul by A. Iguodala,,32-45,,
9:28.0,,,32-46,1,B. Bogdanovic makes technical free throw
9:16.0,,,32-46,,B. Bogdanovic misses 2-pt shot from 14 ft
9:15.0,Defensive rebound by D. West,,32-46,,
9:08.0,,,32-46,,Personal foul by K. Oubre (drawn by K. Thompson)
9:08.0,,,32-46,,M. Morris enters the game for I. Mahinmi
9:00.0,K. Thompson misses 2-pt shot from 4 ft,,32-46,,
8:59.0,,,32-46,,Defensive rebound by K. Oubre
8:45.0,,,32-49,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by M. Morris)
8:26.0,D. West makes 2-pt shot from 2 ft,2,34-49,,
8:03.0,,,34-49,,B. Bogdanovic misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by D. Green,,34-49,,
7:50.0,D. Green misses 3-pt shot from 30 ft,,34-49,,
7:49.0,,,34-49,,Defensive rebound by Team
7:49.0,Official timeout,,34-49,,
7:49.0,,,34-49,,B. Beal enters the game for T. Satoransky
7:49.0,S. Curry enters the game for K. Thompson,,34-49,,
7:28.0,,,34-49,,M. Morris misses 3-pt shot from 27 ft
7:27.0,Defensive rebound by A. Iguodala,,34-49,,
7:08.0,S. Livingston misses 2-pt shot from 15 ft,,34-49,,
7:08.0,,,34-49,,Defensive rebound by Team
7:08.0,Loose ball foul by D. West (drawn by M. Morris),,34-49,,
6:48.0,,,34-49,,B. Beal misses 3-pt shot from 27 ft
6:47.0,Defensive rebound by S. Curry,,34-49,,
6:41.0,D. West misses 2-pt shot from 7 ft,,34-49,,
6:40.0,,,34-49,,Defensive rebound by O. Porter
6:32.0,,,34-49,,Turnover by B. Beal (bad pass)
6:32.0,,,34-49,,J. Wall enters the game for K. Oubre
6:18.0,Turnover by S. Curry (bad pass; steal by M. Morris),,34-49,,
6:12.0,,,34-49,,B. Beal misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by A. Iguodala,,34-49,,
6:04.0,S. Livingston makes 2-pt shot at rim (assist by D. West),2,36-49,,
5:46.0,,,36-49,,B. Bogdanovic misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by D. Green,,36-49,,
5:39.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,38-49,,
5:38.0,,,38-49,,Washington full timeout
5:38.0,,,38-49,,M. Gortat enters the game for B. Bogdanovic
5:38.0,Z. Pachulia enters the game for D. Green,,38-49,,
5:38.0,K. Thompson enters the game for S. Livingston,,38-49,,
5:38.0,P. McCaw enters the game for D. West,,38-49,,
5:14.0,,,38-49,,J. Wall misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by S. Curry,,38-49,,
5:05.0,S. Curry misses 2-pt shot from 13 ft,,38-49,,
5:04.0,,,38-49,,Defensive rebound by J. Wall
5:01.0,,,38-51,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
4:41.0,K. Thompson misses 3-pt shot from 27 ft,,38-51,,
4:40.0,,,38-51,,Defensive rebound by B. Beal
4:32.0,D. Green enters the game for A. Iguodala,,38-51,,
4:21.0,,,38-51,,Turnover by M. Gortat (bad pass; steal by K. Thompson)
4:16.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,40-51,,
4:05.0,,,40-51,,B. Beal misses 3-pt shot from 27 ft
4:04.0,,,40-51,,Offensive rebound by B. Beal
4:01.0,,,40-51,,Turnover by B. Beal (bad pass)
3:41.0,K. Thompson misses 2-pt shot from 15 ft,,40-51,,
3:41.0,Offensive rebound by Z. Pachulia,,40-51,,
3:36.0,S. Curry misses 3-pt shot from 27 ft,,40-51,,
3:35.0,,,40-51,,Defensive rebound by M. Morris
3:24.0,,,40-53,2,M. Morris makes 2-pt shot from 4 ft (assist by J. Wall)
3:10.0,Golden State full timeout,,40-53,,
3:10.0,A. Iguodala enters the game for P. McCaw,,40-53,,
3:10.0,J. McAdoo enters the game for Z. Pachulia,,40-53,,
3:01.0,Shooting foul by M. Morris (drawn by S. Curry),,40-53,,
3:01.0,S. Curry makes free throw 1 of 2,1,41-53,,
3:01.0,S. Curry makes free throw 2 of 2,1,42-53,,
2:49.0,,,42-55,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
2:28.0,S. Curry makes 2-pt shot from 4 ft (assist by D. Green),2,44-55,,
2:16.0,,,44-57,2,J. Wall makes 2-pt shot at rim
2:07.0,S. Curry misses 3-pt shot from 28 ft,,44-57,,
2:06.0,,,44-57,,Defensive rebound by M. Gortat
2:01.0,,,44-57,,Offensive charge foul by B. Beal
2:01.0,,,44-57,,Turnover by B. Beal (offensive foul)
1:44.0,A. Iguodala misses 3-pt shot from 24 ft,,44-57,,
1:43.0,,,44-57,,Defensive rebound by B. Beal
1:30.0,,,44-59,2,O. Porter makes 2-pt shot from 11 ft (assist by J. Wall)
1:19.0,Turnover by S. Curry (lost ball),,44-59,,
1:05.0,,,44-59,,Turnover by J. Wall (lost ball; steal by D. Green)
1:01.0,Turnover by S. Curry (bad pass),,44-59,,
0:48.0,,,44-61,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:37.0,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green),3,47-61,,
0:32.0,,,47-61,,Turnover by J. Wall (lost ball)
0:23.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,49-61,,
0:07.0,Personal take foul by A. Iguodala (drawn by B. Beal),,49-61,,
0:07.0,S. Livingston enters the game for S. Curry,,49-61,,
0:07.0,,,49-61,,Washington full timeout
0:02.0,,,49-61,,J. Wall misses 2-pt shot from 3 ft (block by J. McAdoo)
0:01.0,Defensive rebound by S. Livingston,,49-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by P. McCaw (bad pass; steal by M. Morris),,49-61,,
11:39.0,,,49-61,,M. Morris misses 2-pt shot from 1 ft
