time,Chicago,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (D. Wade gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (D. Wade gains possession)
11:39.0,R. Rondo misses 2-pt shot from 8 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by L. Aldridge
11:18.0,,,0-2,2,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker)
11:02.0,J. Butler misses 2-pt shot from 21 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by L. Aldridge
10:51.0,,,0-4,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
10:35.0,R. Rondo misses 3-pt shot from 23 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by D. Green
10:28.0,,,0-4,,Turnover by T. Parker (lost ball; steal by R. Rondo)
10:18.0,T. Gibson misses 2-pt shot from 18 ft,,0-4,,
10:16.0,Offensive rebound by R. Rondo,,0-4,,
10:12.0,J. Butler misses 3-pt shot from 25 ft,,0-4,,
10:11.0,,,0-4,,Defensive rebound by P. Gasol
10:02.0,,,0-6,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Leonard)
9:36.0,R. Lopez misses 2-pt shot from 19 ft,,0-6,,
9:36.0,,,0-6,,Defensive rebound by L. Aldridge
9:25.0,,,0-8,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
9:25.0,Chicago full timeout,,0-8,,
9:10.0,R. Lopez makes 2-pt shot from 6 ft (assist by D. Wade),2,2-8,,
8:48.0,,,2-11,3,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker)
8:22.0,D. Wade misses 3-pt shot from 25 ft,,2-11,,
8:21.0,,,2-11,,Defensive rebound by D. Green
8:09.0,,,2-14,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
7:53.0,T. Gibson misses 2-pt shot from 17 ft,,2-14,,
7:51.0,,,2-14,,Defensive rebound by K. Leonard
7:41.0,,,2-14,,Shooting foul by J. Butler (drawn by K. Leonard)
7:41.0,,,2-15,1,K. Leonard makes free throw 1 of 3
7:41.0,,,2-16,1,K. Leonard makes free throw 2 of 3
7:41.0,,,2-17,1,K. Leonard makes free throw 3 of 3
7:30.0,Turnover by R. Lopez (lost ball; steal by T. Parker),,2-17,,
7:19.0,,,2-17,,Turnover by T. Parker (bad pass; steal by D. Wade)
7:13.0,D. Wade makes 2-pt shot from 2 ft,2,4-17,,
7:04.0,,,4-19,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Leonard)
6:42.0,D. Wade makes 2-pt shot from 9 ft,2,6-19,,
6:28.0,,,6-19,,T. Parker misses 2-pt shot from 14 ft
6:25.0,Defensive rebound by T. Gibson,,6-19,,
6:13.0,T. Gibson misses 2-pt shot from 18 ft,,6-19,,
6:13.0,,,6-19,,Defensive rebound by T. Parker
6:07.0,,,6-21,2,L. Aldridge makes 2-pt shot at rim (assist by D. Green)
5:50.0,D. Wade makes 2-pt shot from 13 ft,2,8-21,,
5:38.0,,,8-23,2,K. Leonard makes 2-pt shot from 20 ft (assist by P. Gasol)
5:24.0,J. Butler misses 2-pt shot from 16 ft,,8-23,,
5:23.0,,,8-23,,Defensive rebound by L. Aldridge
5:10.0,,,8-26,3,P. Gasol makes 3-pt shot from 23 ft (assist by L. Aldridge)
5:09.0,Chicago full timeout,,8-26,,
5:09.0,,,8-26,,D. Lee enters the game for P. Gasol
5:09.0,,,8-26,,P. Mills enters the game for T. Parker
5:09.0,N. Mirotic enters the game for T. Gibson,,8-26,,
5:09.0,D. McDermott enters the game for D. Wade,,8-26,,
4:59.0,J. Butler misses 2-pt shot from 18 ft,,8-26,,
4:58.0,Offensive rebound by R. Lopez,,8-26,,
4:55.0,Turnover by R. Lopez (lost ball; steal by K. Leonard),,8-26,,
4:38.0,,,8-28,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
4:15.0,R. Rondo misses 2-pt shot from 1 ft,,8-28,,
4:14.0,Offensive rebound by R. Lopez,,8-28,,
4:12.0,R. Lopez makes 2-pt shot from 1 ft,2,10-28,,
3:58.0,,,10-30,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green)
3:34.0,N. Mirotic misses 2-pt shot from 21 ft,,10-30,,
3:34.0,Offensive rebound by Team,,10-30,,
3:34.0,,,10-30,,Loose ball foul by L. Aldridge (drawn by R. Lopez)
3:34.0,,,10-30,,J. Simmons enters the game for D. Green
3:34.0,C. Felicio enters the game for R. Lopez,,10-30,,
3:20.0,N. Mirotic makes 3-pt shot from 23 ft (assist by C. Felicio),3,13-30,,
3:09.0,,,13-30,,Turnover by K. Leonard (bad pass; steal by N. Mirotic)
3:00.0,D. McDermott misses 2-pt shot from 18 ft,,13-30,,
2:58.0,Offensive rebound by R. Rondo,,13-30,,
2:55.0,Turnover by D. McDermott (lost ball; steal by P. Mills),,13-30,,
2:52.0,,,13-30,,Turnover by P. Mills (bad pass; steal by R. Rondo)
2:48.0,J. Butler makes 2-pt shot at rim (assist by N. Mirotic),2,15-30,,
2:48.0,,,15-30,,San Antonio full timeout
2:48.0,J. Grant enters the game for R. Rondo,,15-30,,
2:28.0,,,15-30,,K. Leonard misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by N. Mirotic,,15-30,,
2:04.0,N. Mirotic makes 3-pt shot from 27 ft (assist by D. McDermott),3,18-30,,
1:50.0,,,18-32,2,D. Lee makes 2-pt shot at rim (assist by K. Leonard)
1:33.0,D. McDermott makes 2-pt shot at rim (assist by C. Felicio),2,20-32,,
1:08.0,,,20-32,,J. Simmons misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by Team,,20-32,,
1:07.0,,,20-32,,M. Ginobili enters the game for J. Simmons
1:07.0,D. Wade enters the game for J. Butler,,20-32,,
1:07.0,,,20-32,,D. Green enters the game for K. Leonard
0:55.0,D. Wade misses 2-pt shot from 12 ft,,20-32,,
0:52.0,,,20-32,,Defensive rebound by L. Aldridge
0:41.0,,,20-34,2,L. Aldridge makes 2-pt shot at rim (assist by P. Mills)
0:26.0,C. Felicio makes 2-pt shot at rim (assist by D. Wade),2,22-34,,
0:07.0,,,22-34,,Shooting foul by D. Wade (drawn by L. Aldridge)
0:07.0,,,22-35,1,L. Aldridge makes free throw 1 of 2
0:07.0,,,22-36,1,L. Aldridge makes free throw 2 of 2
0:03.0,,,22-36,,Personal foul by D. Lee (drawn by D. Wade)
0:03.0,,,22-36,,D. Dedmon enters the game for L. Aldridge
0:03.0,,,22-36,,J. Simmons enters the game for D. Lee
0:00.0,J. Grant makes 3-pt shot from 25 ft (assist by D. Wade),3,25-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-36,,Turnover by M. Ginobili (bad pass; steal by J. Grant)
11:24.0,J. Grant misses 2-pt shot from 19 ft,,25-36,,
11:23.0,Offensive rebound by C. Felicio,,25-36,,
11:21.0,Jump ball: C. Felicio vs. P. Mills (D. Wade gains possession),,,,Jump ball: C. Felicio vs. P. Mills (D. Wade gains possession)
11:16.0,D. McDermott misses 3-pt shot from 26 ft,,25-36,,
11:16.0,Offensive rebound by Team,,25-36,,
