time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession),,,,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession)
11:40.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
11:19.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,3-3,,
11:02.0,,,3-3,,L. Aldridge misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by J. Harden,,3-3,,
10:56.0,T. Ariza misses 3-pt shot from 25 ft,,3-3,,
10:53.0,,,3-3,,Defensive rebound by P. Gasol
10:37.0,Violation by C. Capela (def goaltending),,3-3,,
10:37.0,,,3-5,2,P. Gasol makes 2-pt shot at rim (assist by P. Mills)
10:21.0,J. Harden misses 3-pt shot from 25 ft,,3-5,,
10:21.0,,,3-5,,Defensive rebound by P. Gasol
10:02.0,,,3-5,,L. Aldridge misses 2-pt shot from 17 ft (block by J. Harden)
10:01.0,,,3-5,,Offensive rebound by L. Aldridge
9:58.0,,,3-5,,L. Aldridge misses 2-pt shot from 16 ft
9:57.0,,,3-5,,Offensive rebound by P. Gasol
9:54.0,,,3-8,3,P. Mills makes 3-pt shot from 23 ft (assist by P. Gasol)
9:38.0,J. Harden makes 3-pt shot from 24 ft (assist by E. Gordon),3,6-8,,
9:23.0,Personal foul by T. Ariza (drawn by P. Gasol),,6-8,,
9:12.0,,,6-10,2,L. Aldridge makes 2-pt shot from 10 ft (assist by P. Mills)
9:07.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,9-10,,
8:48.0,,,9-12,2,P. Gasol makes 2-pt shot from 9 ft
8:33.0,J. Harden misses 2-pt shot from 8 ft,,9-12,,
8:31.0,Offensive rebound by C. Capela,,9-12,,
8:25.0,P. Beverley misses 3-pt shot from 23 ft,,9-12,,
8:24.0,,,9-12,,Defensive rebound by D. Green
8:17.0,,,9-15,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green)
7:56.0,J. Harden makes 2-pt shot from 1 ft,2,11-15,,
7:39.0,,,11-15,,P. Gasol misses 2-pt shot from 6 ft
7:38.0,Defensive rebound by E. Gordon,,11-15,,
7:30.0,E. Gordon misses 2-pt shot from 12 ft,,11-15,,
7:29.0,,,11-15,,Defensive rebound by L. Aldridge
7:15.0,,,11-15,,Shooting foul by C. Capela (drawn by L. Aldridge)
7:15.0,,,11-16,1,L. Aldridge makes free throw 1 of 2
7:15.0,,,11-17,1,L. Aldridge makes free throw 2 of 2
7:03.0,E. Gordon misses 3-pt shot from 24 ft,,11-17,,
7:03.0,,,11-17,,Defensive rebound by K. Leonard
6:51.0,,,11-20,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard)
6:37.0,Shooting foul by P. Gasol (drawn by J. Harden),,11-20,,
6:37.0,J. Harden makes free throw 1 of 2,1,12-20,,
6:37.0,J. Harden makes free throw 2 of 2,1,13-20,,
6:37.0,R. Anderson enters the game for C. Capela,,12-20,,
6:37.0,,,12-20,,J. Simmons enters the game for P. Gasol
6:15.0,,,13-20,,P. Mills misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by J. Harden,,13-20,,
6:05.0,T. Ariza misses 3-pt shot from 26 ft,,13-20,,
6:05.0,,,13-20,,Defensive rebound by K. Leonard
5:58.0,,,13-20,,D. Green misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by R. Anderson,,13-20,,
5:50.0,P. Beverley makes 2-pt shot from 2 ft,2,15-20,,
5:50.0,,,15-20,,Shooting block foul by P. Mills (drawn by P. Beverley)
5:50.0,,,15-20,,San Antonio full timeout
5:50.0,P. Beverley makes free throw 1 of 1,1,16-20,,
5:50.0,L. Williams enters the game for E. Gordon,,15-20,,
5:50.0,,,15-20,,M. Ginobili enters the game for D. Green
5:50.0,,,15-20,,D. Lee enters the game for L. Aldridge
5:29.0,,,16-22,2,J. Simmons makes 2-pt shot from 1 ft (assist by K. Leonard)
5:20.0,Turnover by J. Harden (lost ball; steal by K. Leonard),,16-22,,
5:17.0,,,16-22,,Shooting foul by R. Anderson (drawn by K. Leonard)
5:17.0,,,16-23,1,K. Leonard makes free throw 1 of 2
