time,Memphis,pts.away,score,pts.home,Philadelphia
5:42.0,,,72-76,,N. Stauskas enters the game for H. Thompson
5:35.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,74-76,,
5:24.0,,,74-76,,Turnover by J. Okafor (lost ball; steal by M. Conley)
5:14.0,A. Harrison makes 2-pt shot from 1 ft,2,76-76,,
4:50.0,,,76-76,,E. Ilyasova misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by Team,,76-76,,
4:49.0,,,76-76,,J. Embiid enters the game for J. Okafor
4:29.0,J. Green makes 3-pt shot from 25 ft (assist by A. Harrison),3,79-76,,
4:10.0,,,79-76,,E. Ilyasova misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by M. Conley,,79-76,,
3:56.0,M. Gasol makes 2-pt shot from 3 ft,2,81-76,,
3:56.0,Shooting foul by E. Ilyasova (drawn by M. Gasol),,81-76,,
3:56.0,M. Gasol makes free throw 1 of 1,1,82-76,,
3:56.0,,,81-76,,J. Bayless enters the game for T. McConnell
3:39.0,,,82-76,,Offensive foul by J. Embiid
3:39.0,,,82-76,,Turnover by J. Embiid (offensive foul)
3:22.0,M. Conley misses 2-pt shot from 18 ft,,82-76,,
3:20.0,,,82-76,,Defensive rebound by J. Embiid
3:11.0,,,82-76,,J. Bayless misses 2-pt shot from 14 ft
3:10.0,Defensive rebound by M. Conley,,82-76,,
2:51.0,Turnover by M. Gasol (bad pass; steal by R. Covington),,82-76,,
2:45.0,,,82-76,,Shooting foul by A. Harrison (drawn by J. Embiid)
2:45.0,Memphis full timeout,,82-76,,
2:45.0,,,82-77,1,J. Embiid makes free throw 1 of 2
2:45.0,,,82-77,,J. Embiid misses free throw 2 of 2
2:43.0,Defensive rebound by J. Green,,82-77,,
2:21.0,M. Conley misses 2-pt shot from 2 ft (block by J. Embiid),,82-77,,
2:19.0,Offensive rebound by J. Green,,82-77,,
2:19.0,J. Green misses 2-pt shot from 2 ft,,82-77,,
2:17.0,,,82-77,,Defensive rebound by E. Ilyasova
2:08.0,,,82-79,2,J. Embiid makes 2-pt shot from 1 ft
2:07.0,Memphis full timeout,,82-79,,
2:07.0,V. Carter enters the game for T. Allen,,82-79,,
1:53.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,85-79,,
1:33.0,,,85-82,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by J. Bayless)
1:11.0,M. Conley misses 3-pt shot from 26 ft,,85-82,,
1:09.0,,,85-82,,Defensive rebound by J. Bayless
1:01.0,,,85-85,3,N. Stauskas makes 3-pt shot from 23 ft (assist by R. Covington)
0:55.0,Memphis full timeout,,85-85,,
0:55.0,Z. Randolph enters the game for J. Green,,85-85,,
0:46.0,,,85-85,,Personal foul by E. Ilyasova (drawn by M. Gasol)
0:46.0,M. Gasol misses free throw 1 of 2,,85-85,,
0:46.0,Offensive rebound by Team,,85-85,,
0:46.0,M. Gasol makes free throw 2 of 2,1,86-85,,
0:46.0,T. Allen enters the game for Z. Randolph,,85-85,,
0:46.0,J. Green enters the game for V. Carter,,85-85,,
0:31.0,,,86-85,,Turnover by J. Bayless (bad pass)
0:31.0,Z. Randolph enters the game for J. Green,,86-85,,
0:31.0,V. Carter enters the game for T. Allen,,86-85,,
0:15.0,Turnover by M. Conley (lost ball; steal by J. Embiid),,86-85,,
0:11.0,,,86-85,,Shooting foul by V. Carter (drawn by R. Covington)
0:11.0,,,86-86,1,R. Covington makes free throw 1 of 2
0:11.0,,,86-86,,R. Covington misses free throw 2 of 2
0:10.0,Defensive rebound by A. Harrison,,86-86,,
0:10.0,Memphis full timeout,,86-86,,
0:04.0,M. Gasol misses 3-pt shot from 25 ft,,86-86,,
0:02.0,,,86-86,,Defensive rebound by R. Covington
0:01.0,,,86-86,,Philadelphia full timeout
0:01.0,J. Green enters the game for A. Harrison,,86-86,,
0:01.0,D. Davis enters the game for V. Carter,,86-86,,
0:01.0,,,86-86,,D. Saric enters the game for E. Ilyasova
0:01.0,,,86-86,,H. Thompson enters the game for J. Bayless
0:00.0,,,86-86,,J. Embiid misses 2-pt shot from 5 ft
0:00.0,,,86-86,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:52.0,,,86-86,,Personal foul by N. Stauskas (drawn by V. Carter)
4:38.0,M. Conley misses 2-pt shot from 3 ft,,86-86,,
4:35.0,,,86-86,,Defensive rebound by R. Covington
4:21.0,,,86-86,,Turnover by R. Covington (traveling)
4:02.0,V. Carter misses 3-pt shot from 29 ft,,86-86,,
4:00.0,,,86-86,,Defensive rebound by E. Ilyasova
3:49.0,,,86-86,,J. Bayless misses 2-pt shot from 20 ft
3:46.0,Defensive rebound by A. Harrison,,86-86,,
3:34.0,M. Gasol misses 2-pt shot from 10 ft,,86-86,,
3:33.0,Offensive rebound by M. Gasol,,86-86,,
3:30.0,M. Conley makes 3-pt shot from 28 ft (assist by M. Gasol),3,89-86,,
3:08.0,,,89-86,,N. Stauskas misses 2-pt shot from 1 ft (block by A. Harrison)
3:08.0,,,89-86,,Offensive rebound by Team
3:08.0,,,89-86,,Philadelphia full timeout
3:01.0,,,89-86,,Turnover by J. Bayless (lost ball; steal by M. Conley)
2:46.0,Z. Randolph misses 2-pt shot from 2 ft (block by J. Okafor),,89-86,,
2:45.0,,,89-86,,Defensive rebound by Team
2:45.0,,,89-86,,J. Embiid enters the game for J. Okafor
2:33.0,Personal foul by M. Gasol (drawn by J. Embiid),,89-86,,
2:23.0,,,89-86,,N. Stauskas misses 3-pt shot from 26 ft
2:20.0,,,89-86,,Offensive rebound by E. Ilyasova
2:20.0,,,89-86,,E. Ilyasova misses 2-pt shot from 4 ft (block by Z. Randolph)
2:17.0,Defensive rebound by M. Conley,,89-86,,
1:56.0,M. Conley misses 2-pt shot from 6 ft,,89-86,,
1:55.0,,,89-86,,Defensive rebound by R. Covington
1:42.0,,,89-86,,Turnover by J. Embiid (lost ball; steal by M. Gasol)
1:24.0,Z. Randolph misses 2-pt shot from 17 ft,,89-86,,
1:22.0,,,89-86,,Defensive rebound by N. Stauskas
1:12.0,,,89-88,2,J. Bayless makes 2-pt shot from 3 ft
1:12.0,Memphis full timeout,,89-88,,
0:50.0,Z. Randolph makes 2-pt shot from 9 ft,2,91-88,,
0:50.0,,,91-88,,Philadelphia full timeout
0:50.0,J. Green enters the game for V. Carter,,91-88,,
0:50.0,T. Allen enters the game for Z. Randolph,,91-88,,
0:43.0,,,91-91,3,J. Bayless makes 3-pt shot from 25 ft
0:26.0,Turnover by M. Conley (lost ball),,91-91,,
0:02.0,,,91-91,,J. Bayless misses 2-pt shot from 21 ft
0:01.0,,,91-91,,Offensive rebound by Team
0:01.0,Loose ball foul by M. Conley (drawn by E. Ilyasova),,91-91,,
0:01.0,,,91-91,,Philadelphia full timeout
0:01.0,,,91-91,,D. Saric enters the game for J. Bayless
0:01.0,D. Davis enters the game for T. Allen,,91-91,,
0:01.0,,,91-91,,J. Embiid misses 2-pt shot from 15 ft
0:00.0,,,91-91,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: M. Gasol vs. J. Okafor (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. J. Okafor (Z. Randolph gains possession)
4:36.0,Z. Randolph makes 2-pt shot from 11 ft,2,93-91,,
4:17.0,Personal block foul by M. Conley (drawn by J. Okafor),,93-91,,
4:09.0,Personal foul by Z. Randolph (drawn by E. Ilyasova),,93-91,,
3:58.0,,,93-91,,N. Stauskas misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by M. Conley,,93-91,,
3:37.0,Z. Randolph makes 2-pt shot from 17 ft (assist by M. Conley),2,95-91,,
3:26.0,,,95-91,,Shooting foul by A. Harrison (drawn by J. Bayless)
3:26.0,,,95-92,1,J. Bayless makes free throw 1 of 2
3:26.0,,,95-93,1,J. Bayless makes free throw 2 of 2
3:08.0,M. Conley misses 3-pt shot from 27 ft,,95-93,,
3:07.0,Offensive rebound by M. Gasol,,95-93,,
2:55.0,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph),2,97-93,,
2:53.0,,,97-93,,Philadelphia full timeout
2:42.0,,,97-93,,Turnover by E. Ilyasova (traveling)
2:19.0,A. Harrison misses 3-pt shot from 27 ft,,97-93,,
2:17.0,,,97-93,,Defensive rebound by Team
2:17.0,Loose ball foul by Z. Randolph (drawn by E. Ilyasova),,97-93,,
2:17.0,,,97-94,1,E. Ilyasova makes free throw 1 of 2
2:17.0,,,97-95,1,E. Ilyasova makes free throw 2 of 2
1:58.0,M. Gasol makes 2-pt shot from 6 ft,2,99-95,,
1:58.0,Technical foul by M. Gasol,,99-95,,
1:58.0,,,99-96,1,E. Ilyasova makes technical free throw
1:41.0,,,99-96,,J. Okafor misses 2-pt shot from 5 ft (block by V. Carter)
1:39.0,Defensive rebound by Z. Randolph,,99-96,,
1:26.0,,,99-96,,Personal foul by E. Ilyasova (drawn by M. Gasol)
1:13.0,A. Harrison misses 3-pt shot from 26 ft,,99-96,,
1:11.0,,,99-96,,Defensive rebound by E. Ilyasova
1:05.0,,,99-96,,Offensive foul by R. Covington
1:05.0,,,99-96,,Turnover by R. Covington (offensive foul)
1:05.0,Memphis full timeout,,99-96,,
0:46.0,M. Conley misses 2-pt shot from 3 ft,,99-96,,
0:44.0,Offensive rebound by Z. Randolph,,99-96,,
0:42.0,Z. Randolph misses 2-pt shot from 3 ft (block by R. Covington),,99-96,,
0:41.0,,,99-96,,Defensive rebound by E. Ilyasova
0:23.0,,,99-98,2,J. Bayless makes 2-pt shot from 1 ft
0:21.0,,,99-98,,Personal foul by R. Covington (drawn by M. Conley)
0:21.0,M. Conley makes free throw 1 of 2,1,100-98,,
0:21.0,M. Conley makes free throw 2 of 2,1,101-98,,
0:21.0,,,101-98,,Philadelphia full timeout
0:21.0,,,101-98,,Philadelphia full timeout
0:21.0,,,100-98,,D. Saric enters the game for R. Covington
0:21.0,T. Allen enters the game for Z. Randolph,,100-98,,
0:21.0,,,101-98,,R. Covington enters the game for J. Bayless
0:18.0,,,101-98,,N. Stauskas misses 2-pt shot from 13 ft
0:14.0,Defensive rebound by M. Conley,,101-98,,
0:14.0,,,101-98,,Personal foul by N. Stauskas (drawn by M. Conley)
0:14.0,M. Conley makes free throw 1 of 2,1,102-98,,
0:14.0,M. Conley makes free throw 2 of 2,1,103-98,,
0:14.0,,,102-98,,J. Bayless enters the game for D. Saric
0:09.0,,,103-98,,J. Bayless misses 2-pt shot from 7 ft (block by M. Gasol)
0:09.0,,,103-98,,Offensive rebound by R. Covington
0:09.0,Loose ball foul by T. Allen (drawn by R. Covington),,103-98,,
0:09.0,,,103-98,,R. Covington misses free throw 1 of 2
0:09.0,,,103-98,,Offensive rebound by Team
0:09.0,,,103-99,1,R. Covington makes free throw 2 of 2
0:09.0,Z. Randolph enters the game for T. Allen,,103-98,,
0:08.0,,,103-99,,Personal foul by E. Ilyasova (drawn by M. Conley)
0:08.0,M. Conley makes free throw 1 of 2,1,104-99,,
0:08.0,M. Conley misses free throw 2 of 2,,104-99,,
0:08.0,,,103-99,,T. McConnell enters the game for N. Stauskas
0:08.0,,,103-99,,N. Stauskas enters the game for J. Okafor
0:08.0,,,103-99,,D. Saric enters the game for E. Ilyasova
0:08.0,T. Allen enters the game for A. Harrison,,104-99,,
0:07.0,,,104-99,,Defensive rebound by N. Stauskas
0:00.0,,,104-99,,Turnover by N. Stauskas (lost ball)
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
