time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. I. Zubac (P. Beverley gains possession),,,,Jump ball: C. Capela vs. I. Zubac (P. Beverley gains possession)
11:46.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:32.0,N. Young misses 3-pt shot from 24 ft,,0-2,,
11:31.0,,,0-2,,Defensive rebound by P. Beverley
11:24.0,,,0-2,,P. Beverley misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by J. Randle,,0-2,,
11:07.0,J. Randle makes 2-pt shot from 4 ft,2,2-2,,
10:45.0,,,2-2,,R. Anderson misses 3-pt shot from 25 ft
10:44.0,,,2-2,,Offensive rebound by R. Anderson
10:37.0,,,2-2,,Turnover by P. Beverley (bad pass)
10:25.0,I. Zubac misses 2-pt shot from 1 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by C. Capela
10:21.0,,,2-2,,Shooting foul by J. Clarkson (drawn by J. Harden)
10:21.0,,,2-3,1,J. Harden makes free throw 1 of 2
10:21.0,,,2-4,1,J. Harden makes free throw 2 of 2
10:05.0,B. Ingram makes 2-pt shot from 1 ft,2,4-4,,
9:55.0,,,4-7,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:42.0,Shooting foul by J. Harden (drawn by J. Randle),,4-7,,
9:42.0,J. Randle makes free throw 1 of 2,1,5-7,,
9:42.0,J. Randle makes free throw 2 of 2,1,6-7,,
9:30.0,,,6-7,,R. Anderson misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by B. Ingram,,6-7,,
9:26.0,Turnover by B. Ingram (bad pass; steal by T. Ariza),,6-7,,
9:17.0,,,6-7,,C. Capela misses 2-pt shot at rim
9:16.0,Defensive rebound by J. Randle,,6-7,,
9:13.0,J. Randle makes 2-pt shot from 1 ft,2,8-7,,
9:01.0,,,8-9,2,J. Harden makes 2-pt shot from 2 ft
8:56.0,Turnover by J. Clarkson (dbl dribble),,8-9,,
8:52.0,,,8-9,,Shooting foul by I. Zubac (drawn by T. Ariza)
8:52.0,,,8-10,1,T. Ariza makes free throw 1 of 2
8:52.0,,,8-10,,T. Ariza misses free throw 2 of 2
8:52.0,Defensive rebound by J. Randle,,8-10,,
8:36.0,Turnover by B. Ingram (bad pass),,8-10,,
8:27.0,,,8-10,,P. Beverley misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by I. Zubac,,8-10,,
8:15.0,J. Randle misses 3-pt shot from 25 ft,,8-10,,
8:14.0,,,8-10,,Defensive rebound by C. Capela
8:09.0,,,8-12,2,J. Harden makes 2-pt shot at rim
7:51.0,J. Clarkson misses 3-pt shot from 24 ft,,8-12,,
7:49.0,,,8-12,,Defensive rebound by J. Harden
7:40.0,,,8-14,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
7:27.0,J. Randle makes 2-pt shot from 1 ft (assist by I. Zubac),2,10-14,,
7:20.0,Personal foul by N. Young (drawn by J. Harden),,10-14,,
7:15.0,,,10-14,,J. Harden misses 3-pt shot from 25 ft
7:14.0,,,10-14,,Offensive rebound by C. Capela
7:11.0,,,10-14,,T. Ariza misses 3-pt shot from 23 ft
7:10.0,,,10-14,,Offensive rebound by Team
7:05.0,,,10-14,,Shooting foul by I. Zubac (drawn by C. Capela)
7:05.0,,,10-14,,C. Capela misses free throw 1 of 2
7:05.0,,,10-14,,Offensive rebound by Team
7:05.0,,,10-15,1,C. Capela makes free throw 2 of 2
7:05.0,D. Russell enters the game for I. Zubac,,10-14,,
6:54.0,J. Randle makes 2-pt shot from 1 ft,2,12-15,,
6:54.0,Shooting foul by C. Capela (drawn by J. Randle),,12-15,,
6:54.0,J. Randle makes free throw 1 of 1,1,13-15,,
6:37.0,,,13-17,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:25.0,Turnover by D. Russell (bad pass; steal by J. Harden),,13-17,,
6:19.0,,,13-19,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
6:19.0,LA Lakers full timeout,,13-19,,
6:19.0,,,13-19,,E. Gordon enters the game for P. Beverley
6:19.0,C. Brewer enters the game for N. Young,,13-19,,
6:02.0,J. Randle misses 2-pt shot from 2 ft,,13-19,,
6:01.0,,,13-19,,Defensive rebound by J. Harden
5:56.0,,,13-21,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:37.0,B. Ingram makes 2-pt shot from 16 ft,2,15-21,,
5:11.0,,,15-24,3,J. Harden makes 3-pt shot from 25 ft
4:57.0,J. Clarkson misses 2-pt shot from 20 ft,,15-24,,
4:56.0,,,15-24,,Defensive rebound by C. Capela
4:50.0,,,15-24,,Shooting foul by D. Russell (drawn by J. Harden)
4:50.0,,,15-25,1,J. Harden makes free throw 1 of 2
4:50.0,,,15-25,,J. Harden misses free throw 2 of 2
4:50.0,Defensive rebound by B. Ingram,,15-25,,
4:50.0,,,15-25,,N. Hilario enters the game for C. Capela
4:50.0,,,15-25,,L. Williams enters the game for R. Anderson
4:50.0,L. Nance enters the game for J. Randle,,15-25,,
4:38.0,Turnover by D. Russell (bad pass; steal by T. Ariza),,15-25,,
4:30.0,,,15-25,,N. Hilario misses 2-pt shot from 1 ft
4:30.0,,,15-25,,Offensive rebound by J. Harden
4:21.0,,,15-25,,J. Harden misses 2-pt shot from 21 ft
4:20.0,Defensive rebound by J. Clarkson,,15-25,,
4:15.0,Offensive foul by L. Nance,,15-25,,
4:15.0,Turnover by L. Nance (offensive foul),,15-25,,
4:03.0,,,15-27,2,E. Gordon makes 2-pt shot from 1 ft
3:53.0,J. Clarkson makes 2-pt shot from 1 ft,2,17-27,,
3:44.0,,,17-27,,E. Gordon misses 2-pt shot at rim
3:43.0,Defensive rebound by D. Russell,,17-27,,
3:36.0,D. Russell misses 3-pt shot from 24 ft,,17-27,,
3:36.0,,,17-27,,Defensive rebound by J. Harden
3:29.0,,,17-27,,Turnover by J. Harden (bad pass; steal by L. Nance)
3:24.0,L. Nance makes 2-pt shot at rim (assist by D. Russell),2,19-27,,
3:10.0,,,19-27,,E. Gordon misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by C. Brewer,,19-27,,
3:05.0,Turnover by C. Brewer (lost ball; steal by J. Harden),,19-27,,
2:59.0,,,19-29,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
2:42.0,Turnover by B. Ingram (bad pass; steal by L. Williams),,19-29,,
2:34.0,,,19-29,,Turnover by L. Williams (bad pass; steal by D. Russell)
2:28.0,B. Ingram makes 2-pt shot at rim (assist by C. Brewer),2,21-29,,
2:06.0,,,21-31,2,L. Williams makes 2-pt shot from 16 ft
1:51.0,Turnover by D. Russell (bad pass; steal by T. Ariza),,21-31,,
1:45.0,,,21-33,2,J. Harden makes 2-pt shot from 2 ft (assist by T. Ariza)
1:45.0,LA Lakers full timeout,,21-33,,
1:45.0,,,21-33,,Houston full timeout
1:45.0,,,21-33,,S. Dekker enters the game for T. Ariza
1:26.0,J. Clarkson misses 3-pt shot from 25 ft,,21-33,,
1:24.0,Offensive rebound by L. Nance,,21-33,,
1:19.0,,,21-33,,Personal foul by J. Harden (drawn by L. Nance)
1:11.0,D. Russell misses 2-pt shot from 2 ft,,21-33,,
1:10.0,Offensive rebound by L. Nance,,21-33,,
1:10.0,L. Nance makes 2-pt shot from 1 ft,2,23-33,,
0:55.0,,,23-35,2,N. Hilario makes 2-pt shot at rim (assist by L. Williams)
0:45.0,J. Clarkson misses 2-pt shot from 1 ft,,23-35,,
0:44.0,,,23-35,,Defensive rebound by J. Harden
0:38.0,,,23-35,,E. Gordon misses 3-pt shot from 25 ft
0:37.0,,,23-35,,Offensive rebound by S. Dekker
0:31.0,,,23-37,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
0:09.0,J. Clarkson makes 2-pt shot from 8 ft,2,25-37,,
0:09.0,Shooting foul by N. Hilario (drawn by J. Clarkson),,25-37,,
0:09.0,J. Clarkson makes free throw 1 of 1,1,26-37,,
0:00.0,,,26-37,,J. Harden misses 3-pt shot from 25 ft
0:00.0,,,26-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,D. Russell misses 3-pt shot from 24 ft,,26-37,,
11:49.0,,,26-37,,Defensive rebound by E. Gordon
11:43.0,,,26-39,2,L. Williams makes 2-pt shot from 6 ft (assist by E. Gordon)
11:43.0,,,26-39,,Shooting foul by T. Ennis (drawn by L. Williams)
11:43.0,,,26-40,1,L. Williams makes free throw 1 of 1
11:33.0,D. Russell makes 2-pt shot from 19 ft,2,28-40,,
11:14.0,,,28-40,,Turnover by N. Hilario (bad pass)
11:04.0,D. Russell makes 2-pt shot from 19 ft,2,30-40,,
10:44.0,,,30-40,,Offensive foul by N. Hilario
10:44.0,,,30-40,,Turnover by N. Hilario (offensive foul)
10:31.0,N. Young misses 3-pt shot from 25 ft,,30-40,,
10:30.0,,,30-40,,Defensive rebound by S. Dekker
10:21.0,,,30-43,3,L. Williams makes 3-pt shot from 25 ft
10:09.0,Turnover by D. Russell (lost ball; steal by P. Beverley),,30-43,,
10:05.0,,,30-43,,Shooting foul by C. Brewer (drawn by S. Dekker)
10:05.0,,,30-43,,S. Dekker misses free throw 1 of 2
10:05.0,,,30-43,,Offensive rebound by Team
10:05.0,,,30-43,,S. Dekker misses free throw 2 of 2
10:05.0,,,30-43,,C. Capela enters the game for N. Hilario
10:04.0,Defensive rebound by Team,,30-43,,
9:54.0,D. Russell misses 2-pt shot from 2 ft,,30-43,,
9:53.0,,,30-43,,Defensive rebound by C. Capela
9:44.0,Personal foul by L. Nance (drawn by P. Beverley),,30-43,,
9:40.0,,,30-43,,E. Gordon misses 3-pt shot from 25 ft
9:39.0,,,30-43,,Offensive rebound by C. Capela
9:31.0,,,30-46,3,L. Williams makes 3-pt shot from 25 ft (assist by C. Capela)
9:15.0,,,30-46,,Personal foul by L. Williams (drawn by T. Ennis)
9:15.0,T. Black enters the game for L. Nance,,30-46,,
9:07.0,N. Young misses 2-pt shot from 18 ft,,30-46,,
9:06.0,,,30-46,,Defensive rebound by S. Dekker
