time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Thompson,,,,Jump ball: M. Gortat vs. T. Thompson
11:38.0,K. Irving misses 2-pt shot from 13 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by M. Gortat
11:29.0,,,0-0,,Turnover by J. Wall (lost ball; steal by T. Thompson)
11:29.0,Turnover by T. Thompson (traveling),,0-0,,
11:16.0,,,0-2,2,J. Wall makes 2-pt shot from 14 ft
11:03.0,,,0-2,,Personal foul by O. Porter (drawn by L. James)
10:52.0,L. James misses 2-pt shot from 8 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by M. Gortat
10:40.0,,,0-2,,J. Wall misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by K. Love,,0-2,,
10:35.0,K. Irving makes 2-pt shot from 1 ft (assist by K. Love),2,2-2,,
10:35.0,Shooting foul by M. Thornton (drawn by K. Irving),,2-2,,
10:35.0,K. Irving misses free throw 1 of 1,,2-2,,
10:35.0,,,2-2,,Defensive rebound by M. Gortat
10:17.0,,,2-2,,Turnover by M. Gortat (bad pass; steal by L. James)
10:14.0,L. James makes 2-pt shot at rim,2,4-2,,
9:54.0,,,4-2,,M. Morris misses 2-pt shot from 17 ft
9:53.0,,,4-2,,Offensive rebound by M. Gortat
9:49.0,,,4-5,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
9:27.0,Shooting foul by M. Gortat (drawn by L. James),,4-5,,
9:27.0,L. James makes free throw 1 of 2,1,5-5,,
9:27.0,L. James misses free throw 2 of 2,,5-5,,
9:26.0,,,5-5,,Defensive rebound by O. Porter
9:14.0,,,5-7,2,M. Morris makes 2-pt shot from 5 ft
8:55.0,L. James makes 3-pt shot from 28 ft (assist by K. Irving),3,8-7,,
8:38.0,,,8-9,2,M. Morris makes 2-pt shot from 13 ft
8:26.0,Offensive charge foul by K. Love,,8-9,,
8:26.0,Turnover by K. Love (offensive foul),,8-9,,
8:09.0,,,8-11,2,M. Morris makes 2-pt shot from 16 ft (assist by O. Porter)
7:50.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,10-11,,
7:36.0,,,10-11,,M. Morris misses 2-pt shot from 19 ft
7:35.0,Defensive rebound by L. James,,10-11,,
7:29.0,Turnover by K. Irving (bad pass; steal by J. Wall),,10-11,,
7:23.0,,,10-11,,J. Wall misses 2-pt shot from 1 ft
7:22.0,Defensive rebound by K. Love,,10-11,,
7:18.0,K. Irving misses 2-pt shot from 1 ft,,10-11,,
7:17.0,,,10-11,,Defensive rebound by M. Gortat
7:05.0,,,10-11,,M. Gortat misses 2-pt shot from 1 ft
7:03.0,,,10-11,,Offensive rebound by O. Porter
7:02.0,,,10-13,2,O. Porter makes 2-pt shot at rim
6:44.0,K. Love misses 2-pt shot from 14 ft,,10-13,,
6:43.0,,,10-13,,Defensive rebound by M. Morris
6:38.0,,,10-15,2,J. Wall makes 2-pt shot from 16 ft
6:37.0,Cleveland full timeout,,10-15,,
6:27.0,Turnover by L. James (bad pass; steal by M. Thornton),,10-15,,
6:23.0,,,10-17,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
5:59.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,13-17,,
5:41.0,,,13-19,2,J. Wall makes 2-pt shot from 17 ft
5:33.0,,,13-19,,Personal foul by M. Morris (drawn by K. Irving)
5:33.0,R. Jefferson enters the game for K. Love,,13-19,,
5:33.0,,,13-19,,T. Satoransky enters the game for M. Morris
5:23.0,K. Irving makes 3-pt shot from 29 ft (assist by R. Jefferson),3,16-19,,
5:09.0,,,16-19,,M. Thornton misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by L. James,,16-19,,
5:02.0,Turnover by L. James (lost ball; steal by J. Wall),,16-19,,
5:01.0,Personal foul by J. Smith (drawn by J. Wall),,16-19,,
4:51.0,,,16-21,2,J. Wall makes 2-pt shot from 15 ft
4:41.0,K. Irving misses 3-pt shot from 28 ft,,16-21,,
4:40.0,Offensive rebound by T. Thompson,,16-21,,
4:18.0,L. James makes 3-pt shot from 27 ft,3,19-21,,
3:57.0,,,19-21,,M. Thornton misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by J. Smith,,19-21,,
3:39.0,L. James makes 2-pt shot from 16 ft,2,21-21,,
3:32.0,,,21-21,,Washington full timeout
3:32.0,,,21-21,,K. Oubre enters the game for M. Thornton
3:29.0,I. Shumpert enters the game for L. James,,21-21,,
3:17.0,,,21-21,,T. Satoransky misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by J. Smith,,21-21,,
3:00.0,J. Smith misses 2-pt shot from 12 ft,,21-21,,
2:59.0,,,21-21,,Defensive rebound by J. Wall
2:53.0,,,21-23,2,J. Wall makes 2-pt shot from 19 ft
2:34.0,K. Irving misses 2-pt shot from 7 ft,,21-23,,
2:34.0,,,21-23,,Defensive rebound by O. Porter
2:29.0,,,21-25,2,K. Oubre makes 2-pt shot from 2 ft (assist by J. Wall)
2:20.0,Cleveland full timeout,,21-25,,
2:20.0,M. Dunleavy enters the game for T. Thompson,,21-25,,
2:20.0,K. Love enters the game for J. Smith,,21-25,,
2:20.0,,,21-25,,T. Burke enters the game for J. Wall
2:20.0,,,21-25,,J. Smith enters the game for M. Gortat
2:04.0,K. Love misses 2-pt shot from 9 ft,,21-25,,
2:03.0,,,21-25,,Defensive rebound by K. Oubre
1:52.0,,,21-27,2,K. Oubre makes 2-pt shot from 1 ft (assist by T. Satoransky)
1:40.0,,,21-27,,Personal foul by K. Oubre (drawn by K. Love)
1:40.0,K. Love makes free throw 1 of 2,1,22-27,,
1:40.0,K. Love misses free throw 2 of 2,,22-27,,
1:40.0,K. Felder enters the game for K. Irving,,22-27,,
1:39.0,,,22-27,,Defensive rebound by O. Porter
1:26.0,,,22-29,2,K. Oubre makes 2-pt shot from 19 ft (assist by O. Porter)
1:13.0,Turnover by I. Shumpert (step out of bounds),,22-29,,
0:56.0,,,22-31,2,K. Oubre makes 2-pt shot from 10 ft (assist by T. Satoransky)
0:46.0,I. Shumpert misses 3-pt shot from 25 ft,,22-31,,
0:45.0,Offensive rebound by K. Love,,22-31,,
0:42.0,K. Love makes 2-pt shot from 5 ft,2,24-31,,
0:19.0,,,24-31,,O. Porter misses 2-pt shot from 20 ft
0:18.0,Defensive rebound by R. Jefferson,,24-31,,
0:03.0,K. Felder makes 2-pt shot at rim,2,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-33,2,T. Burke makes 2-pt shot from 16 ft
11:27.0,C. Frye makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,28-33,,
