time,Portland,pts.away,score,pts.home,Oklahoma City
3:47.0,,,12-15,,S. Adams misses free throw 2 of 2
3:46.0,Defensive rebound by A. Aminu,,12-15,,
3:34.0,,,12-15,,Personal foul by S. Adams (drawn by D. Lillard)
3:34.0,,,12-15,,D. Sabonis enters the game for S. Adams
3:26.0,D. Lillard makes 3-pt shot from 26 ft,3,15-15,,
3:12.0,,,15-17,2,A. Morrow makes 2-pt shot from 8 ft (assist by R. Westbrook)
2:54.0,Turnover by A. Aminu (bad pass; steal by A. Morrow),,15-17,,
2:48.0,,,15-19,2,R. Westbrook makes 2-pt shot from 2 ft
2:37.0,A. Crabbe misses 3-pt shot from 23 ft,,15-19,,
2:36.0,,,15-19,,Defensive rebound by A. Roberson
2:30.0,,,15-19,,R. Westbrook misses 2-pt shot from 1 ft
2:29.0,,,15-19,,Offensive rebound by J. Lauvergne
2:27.0,,,15-19,,Oklahoma City full timeout
2:27.0,,,15-19,,Technical foul by Team
2:27.0,D. Lillard makes technical free throw,1,16-19,,
2:27.0,C. McCollum enters the game for D. Lillard,,16-19,,
2:21.0,,,16-19,,D. Sabonis misses 2-pt shot from 1 ft
2:20.0,,,16-19,,Offensive rebound by Team
2:10.0,,,16-19,,J. Lauvergne misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by A. Crabbe,,16-19,,
1:58.0,C. McCollum misses 2-pt shot from 13 ft,,16-19,,
1:57.0,,,16-19,,Defensive rebound by A. Roberson
1:52.0,,,16-19,,Shooting foul by C. McCollum (drawn by R. Westbrook)
1:52.0,,,16-20,1,R. Westbrook makes free throw 1 of 2
1:52.0,,,16-21,1,R. Westbrook makes free throw 2 of 2
1:38.0,A. Crabbe misses 3-pt shot from 25 ft,,16-21,,
1:38.0,,,16-21,,Defensive rebound by R. Westbrook
1:32.0,,,16-21,,R. Westbrook misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by M. Leonard,,16-21,,
1:25.0,A. Crabbe misses 2-pt shot from 10 ft,,16-21,,
1:24.0,,,16-21,,Defensive rebound by J. Lauvergne
1:10.0,Def 3 sec tech foul by A. Crabbe,,16-21,,
1:10.0,,,16-22,1,R. Westbrook makes technical free throw
1:10.0,,,16-22,,C. Payne enters the game for R. Westbrook
1:00.0,,,16-24,2,A. Roberson makes 2-pt shot from 4 ft (assist by J. Lauvergne)
0:40.0,A. Aminu misses 2-pt shot from 5 ft,,16-24,,
0:39.0,,,16-24,,Defensive rebound by A. Roberson
0:29.0,,,16-24,,Turnover by J. Lauvergne (bad pass)
0:29.0,,,16-24,,V. Oladipo enters the game for A. Roberson
0:17.0,C. McCollum misses 2-pt shot from 1 ft,,16-24,,
0:15.0,,,16-24,,Defensive rebound by J. Lauvergne
0:00.0,,,16-24,,V. Oladipo misses 2-pt shot from 12 ft
0:00.0,,,16-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Harkless misses 2-pt shot from 3 ft,,16-24,,
11:43.0,,,16-24,,Defensive rebound by V. Oladipo
11:26.0,,,16-24,,C. Payne misses 2-pt shot from 14 ft
11:26.0,,,16-24,,Offensive rebound by S. Adams
11:20.0,,,16-24,,S. Adams misses 2-pt shot from 3 ft
11:19.0,,,16-24,,Offensive rebound by Team
11:13.0,,,16-24,,Shooting foul by A. Aminu (drawn by V. Oladipo)
11:13.0,,,16-25,1,V. Oladipo makes free throw 1 of 2
11:13.0,,,16-25,,V. Oladipo misses free throw 2 of 2
11:12.0,Defensive rebound by M. Harkless,,16-25,,
11:05.0,C. McCollum makes 2-pt shot from 13 ft,2,18-25,,
10:52.0,,,18-25,,V. Oladipo misses 2-pt shot from 15 ft
10:50.0,,,18-25,,Offensive rebound by S. Adams
10:41.0,,,18-25,,S. Adams misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by C. McCollum,,18-25,,
10:29.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Leonard),3,21-25,,
10:16.0,,,21-25,,V. Oladipo misses 2-pt shot from 3 ft (block by A. Aminu)
10:15.0,Defensive rebound by A. Aminu,,21-25,,
10:12.0,C. McCollum makes 2-pt shot from 1 ft,2,23-25,,
10:12.0,Shooting foul by C. Payne (drawn by C. McCollum),,23-25,,
10:12.0,C. McCollum makes free throw 1 of 1,1,24-25,,
9:54.0,,,24-25,,S. Adams misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by M. Leonard,,24-25,,
9:37.0,M. Harkless misses 3-pt shot from 22 ft,,24-25,,
9:36.0,,,24-25,,Defensive rebound by D. Sabonis
9:25.0,,,24-25,,C. Payne misses 2-pt shot from 8 ft
9:23.0,,,24-25,,Offensive rebound by S. Adams
9:23.0,,,24-25,,S. Adams misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by C. McCollum,,24-25,,
9:13.0,C. McCollum misses 2-pt shot from 4 ft (block by C. Payne),,24-25,,
9:13.0,,,24-25,,Defensive rebound by V. Oladipo
9:13.0,,,24-25,,Shooting foul by A. Crabbe (drawn by V. Oladipo)
9:13.0,,,24-26,1,V. Oladipo makes free throw 1 of 2
9:13.0,,,24-27,1,V. Oladipo makes free throw 2 of 2
9:13.0,,,24-26,,J. Lauvergne enters the game for S. Adams
9:04.0,C. McCollum makes 3-pt shot from 25 ft,3,27-27,,
8:45.0,,,27-27,,J. Grant misses 2-pt shot from 12 ft
8:44.0,,,27-27,,Offensive rebound by J. Lauvergne
8:44.0,,,27-27,,J. Lauvergne misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by M. Leonard,,27-27,,
8:31.0,A. Crabbe makes 2-pt shot from 2 ft (assist by M. Leonard),2,29-27,,
8:31.0,,,29-27,,Oklahoma City full timeout
8:31.0,D. Lillard enters the game for C. McCollum,,29-27,,
8:12.0,,,29-27,,C. Payne misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by A. Aminu,,29-27,,
8:00.0,D. Lillard misses 2-pt shot from 2 ft,,29-27,,
8:00.0,,,29-27,,Defensive rebound by D. Sabonis
7:54.0,,,29-27,,C. Payne misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by M. Leonard,,29-27,,
7:47.0,D. Lillard misses 2-pt shot at rim (block by D. Sabonis),,29-27,,
7:46.0,,,29-27,,Defensive rebound by D. Sabonis
7:40.0,,,29-29,2,J. Grant makes 2-pt shot from 2 ft (assist by C. Payne)
7:18.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Harkless),3,32-29,,
6:54.0,,,32-29,,J. Lauvergne misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by M. Leonard,,32-29,,
6:34.0,D. Lillard misses 2-pt shot from 20 ft,,32-29,,
6:33.0,,,32-29,,Defensive rebound by V. Oladipo
6:22.0,,,32-31,2,V. Oladipo makes 2-pt shot from 2 ft (assist by J. Lauvergne)
5:57.0,M. Harkless makes 2-pt shot from 3 ft,2,34-31,,
5:39.0,,,34-33,2,J. Lauvergne makes 2-pt shot from 12 ft (assist by C. Payne)
5:38.0,Portland full timeout,,34-33,,
5:38.0,M. Plumlee enters the game for M. Harkless,,34-33,,
5:38.0,E. Turner enters the game for M. Leonard,,34-33,,
5:38.0,,,34-33,,S. Adams enters the game for D. Sabonis
5:38.0,,,34-33,,R. Westbrook enters the game for C. Payne
5:38.0,,,34-33,,A. Roberson enters the game for J. Grant
5:20.0,Offensive charge foul by M. Plumlee,,34-33,,
5:20.0,Turnover by M. Plumlee (offensive foul),,34-33,,
5:20.0,,,34-33,,A. Morrow enters the game for J. Lauvergne
5:12.0,,,34-36,3,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:48.0,A. Aminu makes 3-pt shot from 23 ft (assist by A. Crabbe),3,37-36,,
4:30.0,,,37-36,,V. Oladipo misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by D. Lillard,,37-36,,
4:18.0,E. Turner makes 2-pt shot from 1 ft,2,39-36,,
