time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Noah (S. Kilpatrick gains possession),,,,Jump ball: B. Lopez vs. J. Noah (S. Kilpatrick gains possession)
11:50.0,B. Lopez misses 3-pt shot from 27 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by D. Rose
11:33.0,,,0-2,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Noah)
11:23.0,Turnover by S. Kilpatrick (lost ball; steal by K. Porzingis),,0-2,,
11:16.0,,,0-2,,Turnover by D. Rose (bad pass)
11:01.0,Shooting foul by K. Porzingis (drawn by B. Lopez),,0-2,,
11:01.0,B. Lopez makes free throw 1 of 2,1,1-2,,
11:01.0,B. Lopez makes free throw 2 of 2,1,2-2,,
10:45.0,,,2-2,,K. Porzingis misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by B. Bogdanovic,,2-2,,
10:34.0,B. Bogdanovic misses 2-pt shot from 2 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by C. Lee
10:23.0,,,2-2,,C. Lee misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by S. Kilpatrick,,2-2,,
10:12.0,S. Kilpatrick misses 2-pt shot from 8 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by K. Porzingis
9:57.0,,,2-5,3,D. Rose makes 3-pt shot from 23 ft (assist by C. Anthony)
9:31.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,4-5,,
9:17.0,,,4-5,,K. Porzingis misses 2-pt shot from 11 ft
9:15.0,Defensive rebound by S. Kilpatrick,,4-5,,
9:05.0,Turnover by R. Hollis-Jefferson (lost ball),,4-5,,
8:41.0,,,4-7,2,K. Porzingis makes 2-pt shot from 11 ft
8:21.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,6-7,,
8:03.0,,,6-7,,C. Lee misses 2-pt shot from 14 ft
8:01.0,,,6-7,,Offensive rebound by K. Porzingis
8:01.0,,,6-7,,K. Porzingis misses 2-pt shot at rim
7:59.0,Defensive rebound by R. Hollis-Jefferson,,6-7,,
7:53.0,B. Lopez makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,9-7,,
7:38.0,,,9-7,,Shooting foul by S. Kilpatrick (drawn by D. Rose)
7:38.0,,,9-7,,D. Rose misses free throw 1 of 2
7:38.0,,,9-7,,Offensive rebound by Team
7:38.0,,,9-8,1,D. Rose makes free throw 2 of 2
7:38.0,J. Hamilton enters the game for T. Booker,,9-7,,
7:29.0,R. Hollis-Jefferson misses 3-pt shot from 27 ft,,9-8,,
7:28.0,,,9-8,,Defensive rebound by J. Noah
7:19.0,,,9-11,3,K. Porzingis makes 3-pt shot from 27 ft (assist by C. Lee)
7:05.0,J. Hamilton makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,11-11,,
6:55.0,,,11-11,,Shooting foul by B. Bogdanovic (drawn by C. Lee)
6:55.0,,,11-11,,C. Lee misses free throw 1 of 2
6:55.0,,,11-11,,Offensive rebound by Team
6:55.0,,,11-12,1,C. Lee makes free throw 2 of 2
6:55.0,J. Harris enters the game for B. Bogdanovic,,11-11,,
6:45.0,J. Harris makes 3-pt shot from 25 ft (assist by B. Lopez),3,14-12,,
6:31.0,,,14-12,,D. Rose misses 2-pt shot from 10 ft
6:30.0,Defensive rebound by J. Hamilton,,14-12,,
6:13.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,14-12,,
6:12.0,,,14-12,,Defensive rebound by J. Noah
5:56.0,,,14-12,,C. Anthony misses 2-pt shot from 21 ft
5:56.0,Defensive rebound by J. Harris,,14-12,,
5:40.0,B. Lopez misses 3-pt shot from 26 ft,,14-12,,
5:40.0,,,14-12,,Defensive rebound by C. Anthony
5:27.0,,,14-12,,K. Porzingis misses 2-pt shot from 3 ft (block by B. Lopez)
5:26.0,Defensive rebound by J. Hamilton,,14-12,,
5:21.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,14-12,,
