time,Miami,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. W. Reed (L. Deng gains possession),,,,Jump ball: T. Mozgov vs. W. Reed (L. Deng gains possession)
11:47.0,,,0-0,,Shooting foul by L. Babbitt (drawn by N. Young)
11:47.0,,,0-1,1,N. Young makes free throw 1 of 2
11:47.0,,,0-2,1,N. Young makes free throw 2 of 2
11:31.0,R. McGruder misses 3-pt shot from 24 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by T. Mozgov
11:19.0,,,0-4,2,J. Randle makes 2-pt shot from 8 ft
11:00.0,L. Babbitt misses 2-pt shot from 15 ft,,0-4,,
10:57.0,,,0-4,,Defensive rebound by L. Deng
10:48.0,,,0-4,,L. Deng misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by R. McGruder,,0-4,,
10:39.0,Turnover by R. McGruder (bad pass; steal by D. Russell),,0-4,,
10:36.0,,,0-4,,Shooting foul by G. Dragic (drawn by D. Russell)
10:36.0,,,0-5,1,D. Russell makes free throw 1 of 2
10:36.0,,,0-6,1,D. Russell makes free throw 2 of 2
10:20.0,W. Reed misses 2-pt shot from 16 ft,,0-6,,
10:19.0,,,0-6,,Defensive rebound by L. Deng
10:11.0,,,0-8,2,J. Randle makes 2-pt shot from 11 ft (assist by L. Deng)
9:58.0,G. Dragic misses 2-pt shot from 10 ft,,0-8,,
9:55.0,,,0-8,,Defensive rebound by N. Young
9:49.0,,,0-8,,N. Young misses 3-pt shot from 24 ft
9:44.0,,,0-8,,Offensive rebound by D. Russell
9:37.0,,,0-8,,D. Russell misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by G. Dragic,,0-8,,
9:31.0,L. Babbitt misses 3-pt shot from 23 ft,,0-8,,
9:30.0,,,0-8,,Defensive rebound by L. Deng
9:22.0,,,0-10,2,T. Mozgov makes 2-pt shot at rim (assist by J. Randle)
9:14.0,Miami full timeout,,0-10,,
9:14.0,J. Johnson enters the game for R. McGruder,,0-10,,
9:14.0,T. Johnson enters the game for L. Babbitt,,0-10,,
8:59.0,G. Dragic misses 2-pt shot at rim,,0-10,,
8:55.0,Offensive rebound by W. Reed,,0-10,,
8:55.0,W. Reed makes 2-pt shot from 1 ft,2,2-10,,
8:35.0,,,2-10,,Offensive foul by L. Deng
8:35.0,,,2-10,,Turnover by L. Deng (offensive foul)
8:23.0,W. Reed makes 2-pt shot at rim (assist by J. Johnson),2,4-10,,
8:01.0,,,4-12,2,J. Randle makes 2-pt shot from 6 ft
7:47.0,T. Johnson misses 3-pt shot from 25 ft,,4-12,,
7:46.0,,,4-12,,Defensive rebound by J. Randle
7:40.0,,,4-12,,D. Russell misses 2-pt shot from 18 ft
7:37.0,,,4-12,,Offensive rebound by L. Deng
7:34.0,,,4-14,2,D. Russell makes 2-pt shot from 1 ft (assist by L. Deng)
7:18.0,J. Johnson misses 3-pt shot from 26 ft,,4-14,,
7:17.0,,,4-14,,Defensive rebound by L. Deng
7:08.0,,,4-14,,D. Russell misses 2-pt shot from 6 ft
7:02.0,Defensive rebound by T. Johnson,,4-14,,
7:00.0,J. Johnson makes 2-pt shot at rim (assist by J. Richardson),2,6-14,,
6:40.0,,,6-16,2,D. Russell makes 2-pt shot from 2 ft
6:23.0,Turnover by J. Johnson (lost ball; steal by D. Russell),,6-16,,
6:19.0,Personal foul by J. Richardson (drawn by J. Randle),,6-16,,
6:19.0,,,6-16,,T. Robinson enters the game for J. Randle
6:14.0,,,6-16,,Turnover by T. Robinson (bad pass; steal by J. Johnson)
6:01.0,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson),3,9-16,,
5:44.0,,,9-18,2,D. Russell makes 2-pt shot from 7 ft
5:33.0,G. Dragic makes 2-pt shot from 1 ft,2,11-18,,
5:23.0,,,11-20,2,D. Russell makes 2-pt shot from 7 ft
5:09.0,J. Richardson misses 3-pt shot from 25 ft,,11-20,,
5:08.0,,,11-20,,Defensive rebound by N. Young
4:59.0,,,11-20,,T. Mozgov misses 2-pt shot at rim
4:56.0,Defensive rebound by J. Richardson,,11-20,,
4:40.0,J. Johnson makes 3-pt shot from 24 ft (assist by W. Reed),3,14-20,,
4:35.0,,,14-20,,LA Lakers full timeout
4:35.0,W. Ellington enters the game for J. Richardson,,14-20,,
4:35.0,D. Waiters enters the game for G. Dragic,,14-20,,
4:35.0,,,14-20,,T. Black enters the game for T. Mozgov
4:21.0,,,14-22,2,L. Deng makes 2-pt shot from 1 ft (assist by N. Young)
4:07.0,T. Johnson misses 2-pt shot from 9 ft,,14-22,,
4:07.0,Offensive rebound by T. Johnson,,14-22,,
4:07.0,Shooting foul by T. Robinson (drawn by T. Johnson),,14-22,,
4:07.0,T. Johnson makes free throw 1 of 2,1,15-22,,
4:07.0,T. Johnson makes free throw 2 of 2,1,16-22,,
4:07.0,,,15-22,,B. Ingram enters the game for L. Deng
4:07.0,,,15-22,,J. Clarkson enters the game for N. Young
3:46.0,,,16-22,,D. Russell misses 2-pt shot from 11 ft
3:43.0,Defensive rebound by W. Ellington,,16-22,,
3:31.0,T. Johnson misses 2-pt shot from 15 ft,,16-22,,
3:30.0,Offensive rebound by W. Reed,,16-22,,
3:25.0,W. Reed makes 2-pt shot at rim,2,18-22,,
3:15.0,,,18-22,,T. Black misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by W. Ellington,,18-22,,
3:06.0,W. Reed makes 2-pt shot at rim (assist by W. Ellington),2,20-22,,
2:54.0,,,20-24,2,B. Ingram makes 2-pt shot from 12 ft
2:45.0,,,20-24,,Personal foul by J. Clarkson (drawn by D. Waiters)
2:45.0,U. Haslem enters the game for W. Reed,,20-24,,
2:45.0,,,20-24,,L. Williams enters the game for D. Russell
2:36.0,D. Waiters misses 2-pt shot from 22 ft,,20-24,,
2:33.0,,,20-24,,Defensive rebound by T. Black
2:25.0,,,20-24,,Shooting foul by T. Johnson (drawn by T. Robinson)
2:25.0,,,20-24,,T. Robinson misses free throw 1 of 2
2:25.0,,,20-24,,Offensive rebound by Team
2:25.0,,,20-24,,T. Robinson misses free throw 2 of 2
2:23.0,Defensive rebound by U. Haslem,,20-24,,
2:11.0,D. Waiters misses 2-pt shot from 10 ft,,20-24,,
2:09.0,,,20-24,,Defensive rebound by B. Ingram
2:01.0,,,20-24,,L. Williams misses 2-pt shot from 10 ft (block by J. Johnson)
2:01.0,,,20-24,,Offensive rebound by T. Black
2:01.0,,,20-24,,Shooting foul by U. Haslem (drawn by T. Black)
2:01.0,,,20-25,1,T. Black makes free throw 1 of 2
2:01.0,,,20-26,1,T. Black makes free throw 2 of 2
1:46.0,W. Ellington misses 2-pt shot from 22 ft,,20-26,,
1:44.0,,,20-26,,Defensive rebound by L. Williams
1:34.0,,,20-26,,B. Ingram misses 2-pt shot from 3 ft
1:31.0,,,20-26,,Offensive rebound by B. Ingram
1:31.0,,,20-28,2,B. Ingram makes 2-pt shot from 1 ft
1:17.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters),3,23-28,,
1:03.0,,,23-28,,L. Williams misses 3-pt shot from 25 ft
1:00.0,,,23-28,,Offensive rebound by T. Robinson
0:59.0,,,23-30,2,T. Robinson makes 2-pt shot at rim
0:49.0,Turnover by U. Haslem (lost ball),,23-30,,
0:34.0,,,23-32,2,T. Robinson makes 2-pt shot from 2 ft (assist by L. Williams)
0:17.0,W. Ellington misses 3-pt shot from 24 ft,,23-32,,
0:16.0,,,23-32,,Defensive rebound by T. Robinson
0:01.0,,,23-32,,L. Williams misses 3-pt shot from 27 ft
0:00.0,,,23-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by T. Black (drawn by U. Haslem),,23-32,,
11:47.0,U. Haslem makes free throw 1 of 2,1,24-32,,
