time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,M. Harkless misses 2-pt shot from 5 ft,,0-0,,
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (M. Harkless gains possession)
11:39.0,,,0-0,,Defensive rebound by S. Curry
11:22.0,,,0-3,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
10:58.0,C. McCollum misses 3-pt shot from 25 ft,,0-3,,
10:56.0,Offensive rebound by M. Plumlee,,0-3,,
10:56.0,M. Plumlee makes 2-pt shot at rim,2,2-3,,
10:49.0,,,2-6,3,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia)
10:36.0,A. Aminu misses 3-pt shot from 25 ft,,2-6,,
10:34.0,,,2-6,,Defensive rebound by S. Curry
10:24.0,,,2-6,,K. Thompson misses 2-pt shot from 12 ft
10:23.0,Defensive rebound by A. Aminu,,2-6,,
10:14.0,M. Plumlee makes 2-pt shot at rim (assist by A. Crabbe),2,4-6,,
10:03.0,,,4-6,,Turnover by Z. Pachulia (lost ball; steal by M. Plumlee)
10:01.0,Shooting foul by K. Durant (drawn by A. Crabbe),,4-6,,
10:01.0,A. Crabbe makes free throw 1 of 3,1,5-6,,
10:01.0,A. Crabbe makes free throw 2 of 3,1,6-6,,
10:01.0,A. Crabbe makes free throw 3 of 3,1,7-6,,
9:42.0,,,7-9,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
9:29.0,Turnover by A. Aminu (lost ball; steal by D. Green),,7-9,,
9:29.0,Personal foul by A. Aminu (drawn by D. Green),,7-9,,
9:16.0,,,7-12,3,K. Durant makes 3-pt shot from 23 ft (assist by S. Curry)
9:02.0,C. McCollum misses 2-pt shot from 4 ft (block by K. Thompson),,7-12,,
9:00.0,,,7-12,,Defensive rebound by Z. Pachulia
8:55.0,,,7-12,,S. Curry misses 3-pt shot from 28 ft
8:54.0,Defensive rebound by M. Plumlee,,7-12,,
8:45.0,M. Plumlee misses 2-pt shot from 4 ft (block by Z. Pachulia),,7-12,,
8:44.0,,,7-12,,Defensive rebound by D. Green
8:42.0,,,7-14,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green)
8:23.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,10-14,,
8:13.0,Personal foul by M. Harkless (drawn by D. Green),,10-14,,
7:59.0,,,10-16,2,Z. Pachulia makes 2-pt shot from 2 ft
7:51.0,Shooting foul by K. Thompson (drawn by C. McCollum),,10-16,,
7:51.0,C. McCollum makes free throw 1 of 2,1,11-16,,
7:51.0,C. McCollum makes free throw 2 of 2,1,12-16,,
7:37.0,,,12-16,,Z. Pachulia misses 2-pt shot from 3 ft
7:37.0,,,12-16,,Offensive rebound by D. Green
7:35.0,,,12-18,2,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green)
7:19.0,M. Harkless makes 3-pt shot from 24 ft (assist by A. Aminu),3,15-18,,
7:13.0,Shooting block foul by M. Plumlee (drawn by Z. Pachulia),,15-18,,
7:13.0,,,15-19,1,Z. Pachulia makes free throw 1 of 2
7:13.0,,,15-20,1,Z. Pachulia makes free throw 2 of 2
7:00.0,Turnover by C. McCollum (lost ball; steal by K. Thompson),,15-20,,
6:53.0,,,15-20,,Turnover by D. Green (bad pass; steal by A. Aminu)
6:47.0,C. McCollum misses 3-pt shot from 26 ft,,15-20,,
6:45.0,Offensive rebound by Team,,15-20,,
6:30.0,Shooting foul by K. Thompson (drawn by C. McCollum),,15-20,,
6:30.0,C. McCollum makes 2-pt shot from 8 ft,2,17-20,,
6:30.0,C. McCollum makes free throw 1 of 1,1,18-20,,
6:30.0,,,17-20,,I. Clark enters the game for K. Thompson
6:22.0,,,18-20,,Shooting foul by A. Crabbe (drawn by S. Curry)
6:22.0,,,18-21,1,S. Curry makes free throw 1 of 2
6:22.0,,,18-22,1,S. Curry makes free throw 2 of 2
6:08.0,C. McCollum misses 2-pt shot from 11 ft,,18-22,,
6:07.0,Offensive rebound by M. Harkless,,18-22,,
6:07.0,M. Harkless misses 2-pt shot from 1 ft,,18-22,,
6:06.0,Offensive rebound by Team,,18-22,,
6:04.0,Turnover by A. Aminu (lost ball; steal by D. Green),,18-22,,
5:53.0,,,18-24,2,S. Curry makes 2-pt shot from 3 ft
5:41.0,C. McCollum makes 2-pt shot from 19 ft,2,20-24,,
5:37.0,,,20-24,,Turnover by S. Curry (bad pass)
5:37.0,,,20-24,,Golden State full timeout
5:37.0,,,20-24,,J. McGee enters the game for Z. Pachulia
5:37.0,E. Turner enters the game for A. Crabbe,,20-24,,
5:22.0,Turnover by E. Turner (bad pass; steal by J. McGee),,20-24,,
5:12.0,,,20-24,,I. Clark misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by A. Aminu,,20-24,,
5:03.0,,,20-24,,Personal foul by I. Clark (drawn by M. Harkless)
5:03.0,,,20-24,,A. Iguodala enters the game for K. Durant
4:52.0,M. Harkless makes 3-pt shot from 26 ft (assist by A. Aminu),3,23-24,,
4:32.0,,,23-24,,P. McCaw enters the game for I. Clark
4:32.0,P. Connaughton enters the game for M. Harkless,,23-24,,
4:32.0,M. Leonard enters the game for M. Plumlee,,23-24,,
4:27.0,,,23-24,,S. Curry misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by C. McCollum,,23-24,,
4:17.0,C. McCollum misses 3-pt shot from 24 ft,,23-24,,
4:16.0,,,23-24,,Defensive rebound by S. Curry
3:56.0,,,23-24,,J. McGee misses 2-pt shot from 7 ft
3:54.0,,,23-24,,Offensive rebound by P. McCaw
3:52.0,,,23-24,,D. Green misses 3-pt shot from 27 ft
3:50.0,Defensive rebound by A. Aminu,,23-24,,
