time,New York,pts.away,score,pts.home,LA Lakers
1:37.0,,,111-101,,Shooting foul by K. Porzingis
1:37.0,,,111-102,1,L. Williams makes free throw 1 of 3
1:37.0,,,111-103,1,L. Williams makes free throw 2 of 3
1:37.0,,,111-104,1,L. Williams makes free throw 3 of 3
1:33.0,Turnover by C. Anthony (lost ball; steal by L. Williams),,111-104,,
1:30.0,,,111-106,2,J. Randle makes 2-pt shot from 3 ft (assist by L. Williams)
1:24.0,,,111-106,,Personal foul by J. Randle (drawn by B. Jennings)
1:24.0,B. Jennings makes free throw 1 of 2,1,112-106,,
1:24.0,B. Jennings makes free throw 2 of 2,1,113-106,,
1:24.0,,,113-106,,LA Lakers full timeout
1:16.0,,,113-106,,Shooting foul by K. Porzingis (drawn by J. Randle)
1:16.0,,,113-106,,J. Randle misses free throw 1 of 2
1:16.0,,,113-106,,Offensive rebound by Team
1:16.0,,,113-107,1,J. Randle makes free throw 2 of 2
1:16.0,New York full timeout,,113-107,,
0:53.0,B. Jennings misses 2-pt shot from 4 ft,,113-107,,
0:52.0,Offensive rebound by Team,,113-107,,
0:52.0,Turnover by Team (shot clock),,113-107,,
0:40.0,,,113-107,,B. Ingram misses 2-pt shot from 17 ft
0:40.0,,,113-107,,Offensive rebound by J. Clarkson
0:40.0,,,113-109,2,J. Clarkson makes 2-pt shot from 1 ft
0:19.0,D. Rose makes 2-pt shot from 10 ft,2,115-109,,
0:19.0,,,115-109,,LA Lakers full timeout
0:19.0,,,115-109,,N. Young enters the game for J. Clarkson
0:19.0,,,115-109,,N. Young misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by K. Porzingis,,115-109,,
0:13.0,,,115-109,,Personal take foul by J. Randle (drawn by C. Anthony)
0:13.0,C. Anthony misses free throw 1 of 2,,115-109,,
0:13.0,Offensive rebound by Team,,115-109,,
0:13.0,C. Anthony makes free throw 2 of 2,1,116-109,,
0:13.0,,,116-109,,LA Lakers full timeout
0:11.0,,,116-112,3,L. Williams makes 3-pt shot from 28 ft (assist by L. Deng)
0:09.0,,,116-112,,Personal take foul by B. Ingram (drawn by C. Lee)
0:09.0,C. Lee makes free throw 1 of 2,1,117-112,,
0:09.0,C. Lee makes free throw 2 of 2,1,118-112,,
0:09.0,,,116-112,,J. Clarkson enters the game for B. Ingram
0:05.0,,,118-112,,L. Williams misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by C. Anthony,,118-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
