time,New York,pts.away,score,pts.home,LA Lakers
1:17.0,,,28-26,,Shooting foul by W. Hernangomez (drawn by J. Randle)
1:17.0,,,28-27,1,J. Randle makes free throw 1 of 1
1:00.0,J. Holiday makes 2-pt shot from 14 ft,2,30-27,,
0:51.0,,,30-30,3,B. Ingram makes 3-pt shot from 25 ft
0:37.0,J. Holiday makes 2-pt shot from 15 ft (assist by C. Anthony),2,32-30,,
0:32.0,,,32-30,,L. Williams misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by W. Hernangomez,,32-30,,
0:16.0,Turnover by C. Anthony (bad pass; steal by L. Williams),,32-30,,
0:03.0,,,32-30,,L. Williams misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by J. Holiday,,32-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-32,2,L. Williams makes 2-pt shot at rim (assist by L. Nance)
11:21.0,C. Anthony misses 2-pt shot from 2 ft,,32-32,,
11:20.0,,,32-32,,Defensive rebound by T. Robinson
11:06.0,,,32-32,,B. Ingram misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by W. Hernangomez,,32-32,,
10:50.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Anthony),2,34-32,,
10:21.0,,,34-32,,J. Clarkson misses 2-pt shot from 14 ft
10:20.0,Defensive rebound by W. Hernangomez,,34-32,,
10:20.0,K. Porzingis enters the game for C. Anthony,,34-32,,
10:03.0,W. Hernangomez misses 3-pt shot from 24 ft,,34-32,,
10:02.0,Offensive rebound by K. Porzingis,,34-32,,
9:57.0,B. Jennings misses 3-pt shot from 24 ft,,34-32,,
9:55.0,Offensive rebound by K. Porzingis,,34-32,,
9:54.0,Shooting foul by T. Robinson (drawn by K. Porzingis),,34-32,,
9:54.0,K. Porzingis misses free throw 1 of 2,,34-32,,
9:54.0,Offensive rebound by Team,,34-32,,
9:54.0,K. Porzingis makes free throw 2 of 2,1,35-32,,
9:44.0,,,35-34,2,L. Nance makes 2-pt shot from 21 ft (assist by J. Clarkson)
9:33.0,Shooting foul by T. Robinson (drawn by B. Jennings),,35-34,,
9:33.0,B. Jennings makes free throw 1 of 2,1,36-34,,
9:33.0,B. Jennings makes free throw 2 of 2,1,37-34,,
9:21.0,,,37-36,2,L. Williams makes 2-pt shot from 1 ft (assist by L. Nance)
9:10.0,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings),3,40-36,,
9:01.0,,,40-36,,Shooting foul by W. Hernangomez
9:01.0,,,40-37,1,L. Williams makes free throw 1 of 2
9:01.0,,,40-38,1,L. Williams makes free throw 2 of 2
8:41.0,W. Hernangomez makes 2-pt shot from 3 ft,2,42-38,,
8:26.0,,,42-40,2,T. Robinson makes 2-pt shot from 3 ft (assist by L. Nance)
8:13.0,J. Holiday misses 3-pt shot from 25 ft,,42-40,,
8:13.0,Offensive rebound by Team,,42-40,,
8:13.0,,,42-40,,Loose ball foul by J. Clarkson (drawn by K. Porzingis)
8:13.0,Official timeout,,42-40,,
8:13.0,D. Rose enters the game for J. Holiday,,42-40,,
7:59.0,W. Hernangomez misses 2-pt shot from 3 ft,,42-40,,
7:56.0,,,42-40,,Defensive rebound by L. Williams
7:43.0,,,42-40,,B. Ingram misses 2-pt shot from 3 ft (block by W. Hernangomez)
7:41.0,Defensive rebound by W. Hernangomez,,42-40,,
7:40.0,Shooting foul by L. Williams (drawn by D. Rose),,42-40,,
7:40.0,D. Rose misses free throw 1 of 2,,42-40,,
7:40.0,Offensive rebound by Team,,42-40,,
7:40.0,D. Rose makes free throw 2 of 2,1,43-40,,
7:15.0,,,43-40,,B. Ingram misses 3-pt shot from 25 ft
7:14.0,,,43-40,,Offensive rebound by L. Nance
7:07.0,,,43-40,,T. Robinson misses 2-pt shot at rim
7:03.0,Defensive rebound by K. Porzingis,,43-40,,
6:59.0,K. Porzingis misses 2-pt shot from 20 ft,,43-40,,
6:56.0,,,43-40,,Defensive rebound by T. Robinson
6:50.0,,,43-42,2,L. Williams makes 2-pt shot from 2 ft
6:40.0,,,43-42,,J. Randle enters the game for T. Robinson
6:40.0,,,43-42,,D. Russell enters the game for J. Clarkson
6:40.0,C. Lee enters the game for L. Thomas,,43-42,,
6:39.0,Shooting foul by L. Nance (drawn by K. Porzingis),,43-42,,
6:39.0,K. Porzingis makes free throw 1 of 2,1,44-42,,
6:39.0,K. Porzingis makes free throw 2 of 2,1,45-42,,
6:39.0,,,44-42,,L. Deng enters the game for D. Russell
6:24.0,,,45-42,,L. Williams misses 3-pt shot from 28 ft
