time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. C. Capela (K. Leonard gains possession),,,,Jump ball: L. Aldridge vs. C. Capela (K. Leonard gains possession)
11:38.0,,,0-2,2,K. Leonard makes 2-pt shot from 15 ft (assist by D. Green)
11:25.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,2-2,,
11:03.0,,,2-2,,T. Parker misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by R. Anderson,,2-2,,
10:47.0,J. Harden makes 3-pt shot from 24 ft,3,5-2,,
10:40.0,,,5-2,,San Antonio full timeout
10:34.0,,,5-2,,Shooting foul by C. Capela (drawn by D. Lee)
10:34.0,,,5-2,,D. Lee misses free throw 1 of 2
10:34.0,,,5-2,,Offensive rebound by Team
10:34.0,,,5-2,,D. Lee misses free throw 2 of 2
10:33.0,Defensive rebound by C. Capela,,5-2,,
10:23.0,Turnover by J. Harden (bad pass; steal by L. Aldridge),,5-2,,
10:17.0,,,5-4,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
10:06.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,8-4,,
9:48.0,,,8-4,,D. Green misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by C. Capela,,8-4,,
9:33.0,R. Anderson misses 3-pt shot from 26 ft,,8-4,,
9:31.0,,,8-4,,Defensive rebound by Team
9:17.0,,,8-4,,L. Aldridge misses 2-pt shot from 20 ft
9:16.0,Defensive rebound by T. Ariza,,8-4,,
9:07.0,Shooting foul by D. Green (drawn by J. Harden),,8-4,,
9:07.0,J. Harden makes free throw 1 of 3,1,9-4,,
9:07.0,J. Harden makes free throw 2 of 3,1,10-4,,
9:07.0,J. Harden makes free throw 3 of 3,1,11-4,,
9:07.0,,,10-4,,M. Ginobili enters the game for D. Green
8:47.0,,,11-6,2,M. Ginobili makes 2-pt shot from 10 ft (assist by T. Parker)
8:27.0,J. Harden makes 2-pt shot from 2 ft,2,13-6,,
8:15.0,,,13-6,,T. Parker misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by C. Capela,,13-6,,
7:56.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,15-6,,
7:55.0,,,15-6,,San Antonio full timeout
7:55.0,,,15-6,,P. Gasol enters the game for D. Lee
7:29.0,,,15-6,,K. Leonard misses 3-pt shot from 30 ft
7:28.0,,,15-6,,Offensive rebound by P. Gasol
7:28.0,,,15-8,2,P. Gasol makes 2-pt shot from 2 ft
7:13.0,T. Ariza misses 3-pt shot from 25 ft,,15-8,,
7:12.0,,,15-8,,Defensive rebound by T. Parker
6:58.0,,,15-8,,M. Ginobili misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by P. Beverley,,15-8,,
