time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. C. Zeller (T. Young gains possession),,,,Jump ball: M. Turner vs. C. Zeller (T. Young gains possession)
11:43.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague),2,2-0,,
11:28.0,,,2-2,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
11:15.0,J. Teague makes 3-pt shot from 25 ft (assist by T. Young),3,5-2,,
10:56.0,,,5-4,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
10:34.0,P. George misses 2-pt shot from 2 ft,,5-4,,
10:32.0,,,5-4,,Defensive rebound by M. Williams
10:21.0,,,5-7,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
10:12.0,Offensive charge foul by P. George,,5-7,,
10:12.0,Turnover by P. George (offensive foul),,5-7,,
9:59.0,,,5-7,,Shooting foul by T. Young (drawn by M. Kidd-Gilchrist)
9:59.0,,,5-8,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:59.0,,,5-9,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:43.0,Turnover by M. Ellis (lost ball; steal by N. Batum),,5-9,,
9:36.0,,,5-11,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
9:19.0,M. Ellis makes 3-pt shot from 23 ft (assist by P. George),3,8-11,,
9:06.0,,,8-11,,M. Williams misses 2-pt shot from 1 ft (block by M. Turner)
9:06.0,,,8-11,,Offensive rebound by Team
9:00.0,,,8-13,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
8:51.0,Turnover by J. Teague (lost ball; steal by N. Batum),,8-13,,
8:42.0,,,8-16,3,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum)
8:29.0,M. Turner makes 2-pt shot from 17 ft (assist by P. George),2,10-16,,
8:16.0,,,10-18,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
8:05.0,Turnover by M. Ellis (bad pass; steal by M. Kidd-Gilchrist),,10-18,,
8:05.0,Clear path foul by M. Ellis,,10-18,,
8:05.0,,,10-19,1,M. Kidd-Gilchrist makes clear path free throw 1 of 2
8:05.0,,,10-20,1,M. Kidd-Gilchrist makes clear path free throw 2 of 2
7:55.0,,,10-22,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
7:38.0,M. Ellis makes 2-pt shot from 17 ft (assist by J. Teague),2,12-22,,
7:26.0,,,12-22,,K. Walker misses 2-pt shot from 1 ft (block by M. Turner)
7:26.0,,,12-22,,Offensive rebound by Team
7:19.0,,,12-25,3,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
7:01.0,T. Young misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,12-25,,
7:00.0,,,12-25,,Defensive rebound by N. Batum
6:51.0,,,12-27,2,M. Williams makes 2-pt shot from 8 ft
6:47.0,Indiana full timeout,,12-27,,
6:37.0,P. George misses 3-pt shot from 24 ft,,12-27,,
6:36.0,,,12-27,,Defensive rebound by N. Batum
6:30.0,,,12-29,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
