time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. C. Zeller (L. Babbitt gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (L. Babbitt gains possession)
11:46.0,,,0-0,,R. McGruder misses 3-pt shot from 24 ft
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,Jump ball: H. Whiteside vs. C. Zeller (N. Batum gains possession),,,,Jump ball: H. Whiteside vs. C. Zeller (N. Batum gains possession)
11:26.0,C. Zeller misses 2-pt shot from 19 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by L. Babbitt
11:16.0,,,0-0,,Turnover by G. Dragic (bad pass; steal by N. Batum)
11:10.0,C. Zeller makes 2-pt shot from 2 ft,2,2-0,,
10:56.0,,,2-0,,L. Babbitt misses 3-pt shot from 25 ft
10:55.0,,,2-0,,Offensive rebound by H. Whiteside
10:48.0,,,2-0,,H. Whiteside misses 2-pt shot from 7 ft
10:47.0,Defensive rebound by K. Walker,,2-0,,
10:37.0,K. Walker misses 2-pt shot from 1 ft,,2-0,,
10:36.0,,,2-0,,Defensive rebound by H. Whiteside
10:21.0,,,2-3,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
10:07.0,N. Batum misses 2-pt shot from 2 ft (block by H. Whiteside),,2-3,,
10:06.0,,,2-3,,Defensive rebound by L. Babbitt
10:01.0,,,2-3,,G. Dragic misses 2-pt shot from 2 ft (block by C. Zeller)
10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2-3,,
9:46.0,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams),2,4-3,,
9:30.0,,,4-3,,D. Waiters misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by M. Williams,,4-3,,
9:21.0,K. Walker misses 3-pt shot from 25 ft,,4-3,,
9:20.0,,,4-3,,Defensive rebound by D. Waiters
9:11.0,,,4-5,2,D. Waiters makes 2-pt shot from 2 ft
8:53.0,N. Batum misses 3-pt shot from 24 ft,,4-5,,
8:52.0,,,4-5,,Defensive rebound by L. Babbitt
8:42.0,,,4-5,,Turnover by R. McGruder (step out of bounds)
8:42.0,,,4-5,,T. Johnson enters the game for G. Dragic
8:25.0,K. Walker misses 2-pt shot from 1 ft,,4-5,,
8:24.0,,,4-5,,Defensive rebound by L. Babbitt
8:09.0,,,4-5,,T. Johnson misses 3-pt shot from 25 ft
8:08.0,,,4-5,,Offensive rebound by H. Whiteside
8:06.0,,,4-7,2,H. Whiteside makes 2-pt shot from 2 ft
8:06.0,,,4-7,,Shooting foul by C. Zeller (drawn by H. Whiteside)
8:06.0,,,4-8,1,H. Whiteside makes free throw 1 of 1
7:50.0,N. Batum misses 2-pt shot from 17 ft,,4-8,,
7:49.0,,,4-8,,Defensive rebound by H. Whiteside
7:39.0,,,4-8,,Turnover by T. Johnson (bad pass; steal by N. Batum)
7:28.0,M. Williams makes 2-pt shot from 10 ft,2,6-8,,
7:10.0,,,6-8,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Waiters)
7:10.0,,,6-8,,D. Waiters misses free throw 1 of 2
7:10.0,,,6-8,,Offensive rebound by Team
7:10.0,,,6-9,1,D. Waiters makes free throw 2 of 2
7:10.0,J. Lamb enters the game for M. Williams,,6-8,,
7:02.0,,,6-9,,Personal foul by D. Waiters (drawn by J. Lamb)
6:47.0,N. Batum misses 2-pt shot from 8 ft,,6-9,,
6:46.0,,,6-9,,Defensive rebound by H. Whiteside
6:39.0,,,6-9,,D. Waiters misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by M. Kidd-Gilchrist,,6-9,,
6:34.0,,,6-9,,Personal foul by D. Waiters (drawn by M. Kidd-Gilchrist)
6:34.0,,,6-9,,J. Richardson enters the game for D. Waiters
6:22.0,N. Batum makes 2-pt shot from 12 ft,2,8-9,,
6:22.0,Shooting foul by R. McGruder (drawn by N. Batum),,8-9,,
6:22.0,N. Batum makes free throw 1 of 1,1,9-9,,
6:07.0,,,9-9,,J. Richardson misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
6:06.0,Defensive rebound by N. Batum,,9-9,,
5:49.0,K. Walker misses 3-pt shot from 25 ft,,9-9,,
5:48.0,,,9-9,,Defensive rebound by Team
5:48.0,,,9-9,,Miami full timeout
5:36.0,,,9-9,,T. Johnson misses 2-pt shot from 17 ft
5:35.0,Defensive rebound by C. Zeller,,9-9,,
5:19.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,11-9,,
4:59.0,,,11-9,,R. McGruder misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by N. Batum,,11-9,,
4:45.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,11-9,,
4:44.0,,,11-9,,Defensive rebound by H. Whiteside
4:28.0,,,11-11,2,R. McGruder makes 2-pt shot from 2 ft
4:01.0,J. Lamb makes 2-pt shot from 15 ft (assist by C. Zeller),2,13-11,,
3:41.0,Personal foul by N. Batum (drawn by L. Babbitt),,13-11,,
3:41.0,M. Williams enters the game for M. Kidd-Gilchrist,,13-11,,
3:41.0,B. Roberts enters the game for K. Walker,,13-11,,
3:41.0,,,13-11,,W. Ellington enters the game for R. McGruder
3:41.0,,,13-11,,J. Johnson enters the game for L. Babbitt
3:29.0,,,13-11,,W. Ellington misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by B. Roberts,,13-11,,
3:17.0,B. Roberts misses 2-pt shot from 5 ft,,13-11,,
3:16.0,,,13-11,,Defensive rebound by J. Johnson
3:12.0,,,13-11,,Turnover by T. Johnson (lost ball; steal by B. Roberts)
2:55.0,J. Lamb makes 2-pt shot from 5 ft (assist by B. Roberts),2,15-11,,
2:41.0,,,15-11,,J. Johnson misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by M. Williams,,15-11,,
2:27.0,Shooting foul by T. Johnson (drawn by M. Williams),,15-11,,
2:27.0,Charlotte full timeout,,15-11,,
2:27.0,M. Williams makes free throw 1 of 2,1,16-11,,
2:27.0,M. Williams makes free throw 2 of 2,1,17-11,,
2:27.0,J. O'Bryant enters the game for C. Zeller,,15-11,,
2:27.0,,,15-11,,G. Dragic enters the game for T. Johnson
2:11.0,,,17-11,,J. Richardson misses 2-pt shot from 19 ft
2:10.0,Defensive rebound by J. Lamb,,17-11,,
1:47.0,J. Lamb misses 2-pt shot from 7 ft (block by H. Whiteside),,17-11,,
1:46.0,Offensive rebound by N. Batum,,17-11,,
1:41.0,Turnover by N. Batum (bad pass; steal by J. Richardson),,17-11,,
1:38.0,,,17-13,2,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
1:23.0,N. Batum makes 2-pt shot from 1 ft (assist by J. O'Bryant),2,19-13,,
0:59.0,,,19-13,,J. Johnson misses 2-pt shot from 5 ft
0:58.0,Defensive rebound by J. Lamb,,19-13,,
0:51.0,,,19-13,,Personal foul by W. Ellington (drawn by M. Williams)
0:51.0,M. Williams misses free throw 1 of 2,,19-13,,
0:51.0,Offensive rebound by Team,,19-13,,
0:51.0,M. Williams makes free throw 2 of 2,1,20-13,,
0:51.0,M. Belinelli enters the game for N. Batum,,19-13,,
0:51.0,,,19-13,,W. Reed enters the game for H. Whiteside
0:37.0,,,20-15,2,J. Johnson makes 2-pt shot from 1 ft
0:32.0,B. Roberts makes 2-pt shot from 19 ft,2,22-15,,
0:17.0,,,22-15,,Shooting foul by B. Roberts (drawn by G. Dragic)
0:17.0,,,22-16,1,G. Dragic makes free throw 1 of 3
0:17.0,,,22-17,1,G. Dragic makes free throw 2 of 3
0:17.0,,,22-18,1,G. Dragic makes free throw 3 of 3
0:01.0,M. Williams misses 2-pt shot from 9 ft,,22-18,,
0:00.0,Offensive rebound by Team,,22-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by J. Lamb (bad pass; steal by J. Johnson),,22-18,,
11:39.0,,,22-20,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson)
11:31.0,Flagrant foul type 1 by M. Williams (drawn by J. Richardson),,22-20,,
11:31.0,Turnover by M. Williams (offensive foul),,22-20,,
11:31.0,,,22-21,1,J. Richardson makes flagrant free throw 1 of 2
