time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,A. Bradley misses 2-pt shot from 22 ft
12:00.0,Jump ball: C. Frye vs. A. Johnson (A. Horford gains possession),,,,Jump ball: C. Frye vs. A. Johnson (A. Horford gains possession)
11:45.0,,,0-0,,Offensive rebound by A. Horford
11:43.0,,,0-0,,Turnover by A. Horford (lost ball; steal by J. Smith)
11:34.0,J. Smith misses 3-pt shot from 24 ft,,0-0,,
11:32.0,Offensive rebound by C. Frye,,0-0,,
11:28.0,K. Irving misses 2-pt shot from 16 ft,,0-0,,
11:27.0,Offensive rebound by K. Love,,0-0,,
11:14.0,Shooting foul by J. Crowder (drawn by C. Frye),,0-0,,
11:14.0,C. Frye makes free throw 1 of 2,1,1-0,,
11:14.0,C. Frye makes free throw 2 of 2,1,2-0,,
11:03.0,,,2-0,,Turnover by I. Thomas (lost ball; steal by C. Frye)
10:55.0,J. Smith misses 3-pt shot from 23 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by I. Thomas
10:46.0,,,2-0,,A. Bradley misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by K. Love,,2-0,,
10:38.0,K. Irving makes 2-pt shot from 2 ft,2,4-0,,
10:38.0,,,4-0,,Boston full timeout
10:23.0,,,4-3,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
10:00.0,C. Frye misses 3-pt shot from 25 ft,,4-3,,
9:59.0,Offensive rebound by Team,,4-3,,
9:49.0,L. James misses 2-pt shot from 21 ft,,4-3,,
9:48.0,Offensive rebound by K. Love,,4-3,,
9:29.0,K. Love misses 2-pt shot from 18 ft,,4-3,,
9:28.0,,,4-3,,Defensive rebound by A. Bradley
9:13.0,,,4-3,,Shooting foul by C. Frye (drawn by A. Bradley)
9:13.0,,,4-4,1,A. Bradley makes free throw 1 of 2
9:13.0,,,4-4,,A. Bradley misses free throw 2 of 2
9:13.0,Defensive rebound by K. Love,,4-4,,
8:57.0,L. James makes 2-pt shot from 1 ft,2,6-4,,
8:40.0,,,6-4,,A. Horford misses 2-pt shot from 4 ft
8:38.0,,,6-4,,Offensive rebound by A. Bradley
8:31.0,,,6-4,,J. Crowder misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by C. Frye,,6-4,,
8:23.0,,,6-4,,Personal foul by A. Bradley (drawn by K. Love)
8:12.0,K. Irving misses 2-pt shot from 2 ft,,6-4,,
8:10.0,Offensive rebound by J. Smith,,6-4,,
8:06.0,C. Frye misses 3-pt shot from 24 ft,,6-4,,
8:05.0,,,6-4,,Defensive rebound by A. Johnson
7:55.0,,,6-4,,A. Bradley misses 2-pt shot from 1 ft (block by J. Smith)
7:54.0,Defensive rebound by K. Love,,6-4,,
7:48.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,9-4,,
7:37.0,Personal foul by J. Smith,,9-4,,
7:30.0,,,9-4,,A. Horford misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by L. James,,9-4,,
7:17.0,K. Love misses 3-pt shot from 25 ft,,9-4,,
7:16.0,Offensive rebound by C. Frye,,9-4,,
7:07.0,Turnover by C. Frye (bad pass),,9-4,,
7:02.0,,,9-4,,I. Thomas misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by L. James,,9-4,,
6:54.0,K. Irving misses 3-pt shot from 25 ft,,9-4,,
6:53.0,Offensive rebound by L. James,,9-4,,
6:51.0,Shooting foul by A. Johnson (drawn by K. Irving),,9-4,,
6:51.0,K. Irving makes free throw 1 of 2,1,10-4,,
6:51.0,K. Irving makes free throw 2 of 2,1,11-4,,
6:38.0,Violation by J. Smith (kicked ball),,11-4,,
6:34.0,,,11-7,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
6:14.0,C. Frye misses 3-pt shot from 24 ft,,11-7,,
6:13.0,Offensive rebound by K. Love,,11-7,,
6:12.0,K. Love misses 2-pt shot from 2 ft,,11-7,,
6:11.0,,,11-7,,Defensive rebound by A. Horford
6:03.0,,,11-7,,J. Crowder misses 2-pt shot from 19 ft
6:03.0,,,11-7,,Offensive rebound by A. Bradley
5:59.0,,,11-9,2,I. Thomas makes 2-pt shot from 4 ft (assist by A. Bradley)
5:38.0,K. Love makes 2-pt shot from 9 ft,2,13-9,,
5:22.0,,,13-11,2,A. Johnson makes 2-pt shot from 4 ft (assist by A. Horford)
5:03.0,K. Love makes 2-pt shot from 4 ft,2,15-11,,
4:52.0,,,15-11,,I. Thomas misses 2-pt shot from 3 ft (block by K. Irving)
4:51.0,,,15-11,,Offensive rebound by Team
4:51.0,,,15-11,,M. Smart enters the game for A. Johnson
4:51.0,I. Shumpert enters the game for C. Frye,,15-11,,
4:46.0,,,15-11,,I. Thomas misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by K. Love,,15-11,,
4:22.0,K. Love misses 2-pt shot from 23 ft,,15-11,,
4:21.0,,,15-11,,Defensive rebound by I. Thomas
4:11.0,,,15-11,,M. Smart misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by L. James,,15-11,,
4:04.0,L. James makes 2-pt shot from 1 ft,2,17-11,,
3:51.0,,,17-11,,Offensive foul by J. Crowder
3:51.0,,,17-11,,Turnover by J. Crowder (offensive foul)
3:51.0,,,17-11,,J. Brown enters the game for A. Bradley
3:37.0,K. Irving misses 3-pt shot from 28 ft,,17-11,,
3:36.0,,,17-11,,Defensive rebound by Team
3:22.0,,,17-11,,J. Brown misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by K. Love,,17-11,,
3:03.0,K. Love misses 2-pt shot from 13 ft,,17-11,,
3:02.0,,,17-11,,Defensive rebound by J. Brown
2:54.0,,,17-13,2,I. Thomas makes 2-pt shot from 3 ft
2:54.0,,,17-13,,Shooting foul by K. Love (drawn by I. Thomas)
2:54.0,Cleveland full timeout,,17-13,,
2:54.0,,,17-13,,I. Thomas misses free throw 1 of 1
2:54.0,Defensive rebound by C. Frye,,17-13,,
2:54.0,D. Williams enters the game for L. James,,17-13,,
2:54.0,C. Frye enters the game for K. Love,,17-13,,
2:54.0,R. Jefferson enters the game for J. Smith,,17-13,,
2:54.0,,,17-13,,J. Jerebko enters the game for J. Crowder
2:36.0,K. Irving makes 2-pt shot from 5 ft,2,19-13,,
2:13.0,,,19-15,2,A. Horford makes 2-pt shot from 9 ft
1:55.0,K. Irving misses 2-pt shot from 22 ft,,19-15,,
1:54.0,,,19-15,,Defensive rebound by I. Thomas
1:48.0,,,19-17,2,I. Thomas makes 2-pt shot from 2 ft
1:48.0,,,19-17,,Shooting foul by K. Irving (drawn by I. Thomas)
1:48.0,,,19-18,1,I. Thomas makes free throw 1 of 1
1:48.0,,,19-17,,K. Olynyk enters the game for A. Horford
1:29.0,I. Shumpert misses 3-pt shot from 24 ft,,19-18,,
1:28.0,,,19-18,,Defensive rebound by Team
