time,San Antonio,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Okafor (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. J. Okafor (T. Parker gains possession)
11:37.0,L. Aldridge makes 2-pt shot from 18 ft,2,2-0,,
11:15.0,,,2-0,,E. Ilyasova misses 2-pt shot from 19 ft
11:14.0,Defensive rebound by L. Aldridge,,2-0,,
10:54.0,D. Dedmon makes 2-pt shot at rim (assist by T. Parker),2,4-0,,
10:38.0,,,4-0,,Turnover by Team (back court)
10:29.0,Turnover by D. Green (bad pass; steal by E. Ilyasova),,4-0,,
10:18.0,,,4-2,2,J. Okafor makes 2-pt shot from 4 ft (assist by R. Covington)
9:55.0,Shooting foul by J. Okafor (drawn by D. Dedmon),,4-2,,
9:55.0,D. Dedmon makes free throw 1 of 2,1,5-2,,
9:55.0,D. Dedmon makes free throw 2 of 2,1,6-2,,
9:37.0,,,6-2,,T. McConnell misses 2-pt shot from 10 ft
9:35.0,,,6-2,,Offensive rebound by J. Okafor
9:35.0,,,6-2,,J. Okafor misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by D. Dedmon,,6-2,,
9:20.0,K. Leonard misses 3-pt shot from 26 ft,,6-2,,
9:18.0,,,6-2,,Defensive rebound by G. Henderson
9:12.0,,,6-2,,Turnover by G. Henderson (lost ball; steal by D. Green)
9:05.0,D. Green misses 3-pt shot from 24 ft,,6-2,,
9:01.0,,,6-2,,Defensive rebound by R. Covington
8:58.0,,,6-2,,G. Henderson misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by D. Dedmon,,6-2,,
8:42.0,Turnover by L. Aldridge (lost ball; steal by T. McConnell),,6-2,,
8:26.0,,,6-2,,J. Okafor misses 2-pt shot from 5 ft
8:26.0,,,6-2,,Offensive rebound by Team
8:11.0,,,6-4,2,T. McConnell makes 2-pt shot from 15 ft
8:10.0,San Antonio full timeout,,6-4,,
7:53.0,T. Parker makes 2-pt shot from 8 ft,2,8-4,,
7:39.0,,,8-4,,E. Ilyasova misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by L. Aldridge,,8-4,,
7:28.0,L. Aldridge misses 3-pt shot from 25 ft,,8-4,,
7:27.0,,,8-4,,Defensive rebound by E. Ilyasova
7:16.0,,,8-4,,R. Covington misses 3-pt shot from 29 ft
7:15.0,Defensive rebound by L. Aldridge,,8-4,,
7:00.0,T. Parker makes 2-pt shot from 14 ft,2,10-4,,
6:45.0,,,10-4,,Shooting foul by D. Dedmon (drawn by J. Okafor)
6:45.0,,,10-5,1,J. Okafor makes free throw 1 of 2
6:45.0,,,10-6,1,J. Okafor makes free throw 2 of 2
6:45.0,,,10-5,,N. Stauskas enters the game for G. Henderson
6:28.0,D. Green makes 2-pt shot from 8 ft,2,12-6,,
6:10.0,,,12-8,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
5:56.0,T. Parker makes 2-pt shot from 18 ft,2,14-8,,
5:37.0,,,14-8,,Shooting foul by D. Dedmon (drawn by J. Okafor)
5:37.0,,,14-9,1,J. Okafor makes free throw 1 of 2
5:37.0,,,14-9,,J. Okafor misses free throw 2 of 2
5:37.0,Defensive rebound by Team,,14-9,,
5:37.0,,,14-9,,Loose ball foul by D. Saric (drawn by D. Lee)
5:37.0,P. Mills enters the game for D. Dedmon,,14-9,,
5:37.0,D. Lee enters the game for D. Green,,14-9,,
5:37.0,M. Ginobili enters the game for T. Parker,,14-9,,
5:37.0,,,14-9,,D. Saric enters the game for E. Ilyasova
5:37.0,,,14-9,,N. Noel enters the game for J. Okafor
5:15.0,,,14-9,,Shooting block foul by D. Saric (drawn by L. Aldridge)
5:15.0,L. Aldridge misses free throw 1 of 2,,14-9,,
5:15.0,Offensive rebound by Team,,14-9,,
5:15.0,L. Aldridge makes free throw 2 of 2,1,15-9,,
4:55.0,,,15-9,,N. Noel misses 2-pt shot from 5 ft
4:54.0,Defensive rebound by L. Aldridge,,15-9,,
4:32.0,L. Aldridge makes 2-pt shot from 6 ft,2,17-9,,
