time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. T. Maker,,,,Jump ball: S. Ibaka vs. T. Maker
11:44.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
11:18.0,D. Carroll misses 2-pt shot from 7 ft (block by T. Maker),,0-2,,
11:16.0,,,0-2,,Defensive rebound by G. Antetokounmpo
11:08.0,,,0-2,,Turnover by K. Middleton (bad pass; steal by K. Lowry)
11:04.0,K. Lowry makes 2-pt shot from 1 ft,2,2-2,,
10:58.0,,,2-4,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
10:58.0,,,2-4,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo)
10:58.0,,,2-5,1,G. Antetokounmpo makes free throw 1 of 1
10:44.0,N. Powell misses 2-pt shot from 1 ft (block by T. Maker),,2-5,,
10:42.0,,,2-5,,Defensive rebound by K. Middleton
10:38.0,,,2-5,,Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)
10:38.0,,,2-6,1,G. Antetokounmpo makes free throw 1 of 2
10:38.0,,,2-6,,G. Antetokounmpo misses free throw 2 of 2
10:33.0,Jump ball: G. Antetokounmpo vs. K. Lowry (T. Maker gains possession),,,,Jump ball: G. Antetokounmpo vs. K. Lowry (T. Maker gains possession)
10:33.0,,,2-6,,Offensive rebound by Team
10:21.0,,,2-8,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:12.0,Toronto full timeout,,2-8,,
9:59.0,D. DeRozan makes 2-pt shot at rim,2,4-8,,
9:44.0,,,4-8,,Shooting foul by S. Ibaka (drawn by T. Maker)
9:44.0,,,4-9,1,T. Maker makes free throw 1 of 2
9:44.0,,,4-10,1,T. Maker makes free throw 2 of 2
9:44.0,J. Valanciunas enters the game for S. Ibaka,,4-9,,
9:22.0,D. DeRozan makes 2-pt shot from 2 ft,2,6-10,,
9:01.0,,,6-10,,Turnover by G. Antetokounmpo (bad pass; steal by D. DeRozan)
8:57.0,D. DeRozan misses 2-pt shot at rim (block by T. Maker),,6-10,,
8:54.0,Offensive rebound by K. Lowry,,6-10,,
8:48.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,9-10,,
8:32.0,,,9-10,,T. Maker misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by J. Valanciunas,,9-10,,
8:22.0,K. Lowry misses 3-pt shot from 29 ft,,9-10,,
8:21.0,,,9-10,,Defensive rebound by T. Snell
8:06.0,,,9-12,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon)
7:55.0,Turnover by N. Powell (bad pass; steal by M. Brogdon),,9-12,,
7:55.0,Personal take foul by K. Lowry (drawn by M. Brogdon),,9-12,,
7:35.0,,,9-14,2,M. Brogdon makes 2-pt shot from 4 ft (assist by T. Snell)
7:22.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,11-14,,
7:17.0,,,11-14,,Turnover by M. Brogdon (offensive foul)
7:17.0,,,11-14,,Offensive foul by M. Brogdon
7:17.0,P. Tucker enters the game for D. Carroll,,11-14,,
6:52.0,N. Powell makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,14-14,,
6:40.0,Def 3 sec tech foul by J. Valanciunas,,14-14,,
6:40.0,,,14-15,1,K. Middleton makes technical free throw
6:39.0,,,14-15,,Offensive foul by K. Middleton
6:39.0,,,14-15,,Turnover by K. Middleton (offensive foul)
6:24.0,D. DeRozan misses 3-pt shot from 27 ft,,14-15,,
6:22.0,,,14-15,,Defensive rebound by K. Middleton
6:18.0,Shooting block foul by P. Tucker (drawn by G. Antetokounmpo),,14-15,,
6:18.0,,,14-16,1,G. Antetokounmpo makes free throw 1 of 2
6:18.0,,,14-17,1,G. Antetokounmpo makes free throw 2 of 2
6:18.0,,,14-16,,G. Monroe enters the game for T. Maker
6:01.0,J. Valanciunas misses 2-pt shot from 5 ft,,14-17,,
6:00.0,Offensive rebound by P. Tucker,,14-17,,
5:52.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,16-17,,
5:35.0,,,16-17,,T. Snell misses 2-pt shot from 15 ft
5:33.0,Defensive rebound by J. Valanciunas,,16-17,,
5:19.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,18-17,,
5:19.0,,,18-17,,Milwaukee full timeout
5:19.0,,,18-17,,M. Dellavedova enters the game for M. Brogdon
4:58.0,,,18-20,3,K. Middleton makes 3-pt shot from 24 ft (assist by T. Snell)
4:36.0,D. DeRozan makes 2-pt shot from 9 ft,2,20-20,,
4:16.0,,,20-22,2,G. Antetokounmpo makes 2-pt shot from 3 ft
4:10.0,,,20-22,,Personal foul by G. Monroe (drawn by J. Valanciunas)
3:53.0,Shooting foul by G. Antetokounmpo (drawn by J. Valanciunas),,20-22,,
3:53.0,J. Valanciunas makes free throw 1 of 2,1,21-22,,
3:53.0,J. Valanciunas makes free throw 2 of 2,1,22-22,,
3:46.0,,,22-22,,Turnover by G. Monroe (lost ball)
3:33.0,J. Valanciunas misses 2-pt shot from 2 ft,,22-22,,
3:32.0,,,22-22,,Defensive rebound by G. Monroe
3:18.0,,,22-22,,Turnover by G. Monroe (bad pass; steal by K. Lowry)
3:02.0,J. Valanciunas misses 2-pt shot from 17 ft,,22-22,,
3:01.0,,,22-22,,Defensive rebound by G. Antetokounmpo
2:35.0,,,22-22,,T. Snell misses 2-pt shot from 15 ft
2:34.0,Defensive rebound by J. Valanciunas,,22-22,,
2:24.0,D. DeRozan misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,22-22,,
2:22.0,Offensive rebound by D. DeRozan,,22-22,,
2:18.0,P. Tucker makes 3-pt shot from 25 ft (assist by D. DeRozan),3,25-22,,
1:51.0,,,25-22,,K. Middleton misses 3-pt shot from 28 ft
1:50.0,Defensive rebound by Team,,25-22,,
1:50.0,,,25-22,,Loose ball foul by G. Monroe (drawn by J. Valanciunas)
1:50.0,C. Joseph enters the game for K. Lowry,,25-22,,
1:50.0,,,25-22,,J. Henson enters the game for G. Monroe
1:29.0,Shooting foul by J. Henson,,25-22,,
1:29.0,P. Tucker makes free throw 1 of 2,1,26-22,,
1:29.0,P. Tucker misses free throw 2 of 2,,26-22,,
1:29.0,,,26-22,,Defensive rebound by J. Henson
1:29.0,P. Patterson enters the game for N. Powell,,26-22,,
1:13.0,,,26-22,,M. Dellavedova misses 3-pt shot from 28 ft
1:12.0,Defensive rebound by J. Valanciunas,,26-22,,
1:07.0,Turnover by P. Tucker (bad pass),,26-22,,
1:01.0,,,26-24,2,K. Middleton makes 2-pt shot from 9 ft
0:43.0,Turnover by P. Tucker (bad pass; steal by G. Antetokounmpo),,26-24,,
