time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Towns (T. Parker gains possession),,,,Jump ball: P. Gasol vs. K. Towns (T. Parker gains possession)
11:37.0,,,0-0,,L. Aldridge misses 2-pt shot from 10 ft
11:35.0,Defensive rebound by Z. LaVine,,0-0,,
11:22.0,R. Rubio misses 2-pt shot from 20 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by P. Gasol
11:10.0,,,0-0,,L. Aldridge misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by K. Towns,,0-0,,
11:05.0,Shooting foul by T. Parker (drawn by R. Rubio),,0-0,,
11:05.0,R. Rubio makes 2-pt shot from 2 ft,2,2-0,,
11:05.0,R. Rubio makes free throw 1 of 1,1,3-0,,
10:49.0,,,3-2,2,K. Leonard makes 2-pt shot from 2 ft
10:36.0,Turnover by G. Dieng (bad pass),,3-2,,
10:14.0,,,3-4,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol)
9:54.0,G. Dieng makes 2-pt shot from 3 ft (assist by R. Rubio),2,5-4,,
9:39.0,,,5-6,2,T. Parker makes 2-pt shot from 1 ft
9:26.0,Z. LaVine misses 3-pt shot from 26 ft,,5-6,,
9:24.0,Offensive rebound by K. Towns,,5-6,,
9:18.0,G. Dieng misses 2-pt shot from 18 ft,,5-6,,
9:17.0,,,5-6,,Defensive rebound by K. Leonard
8:59.0,,,5-8,2,P. Gasol makes 2-pt shot from 18 ft (assist by T. Parker)
8:41.0,K. Towns misses 2-pt shot from 20 ft,,5-8,,
8:39.0,,,5-8,,Defensive rebound by P. Gasol
8:27.0,,,5-8,,L. Aldridge misses 2-pt shot from 15 ft
8:26.0,Defensive rebound by G. Dieng,,5-8,,
8:14.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,7-8,,
7:56.0,Personal foul by A. Wiggins (drawn by K. Leonard),,7-8,,
7:48.0,,,7-8,,P. Gasol misses 2-pt shot from 5 ft
7:47.0,Defensive rebound by K. Towns,,7-8,,
7:32.0,K. Towns misses 2-pt shot from 7 ft,,7-8,,
7:31.0,,,7-8,,Defensive rebound by K. Leonard
7:26.0,,,7-10,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
7:04.0,A. Wiggins misses 2-pt shot from 17 ft,,7-10,,
7:03.0,,,7-10,,Defensive rebound by D. Green
6:52.0,,,7-10,,L. Aldridge misses 2-pt shot from 2 ft (block by G. Dieng)
6:49.0,,,7-10,,Offensive rebound by P. Gasol
6:44.0,,,7-10,,K. Leonard misses 2-pt shot from 16 ft
6:43.0,Defensive rebound by K. Towns,,7-10,,
6:30.0,Turnover by A. Wiggins (lost ball; steal by D. Green),,7-10,,
6:25.0,,,7-10,,T. Parker misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by Z. LaVine,,7-10,,
6:15.0,Shooting foul by P. Gasol (drawn by K. Towns),,7-10,,
6:15.0,K. Towns makes free throw 1 of 2,1,8-10,,
6:15.0,K. Towns makes free throw 2 of 2,1,9-10,,
5:56.0,,,9-10,,D. Green misses 2-pt shot from 1 ft (block by G. Dieng)
5:53.0,Defensive rebound by G. Dieng,,9-10,,
5:47.0,Z. LaVine makes 2-pt shot from 4 ft (assist by A. Wiggins),2,11-10,,
5:38.0,,,11-10,,San Antonio full timeout
5:38.0,,,11-10,,P. Mills enters the game for T. Parker
5:38.0,,,11-10,,D. Lee enters the game for P. Gasol
5:38.0,,,11-10,,M. Ginobili enters the game for D. Green
5:38.0,S. Muhammad enters the game for Z. LaVine,,11-10,,
5:27.0,,,11-10,,K. Leonard misses 2-pt shot from 8 ft
5:25.0,,,11-10,,Offensive rebound by K. Leonard
5:11.0,,,11-13,3,M. Ginobili makes 3-pt shot from 24 ft (assist by L. Aldridge)
4:51.0,,,11-13,,Personal foul by M. Ginobili (drawn by K. Towns)
4:45.0,K. Towns makes 2-pt shot from 4 ft (assist by G. Dieng),2,13-13,,
4:26.0,,,13-13,,D. Lee misses 2-pt shot from 7 ft
4:25.0,Defensive rebound by A. Wiggins,,13-13,,
4:06.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,15-13,,
3:45.0,,,15-13,,P. Mills misses 2-pt shot from 19 ft
3:44.0,Defensive rebound by G. Dieng,,15-13,,
3:41.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,17-13,,
3:41.0,,,17-13,,Technical foul by Team
3:41.0,R. Rubio makes technical free throw,1,18-13,,
3:27.0,,,18-16,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
3:13.0,R. Rubio misses 2-pt shot from 2 ft,,18-16,,
3:12.0,,,18-16,,Defensive rebound by L. Aldridge
3:08.0,,,18-16,,Shooting foul by R. Rubio (drawn by D. Lee)
3:08.0,,,18-17,1,D. Lee makes free throw 1 of 2
3:08.0,,,18-18,1,D. Lee makes free throw 2 of 2
3:08.0,,,18-17,,D. Dedmon enters the game for L. Aldridge
3:04.0,Turnover by K. Towns (lost ball),,18-18,,
2:53.0,,,18-20,2,K. Leonard makes 2-pt shot from 9 ft
2:39.0,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio),3,21-20,,
2:24.0,,,21-23,3,P. Mills makes 3-pt shot from 22 ft (assist by M. Ginobili)
2:13.0,R. Rubio makes 2-pt shot from 17 ft,2,23-23,,
2:01.0,,,23-23,,P. Mills misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by A. Wiggins,,23-23,,
1:48.0,K. Towns misses 2-pt shot from 1 ft,,23-23,,
1:46.0,Offensive rebound by K. Towns,,23-23,,
1:46.0,K. Towns misses 2-pt shot from 1 ft,,23-23,,
1:43.0,Offensive rebound by S. Muhammad,,23-23,,
1:26.0,S. Muhammad makes 2-pt shot from 4 ft (assist by R. Rubio),2,25-23,,
1:14.0,,,25-25,2,K. Leonard makes 2-pt shot from 17 ft (assist by D. Lee)
