time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession)
11:41.0,C. Paul makes 2-pt shot from 2 ft,2,2-0,,
11:29.0,Personal foul by J. Redick,,2-0,,
11:17.0,,,2-2,2,H. Barnes makes 2-pt shot from 12 ft
11:04.0,B. Griffin makes 2-pt shot from 18 ft (assist by J. Redick),2,4-2,,
10:45.0,,,4-4,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by W. Matthews)
10:31.0,B. Griffin makes 2-pt shot from 8 ft,2,6-4,,
10:18.0,,,6-4,,W. Matthews misses 2-pt shot from 10 ft
10:17.0,Defensive rebound by D. Jordan,,6-4,,
10:10.0,Shooting foul by W. Matthews,,6-4,,
10:10.0,J. Redick makes free throw 1 of 2,1,7-4,,
10:10.0,J. Redick makes free throw 2 of 2,1,8-4,,
9:59.0,,,8-7,3,S. Curry makes 3-pt shot from 24 ft (assist by W. Matthews)
9:37.0,B. Griffin misses 3-pt shot from 25 ft,,8-7,,
9:36.0,,,8-7,,Defensive rebound by N. Noel
9:24.0,Personal foul by L. Mbah a Moute (drawn by S. Curry),,8-7,,
9:13.0,,,8-9,2,H. Barnes makes 2-pt shot from 7 ft (assist by D. Nowitzki)
8:59.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,10-9,,
8:31.0,,,10-12,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
8:21.0,B. Griffin misses 2-pt shot from 16 ft,,10-12,,
8:20.0,,,10-12,,Defensive rebound by W. Matthews
8:11.0,,,10-12,,D. Nowitzki misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by D. Jordan,,10-12,,
7:59.0,B. Griffin makes 2-pt shot from 3 ft,2,12-12,,
7:30.0,,,12-14,2,S. Curry makes 2-pt shot from 6 ft (assist by D. Nowitzki)
7:14.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by D. Jordan),3,15-14,,
6:59.0,,,15-14,,Turnover by D. Nowitzki (lost ball; steal by C. Paul)
6:48.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,17-14,,
6:47.0,,,17-14,,Dallas full timeout
6:47.0,,,17-14,,J. Barea enters the game for D. Nowitzki
6:32.0,,,17-14,,N. Noel misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by D. Jordan,,17-14,,
6:14.0,B. Griffin misses 2-pt shot from 5 ft (block by N. Noel),,17-14,,
6:13.0,Offensive rebound by Team,,17-14,,
6:06.0,B. Griffin misses 2-pt shot from 18 ft,,17-14,,
6:05.0,,,17-14,,Defensive rebound by N. Noel
5:44.0,,,17-14,,N. Noel misses 2-pt shot from 12 ft
5:43.0,Defensive rebound by C. Paul,,17-14,,
5:33.0,C. Paul misses 2-pt shot from 16 ft,,17-14,,
5:32.0,,,17-14,,Defensive rebound by N. Noel
5:09.0,,,17-14,,H. Barnes misses 2-pt shot from 16 ft
5:08.0,Defensive rebound by C. Paul,,17-14,,
4:51.0,C. Paul makes 2-pt shot from 16 ft (assist by B. Griffin),2,19-14,,
4:37.0,Def 3 sec tech foul by D. Jordan,,19-14,,
4:37.0,,,19-15,1,S. Curry makes technical free throw
4:37.0,J. Crawford enters the game for L. Mbah a Moute,,19-15,,
4:32.0,,,19-18,3,J. Barea makes 3-pt shot from 26 ft
4:13.0,J. Redick misses 3-pt shot from 25 ft,,19-18,,
4:12.0,,,19-18,,Defensive rebound by N. Noel
3:58.0,,,19-20,2,S. Curry makes 2-pt shot from 19 ft (assist by N. Noel)
3:37.0,,,19-20,,Personal foul by J. Barea
3:37.0,A. Rivers enters the game for J. Redick,,19-20,,
3:24.0,Turnover by C. Paul (bad pass; steal by W. Matthews),,19-20,,
3:17.0,,,19-20,,W. Matthews misses 3-pt shot from 24 ft
3:15.0,,,19-20,,Offensive rebound by N. Noel
3:13.0,,,19-22,2,N. Noel makes 2-pt shot from 1 ft
3:06.0,LA Clippers full timeout,,19-22,,
3:06.0,,,19-22,,D. Harris enters the game for N. Noel
3:06.0,,,19-22,,S. Mejri enters the game for S. Curry
2:50.0,A. Rivers misses 2-pt shot from 5 ft (block by S. Mejri),,19-22,,
2:49.0,Offensive rebound by D. Jordan,,19-22,,
2:49.0,Shooting foul by D. Harris (drawn by D. Jordan),,19-22,,
2:49.0,D. Jordan makes free throw 1 of 2,1,20-22,,
2:49.0,D. Jordan makes free throw 2 of 2,1,21-22,,
2:29.0,,,21-22,,W. Matthews misses 2-pt shot from 11 ft
2:28.0,Defensive rebound by D. Jordan,,21-22,,
2:22.0,C. Paul misses 3-pt shot from 25 ft,,21-22,,
2:21.0,,,21-22,,Defensive rebound by D. Harris
2:04.0,,,21-22,,S. Mejri misses 2-pt shot from 8 ft
2:03.0,Defensive rebound by D. Jordan,,21-22,,
1:57.0,B. Griffin misses 2-pt shot from 3 ft,,21-22,,
1:56.0,,,21-22,,Defensive rebound by S. Mejri
1:48.0,,,21-24,2,J. Barea makes 2-pt shot from 4 ft
1:32.0,,,21-24,,Violation by S. Mejri (def goaltending)
1:32.0,J. Crawford makes 2-pt shot from 5 ft,2,23-24,,
1:32.0,Shooting foul by W. Matthews (drawn by J. Crawford),,23-24,,
1:32.0,J. Crawford makes free throw 1 of 1,1,24-24,,
1:32.0,,,23-24,,D. Powell enters the game for H. Barnes
1:32.0,,,23-24,,D. Nowitzki enters the game for W. Matthews
1:32.0,,,23-24,,D. Finney-Smith enters the game for S. Mejri
1:32.0,R. Felton enters the game for D. Jordan,,23-24,,
1:32.0,M. Speights enters the game for C. Paul,,23-24,,
1:16.0,,,24-26,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
0:55.0,B. Griffin misses 2-pt shot from 4 ft,,24-26,,
0:53.0,,,24-26,,Defensive rebound by D. Harris
0:42.0,,,24-26,,D. Finney-Smith misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by R. Felton,,24-26,,
0:35.0,Turnover by B. Griffin (lost ball; steal by D. Nowitzki),,24-26,,
0:30.0,,,24-29,3,D. Harris makes 3-pt shot from 28 ft
0:10.0,A. Rivers misses 3-pt shot from 25 ft,,24-29,,
0:09.0,,,24-29,,Defensive rebound by D. Nowitzki
0:02.0,,,24-29,,J. Barea misses 3-pt shot from 26 ft
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,24-31,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris)
11:26.0,Turnover by R. Felton (bad pass; steal by D. Harris),,24-31,,
11:17.0,,,24-33,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea)
11:16.0,LA Clippers full timeout,,24-33,,
11:09.0,Turnover by R. Felton (traveling),,24-33,,
10:56.0,,,24-33,,Shooting foul by M. Speights (drawn by D. Finney-Smith)
10:56.0,,,24-33,,D. Finney-Smith misses free throw 1 of 2
10:56.0,,,24-33,,Offensive rebound by Team
10:56.0,,,24-33,,D. Finney-Smith misses free throw 2 of 2
10:55.0,Defensive rebound by P. Pierce,,24-33,,
10:37.0,Shooting foul by D. Harris (drawn by M. Speights),,24-33,,
10:37.0,M. Speights makes free throw 1 of 2,1,25-33,,
10:37.0,M. Speights makes free throw 2 of 2,1,26-33,,
10:37.0,,,25-33,,Y. Ferrell enters the game for D. Harris
10:13.0,,,26-33,,D. Finney-Smith misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by R. Felton,,26-33,,
9:58.0,M. Speights misses 2-pt shot from 14 ft,,26-33,,
9:57.0,,,26-33,,Defensive rebound by Y. Ferrell
9:38.0,,,26-33,,Shooting foul by P. Pierce (drawn by D. Finney-Smith)
9:38.0,,,26-34,1,D. Finney-Smith makes free throw 1 of 2
9:38.0,,,26-35,1,D. Finney-Smith makes free throw 2 of 2
9:25.0,A. Rivers makes 2-pt shot from 1 ft,2,28-35,,
9:11.0,,,28-35,,J. Barea misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by J. Crawford,,28-35,,
9:02.0,Turnover by A. Rivers (lost ball; steal by D. Nowitzki),,28-35,,
8:47.0,,,28-37,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
8:25.0,R. Felton misses 2-pt shot from 19 ft,,28-37,,
8:24.0,,,28-37,,Defensive rebound by D. Finney-Smith
8:17.0,,,28-37,,J. Barea misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Crawford,,28-37,,
8:04.0,J. Crawford misses 2-pt shot from 3 ft,,28-37,,
8:03.0,Offensive rebound by J. Crawford,,28-37,,
8:01.0,Turnover by J. Crawford (lost ball; steal by Y. Ferrell),,28-37,,
7:59.0,,,28-37,,Dallas full timeout
7:59.0,,,28-37,,W. Matthews enters the game for D. Nowitzki
7:59.0,,,28-37,,S. Curry enters the game for J. Barea
7:59.0,,,28-37,,H. Barnes enters the game for D. Finney-Smith
7:59.0,D. Jordan enters the game for M. Speights,,28-37,,
7:59.0,B. Griffin enters the game for P. Pierce,,28-37,,
7:52.0,,,28-37,,D. Powell misses 2-pt shot from 17 ft
7:51.0,Defensive rebound by B. Griffin,,28-37,,
7:33.0,B. Griffin misses 2-pt shot from 20 ft,,28-37,,
7:32.0,Offensive rebound by D. Jordan,,28-37,,
7:32.0,,,28-37,,Personal foul by H. Barnes (drawn by D. Jordan)
7:32.0,,,28-37,,N. Noel enters the game for D. Powell
7:23.0,Turnover by B. Griffin (lost ball; steal by Y. Ferrell),,28-37,,
7:06.0,,,28-37,,W. Matthews misses 2-pt shot from 18 ft
7:05.0,Defensive rebound by D. Jordan,,28-37,,
6:57.0,A. Rivers misses 3-pt shot from 24 ft,,28-37,,
6:56.0,Offensive rebound by D. Jordan,,28-37,,
6:54.0,D. Jordan makes 2-pt shot from 5 ft,2,30-37,,
6:35.0,,,30-40,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Curry)
6:19.0,Turnover by B. Griffin (bad pass),,30-40,,
6:19.0,J. Redick enters the game for J. Crawford,,30-40,,
6:19.0,C. Paul enters the game for A. Rivers,,30-40,,
6:06.0,,,30-42,2,H. Barnes makes 2-pt shot from 1 ft (assist by Y. Ferrell)
5:39.0,C. Paul makes 2-pt shot from 19 ft,2,32-42,,
5:23.0,,,32-44,2,S. Curry makes 2-pt shot from 12 ft
5:01.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,34-44,,
4:34.0,,,34-44,,Y. Ferrell misses 2-pt shot from 8 ft
4:32.0,Defensive rebound by R. Felton,,34-44,,
4:27.0,B. Griffin makes 2-pt shot at rim (assist by R. Felton),2,36-44,,
4:25.0,,,36-44,,Dallas full timeout
4:25.0,Official timeout,,36-44,,
4:10.0,,,36-44,,S. Curry misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by Team,,36-44,,
4:01.0,B. Griffin misses 2-pt shot from 4 ft,,36-44,,
4:00.0,,,36-44,,Defensive rebound by Y. Ferrell
3:54.0,,,36-46,2,Y. Ferrell makes 2-pt shot from 19 ft
3:35.0,B. Griffin misses 2-pt shot from 19 ft,,36-46,,
3:34.0,Offensive rebound by C. Paul,,36-46,,
3:24.0,,,36-46,,Personal foul by Y. Ferrell (drawn by C. Paul)
3:24.0,,,36-46,,D. Nowitzki enters the game for Y. Ferrell
3:24.0,A. Rivers enters the game for R. Felton,,36-46,,
3:20.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,39-46,,
3:20.0,Shooting foul by W. Matthews,,39-46,,
3:20.0,J. Redick makes free throw 1 of 1,1,40-46,,
3:20.0,,,39-46,,D. Harris enters the game for W. Matthews
3:13.0,Personal foul by A. Rivers (drawn by H. Barnes),,40-46,,
3:01.0,,,40-46,,H. Barnes misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by B. Griffin,,40-46,,
2:53.0,J. Redick misses 3-pt shot from 25 ft,,40-46,,
2:52.0,Offensive rebound by D. Jordan,,40-46,,
2:52.0,D. Jordan makes 2-pt shot from 1 ft,2,42-46,,
2:28.0,,,42-46,,D. Nowitzki misses 2-pt shot from 14 ft
2:27.0,Defensive rebound by D. Jordan,,42-46,,
2:21.0,C. Paul makes 2-pt shot from 3 ft,2,44-46,,
2:19.0,,,44-46,,Technical foul by Team
2:19.0,LA Clippers full timeout,,44-46,,
2:19.0,J. Redick makes technical free throw,1,45-46,,
2:04.0,,,45-46,,Turnover by S. Curry (lost ball; steal by C. Paul)
1:55.0,C. Paul makes 3-pt shot from 23 ft,3,48-46,,
1:41.0,,,48-46,,N. Noel misses 2-pt shot from 13 ft
1:40.0,Defensive rebound by D. Jordan,,48-46,,
1:32.0,C. Paul misses 3-pt shot from 25 ft,,48-46,,
1:31.0,,,48-46,,Defensive rebound by D. Harris
1:14.0,,,48-46,,Turnover by H. Barnes (bad pass; steal by J. Redick)
1:14.0,,,48-46,,Personal foul by H. Barnes (drawn by B. Griffin)
1:14.0,B. Griffin misses free throw 1 of 2,,48-46,,
1:14.0,Offensive rebound by Team,,48-46,,
1:14.0,B. Griffin makes free throw 2 of 2,1,49-46,,
0:59.0,,,49-46,,Turnover by S. Curry (bad pass; steal by B. Griffin)
0:52.0,J. Redick misses 3-pt shot from 24 ft,,49-46,,
0:51.0,,,49-46,,Defensive rebound by N. Noel
0:38.0,,,49-48,2,D. Nowitzki makes 2-pt shot from 1 ft
0:31.0,A. Rivers makes 3-pt shot from 26 ft (assist by J. Redick),3,52-48,,
0:08.0,,,52-48,,H. Barnes misses 2-pt shot from 19 ft
0:07.0,Defensive rebound by C. Paul,,52-48,,
0:07.0,,,52-48,,Loose ball foul by N. Noel (drawn by C. Paul)
0:07.0,C. Paul makes free throw 1 of 2,1,53-48,,
0:07.0,C. Paul makes free throw 2 of 2,1,54-48,,
0:07.0,L. Mbah a Moute enters the game for J. Redick,,53-48,,
0:07.0,,,53-48,,Y. Ferrell enters the game for N. Noel
0:05.0,Personal take foul by D. Jordan (drawn by D. Harris),,54-48,,
0:01.0,,,54-48,,D. Harris misses 3-pt shot from 26 ft (block by D. Jordan)
0:00.0,,,54-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-50,2,H. Barnes makes 2-pt shot at rim (assist by N. Noel)
11:17.0,C. Paul misses 3-pt shot from 27 ft,,54-50,,
11:16.0,,,54-50,,Defensive rebound by W. Matthews
11:11.0,Personal foul by C. Paul (drawn by W. Matthews),,54-50,,
11:05.0,,,54-52,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by S. Curry)
10:50.0,J. Redick misses 2-pt shot from 3 ft,,54-52,,
10:49.0,,,54-52,,Defensive rebound by D. Nowitzki
10:34.0,,,54-54,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews)
10:14.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,54-54,,
10:13.0,Offensive rebound by D. Jordan,,54-54,,
10:13.0,Shooting foul by D. Nowitzki (drawn by D. Jordan),,54-54,,
10:13.0,D. Jordan misses free throw 1 of 2,,54-54,,
10:13.0,Offensive rebound by Team,,54-54,,
10:13.0,D. Jordan misses free throw 2 of 2,,54-54,,
10:12.0,,,54-54,,Defensive rebound by D. Nowitzki
9:51.0,,,54-54,,Turnover by W. Matthews (bad pass; steal by C. Paul)
9:50.0,,,54-54,,Personal take foul by D. Nowitzki (drawn by C. Paul)
9:39.0,J. Redick misses 2-pt shot from 22 ft,,54-54,,
9:38.0,,,54-54,,Defensive rebound by N. Noel
