time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (A. Horford gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (A. Horford gains possession)
11:44.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Horford)
11:20.0,T. Thompson makes 2-pt shot from 7 ft (assist by I. Shumpert),2,2-2,,
11:00.0,,,2-2,,A. Bradley misses 2-pt shot from 20 ft
10:59.0,Defensive rebound by C. Frye,,2-2,,
10:49.0,K. Irving makes 2-pt shot from 1 ft,2,4-2,,
10:39.0,,,4-5,3,A. Johnson makes 3-pt shot from 25 ft (assist by I. Thomas)
10:24.0,T. Thompson misses 2-pt shot from 1 ft,,4-5,,
10:23.0,,,4-5,,Defensive rebound by A. Horford
10:05.0,,,4-7,2,A. Bradley makes 2-pt shot from 20 ft (assist by A. Horford)
9:46.0,L. James makes 3-pt shot from 26 ft,3,7-7,,
9:31.0,,,7-7,,I. Thomas misses 2-pt shot from 3 ft (block by I. Shumpert)
9:30.0,,,7-7,,Offensive rebound by Team
9:25.0,,,7-7,,J. Crowder misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by T. Thompson,,7-7,,
9:19.0,Turnover by K. Irving (bad pass; steal by I. Thomas),,7-7,,
9:12.0,,,7-7,,A. Bradley misses 3-pt shot from 24 ft
9:11.0,,,7-7,,Offensive rebound by A. Johnson
9:11.0,,,7-9,2,A. Johnson makes 2-pt shot at rim
8:56.0,Cleveland full timeout,,7-9,,
8:45.0,I. Shumpert makes 2-pt shot from 15 ft (assist by L. James),2,9-9,,
8:21.0,,,9-9,,A. Johnson misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by T. Thompson,,9-9,,
7:58.0,Offensive foul by I. Shumpert,,9-9,,
7:58.0,Turnover by I. Shumpert (offensive foul),,9-9,,
7:42.0,,,9-9,,A. Horford misses 2-pt shot from 12 ft
7:41.0,Defensive rebound by L. James,,9-9,,
7:28.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,12-9,,
7:12.0,,,12-9,,I. Thomas misses 2-pt shot from 2 ft
7:11.0,,,12-9,,Offensive rebound by A. Johnson
7:07.0,,,12-9,,A. Bradley misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by L. James,,12-9,,
7:00.0,C. Frye misses 3-pt shot from 27 ft,,12-9,,
6:59.0,,,12-9,,Defensive rebound by A. Bradley
6:53.0,,,12-9,,I. Thomas misses 3-pt shot from 26 ft
6:52.0,,,12-9,,Offensive rebound by A. Horford
