time,San Antonio,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Henson (M. Dellavedova gains possession),,,,Jump ball: P. Gasol vs. J. Henson (M. Dellavedova gains possession)
11:37.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 8 ft
11:36.0,Defensive rebound by P. Gasol,,0-0,,
11:17.0,K. Leonard misses 2-pt shot from 7 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by T. Snell
11:07.0,,,0-0,,M. Dellavedova misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by P. Gasol,,0-0,,
10:56.0,Turnover by D. Green (lost ball),,0-0,,
10:37.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 18 ft
10:16.0,K. Leonard makes 2-pt shot from 13 ft (assist by T. Parker),2,2-2,,
10:03.0,,,2-2,,T. Snell misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by L. Aldridge,,2-2,,
9:52.0,T. Parker misses 2-pt shot from 7 ft,,2-2,,
9:51.0,,,2-2,,Defensive rebound by G. Antetokounmpo
9:45.0,,,2-2,,Shooting foul by L. Aldridge (drawn by J. Parker)
9:45.0,,,2-3,1,J. Parker makes free throw 1 of 2
9:45.0,,,2-4,1,J. Parker makes free throw 2 of 2
9:32.0,P. Gasol makes 3-pt shot from 24 ft (assist by L. Aldridge),3,5-4,,
9:21.0,,,5-4,,Shooting foul by K. Leonard (drawn by J. Henson)
9:21.0,,,5-5,1,J. Henson makes free throw 1 of 2
9:21.0,,,5-6,1,J. Henson makes free throw 2 of 2
8:54.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,8-6,,
8:32.0,,,8-8,2,J. Henson makes 2-pt shot from 2 ft (assist by J. Parker)
8:16.0,K. Leonard makes 3-pt shot from 26 ft (assist by L. Aldridge),3,11-8,,
8:04.0,,,11-10,2,G. Antetokounmpo makes 2-pt shot at rim
7:46.0,Turnover by P. Gasol (bad pass; steal by G. Antetokounmpo),,11-10,,
7:41.0,,,11-10,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:39.0,,,11-10,,Offensive rebound by J. Parker
7:39.0,,,11-12,2,J. Parker makes 2-pt shot at rim
7:39.0,San Antonio full timeout,,11-12,,
7:19.0,P. Gasol makes 2-pt shot from 17 ft (assist by T. Parker),2,13-12,,
7:03.0,,,13-14,2,M. Dellavedova makes 2-pt shot from 5 ft
6:40.0,K. Leonard misses 2-pt shot from 10 ft,,13-14,,
6:39.0,Offensive rebound by K. Leonard,,13-14,,
6:35.0,D. Green misses 3-pt shot from 27 ft,,13-14,,
6:33.0,,,13-14,,Defensive rebound by T. Snell
6:23.0,,,13-14,,T. Snell misses 3-pt shot from 27 ft
6:22.0,Defensive rebound by P. Gasol,,13-14,,
6:08.0,L. Aldridge misses 2-pt shot from 4 ft,,13-14,,
6:06.0,Offensive rebound by P. Gasol,,13-14,,
6:06.0,P. Gasol misses 2-pt shot from 1 ft,,13-14,,
6:05.0,Offensive rebound by L. Aldridge,,13-14,,
6:03.0,L. Aldridge misses 2-pt shot from 3 ft,,13-14,,
6:01.0,,,13-14,,Defensive rebound by G. Antetokounmpo
5:56.0,,,13-16,2,G. Antetokounmpo makes 2-pt shot from 1 ft
5:44.0,K. Leonard misses 3-pt shot from 24 ft,,13-16,,
5:40.0,,,13-16,,Defensive rebound by J. Parker
5:28.0,,,13-16,,T. Snell misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by Team,,13-16,,
5:28.0,,,13-16,,M. Beasley enters the game for G. Antetokounmpo
5:28.0,,,13-16,,G. Monroe enters the game for J. Henson
5:28.0,,,13-16,,M. Brogdon enters the game for M. Dellavedova
5:05.0,P. Gasol makes 2-pt shot from 5 ft,2,15-16,,
4:52.0,,,15-16,,J. Parker misses 2-pt shot at rim
4:50.0,Defensive rebound by P. Gasol,,15-16,,
4:33.0,L. Aldridge makes 2-pt shot at rim (assist by T. Parker),2,17-16,,
4:15.0,,,17-16,,G. Monroe misses 2-pt shot from 5 ft (block by P. Gasol)
4:13.0,Defensive rebound by L. Aldridge,,17-16,,
4:08.0,Turnover by T. Parker (palming),,17-16,,
4:08.0,P. Mills enters the game for P. Gasol,,17-16,,
4:08.0,D. Lee enters the game for D. Green,,17-16,,
4:08.0,M. Ginobili enters the game for T. Parker,,17-16,,
3:56.0,,,17-18,2,M. Beasley makes 2-pt shot from 18 ft (assist by M. Brogdon)
3:34.0,L. Aldridge makes 2-pt shot from 12 ft,2,19-18,,
3:21.0,,,19-18,,M. Brogdon misses 2-pt shot from 3 ft
3:19.0,Defensive rebound by D. Lee,,19-18,,
3:15.0,P. Mills misses 3-pt shot from 29 ft,,19-18,,
3:13.0,,,19-18,,Defensive rebound by G. Monroe
3:08.0,,,19-18,,Turnover by M. Beasley (lost ball)
2:52.0,Shooting foul by G. Monroe (drawn by L. Aldridge),,19-18,,
2:52.0,,,19-18,,Milwaukee full timeout
2:52.0,L. Aldridge makes free throw 1 of 2,1,20-18,,
2:52.0,L. Aldridge makes free throw 2 of 2,1,21-18,,
2:52.0,,,19-18,,J. Terry enters the game for J. Parker
2:52.0,,,19-18,,M. Teletovic enters the game for T. Snell
2:52.0,J. Simmons enters the game for K. Leonard,,19-18,,
2:36.0,,,21-20,2,G. Monroe makes 2-pt shot from 16 ft
2:16.0,J. Simmons misses 2-pt shot from 4 ft (block by M. Beasley),,21-20,,
2:16.0,Offensive rebound by Team,,21-20,,
2:14.0,M. Ginobili misses 2-pt shot from 13 ft,,21-20,,
2:12.0,,,21-20,,Defensive rebound by G. Monroe
2:02.0,,,21-22,2,M. Beasley makes 2-pt shot from 8 ft (assist by M. Brogdon)
1:38.0,D. Lee makes 2-pt shot from 1 ft (assist by J. Simmons),2,23-22,,
1:30.0,,,23-24,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
1:12.0,L. Aldridge makes 3-pt shot from 28 ft (assist by P. Mills),3,26-24,,
0:55.0,,,26-24,,M. Teletovic misses 2-pt shot from 16 ft
0:54.0,,,26-24,,Offensive rebound by G. Monroe
0:51.0,,,26-24,,M. Teletovic misses 3-pt shot from 27 ft
0:50.0,Defensive rebound by D. Lee,,26-24,,
0:38.0,M. Ginobili misses 2-pt shot from 2 ft,,26-24,,
0:36.0,,,26-24,,Defensive rebound by G. Monroe
0:29.0,,,26-24,,M. Brogdon misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by M. Ginobili,,26-24,,
0:08.0,M. Ginobili misses 2-pt shot from 16 ft,,26-24,,
0:06.0,,,26-24,,Defensive rebound by M. Beasley
0:03.0,Personal foul by J. Simmons (drawn by M. Beasley),,26-24,,
0:00.0,,,26-24,,G. Monroe misses 2-pt shot from 14 ft
0:00.0,,,26-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,P. Mills misses 2-pt shot at rim,,26-24,,
11:47.0,,,26-24,,Defensive rebound by J. Terry
11:36.0,,,26-24,,Turnover by G. Monroe (bad pass; steal by M. Ginobili)
11:25.0,Turnover by M. Ginobili (bad pass),,26-24,,
11:10.0,,,26-26,2,M. Beasley makes 2-pt shot from 1 ft
11:01.0,,,26-26,,Personal foul by M. Teletovic (drawn by D. Lee)
11:01.0,K. Anderson enters the game for J. Simmons,,26-26,,
10:58.0,P. Mills misses 3-pt shot from 26 ft,,26-26,,
10:57.0,,,26-26,,Defensive rebound by G. Monroe
10:46.0,,,26-26,,J. Terry misses 3-pt shot from 24 ft
10:45.0,,,26-26,,Offensive rebound by G. Monroe
10:43.0,,,26-26,,G. Monroe misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by K. Anderson,,26-26,,
10:22.0,P. Mills misses 3-pt shot from 29 ft,,26-26,,
10:21.0,,,26-26,,Defensive rebound by G. Monroe
