time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Capela (H. Barnes gains possession),,,,Jump ball: A. Bogut vs. C. Capela (H. Barnes gains possession)
11:47.0,,,0-0,,Personal foul by J. Harden (drawn by W. Matthews)
11:32.0,D. Williams makes 3-pt shot from 27 ft,3,3-0,,
11:03.0,,,3-0,,C. Capela misses 2-pt shot from 11 ft
11:02.0,Defensive rebound by H. Barnes,,3-0,,
10:51.0,S. Curry misses 3-pt shot from 24 ft,,3-0,,
10:50.0,,,3-0,,Defensive rebound by C. Capela
10:37.0,,,3-0,,C. Capela misses 2-pt shot from 7 ft
10:34.0,Defensive rebound by W. Matthews,,3-0,,
10:28.0,Turnover by Team (turnover),,3-0,,
10:23.0,,,3-3,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:58.0,H. Barnes misses 2-pt shot from 19 ft,,3-3,,
9:57.0,,,3-3,,Defensive rebound by T. Ariza
9:50.0,,,3-3,,J. Harden misses 3-pt shot from 25 ft
9:48.0,,,3-3,,Offensive rebound by C. Capela
9:45.0,,,3-3,,Shooting foul by H. Barnes (drawn by C. Capela)
9:45.0,,,3-3,,C. Capela misses free throw 1 of 2
9:45.0,,,3-3,,Offensive rebound by Team
9:45.0,,,3-3,,C. Capela misses free throw 2 of 2
9:45.0,Defensive rebound by H. Barnes,,3-3,,
9:25.0,A. Bogut misses 2-pt shot from 7 ft,,3-3,,
9:23.0,,,3-3,,Defensive rebound by C. Capela
9:16.0,,,3-3,,E. Gordon misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by A. Bogut,,3-3,,
8:56.0,D. Williams misses 2-pt shot from 3 ft,,3-3,,
8:55.0,Offensive rebound by A. Bogut,,3-3,,
8:52.0,A. Bogut makes 2-pt shot from 1 ft,2,5-3,,
8:40.0,,,5-6,3,E. Gordon makes 3-pt shot from 26 ft
8:23.0,H. Barnes makes 2-pt shot from 2 ft (assist by A. Bogut),2,7-6,,
8:08.0,,,7-6,,Shooting foul by D. Williams (drawn by C. Capela)
8:08.0,,,7-6,,C. Capela misses free throw 1 of 2
8:08.0,,,7-6,,Offensive rebound by Team
8:08.0,,,7-6,,C. Capela misses free throw 2 of 2
8:08.0,Defensive rebound by A. Bogut,,7-6,,
7:48.0,H. Barnes makes 2-pt shot from 8 ft,2,9-6,,
7:31.0,,,9-6,,Shooting foul by W. Matthews (drawn by J. Harden)
7:31.0,,,9-7,1,J. Harden makes free throw 1 of 2
7:31.0,,,9-8,1,J. Harden makes free throw 2 of 2
7:06.0,D. Williams misses 2-pt shot from 17 ft,,9-8,,
7:05.0,,,9-8,,Defensive rebound by R. Anderson
7:00.0,,,9-8,,J. Harden misses 2-pt shot from 2 ft
6:59.0,Defensive rebound by S. Curry,,9-8,,
