time,Orlando,pts.away,score,pts.home,Portland
5:55.0,,,20-10,2,D. Lillard makes 2-pt shot from 1 ft
5:55.0,,,20-10,,Shooting foul by E. Payton (drawn by D. Lillard)
5:55.0,,,20-11,1,D. Lillard makes free throw 1 of 1
5:43.0,Turnover by J. Green (bad pass; steal by A. Crabbe),,20-11,,
5:35.0,,,20-11,,C. McCollum misses 2-pt shot from 21 ft
5:32.0,Defensive rebound by A. Gordon,,20-11,,
5:24.0,N. Vucevic misses 2-pt shot from 9 ft,,20-11,,
5:22.0,,,20-11,,Defensive rebound by A. Aminu
5:16.0,,,20-11,,A. Aminu misses 2-pt shot from 1 ft (block by N. Vucevic)
5:15.0,,,20-11,,Offensive rebound by M. Plumlee
5:05.0,,,20-11,,A. Crabbe misses 2-pt shot from 4 ft
5:03.0,Defensive rebound by N. Vucevic,,20-11,,
5:00.0,E. Payton makes 2-pt shot from 1 ft,2,22-11,,
4:44.0,,,22-13,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
4:26.0,E. Fournier makes 2-pt shot from 14 ft (assist by E. Payton),2,24-13,,
4:12.0,,,24-15,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:12.0,Orlando full timeout,,24-15,,
4:12.0,,,24-15,,E. Turner enters the game for C. McCollum
4:12.0,D. Augustin enters the game for E. Payton,,24-15,,
4:01.0,E. Fournier misses 3-pt shot from 23 ft,,24-15,,
4:00.0,,,24-15,,Defensive rebound by D. Lillard
3:51.0,,,24-15,,D. Lillard misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by N. Vucevic,,24-15,,
3:42.0,J. Green makes 3-pt shot from 26 ft (assist by D. Augustin),3,27-15,,
3:23.0,,,27-15,,A. Crabbe misses 2-pt shot from 14 ft
3:22.0,Defensive rebound by N. Vucevic,,27-15,,
3:17.0,Shooting foul by A. Aminu (drawn by N. Vucevic),,27-15,,
3:17.0,N. Vucevic makes free throw 1 of 2,1,28-15,,
3:17.0,N. Vucevic makes free throw 2 of 2,1,29-15,,
3:17.0,,,28-15,,E. Davis enters the game for M. Plumlee
3:17.0,,,28-15,,M. Leonard enters the game for A. Aminu
3:05.0,,,29-17,2,D. Lillard makes 2-pt shot from 13 ft
2:47.0,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Fournier),2,31-17,,
2:35.0,,,31-17,,D. Lillard misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by J. Green,,31-17,,
2:30.0,Shooting foul by M. Leonard (drawn by A. Gordon),,31-17,,
2:30.0,A. Gordon misses free throw 1 of 2,,31-17,,
2:30.0,Offensive rebound by Team,,31-17,,
2:30.0,A. Gordon misses free throw 2 of 2,,31-17,,
2:30.0,,,31-17,,Defensive rebound by E. Turner
2:30.0,B. Biyombo enters the game for N. Vucevic,,31-17,,
2:30.0,,,31-17,,P. Connaughton enters the game for A. Crabbe
2:21.0,Personal foul by A. Gordon (drawn by E. Turner),,31-17,,
2:21.0,,,31-18,1,E. Turner makes free throw 1 of 2
2:21.0,,,31-19,1,E. Turner makes free throw 2 of 2
2:13.0,Shooting foul by D. Lillard (drawn by D. Augustin),,31-19,,
2:13.0,D. Augustin makes free throw 1 of 2,1,32-19,,
2:13.0,D. Augustin makes free throw 2 of 2,1,33-19,,
2:13.0,J. Meeks enters the game for E. Fournier,,32-19,,
1:49.0,,,33-19,,M. Leonard misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by B. Biyombo,,33-19,,
1:39.0,D. Augustin misses 2-pt shot from 10 ft,,33-19,,
1:37.0,,,33-19,,Defensive rebound by M. Leonard
1:28.0,Personal foul by J. Meeks (drawn by M. Leonard),,33-19,,
1:28.0,,,33-20,1,M. Leonard makes free throw 1 of 2
1:28.0,,,33-21,1,M. Leonard makes free throw 2 of 2
1:18.0,J. Meeks makes 3-pt shot from 25 ft (assist by D. Augustin),3,36-21,,
1:00.0,,,36-23,2,D. Lillard makes 2-pt shot from 13 ft
0:49.0,Turnover by B. Biyombo (traveling),,36-23,,
0:34.0,,,36-23,,D. Lillard misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by B. Biyombo,,36-23,,
0:14.0,A. Gordon misses 2-pt shot from 5 ft,,36-23,,
0:13.0,,,36-23,,Defensive rebound by E. Davis
0:03.0,,,36-23,,D. Lillard misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by J. Green,,36-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,36-25,2,E. Turner makes 2-pt shot from 15 ft
11:25.0,J. Green makes 2-pt shot from 20 ft,2,38-25,,
11:09.0,,,38-27,2,E. Turner makes 2-pt shot from 15 ft (assist by C. McCollum)
10:46.0,D. Augustin misses 2-pt shot from 18 ft,,38-27,,
10:43.0,,,38-27,,Defensive rebound by M. Leonard
10:32.0,,,38-27,,P. Connaughton misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by J. Green,,38-27,,
10:09.0,B. Biyombo misses 2-pt shot from 5 ft,,38-27,,
10:08.0,,,38-27,,Defensive rebound by M. Leonard
9:56.0,,,38-27,,M. Leonard misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by J. Green,,38-27,,
9:48.0,D. Augustin makes 3-pt shot from 26 ft,3,41-27,,
9:25.0,,,41-30,3,P. Connaughton makes 3-pt shot from 27 ft (assist by C. McCollum)
9:07.0,J. Meeks misses 2-pt shot from 12 ft,,41-30,,
9:06.0,,,41-30,,Defensive rebound by C. McCollum
8:55.0,,,41-30,,Shooting foul by M. Hezonja (drawn by C. McCollum)
8:55.0,Official timeout,,41-30,,
8:55.0,Violation by Team (jump ball),,41-30,,
8:55.0,,,41-31,1,C. McCollum makes free throw 1 of 2
8:55.0,,,41-32,1,C. McCollum makes free throw 2 of 2
8:45.0,J. Meeks misses 2-pt shot from 2 ft (block by M. Leonard),,41-32,,
8:43.0,,,41-32,,Defensive rebound by C. McCollum
8:36.0,,,41-32,,C. McCollum misses 2-pt shot from 14 ft
8:35.0,,,41-32,,Offensive rebound by Team
8:31.0,Loose ball foul by J. Green (drawn by E. Davis),,41-32,,
8:31.0,,,41-32,,Offensive foul by E. Davis
8:31.0,,,41-32,,Turnover by E. Davis (offensive foul)
8:22.0,M. Hezonja misses 2-pt shot from 21 ft,,41-32,,
8:21.0,,,41-32,,Defensive rebound by E. Davis
8:12.0,,,41-32,,C. McCollum misses 2-pt shot from 12 ft
8:11.0,,,41-32,,Offensive rebound by E. Turner
8:05.0,,,41-32,,C. McCollum misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by J. Meeks,,41-32,,
7:58.0,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Meeks),2,43-32,,
7:41.0,,,43-32,,C. McCollum misses 2-pt shot from 19 ft
7:39.0,,,43-32,,Offensive rebound by Team
7:25.0,,,43-32,,M. Leonard misses 2-pt shot from 12 ft
7:24.0,Defensive rebound by D. Augustin,,43-32,,
7:20.0,Turnover by B. Biyombo (offensive foul),,43-32,,
7:20.0,Offensive foul by B. Biyombo,,43-32,,
7:20.0,E. Payton enters the game for D. Augustin,,43-32,,
7:05.0,,,43-34,2,E. Turner makes 2-pt shot from 7 ft
6:48.0,,,43-34,,Personal foul by E. Turner (drawn by M. Hezonja)
6:48.0,,,43-34,,A. Crabbe enters the game for E. Davis
6:48.0,,,43-34,,A. Aminu enters the game for P. Connaughton
6:42.0,B. Biyombo misses 2-pt shot from 1 ft (block by M. Leonard),,43-34,,
6:40.0,,,43-34,,Defensive rebound by M. Leonard
6:21.0,,,43-37,3,C. McCollum makes 3-pt shot from 29 ft
6:20.0,Orlando full timeout,,43-37,,
6:08.0,Shooting foul by C. McCollum (drawn by E. Payton),,43-37,,
6:08.0,E. Payton makes free throw 1 of 2,1,44-37,,
6:08.0,E. Payton makes free throw 2 of 2,1,45-37,,
6:08.0,,,44-37,,D. Lillard enters the game for C. McCollum
5:50.0,,,45-40,3,E. Turner makes 3-pt shot from 25 ft (assist by M. Leonard)
5:32.0,E. Payton misses 2-pt shot from 10 ft,,45-40,,
5:31.0,Offensive rebound by M. Hezonja,,45-40,,
5:20.0,M. Hezonja makes 3-pt shot from 27 ft (assist by J. Green),3,48-40,,
5:07.0,,,48-42,2,D. Lillard makes 2-pt shot from 18 ft
4:54.0,Turnover by E. Payton (traveling),,48-42,,
4:54.0,E. Fournier enters the game for M. Hezonja,,48-42,,
4:54.0,N. Vucevic enters the game for B. Biyombo,,48-42,,
4:38.0,,,48-44,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
4:27.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,50-44,,
4:13.0,,,50-47,3,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard)
4:11.0,Orlando full timeout,,50-47,,
4:11.0,A. Gordon enters the game for J. Green,,50-47,,
4:11.0,S. Ibaka enters the game for J. Meeks,,50-47,,
3:57.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,52-47,,
3:41.0,,,52-47,,Turnover by D. Lillard (bad pass; steal by E. Fournier)
3:33.0,E. Payton misses 2-pt shot from 2 ft,,52-47,,
3:31.0,,,52-47,,Defensive rebound by D. Lillard
3:26.0,,,52-47,,E. Turner misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by S. Ibaka,,52-47,,
3:09.0,S. Ibaka misses 2-pt shot from 19 ft,,52-47,,
3:09.0,,,52-47,,Defensive rebound by D. Lillard
3:00.0,,,52-47,,D. Lillard misses 3-pt shot from 27 ft
2:59.0,,,52-47,,Offensive rebound by E. Turner
2:57.0,,,52-47,,A. Crabbe misses 3-pt shot from 27 ft
2:55.0,Defensive rebound by N. Vucevic,,52-47,,
2:49.0,S. Ibaka misses 2-pt shot from 1 ft,,52-47,,
2:46.0,,,52-47,,Defensive rebound by M. Leonard
2:42.0,,,52-47,,Turnover by D. Lillard (bad pass; steal by N. Vucevic)
2:35.0,E. Payton misses 2-pt shot from 1 ft,,52-47,,
2:34.0,,,52-47,,Defensive rebound by D. Lillard
2:29.0,,,52-47,,A. Crabbe misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by Team,,52-47,,
2:28.0,,,52-47,,Portland full timeout
2:28.0,,,52-47,,M. Plumlee enters the game for E. Turner
2:28.0,,,52-47,,C. McCollum enters the game for M. Leonard
2:17.0,N. Vucevic makes 2-pt shot from 3 ft (assist by S. Ibaka),2,54-47,,
1:59.0,,,54-47,,Turnover by M. Plumlee (offensive goaltending)
1:45.0,Turnover by E. Payton (bad pass),,54-47,,
1:31.0,Violation by N. Vucevic (kicked ball),,54-47,,
1:21.0,,,54-47,,C. McCollum misses 2-pt shot from 16 ft
1:19.0,Defensive rebound by S. Ibaka,,54-47,,
1:02.0,E. Fournier misses 2-pt shot from 18 ft,,54-47,,
1:01.0,,,54-47,,Defensive rebound by M. Plumlee
0:47.0,,,54-49,2,A. Aminu makes 2-pt shot from 6 ft (assist by M. Plumlee)
0:29.0,S. Ibaka misses 3-pt shot from 27 ft,,54-49,,
0:29.0,,,54-49,,Defensive rebound by M. Plumlee
0:15.0,,,54-49,,Portland full timeout
0:15.0,J. Green enters the game for S. Ibaka,,54-49,,
0:15.0,J. Meeks enters the game for E. Payton,,54-49,,
0:05.0,,,54-49,,D. Lillard misses 2-pt shot from 16 ft
0:05.0,,,54-49,,Offensive rebound by Team
0:05.0,,,54-49,,Turnover by Team (shot clock)
0:05.0,,,54-49,,E. Turner enters the game for C. McCollum
0:01.0,E. Fournier misses 2-pt shot from 19 ft,,54-49,,
0:00.0,Offensive rebound by Team,,54-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-51,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
11:28.0,E. Payton misses 3-pt shot from 24 ft,,54-51,,
11:28.0,,,54-51,,Defensive rebound by A. Aminu
11:18.0,,,54-51,,D. Lillard misses 3-pt shot from 28 ft
11:18.0,,,54-51,,Offensive rebound by A. Aminu
11:09.0,,,54-53,2,A. Aminu makes 2-pt shot from 2 ft
10:47.0,S. Ibaka misses 2-pt shot from 16 ft,,54-53,,
10:46.0,Offensive rebound by E. Payton,,54-53,,
10:42.0,E. Payton misses 2-pt shot from 4 ft (block by M. Plumlee),,54-53,,
10:40.0,Offensive rebound by A. Gordon,,54-53,,
10:39.0,Shooting foul by A. Aminu (drawn by A. Gordon),,54-53,,
10:39.0,A. Gordon makes free throw 1 of 2,1,55-53,,
10:39.0,A. Gordon makes free throw 2 of 2,1,56-53,,
10:23.0,,,56-55,2,C. McCollum makes 2-pt shot from 9 ft (assist by D. Lillard)
10:11.0,Turnover by N. Vucevic (traveling),,56-55,,
9:50.0,,,56-57,2,D. Lillard makes 2-pt shot from 2 ft
9:50.0,Orlando full timeout,,56-57,,
9:32.0,N. Vucevic misses 2-pt shot from 19 ft,,56-57,,
9:31.0,,,56-57,,Defensive rebound by D. Lillard
9:23.0,,,56-59,2,C. McCollum makes 2-pt shot from 1 ft
9:01.0,A. Gordon misses 2-pt shot from 13 ft,,56-59,,
9:00.0,Offensive rebound by S. Ibaka,,56-59,,
8:54.0,N. Vucevic misses 2-pt shot from 9 ft (block by M. Plumlee),,56-59,,
8:53.0,Offensive rebound by E. Payton,,56-59,,
8:49.0,E. Payton makes 2-pt shot from 14 ft,2,58-59,,
8:34.0,,,58-59,,Shooting foul by S. Ibaka (drawn by M. Plumlee)
8:34.0,,,58-60,1,M. Plumlee makes free throw 1 of 2
8:34.0,,,58-61,1,M. Plumlee makes free throw 2 of 2
8:23.0,Turnover by E. Payton (step out of bounds),,58-61,,
8:06.0,,,58-63,2,C. McCollum makes 2-pt shot from 16 ft
7:51.0,,,58-63,,Personal foul by M. Plumlee (drawn by E. Fournier)
7:45.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Fournier),3,61-63,,
7:21.0,,,61-63,,A. Aminu misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by S. Ibaka,,61-63,,
7:12.0,S. Ibaka makes 3-pt shot from 27 ft (assist by E. Payton),3,64-63,,
6:56.0,,,64-65,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee)
6:46.0,Offensive charge foul by E. Payton,,64-65,,
6:46.0,Turnover by E. Payton (offensive foul),,64-65,,
6:29.0,,,64-65,,A. Crabbe misses 2-pt shot from 13 ft
6:28.0,Defensive rebound by S. Ibaka,,64-65,,
6:24.0,Turnover by E. Fournier (lost ball; steal by M. Plumlee),,64-65,,
6:20.0,,,64-67,2,M. Plumlee makes 2-pt shot at rim (assist by A. Crabbe)
6:07.0,,,64-67,,Personal foul by A. Crabbe (drawn by N. Vucevic)
6:07.0,,,64-67,,Personal foul by M. Plumlee (drawn by E. Payton)
5:54.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,67-67,,
5:37.0,,,67-67,,D. Lillard misses 2-pt shot from 24 ft (block by A. Gordon)
5:36.0,,,67-67,,Offensive rebound by D. Lillard
5:31.0,,,67-69,2,D. Lillard makes 2-pt shot from 1 ft
5:19.0,E. Fournier misses 2-pt shot from 12 ft (block by C. McCollum),,67-69,,
5:17.0,Offensive rebound by N. Vucevic,,67-69,,
5:13.0,N. Vucevic makes 2-pt shot from 19 ft,2,69-69,,
5:08.0,Personal foul by E. Fournier (drawn by C. McCollum),,69-69,,
5:08.0,,,69-69,,E. Turner enters the game for C. McCollum
5:00.0,,,69-69,,E. Turner misses 2-pt shot from 10 ft (block by N. Vucevic)
4:58.0,Defensive rebound by S. Ibaka,,69-69,,
4:44.0,E. Fournier misses 3-pt shot from 24 ft,,69-69,,
4:43.0,,,69-69,,Defensive rebound by M. Plumlee
4:33.0,,,69-72,3,D. Lillard makes 3-pt shot from 27 ft
4:17.0,E. Payton misses 3-pt shot from 24 ft,,69-72,,
4:17.0,,,69-72,,Defensive rebound by A. Aminu
4:11.0,,,69-72,,A. Aminu misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by N. Vucevic,,69-72,,
4:02.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton),3,72-72,,
3:47.0,,,72-72,,D. Lillard misses 3-pt shot from 26 ft
3:47.0,,,72-72,,Offensive rebound by A. Aminu
3:42.0,,,72-72,,Portland full timeout
3:42.0,,,72-72,,M. Leonard enters the game for A. Aminu
3:42.0,,,72-72,,E. Davis enters the game for M. Plumlee
3:42.0,D. Augustin enters the game for E. Payton,,72-72,,
3:31.0,,,72-72,,Turnover by E. Turner (bad pass)
3:16.0,N. Vucevic makes 2-pt shot from 12 ft,2,74-72,,
3:16.0,Technical foul by N. Vucevic,,74-72,,
3:16.0,,,74-73,1,D. Lillard makes technical free throw
2:57.0,,,74-73,,E. Turner misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by S. Ibaka,,74-73,,
2:46.0,N. Vucevic misses 2-pt shot at rim,,74-73,,
2:44.0,,,74-73,,Defensive rebound by A. Crabbe
2:41.0,,,74-73,,D. Lillard misses 2-pt shot from 2 ft
2:39.0,,,74-73,,Offensive rebound by E. Turner
2:39.0,,,74-75,2,E. Turner makes 2-pt shot at rim
2:21.0,J. Meeks enters the game for E. Fournier,,74-75,,
2:21.0,B. Biyombo enters the game for N. Vucevic,,74-75,,
2:21.0,,,74-75,,P. Connaughton enters the game for A. Crabbe
2:18.0,J. Meeks misses 2-pt shot from 18 ft,,74-75,,
2:18.0,Offensive rebound by B. Biyombo,,74-75,,
2:10.0,A. Gordon misses 2-pt shot from 16 ft,,74-75,,
2:10.0,,,74-75,,Defensive rebound by E. Davis
1:59.0,,,74-75,,P. Connaughton misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by A. Gordon,,74-75,,
1:45.0,S. Ibaka misses 3-pt shot from 26 ft,,74-75,,
1:45.0,,,74-75,,Defensive rebound by D. Lillard
1:39.0,,,74-75,,D. Lillard misses 2-pt shot from 14 ft
1:39.0,Defensive rebound by Team,,74-75,,
1:39.0,,,74-75,,Loose ball foul by E. Davis (drawn by S. Ibaka)
1:39.0,S. Ibaka makes free throw 1 of 2,1,75-75,,
1:39.0,S. Ibaka makes free throw 2 of 2,1,76-75,,
1:39.0,,,75-75,,C. McCollum enters the game for D. Lillard
1:26.0,,,76-75,,Turnover by C. McCollum (lost ball; steal by J. Meeks)
1:22.0,Turnover by J. Meeks (bad pass; steal by P. Connaughton),,76-75,,
1:17.0,,,76-75,,Turnover by P. Connaughton (bad pass)
1:17.0,J. Green enters the game for S. Ibaka,,76-75,,
1:03.0,Shooting foul by M. Leonard (drawn by J. Meeks),,76-75,,
1:03.0,J. Meeks makes free throw 1 of 2,1,77-75,,
1:03.0,J. Meeks makes free throw 2 of 2,1,78-75,,
0:44.0,,,78-75,,M. Leonard misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by A. Gordon,,78-75,,
0:36.0,,,78-75,,Personal foul by M. Leonard (drawn by D. Augustin)
0:36.0,D. Augustin makes free throw 1 of 2,1,79-75,,
0:36.0,D. Augustin makes free throw 2 of 2,1,80-75,,
0:32.0,,,80-78,3,C. McCollum makes 3-pt shot from 25 ft
0:13.0,D. Augustin makes 2-pt shot from 18 ft,2,82-78,,
0:01.0,,,82-78,,M. Leonard misses 2-pt shot from 20 ft
0:00.0,,,82-78,,Offensive rebound by P. Connaughton
0:00.0,,,82-78,,P. Connaughton misses 2-pt shot at rim
0:00.0,,,82-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,E. Payton makes 2-pt shot from 17 ft (assist by J. Green),2,84-78,,
11:17.0,,,84-81,3,C. McCollum makes 3-pt shot from 25 ft (assist by P. Connaughton)
11:06.0,Shooting foul by P. Connaughton (drawn by J. Meeks),,84-81,,
11:06.0,J. Meeks makes free throw 1 of 2,1,85-81,,
11:06.0,J. Meeks makes free throw 2 of 2,1,86-81,,
10:52.0,,,86-81,,C. McCollum misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by B. Biyombo,,86-81,,
10:44.0,J. Green misses 2-pt shot from 1 ft,,86-81,,
10:43.0,Offensive rebound by B. Biyombo,,86-81,,
10:36.0,Turnover by J. Meeks (lost ball; steal by E. Davis),,86-81,,
10:22.0,,,86-83,2,E. Davis makes 2-pt shot from 7 ft (assist by E. Turner)
10:07.0,D. Augustin makes 2-pt shot from 15 ft,2,88-83,,
9:47.0,,,88-85,2,E. Davis makes 2-pt shot from 1 ft (assist by E. Turner)
9:33.0,D. Augustin makes 2-pt shot from 19 ft,2,90-85,,
9:10.0,,,90-85,,E. Turner misses 3-pt shot from 26 ft
9:09.0,,,90-85,,Offensive rebound by M. Leonard
9:06.0,,,90-88,3,C. McCollum makes 3-pt shot from 27 ft (assist by M. Leonard)
8:52.0,D. Augustin misses 3-pt shot from 26 ft,,90-88,,
8:51.0,,,90-88,,Defensive rebound by E. Davis
8:41.0,,,90-88,,Shooting foul by B. Biyombo (drawn by E. Turner)
8:41.0,Official timeout,,90-88,,
8:41.0,,,90-89,1,E. Turner makes free throw 1 of 2
8:41.0,,,90-90,1,E. Turner makes free throw 2 of 2
8:41.0,,,90-88,,D. Lillard enters the game for M. Leonard
8:41.0,,,90-88,,M. Plumlee enters the game for P. Connaughton
8:28.0,J. Green misses 2-pt shot from 6 ft (block by M. Plumlee),,90-90,,
8:28.0,,,90-90,,Defensive rebound by Team
8:17.0,,,90-90,,D. Lillard misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by J. Green,,90-90,,
8:06.0,E. Payton misses 2-pt shot from 5 ft (block by C. McCollum),,90-90,,
8:06.0,Offensive rebound by Team,,90-90,,
8:06.0,A. Gordon enters the game for J. Green,,90-90,,
8:06.0,N. Vucevic enters the game for D. Augustin,,90-90,,
8:06.0,S. Ibaka enters the game for B. Biyombo,,90-90,,
8:06.0,,,90-90,,A. Aminu enters the game for E. Davis
8:02.0,Jump ball: C. McCollum vs. E. Payton (S. Ibaka gains possession),,,,Jump ball: C. McCollum vs. E. Payton (S. Ibaka gains possession)
7:53.0,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton),3,93-90,,
7:28.0,,,93-92,2,C. McCollum makes 2-pt shot from 2 ft
7:17.0,J. Meeks makes 2-pt shot from 1 ft (assist by N. Vucevic),2,95-92,,
7:06.0,,,95-92,,M. Plumlee misses 2-pt shot from 2 ft
7:04.0,,,95-92,,Offensive rebound by M. Plumlee
7:04.0,,,95-92,,M. Plumlee misses 2-pt shot from 1 ft
7:04.0,Defensive rebound by Team,,95-92,,
7:04.0,,,95-92,,A. Crabbe enters the game for E. Turner
6:54.0,Turnover by J. Meeks (bad pass),,95-92,,
6:36.0,,,95-92,,M. Plumlee misses 2-pt shot from 2 ft (block by S. Ibaka)
6:36.0,,,95-92,,Offensive rebound by Team
6:34.0,,,95-92,,Shooting foul by N. Vucevic (drawn by M. Plumlee)
6:34.0,,,95-93,1,M. Plumlee makes free throw 1 of 2
6:34.0,,,95-93,,M. Plumlee misses free throw 2 of 2
6:33.0,Defensive rebound by N. Vucevic,,95-93,,
6:21.0,Turnover by J. Meeks (bad pass; steal by C. McCollum),,95-93,,
6:15.0,,,95-93,,A. Crabbe misses 3-pt shot from 23 ft
6:13.0,Defensive rebound by E. Payton,,95-93,,
6:07.0,,,95-93,,Personal foul by A. Aminu (drawn by S. Ibaka)
6:07.0,E. Fournier enters the game for J. Meeks,,95-93,,
5:57.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,97-93,,
5:38.0,,,97-93,,Turnover by C. McCollum (bad pass; steal by E. Payton)
5:33.0,E. Payton makes 2-pt shot from 2 ft,2,99-93,,
5:33.0,,,99-93,,Portland full timeout
5:12.0,,,99-95,2,C. McCollum makes 2-pt shot from 2 ft (assist by M. Plumlee)
4:54.0,S. Ibaka misses 3-pt shot from 24 ft,,99-95,,
4:53.0,,,99-95,,Defensive rebound by D. Lillard
4:44.0,,,99-97,2,A. Aminu makes 2-pt shot from 5 ft (assist by A. Crabbe)
4:24.0,N. Vucevic makes 2-pt shot from 2 ft,2,101-97,,
4:08.0,,,101-97,,Turnover by A. Crabbe (bad pass; steal by E. Fournier)
4:00.0,E. Payton makes 2-pt shot from 4 ft,2,103-97,,
