time,Houston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. C. Zeller (M. Williams gains possession),,,,Jump ball: C. Capela vs. C. Zeller (M. Williams gains possession)
11:41.0,,,0-2,2,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker)
11:26.0,R. Anderson misses 3-pt shot from 28 ft,,0-2,,
11:24.0,Offensive rebound by C. Capela,,0-2,,
11:22.0,C. Capela misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,0-2,,
11:20.0,,,0-2,,Defensive rebound by K. Walker
11:15.0,,,0-2,,C. Zeller misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by R. Anderson,,0-2,,
11:06.0,Turnover by J. Harden (bad pass; steal by M. Williams),,0-2,,
11:03.0,,,0-2,,Turnover by M. Williams (bad pass; steal by T. Ariza)
10:46.0,J. Harden misses 2-pt shot from 14 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by N. Batum
10:40.0,,,0-2,,Offensive foul by C. Zeller
10:40.0,,,0-2,,Turnover by C. Zeller (offensive foul)
10:18.0,P. Beverley makes 2-pt shot from 11 ft (assist by R. Anderson),2,2-2,,
10:02.0,,,2-4,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by K. Walker)
9:47.0,T. Ariza misses 3-pt shot from 24 ft,,2-4,,
9:46.0,,,2-4,,Defensive rebound by M. Williams
9:37.0,,,2-6,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
9:22.0,C. Capela makes 2-pt shot from 6 ft,2,4-6,,
9:00.0,,,4-8,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:41.0,P. Beverley misses 3-pt shot from 23 ft,,4-8,,
8:40.0,Offensive rebound by C. Capela,,4-8,,
8:34.0,R. Anderson makes 2-pt shot from 2 ft,2,6-8,,
8:17.0,,,6-8,,K. Walker misses 2-pt shot from 1 ft (block by J. Harden)
8:15.0,,,6-8,,Offensive rebound by N. Batum
8:15.0,,,6-10,2,N. Batum makes 2-pt shot from 2 ft
8:07.0,Shooting foul by M. Williams (drawn by J. Harden),,6-10,,
8:07.0,J. Harden makes free throw 1 of 2,1,7-10,,
8:07.0,J. Harden makes free throw 2 of 2,1,8-10,,
7:50.0,,,8-10,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
