time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (C. Joseph gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (C. Joseph gains possession)
11:42.0,S. Ibaka makes 2-pt shot from 16 ft,2,2-0,,
11:24.0,,,2-2,2,R. McGruder makes 2-pt shot from 7 ft (assist by G. Dragic)
11:12.0,D. DeRozan misses 2-pt shot from 1 ft,,2-2,,
11:11.0,Offensive rebound by J. Valanciunas,,2-2,,
11:10.0,J. Valanciunas makes 2-pt shot from 2 ft,2,4-2,,
10:55.0,,,4-5,3,D. Waiters makes 3-pt shot from 25 ft (assist by L. Babbitt)
10:34.0,D. DeRozan misses 2-pt shot from 12 ft,,4-5,,
10:33.0,Offensive rebound by J. Valanciunas,,4-5,,
10:24.0,J. Valanciunas makes 2-pt shot from 3 ft,2,6-5,,
10:07.0,,,6-7,2,H. Whiteside makes 2-pt shot from 16 ft (assist by L. Babbitt)
9:40.0,Turnover by S. Ibaka (bad pass; steal by G. Dragic),,6-7,,
9:36.0,,,6-9,2,G. Dragic makes 2-pt shot from 1 ft
9:16.0,D. DeRozan makes 2-pt shot from 15 ft,2,8-9,,
9:07.0,,,8-12,3,G. Dragic makes 3-pt shot from 25 ft
8:49.0,S. Ibaka misses 2-pt shot from 10 ft,,8-12,,
8:48.0,,,8-12,,Defensive rebound by H. Whiteside
8:40.0,,,8-15,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters)
8:32.0,Toronto full timeout,,8-15,,
8:23.0,C. Joseph misses 2-pt shot from 16 ft,,8-15,,
8:21.0,Offensive rebound by N. Powell,,8-15,,
8:13.0,Turnover by N. Powell (bad pass; steal by L. Babbitt),,8-15,,
7:55.0,,,8-18,3,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Waiters)
7:29.0,C. Joseph misses 2-pt shot from 3 ft (block by H. Whiteside),,8-18,,
7:28.0,Offensive rebound by Team,,8-18,,
7:25.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan),3,11-18,,
7:05.0,,,11-18,,R. McGruder misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Valanciunas,,11-18,,
6:52.0,N. Powell misses 2-pt shot from 16 ft,,11-18,,
6:51.0,Offensive rebound by J. Valanciunas,,11-18,,
6:50.0,J. Valanciunas makes 2-pt shot at rim,2,13-18,,
6:40.0,,,13-18,,Shooting foul by J. Valanciunas (drawn by H. Whiteside)
6:40.0,,,13-19,1,H. Whiteside makes free throw 1 of 2
