time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Koufos (M. Conley gains possession),,,,Jump ball: M. Gasol vs. K. Koufos (M. Conley gains possession)
11:39.0,M. Gasol misses 2-pt shot from 10 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Collison
11:17.0,,,0-0,,D. Collison misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by J. Green,,0-0,,
11:06.0,M. Gasol misses 2-pt shot from 19 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by D. Cousins
10:58.0,,,0-0,,B. McLemore misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by M. Conley,,0-0,,
10:45.0,M. Gasol misses 2-pt shot from 7 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by K. Koufos
10:20.0,,,0-2,2,D. Cousins makes 2-pt shot from 20 ft
10:00.0,C. Parsons misses 3-pt shot from 25 ft,,0-2,,
10:00.0,Offensive rebound by T. Allen,,0-2,,
9:57.0,T. Allen makes 2-pt shot from 2 ft,2,2-2,,
9:30.0,,,2-2,,Turnover by Team (shot clock)
9:16.0,J. Green misses 3-pt shot from 24 ft,,2-2,,
9:15.0,,,2-2,,Defensive rebound by K. Koufos
9:02.0,,,2-4,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
8:44.0,M. Conley makes 2-pt shot from 12 ft,2,4-4,,
8:32.0,,,4-4,,D. Cousins misses 2-pt shot from 19 ft
8:31.0,Defensive rebound by C. Parsons,,4-4,,
8:19.0,T. Allen misses 2-pt shot from 2 ft,,4-4,,
8:18.0,,,4-4,,Defensive rebound by K. Koufos
8:09.0,,,4-6,2,D. Collison makes 2-pt shot from 5 ft
7:50.0,C. Parsons misses 3-pt shot from 25 ft,,4-6,,
7:50.0,,,4-6,,Defensive rebound by Team
7:34.0,,,4-6,,K. Koufos misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by T. Allen,,4-6,,
7:17.0,M. Conley makes 2-pt shot from 18 ft,2,6-6,,
6:56.0,,,6-8,2,D. Collison makes 2-pt shot from 20 ft (assist by D. Cousins)
6:36.0,J. Green makes 3-pt shot from 23 ft (assist by T. Allen),3,9-8,,
6:23.0,,,9-11,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. Collison)
6:08.0,J. Green misses 2-pt shot from 3 ft (block by K. Koufos),,9-11,,
6:07.0,,,9-11,,Defensive rebound by K. Koufos
6:06.0,Personal foul by J. Green (drawn by K. Koufos),,9-11,,
6:06.0,J. Ennis enters the game for C. Parsons,,9-11,,
5:53.0,,,9-13,2,B. McLemore makes 2-pt shot from 19 ft (assist by D. Cousins)
5:36.0,T. Allen makes 2-pt shot from 20 ft (assist by M. Conley),2,11-13,,
5:11.0,,,11-16,3,M. Barnes makes 3-pt shot from 26 ft
5:02.0,Memphis full timeout,,11-16,,
5:02.0,Z. Randolph enters the game for J. Green,,11-16,,
5:02.0,A. Harrison enters the game for M. Conley,,11-16,,
4:51.0,Turnover by Z. Randolph (lost ball; steal by D. Cousins),,11-16,,
4:42.0,,,11-16,,Turnover by D. Cousins (offensive goaltending)
4:26.0,J. Ennis misses 2-pt shot from 22 ft,,11-16,,
4:25.0,,,11-16,,Defensive rebound by K. Koufos
