time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. C. Zeller (K. Walker gains possession),,,,Jump ball: K. Olynyk vs. C. Zeller (K. Walker gains possession)
11:46.0,,,0-2,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
11:29.0,Turnover by I. Thomas (bad pass; steal by C. Zeller),,0-2,,
11:16.0,,,0-5,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
10:59.0,Turnover by A. Bradley (bad pass),,0-5,,
10:48.0,,,0-5,,K. Walker misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by A. Horford,,0-5,,
10:37.0,A. Horford misses 2-pt shot from 16 ft,,0-5,,
10:36.0,,,0-5,,Defensive rebound by C. Zeller
10:18.0,,,0-5,,Shooting foul by I. Thomas (drawn by C. Zeller)
10:18.0,,,0-6,1,C. Zeller makes free throw 1 of 2
10:18.0,,,0-7,1,C. Zeller makes free throw 2 of 2
10:04.0,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk),2,2-7,,
9:49.0,,,2-7,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
9:48.0,Defensive rebound by K. Olynyk,,2-7,,
9:45.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,4-7,,
9:45.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Crowder),,4-7,,
9:45.0,J. Crowder misses free throw 1 of 1,,4-7,,
9:44.0,,,4-7,,Defensive rebound by M. Williams
9:22.0,,,4-7,,Turnover by M. Williams (lost ball; steal by I. Thomas)
9:16.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Bradley),2,6-7,,
8:54.0,,,6-7,,M. Williams misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by A. Horford,,6-7,,
8:41.0,Turnover by I. Thomas (lost ball; steal by K. Walker),,6-7,,
8:31.0,,,6-9,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
8:15.0,I. Thomas misses 3-pt shot from 24 ft,,6-9,,
8:14.0,,,6-9,,Defensive rebound by N. Batum
8:07.0,,,6-9,,N. Batum misses 2-pt shot from 17 ft (block by A. Bradley)
8:04.0,Defensive rebound by A. Bradley,,6-9,,
8:03.0,,,6-9,,Violation by M. Kidd-Gilchrist (kicked ball)
7:54.0,J. Crowder makes 2-pt shot at rim (assist by A. Bradley),2,8-9,,
7:38.0,,,8-9,,N. Batum misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by K. Olynyk,,8-9,,
7:30.0,I. Thomas misses 3-pt shot from 25 ft,,8-9,,
7:29.0,,,8-9,,Defensive rebound by M. Kidd-Gilchrist
7:18.0,,,8-9,,N. Batum misses 2-pt shot from 9 ft (block by K. Olynyk)
7:16.0,,,8-9,,Offensive rebound by N. Batum
7:16.0,,,8-11,2,N. Batum makes 2-pt shot from 1 ft
7:07.0,Turnover by I. Thomas (bad pass; steal by C. Zeller),,8-11,,
7:01.0,,,8-11,,Turnover by M. Kidd-Gilchrist (bad pass)
6:50.0,A. Bradley misses 2-pt shot from 18 ft,,8-11,,
6:49.0,,,8-11,,Defensive rebound by Team
6:36.0,,,8-11,,N. Batum misses 2-pt shot from 22 ft
6:35.0,Defensive rebound by K. Olynyk,,8-11,,
6:20.0,J. Crowder misses 2-pt shot from 13 ft,,8-11,,
6:19.0,,,8-11,,Defensive rebound by C. Zeller
6:05.0,,,8-11,,M. Williams misses 3-pt shot from 25 ft (block by A. Horford)
6:03.0,,,8-11,,Offensive rebound by M. Williams
6:00.0,,,8-11,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
5:58.0,,,8-11,,Offensive rebound by C. Zeller
5:53.0,,,8-11,,Turnover by N. Batum (bad pass; steal by A. Horford)
5:44.0,K. Olynyk misses 3-pt shot from 25 ft,,8-11,,
5:43.0,,,8-11,,Defensive rebound by K. Walker
5:37.0,,,8-11,,Shooting foul by K. Olynyk (drawn by K. Walker)
5:37.0,,,8-11,,Charlotte full timeout
5:37.0,,,8-12,1,K. Walker makes free throw 1 of 2
5:37.0,,,8-13,1,K. Walker makes free throw 2 of 2
5:37.0,,,8-11,,F. Kaminsky enters the game for M. Williams
5:37.0,M. Smart enters the game for J. Crowder,,8-11,,
5:37.0,J. Jerebko enters the game for A. Horford,,8-11,,
5:24.0,I. Thomas makes 2-pt shot at rim (assist by K. Olynyk),2,10-13,,
5:07.0,,,10-16,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
4:47.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Jerebko),2,12-16,,
4:31.0,,,12-16,,N. Batum misses 2-pt shot from 19 ft
