time,Cleveland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Thompson (D. Favors gains possession),,,,Jump ball: R. Gobert vs. T. Thompson (D. Favors gains possession)
11:42.0,,,0-0,,Turnover by R. Gobert (bad pass)
11:30.0,K. Love misses 2-pt shot from 22 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by G. Hayward
11:19.0,,,0-0,,R. Hood misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by K. Irving,,0-0,,
10:55.0,D. Liggins makes 3-pt shot from 24 ft (assist by T. Thompson),3,3-0,,
10:34.0,,,3-0,,Turnover by G. Hill (lost ball; steal by K. Irving)
10:29.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,5-0,,
10:11.0,,,5-2,2,G. Hayward makes 2-pt shot from 20 ft (assist by G. Hill)
9:58.0,K. Irving makes 2-pt shot from 12 ft,2,7-2,,
9:40.0,,,7-4,2,D. Favors makes 2-pt shot from 3 ft
9:17.0,Turnover by D. Liggins (bad pass; steal by R. Hood),,7-4,,
9:13.0,,,7-6,2,G. Hill makes 2-pt shot from 2 ft (assist by R. Hood)
9:06.0,K. Irving makes 3-pt shot from 26 ft (assist by K. Love),3,10-6,,
8:43.0,,,10-6,,D. Favors misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by L. James,,10-6,,
8:35.0,Turnover by L. James (bad pass),,10-6,,
8:35.0,Loose ball foul by T. Thompson (drawn by G. Hayward),,10-6,,
8:10.0,,,10-6,,R. Hood misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by L. James,,10-6,,
8:05.0,Shooting foul by G. Hill (drawn by L. James),,10-6,,
8:05.0,L. James makes free throw 1 of 2,1,11-6,,
8:05.0,L. James makes free throw 2 of 2,1,12-6,,
7:54.0,Personal foul by D. Liggins (drawn by G. Hayward),,12-6,,
7:49.0,,,12-8,2,G. Hill makes 2-pt shot at rim
7:37.0,L. James misses 2-pt shot from 6 ft,,12-8,,
7:36.0,,,12-8,,Defensive rebound by R. Gobert
7:31.0,,,12-10,2,R. Hood makes 2-pt shot from 2 ft
7:17.0,L. James misses 2-pt shot from 23 ft,,12-10,,
7:16.0,,,12-10,,Defensive rebound by R. Hood
7:09.0,,,12-10,,Turnover by R. Hood (bad pass; steal by L. James)
7:06.0,Shooting foul by R. Hood (drawn by L. James),,12-10,,
7:06.0,L. James makes free throw 1 of 2,1,13-10,,
7:06.0,L. James makes free throw 2 of 2,1,14-10,,
6:50.0,,,14-13,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
6:32.0,Turnover by D. Liggins (bad pass; steal by G. Hayward),,14-13,,
6:27.0,,,14-15,2,G. Hayward makes 2-pt shot at rim (assist by R. Gobert)
6:26.0,Cleveland full timeout,,14-15,,
6:26.0,Violation by Team (jump ball),,14-15,,
6:12.0,K. Love makes 2-pt shot from 21 ft (assist by L. James),2,16-15,,
5:48.0,,,16-15,,G. Hill misses 2-pt shot from 8 ft
5:48.0,Defensive rebound by K. Love,,16-15,,
5:42.0,D. Liggins makes 3-pt shot from 24 ft (assist by L. James),3,19-15,,
5:24.0,,,19-17,2,D. Favors makes 2-pt shot from 18 ft (assist by G. Hill)
5:05.0,K. Irving misses 2-pt shot from 9 ft,,19-17,,
5:05.0,,,19-17,,Defensive rebound by R. Gobert
4:49.0,,,19-19,2,D. Favors makes 2-pt shot from 7 ft
4:36.0,K. Love misses 3-pt shot from 25 ft,,19-19,,
4:35.0,Offensive rebound by T. Thompson,,19-19,,
4:32.0,T. Thompson makes 2-pt shot at rim,2,21-19,,
4:17.0,,,21-19,,R. Gobert misses 2-pt shot from 3 ft (block by D. Liggins)
4:17.0,,,21-19,,Offensive rebound by D. Favors
4:15.0,,,21-21,2,D. Favors makes 2-pt shot from 1 ft
4:06.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,23-21,,
3:43.0,,,23-21,,G. Hill misses 2-pt shot from 22 ft
3:43.0,Defensive rebound by L. James,,23-21,,
3:37.0,D. Liggins misses 3-pt shot from 25 ft,,23-21,,
3:36.0,,,23-21,,Defensive rebound by R. Gobert
3:25.0,,,23-24,3,G. Hill makes 3-pt shot from 25 ft (assist by G. Hayward)
3:10.0,Offensive foul by T. Thompson,,23-24,,
3:10.0,Turnover by T. Thompson (offensive foul),,23-24,,
3:10.0,,,23-24,,Utah full timeout
3:10.0,I. Shumpert enters the game for T. Thompson,,23-24,,
3:10.0,C. Frye enters the game for D. Liggins,,23-24,,
3:10.0,,,23-24,,S. Mack enters the game for G. Hill
3:10.0,,,23-24,,J. Ingles enters the game for R. Hood
3:10.0,,,23-24,,T. Lyles enters the game for D. Favors
3:10.0,,,23-24,,Violation by Team (jump ball)
2:59.0,,,23-24,,G. Hayward misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by K. Love,,23-24,,
2:47.0,K. Irving misses 2-pt shot from 6 ft,,23-24,,
2:47.0,Offensive rebound by I. Shumpert,,23-24,,
2:43.0,C. Frye misses 3-pt shot from 25 ft,,23-24,,
2:43.0,,,23-24,,Defensive rebound by G. Hayward
2:31.0,,,23-24,,T. Lyles misses 3-pt shot from 23 ft
2:31.0,,,23-24,,Offensive rebound by T. Lyles
2:24.0,,,23-24,,Turnover by S. Mack (bad pass; steal by L. James)
2:20.0,L. James misses 2-pt shot from 3 ft,,23-24,,
2:19.0,,,23-24,,Defensive rebound by G. Hayward
2:13.0,,,23-26,2,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles)
2:09.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,25-26,,
2:09.0,Shooting foul by S. Mack (drawn by L. James),,25-26,,
2:09.0,Technical foul by L. James,,25-26,,
2:09.0,,,25-27,1,G. Hayward makes technical free throw
2:09.0,L. James misses free throw 1 of 1,,25-27,,
2:09.0,,,25-27,,J. Johnson enters the game for G. Hayward
2:09.0,K. Korver enters the game for K. Irving,,25-27,,
2:08.0,,,25-27,,Defensive rebound by R. Gobert
1:46.0,,,25-29,2,T. Lyles makes 2-pt shot from 11 ft
1:19.0,K. Korver misses 2-pt shot from 21 ft,,25-29,,
1:19.0,Offensive rebound by Team,,25-29,,
1:19.0,Turnover by Team (shot clock),,25-29,,
1:19.0,K. Felder enters the game for L. James,,25-29,,
1:00.0,,,25-29,,J. Johnson misses 3-pt shot from 28 ft
0:59.0,Defensive rebound by K. Love,,25-29,,
0:47.0,K. Love misses 2-pt shot from 8 ft,,25-29,,
0:47.0,,,25-29,,Defensive rebound by R. Gobert
0:47.0,,,25-29,,Offensive foul by R. Gobert
0:47.0,,,25-29,,Turnover by R. Gobert (offensive foul)
0:47.0,,,25-29,,D. Favors enters the game for R. Gobert
0:43.0,K. Korver makes 2-pt shot from 20 ft (assist by K. Felder),2,27-29,,
0:35.0,Personal foul by I. Shumpert (drawn by J. Johnson),,27-29,,
0:32.0,Personal foul by I. Shumpert (drawn by D. Favors),,27-29,,
0:32.0,,,27-29,,D. Favors misses free throw 1 of 2
0:32.0,,,27-29,,Offensive rebound by Team
0:32.0,,,27-29,,D. Favors misses free throw 2 of 2
0:31.0,Defensive rebound by C. Frye,,27-29,,
0:17.0,Shooting foul by D. Favors (drawn by C. Frye),,27-29,,
0:17.0,C. Frye makes free throw 1 of 2,1,28-29,,
0:17.0,C. Frye makes free throw 2 of 2,1,29-29,,
0:17.0,R. Jefferson enters the game for I. Shumpert,,28-29,,
0:02.0,,,29-29,,J. Johnson misses 3-pt shot from 24 ft
0:01.0,,,29-29,,Offensive rebound by T. Lyles
0:00.0,,,29-29,,T. Lyles misses 2-pt shot from 7 ft
0:00.0,,,29-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Offensive foul by C. Frye,,29-29,,
11:51.0,Turnover by C. Frye (offensive foul),,29-29,,
