time,Portland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,E. Fournier misses 2-pt shot from 2 ft (block by J. Nurkic)
12:00.0,Jump ball: J. Nurkic vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: J. Nurkic vs. N. Vucevic (A. Gordon gains possession)
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-0,,Turnover by E. Fournier (bad pass)
11:30.0,Turnover by N. Vonleh (illegal assist),,0-0,,
11:17.0,,,0-0,,N. Vucevic misses 2-pt shot from 19 ft
11:15.0,Defensive rebound by M. Harkless,,0-0,,
11:06.0,D. Lillard misses 2-pt shot from 20 ft,,0-0,,
11:03.0,Offensive rebound by N. Vonleh,,0-0,,
10:52.0,D. Lillard misses 2-pt shot from 2 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by N. Vucevic
10:31.0,,,0-0,,E. Fournier misses 2-pt shot from 8 ft
10:30.0,,,0-0,,Offensive rebound by A. Gordon
10:30.0,,,0-0,,A. Gordon misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by J. Nurkic,,0-0,,
10:22.0,Shooting foul by T. Ross (drawn by C. McCollum),,0-0,,
10:22.0,C. McCollum makes free throw 1 of 2,1,1-0,,
10:22.0,C. McCollum makes free throw 2 of 2,1,2-0,,
10:12.0,,,2-0,,N. Vucevic misses 2-pt shot from 22 ft
10:10.0,,,2-0,,Offensive rebound by A. Gordon
10:07.0,,,2-2,2,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon)
9:49.0,Turnover by N. Vonleh (bad pass; steal by T. Ross),,2-2,,
9:41.0,,,2-2,,T. Ross misses 3-pt shot from 27 ft
9:40.0,,,2-2,,Offensive rebound by A. Gordon
9:33.0,,,2-2,,A. Gordon misses 2-pt shot from 2 ft (block by N. Vonleh)
9:29.0,,,2-2,,Offensive rebound by A. Gordon
9:29.0,,,2-4,2,A. Gordon makes 2-pt shot from 2 ft
9:15.0,C. McCollum misses 2-pt shot from 6 ft,,2-4,,
9:13.0,,,2-4,,Defensive rebound by Team
9:05.0,,,2-4,,Turnover by N. Vucevic (lost ball; steal by J. Nurkic)
8:59.0,D. Lillard misses 2-pt shot from 1 ft (block by E. Payton),,2-4,,
8:55.0,,,2-4,,Defensive rebound by E. Payton
8:51.0,,,2-4,,T. Ross misses 2-pt shot from 8 ft (block by M. Harkless)
8:50.0,,,2-4,,Offensive rebound by Team
8:41.0,,,2-4,,N. Vucevic misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by N. Vonleh,,2-4,,
8:20.0,J. Nurkic misses 2-pt shot from 2 ft (block by A. Gordon),,2-4,,
8:20.0,Offensive rebound by Team,,2-4,,
8:14.0,C. McCollum misses 3-pt shot from 25 ft,,2-4,,
8:14.0,Offensive rebound by Team,,2-4,,
8:14.0,Turnover by Team (shot clock),,2-4,,
8:02.0,,,2-6,2,E. Payton makes 2-pt shot from 17 ft
7:48.0,J. Nurkic makes 2-pt shot from 2 ft,2,4-6,,
7:36.0,,,4-6,,Shooting foul by D. Lillard (drawn by E. Payton)
7:36.0,,,4-6,,E. Payton misses free throw 1 of 2
7:36.0,,,4-6,,Offensive rebound by Team
7:36.0,,,4-6,,E. Payton misses free throw 2 of 2
7:34.0,Defensive rebound by M. Harkless,,4-6,,
7:30.0,,,4-6,,Personal foul by N. Vucevic (drawn by J. Nurkic)
7:24.0,J. Nurkic misses 2-pt shot from 2 ft,,4-6,,
7:22.0,Offensive rebound by J. Nurkic,,4-6,,
7:21.0,J. Nurkic makes 2-pt shot from 2 ft,2,6-6,,
7:05.0,,,6-6,,Shooting foul by N. Vonleh (drawn by N. Vucevic)
7:05.0,,,6-6,,N. Vucevic misses free throw 1 of 2
7:05.0,,,6-6,,Offensive rebound by Team
7:05.0,,,6-7,1,N. Vucevic makes free throw 2 of 2
6:49.0,Turnover by J. Nurkic (offensive goaltending),,6-7,,
