time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Zeller (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. C. Zeller (D. Augustin gains possession)
11:43.0,,,0-2,2,S. Ibaka makes 2-pt shot from 13 ft (assist by D. Augustin)
11:22.0,M. Kidd-Gilchrist makes 2-pt shot from 8 ft,2,2-2,,
11:10.0,,,2-2,,J. Meeks misses 3-pt shot from 26 ft
11:09.0,,,2-2,,Offensive rebound by A. Gordon
10:53.0,,,2-2,,B. Biyombo misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by K. Walker,,2-2,,
10:38.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,4-2,,
10:17.0,,,4-2,,S. Ibaka misses 2-pt shot from 14 ft
10:16.0,Defensive rebound by M. Williams,,4-2,,
10:08.0,Turnover by N. Batum (bad pass; steal by J. Meeks),,4-2,,
9:48.0,,,4-2,,A. Gordon misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by M. Kidd-Gilchrist,,4-2,,
9:30.0,Turnover by K. Walker (bad pass),,4-2,,
9:16.0,,,4-2,,Shooting foul by K. Walker (drawn by D. Augustin)
9:16.0,,,4-3,1,D. Augustin makes free throw 1 of 2
9:16.0,,,4-4,1,D. Augustin makes free throw 2 of 2
9:06.0,K. Walker makes 2-pt shot from 19 ft,2,6-4,,
8:50.0,,,6-4,,Turnover by D. Augustin (bad pass; steal by M. Kidd-Gilchrist)
8:47.0,Shooting foul by A. Gordon (drawn by M. Kidd-Gilchrist),,6-4,,
8:47.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,7-4,,
8:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,8-4,,
8:32.0,,,8-4,,Turnover by D. Augustin (lost ball)
8:21.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,10-4,,
8:03.0,,,10-6,2,S. Ibaka makes 2-pt shot from 11 ft
7:50.0,K. Walker makes 2-pt shot from 3 ft,2,12-6,,
7:29.0,,,12-8,2,B. Biyombo makes 2-pt shot at rim (assist by S. Ibaka)
7:15.0,C. Zeller makes 2-pt shot from 2 ft,2,14-8,,
7:02.0,,,14-10,2,D. Augustin makes 2-pt shot from 7 ft
6:51.0,K. Walker misses 3-pt shot from 25 ft,,14-10,,
6:49.0,,,14-10,,Defensive rebound by A. Gordon
6:36.0,,,14-12,2,S. Ibaka makes 2-pt shot from 12 ft (assist by D. Augustin)
6:22.0,N. Batum misses 2-pt shot from 15 ft,,14-12,,
6:21.0,Offensive rebound by C. Zeller,,14-12,,
6:13.0,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker),3,17-12,,
5:50.0,,,17-14,2,S. Ibaka makes 2-pt shot from 13 ft
5:35.0,N. Batum makes 2-pt shot from 19 ft,2,19-14,,
5:28.0,,,19-14,,Orlando full timeout
5:28.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19-14,,
5:12.0,Personal foul by M. Williams (drawn by B. Biyombo),,19-14,,
5:10.0,,,19-14,,Offensive foul by B. Biyombo
5:10.0,,,19-14,,Turnover by B. Biyombo (offensive foul)
5:10.0,,,19-14,,N. Vucevic enters the game for B. Biyombo
5:10.0,,,19-14,,E. Payton enters the game for D. Augustin
4:58.0,N. Batum misses 3-pt shot from 26 ft,,19-14,,
4:57.0,,,19-14,,Defensive rebound by J. Meeks
4:49.0,,,19-17,3,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton)
4:28.0,C. Zeller misses 2-pt shot from 2 ft,,19-17,,
4:27.0,,,19-17,,Defensive rebound by N. Vucevic
4:19.0,,,19-19,2,J. Meeks makes 2-pt shot from 2 ft (assist by E. Payton)
3:58.0,K. Walker makes 3-pt shot from 25 ft,3,22-19,,
3:35.0,,,22-22,3,J. Meeks makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:27.0,Charlotte full timeout,,22-22,,
3:27.0,R. Sessions enters the game for M. Williams,,22-22,,
3:27.0,F. Kaminsky enters the game for K. Walker,,22-22,,
3:27.0,,,22-22,,J. Green enters the game for A. Gordon
3:13.0,C. Zeller misses 2-pt shot from 2 ft (block by S. Ibaka),,22-22,,
3:10.0,,,22-22,,Defensive rebound by N. Vucevic
3:04.0,,,22-24,2,S. Ibaka makes 2-pt shot from 3 ft (assist by J. Meeks)
2:52.0,F. Kaminsky misses 3-pt shot from 25 ft,,22-24,,
2:50.0,,,22-24,,Defensive rebound by S. Ibaka
