time,Detroit,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Nurkic (T. Harris gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (T. Harris gains possession)
11:40.0,M. Morris misses 3-pt shot from 26 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by E. Mudiay
11:16.0,,,0-0,,G. Harris misses 2-pt shot from 19 ft
11:15.0,Defensive rebound by A. Drummond,,0-0,,
11:00.0,T. Harris misses 2-pt shot from 9 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by D. Gallinari
10:53.0,,,0-0,,K. Faried misses 2-pt shot at rim
10:51.0,Defensive rebound by T. Harris,,0-0,,
10:46.0,I. Smith makes 2-pt shot from 20 ft,2,2-0,,
10:28.0,,,2-0,,E. Mudiay misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by M. Morris,,2-0,,
10:23.0,I. Smith misses 2-pt shot from 3 ft (block by K. Faried),,2-0,,
10:22.0,Offensive rebound by Team,,2-0,,
10:09.0,T. Harris makes 2-pt shot from 9 ft,2,4-0,,
10:00.0,,,4-0,,Shooting foul by T. Harris (drawn by D. Gallinari)
10:00.0,,,4-1,1,D. Gallinari makes free throw 1 of 2
10:00.0,,,4-2,1,D. Gallinari makes free throw 2 of 2
9:46.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Nurkic),,4-2,,
9:42.0,Personal foul by K. Caldwell-Pope (drawn by K. Faried),,4-2,,
9:38.0,,,4-2,,Turnover by D. Gallinari (bad pass; steal by A. Drummond)
9:27.0,A. Drummond makes 2-pt shot at rim,2,6-2,,
9:09.0,,,6-2,,K. Faried misses 2-pt shot from 3 ft
9:06.0,,,6-2,,Offensive rebound by K. Faried
9:06.0,,,6-4,2,K. Faried makes 2-pt shot from 2 ft
8:58.0,Shooting foul by D. Gallinari (drawn by T. Harris),,6-4,,
8:58.0,T. Harris makes free throw 1 of 2,1,7-4,,
8:58.0,T. Harris makes free throw 2 of 2,1,8-4,,
8:50.0,,,8-4,,Turnover by K. Faried (bad pass; steal by K. Caldwell-Pope)
8:47.0,K. Caldwell-Pope makes 2-pt shot at rim,2,10-4,,
8:47.0,,,10-4,,Denver full timeout
8:23.0,,,10-4,,Turnover by Team (shot clock)
8:07.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,10-4,,
8:07.0,,,10-4,,Defensive rebound by D. Gallinari
8:00.0,,,10-4,,Turnover by E. Mudiay (bad pass; steal by K. Caldwell-Pope)
7:50.0,T. Harris misses 2-pt shot from 6 ft,,10-4,,
7:49.0,Offensive rebound by T. Harris,,10-4,,
7:47.0,T. Harris makes 2-pt shot from 5 ft,2,12-4,,
7:31.0,,,12-4,,D. Gallinari misses 2-pt shot from 18 ft
7:31.0,,,12-4,,Offensive rebound by J. Nurkic
7:29.0,,,12-4,,Turnover by J. Nurkic (lost ball; steal by I. Smith)
7:23.0,Shooting foul by G. Harris (drawn by K. Caldwell-Pope),,12-4,,
7:23.0,K. Caldwell-Pope misses free throw 1 of 2,,12-4,,
7:23.0,Offensive rebound by Team,,12-4,,
7:23.0,K. Caldwell-Pope makes free throw 2 of 2,1,13-4,,
7:23.0,,,12-4,,W. Chandler enters the game for K. Faried
7:23.0,,,12-4,,N. Jokic enters the game for J. Nurkic
7:04.0,,,13-6,2,E. Mudiay makes 2-pt shot from 2 ft
6:46.0,Turnover by I. Smith (lost ball; steal by W. Chandler),,13-6,,
6:36.0,,,13-9,3,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Chandler)
6:21.0,K. Caldwell-Pope makes 2-pt shot from 20 ft,2,15-9,,
6:02.0,,,15-9,,W. Chandler misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by A. Drummond,,15-9,,
5:51.0,I. Smith makes 2-pt shot from 2 ft,2,17-9,,
5:39.0,,,17-12,3,E. Mudiay makes 3-pt shot from 25 ft (assist by D. Gallinari)
5:20.0,M. Morris misses 3-pt shot from 24 ft,,17-12,,
5:20.0,,,17-12,,Defensive rebound by W. Chandler
5:14.0,,,17-12,,E. Mudiay misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by A. Drummond,,17-12,,
4:56.0,A. Drummond makes 2-pt shot from 6 ft (assist by T. Harris),2,19-12,,
4:42.0,,,19-12,,Turnover by E. Mudiay (bad pass; steal by M. Morris)
4:38.0,M. Morris makes 2-pt shot from 1 ft,2,21-12,,
4:38.0,,,21-12,,Denver full timeout
4:38.0,,,21-12,,J. Nelson enters the game for G. Harris
4:38.0,,,21-12,,J. Murray enters the game for E. Mudiay
4:38.0,J. Leuer enters the game for M. Morris,,21-12,,
4:14.0,,,21-14,2,D. Gallinari makes 2-pt shot from 9 ft
3:51.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,23-14,,
3:35.0,,,23-16,2,W. Chandler makes 2-pt shot from 2 ft
3:20.0,I. Smith makes 2-pt shot from 1 ft,2,25-16,,
3:10.0,,,25-16,,W. Chandler misses 2-pt shot from 16 ft
3:09.0,,,25-16,,Offensive rebound by N. Jokic
3:02.0,,,25-16,,Turnover by J. Nelson (bad pass; steal by I. Smith)
2:55.0,A. Drummond misses 2-pt shot from 5 ft,,25-16,,
2:55.0,Offensive rebound by I. Smith,,25-16,,
2:49.0,J. Leuer makes 2-pt shot from 9 ft (assist by I. Smith),2,27-16,,
2:24.0,,,27-16,,J. Murray misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by T. Harris,,27-16,,
2:13.0,J. Leuer makes 2-pt shot from 16 ft (assist by T. Harris),2,29-16,,
1:58.0,,,29-18,2,J. Murray makes 2-pt shot from 1 ft
1:54.0,Detroit full timeout,,29-18,,
1:54.0,,,29-18,,J. Hernangomez enters the game for D. Gallinari
1:54.0,B. Udrih enters the game for T. Harris,,29-18,,
1:54.0,A. Baynes enters the game for A. Drummond,,29-18,,
1:54.0,M. Morris enters the game for I. Smith,,29-18,,
1:40.0,B. Udrih misses 2-pt shot from 2 ft,,29-18,,
1:39.0,Offensive rebound by Team,,29-18,,
1:24.0,B. Udrih makes 3-pt shot from 25 ft (assist by M. Morris),3,32-18,,
1:07.0,,,32-21,3,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic)
0:52.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,32-21,,
0:51.0,,,32-21,,Defensive rebound by W. Chandler
0:42.0,,,32-21,,Turnover by W. Chandler (bad pass; steal by J. Leuer)
0:40.0,B. Udrih makes 2-pt shot from 1 ft,2,34-21,,
0:29.0,,,34-21,,J. Nelson misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by A. Baynes,,34-21,,
0:07.0,A. Baynes makes 2-pt shot from 2 ft (assist by B. Udrih),2,36-21,,
0:02.0,,,36-21,,W. Chandler misses 3-pt shot from 25 ft
0:00.0,,,36-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,36-21,,N. Jokic misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by A. Baynes,,36-21,,
11:32.0,S. Johnson misses 2-pt shot from 20 ft,,36-21,,
11:32.0,Offensive rebound by Team,,36-21,,
11:32.0,,,36-21,,Loose ball foul by J. Nelson (drawn by A. Baynes)
11:23.0,B. Udrih makes 2-pt shot from 12 ft,2,38-21,,
11:08.0,,,38-23,2,J. Hernangomez makes 2-pt shot from 1 ft
10:54.0,Offensive foul by A. Baynes,,38-23,,
10:54.0,Turnover by A. Baynes (offensive foul),,38-23,,
10:29.0,,,38-25,2,N. Jokic makes 2-pt shot from 2 ft
10:03.0,J. Leuer makes 2-pt shot from 5 ft (assist by B. Udrih),2,40-25,,
10:03.0,,,40-25,,Denver full timeout
9:43.0,,,40-25,,N. Jokic misses 2-pt shot from 11 ft
9:42.0,Defensive rebound by J. Leuer,,40-25,,
9:38.0,,,40-25,,Shooting block foul by N. Jokic (drawn by A. Baynes)
9:38.0,A. Baynes makes free throw 1 of 2,1,41-25,,
9:38.0,A. Baynes makes free throw 2 of 2,1,42-25,,
9:38.0,,,41-25,,J. Nurkic enters the game for N. Jokic
9:21.0,,,42-27,2,J. Nelson makes 2-pt shot from 7 ft (assist by J. Hernangomez)
9:03.0,M. Morris misses 2-pt shot from 9 ft,,42-27,,
9:02.0,,,42-27,,Defensive rebound by J. Nelson
8:56.0,,,42-29,2,W. Chandler makes 2-pt shot from 17 ft (assist by J. Nelson)
8:36.0,,,42-29,,Violation by J. Nurkic (def goaltending)
8:36.0,S. Johnson makes 2-pt shot from 3 ft (assist by M. Morris),2,44-29,,
8:15.0,,,44-31,2,J. Nelson makes 2-pt shot from 2 ft
8:04.0,Offensive foul by S. Johnson,,44-31,,
8:04.0,Turnover by S. Johnson (offensive foul),,44-31,,
8:04.0,A. Drummond enters the game for A. Baynes,,44-31,,
8:04.0,,,44-31,,G. Harris enters the game for J. Murray
