time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (S. Curry gains possession)
11:46.0,Z. Pachulia misses 2-pt shot from 19 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by M. Chriss
11:35.0,,,0-0,,Shooting foul by J. McAdoo (drawn by A. Len)
11:35.0,,,0-1,1,A. Len makes free throw 1 of 2
11:35.0,,,0-2,1,A. Len makes free throw 2 of 2
11:14.0,S. Curry makes 3-pt shot from 25 ft,3,3-2,,
10:59.0,,,3-2,,M. Chriss misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by Z. Pachulia,,3-2,,
10:46.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by K. Thompson),2,5-2,,
10:33.0,Personal foul by K. Thompson (drawn by A. Len),,5-2,,
10:18.0,,,5-2,,T. Ulis misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by P. McCaw,,5-2,,
10:08.0,P. McCaw makes 2-pt shot from 1 ft (assist by S. Curry),2,7-2,,
9:52.0,,,7-4,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
9:38.0,K. Thompson misses 3-pt shot from 26 ft,,7-4,,
9:37.0,,,7-4,,Defensive rebound by M. Chriss
9:26.0,,,7-4,,T. Ulis misses 2-pt shot from 20 ft
9:26.0,Defensive rebound by K. Thompson,,7-4,,
9:18.0,Turnover by K. Thompson (lost ball; steal by D. Booker),,7-4,,
9:13.0,,,7-7,3,D. Booker makes 3-pt shot from 24 ft
9:00.0,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,10-7,,
8:48.0,,,10-7,,D. Booker misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by K. Thompson,,10-7,,
8:42.0,K. Thompson misses 3-pt shot from 25 ft,,10-7,,
8:41.0,Offensive rebound by J. McAdoo,,10-7,,
8:41.0,J. McAdoo makes 2-pt shot at rim,2,12-7,,
8:24.0,,,12-9,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
8:02.0,K. Thompson misses 2-pt shot from 21 ft,,12-9,,
8:02.0,,,12-9,,Defensive rebound by M. Chriss
7:56.0,,,12-9,,Offensive foul by A. Len
7:56.0,,,12-9,,Turnover by A. Len (offensive foul)
7:41.0,S. Curry makes 3-pt shot from 25 ft,3,15-9,,
7:32.0,,,15-9,,A. Len misses 2-pt shot from 1 ft
7:32.0,,,15-9,,Offensive rebound by A. Len
7:32.0,,,15-11,2,A. Len makes 2-pt shot from 1 ft
7:32.0,,,15-11,,Shooting foul by Z. Pachulia (drawn by A. Len)
7:32.0,,,15-11,,A. Len misses free throw 1 of 1
7:32.0,Defensive rebound by Team,,15-11,,
7:31.0,,,15-11,,Personal foul by T. Ulis (drawn by S. Curry)
7:22.0,Shooting foul by A. Len (drawn by S. Curry),,15-11,,
7:22.0,S. Curry misses free throw 1 of 2,,15-11,,
7:22.0,Offensive rebound by Team,,15-11,,
7:22.0,S. Curry makes free throw 2 of 2,1,16-11,,
7:08.0,,,16-11,,M. Chriss misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by K. Thompson,,16-11,,
6:58.0,S. Curry misses 2-pt shot from 12 ft,,16-11,,
6:58.0,Offensive rebound by J. McAdoo,,16-11,,
6:51.0,S. Curry makes 3-pt shot from 25 ft (assist by P. McCaw),3,19-11,,
6:33.0,,,19-11,,Turnover by T. Ulis (bad pass; steal by S. Curry)
6:28.0,S. Curry makes 2-pt shot from 1 ft,2,21-11,,
6:10.0,,,21-11,,Turnover by T. Ulis (bad pass; steal by K. Thompson)
6:07.0,Shooting foul by D. Booker (drawn by S. Curry),,21-11,,
6:07.0,S. Curry misses free throw 1 of 2,,21-11,,
6:07.0,Offensive rebound by Team,,21-11,,
6:07.0,S. Curry makes free throw 2 of 2,1,22-11,,
6:07.0,,,22-11,,Phoenix full timeout
6:07.0,,,22-11,,D. Bender enters the game for A. Len
5:54.0,,,22-13,2,D. Booker makes 2-pt shot from 14 ft
5:42.0,Turnover by P. McCaw (bad pass; steal by D. Booker),,22-13,,
5:41.0,,,22-13,,Turnover by D. Booker (bad pass; steal by P. McCaw)
5:34.0,K. Thompson misses 3-pt shot from 25 ft,,22-13,,
5:31.0,,,22-13,,Defensive rebound by Team
5:17.0,,,22-13,,D. Booker misses 2-pt shot from 9 ft (block by K. Thompson)
5:17.0,Defensive rebound by Team,,22-13,,
5:17.0,J. McGee enters the game for Z. Pachulia,,22-13,,
5:07.0,J. McAdoo misses 2-pt shot from 2 ft (block by M. Chriss),,22-13,,
5:07.0,,,22-13,,Defensive rebound by T. Warren
4:59.0,,,22-13,,Turnover by T. Warren (lost ball; steal by P. McCaw)
4:51.0,,,22-13,,Personal foul by M. Chriss (drawn by J. McGee)
4:50.0,S. Livingston enters the game for P. McCaw,,22-13,,
4:48.0,K. Thompson makes 2-pt shot from 11 ft,2,24-13,,
4:27.0,Violation by J. McAdoo (kicked ball),,24-13,,
4:19.0,,,24-13,,M. Chriss misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by J. McAdoo,,24-13,,
4:01.0,S. Curry makes 2-pt shot from 20 ft,2,26-13,,
3:50.0,,,26-13,,T. Ulis misses 2-pt shot from 1 ft (block by J. McGee)
3:49.0,,,26-13,,Offensive rebound by Team
3:49.0,M. Barnes enters the game for K. Thompson,,26-13,,
3:42.0,,,26-13,,D. Booker misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by Team,,26-13,,
3:32.0,S. Curry makes 3-pt shot from 25 ft,3,29-13,,
3:14.0,,,29-15,2,T. Ulis makes 2-pt shot from 19 ft (assist by T. Warren)
3:04.0,S. Curry misses 3-pt shot from 26 ft,,29-15,,
3:03.0,,,29-15,,Defensive rebound by T. Ulis
2:56.0,,,29-15,,T. Warren misses 2-pt shot from 20 ft
2:56.0,,,29-15,,Offensive rebound by Team
2:56.0,Loose ball foul by J. McGee (drawn by M. Chriss),,29-15,,
2:56.0,Golden State full timeout,,29-15,,
2:56.0,,,29-15,,D. Jones enters the game for T. Warren
2:56.0,,,29-15,,J. Dudley enters the game for M. Chriss
2:47.0,,,29-15,,D. Bender misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by S. Curry,,29-15,,
2:31.0,S. Curry makes 2-pt shot from 4 ft (assist by S. Livingston),2,31-15,,
2:24.0,,,31-15,,J. Dudley misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by M. Barnes,,31-15,,
2:18.0,S. Livingston makes 2-pt shot from 18 ft,2,33-15,,
2:13.0,I. Clark enters the game for J. McAdoo,,33-15,,
1:57.0,,,33-15,,D. Booker misses 2-pt shot from 2 ft
1:54.0,Defensive rebound by J. McGee,,33-15,,
1:46.0,I. Clark makes 2-pt shot from 2 ft (assist by S. Livingston),2,35-15,,
1:28.0,,,35-15,,T. Ulis misses 2-pt shot from 20 ft
1:28.0,,,35-15,,Offensive rebound by T. Ulis
1:19.0,,,35-18,3,J. Dudley makes 3-pt shot from 26 ft (assist by T. Ulis)
1:15.0,S. Curry misses 3-pt shot from 24 ft,,35-18,,
1:14.0,,,35-18,,Defensive rebound by D. Booker
1:08.0,,,35-18,,J. Dudley misses 2-pt shot from 3 ft
1:07.0,Defensive rebound by J. McGee,,35-18,,
1:07.0,,,35-18,,Personal foul by J. Dudley (drawn by J. McGee)
1:07.0,J. McGee misses free throw 1 of 2,,35-18,,
1:07.0,Offensive rebound by Team,,35-18,,
1:07.0,J. McGee makes free throw 2 of 2,1,36-18,,
1:07.0,,,35-18,,A. Williams enters the game for T. Ulis
0:50.0,,,36-18,,D. Booker misses 2-pt shot from 21 ft
0:49.0,Defensive rebound by M. Barnes,,36-18,,
0:37.0,M. Barnes makes 2-pt shot from 10 ft,2,38-18,,
0:26.0,,,38-18,,Turnover by D. Bender (bad pass; steal by J. McGee)
0:08.0,S. Curry misses 3-pt shot from 26 ft (block by D. Jones),,38-18,,
0:08.0,Offensive rebound by S. Curry,,38-18,,
0:04.0,S. Livingston makes 3-pt shot from 24 ft (assist by S. Curry),3,41-18,,
0:00.0,,,41-18,,D. Jones misses 3-pt shot from 26 ft
0:00.0,,,41-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,41-20,2,D. Jones makes 2-pt shot from 2 ft
11:19.0,Turnover by K. Thompson (bad pass; steal by R. Price),,41-20,,
11:03.0,,,41-20,,D. Bender misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by I. Clark,,41-20,,
10:49.0,Turnover by D. West (3 sec),,41-20,,
10:29.0,,,41-20,,J. Dudley misses 2-pt shot from 5 ft (block by I. Clark)
10:29.0,Defensive rebound by Team,,41-20,,
10:15.0,I. Clark misses 2-pt shot from 1 ft (block by R. Price),,41-20,,
10:14.0,,,41-20,,Defensive rebound by J. Dudley
10:10.0,,,41-20,,D. Jones misses 2-pt shot from 1 ft
10:08.0,,,41-20,,Offensive rebound by D. Bender
10:08.0,,,41-20,,D. Bender misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by S. Livingston,,41-20,,
10:05.0,Shooting foul by R. Price (drawn by I. Clark),,41-20,,
10:05.0,I. Clark makes free throw 1 of 2,1,42-20,,
10:05.0,I. Clark makes free throw 2 of 2,1,43-20,,
10:05.0,,,42-20,,A. Williams enters the game for D. Bender
9:52.0,,,43-20,,Turnover by R. Price (lost ball; steal by S. Livingston)
9:41.0,M. Barnes misses 3-pt shot from 25 ft,,43-20,,
9:41.0,,,43-20,,Defensive rebound by D. Jones
9:26.0,,,43-22,2,A. Williams makes 2-pt shot from 9 ft (assist by R. Price)
9:09.0,K. Thompson misses 3-pt shot from 26 ft,,43-22,,
9:08.0,,,43-22,,Defensive rebound by A. Williams
9:02.0,Violation by D. West (kicked ball),,43-22,,
8:54.0,,,43-25,3,J. Dudley makes 3-pt shot from 25 ft (assist by T. Warren)
8:33.0,K. Thompson misses 3-pt shot from 25 ft,,43-25,,
8:33.0,,,43-25,,Defensive rebound by A. Williams
8:23.0,,,43-25,,Shooting foul by I. Clark (drawn by A. Williams)
8:23.0,Official timeout,,43-25,,
8:23.0,,,43-26,1,A. Williams makes free throw 1 of 2
8:23.0,,,43-26,,A. Williams misses free throw 2 of 2
8:23.0,Defensive rebound by M. Barnes,,43-26,,
8:23.0,,,43-25,,D. Booker enters the game for R. Price
8:23.0,P. McCaw enters the game for S. Livingston,,43-25,,
8:06.0,D. West makes 2-pt shot from 15 ft,2,45-26,,
7:55.0,,,45-26,,Shooting foul by P. McCaw (drawn by A. Williams)
7:55.0,,,45-26,,A. Williams misses free throw 1 of 2
7:55.0,,,45-26,,Offensive rebound by Team
7:55.0,,,45-27,1,A. Williams makes free throw 2 of 2
7:40.0,M. Barnes misses 2-pt shot from 3 ft,,45-27,,
7:39.0,,,45-27,,Defensive rebound by D. Jones
7:19.0,,,45-27,,T. Warren misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by M. Barnes,,45-27,,
7:09.0,K. Thompson misses 2-pt shot from 3 ft,,45-27,,
7:09.0,,,45-27,,Defensive rebound by A. Williams
7:03.0,,,45-29,2,T. Warren makes 2-pt shot from 3 ft (assist by D. Booker)
6:44.0,M. Barnes misses 2-pt shot from 1 ft,,45-29,,
6:43.0,,,45-29,,Defensive rebound by A. Williams
6:32.0,,,45-32,3,D. Booker makes 3-pt shot from 28 ft
6:19.0,Shooting foul by A. Williams (drawn by K. Thompson),,45-32,,
6:19.0,Technical foul by D. West,,45-32,,
6:19.0,,,45-32,,D. Booker misses technical free throw
6:19.0,Offensive rebound by Team,,45-32,,
6:19.0,K. Thompson makes free throw 1 of 2,1,46-32,,
6:19.0,K. Thompson makes free throw 2 of 2,1,47-32,,
6:00.0,,,47-32,,D. Booker misses 2-pt shot from 14 ft
5:59.0,,,47-32,,Offensive rebound by D. Jones
5:59.0,,,47-34,2,D. Jones makes 2-pt shot at rim
5:36.0,I. Clark misses 2-pt shot from 13 ft,,47-34,,
5:36.0,,,47-34,,Defensive rebound by A. Williams
5:26.0,,,47-34,,D. Booker misses 2-pt shot from 9 ft
5:25.0,,,47-34,,Offensive rebound by A. Williams
5:22.0,,,47-34,,A. Williams misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by K. Thompson,,47-34,,
5:13.0,I. Clark misses 3-pt shot from 23 ft,,47-34,,
5:13.0,,,47-34,,Defensive rebound by J. Dudley
5:07.0,,,47-36,2,T. Warren makes 2-pt shot from 2 ft (assist by J. Dudley)
5:07.0,Golden State full timeout,,47-36,,
5:07.0,,,47-36,,T. Ulis enters the game for T. Warren
5:07.0,Z. Pachulia enters the game for K. Thompson,,47-36,,
5:07.0,J. McAdoo enters the game for M. Barnes,,47-36,,
5:07.0,S. Livingston enters the game for I. Clark,,47-36,,
5:07.0,S. Curry enters the game for D. West,,47-36,,
4:50.0,,,47-36,,Personal foul by J. Dudley (drawn by S. Curry)
