time,Minnesota,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Turner (R. Rubio gains possession),,,,Jump ball: K. Towns vs. M. Turner (R. Rubio gains possession)
11:37.0,G. Dieng makes 2-pt shot from 20 ft (assist by A. Wiggins),2,2-0,,
11:21.0,,,2-0,,T. Young misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by K. Towns,,2-0,,
11:13.0,A. Wiggins misses 2-pt shot from 2 ft,,2-0,,
11:11.0,Offensive rebound by K. Towns,,2-0,,
11:08.0,R. Rubio misses 3-pt shot from 25 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by P. George
10:47.0,,,2-0,,Shooting foul by B. Rush (drawn by J. Teague)
10:47.0,,,2-1,1,J. Teague makes free throw 1 of 2
10:47.0,,,2-1,,J. Teague misses free throw 2 of 2
10:47.0,Defensive rebound by G. Dieng,,2-1,,
10:36.0,A. Wiggins misses 2-pt shot from 2 ft (block by M. Turner),,2-1,,
10:35.0,Offensive rebound by A. Wiggins,,2-1,,
10:32.0,Turnover by A. Wiggins (lost ball),,2-1,,
10:27.0,,,2-4,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
10:08.0,G. Dieng makes 2-pt shot from 12 ft,2,4-4,,
9:46.0,,,4-6,2,T. Young makes 2-pt shot from 6 ft (assist by M. Turner)
9:28.0,G. Dieng misses 2-pt shot from 1 ft (block by M. Turner),,4-6,,
9:26.0,,,4-6,,Defensive rebound by J. Teague
9:22.0,,,4-8,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
9:06.0,K. Towns misses 2-pt shot from 13 ft,,4-8,,
9:06.0,,,4-8,,Defensive rebound by M. Turner
8:55.0,Personal block foul by R. Rubio (drawn by J. Teague),,4-8,,
8:48.0,,,4-10,2,T. Young makes 2-pt shot from 6 ft (assist by M. Turner)
8:34.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,7-10,,
8:14.0,,,7-10,,M. Turner misses 2-pt shot from 10 ft
8:14.0,Defensive rebound by K. Towns,,7-10,,
8:03.0,Turnover by R. Rubio (bad pass; steal by M. Ellis),,7-10,,
7:56.0,,,7-12,2,P. George makes 2-pt shot from 1 ft (assist by T. Young)
7:56.0,,,7-12,,Shooting foul by G. Dieng (drawn by P. George)
