time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. N. Vucevic (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. N. Vucevic (G. Antetokounmpo gains possession)
11:40.0,,,0-0,,M. Dellavedova misses 3-pt shot from 28 ft
11:38.0,Defensive rebound by E. Fournier,,0-0,,
11:18.0,E. Payton misses 2-pt shot from 14 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by J. Henson
10:56.0,,,0-0,,G. Antetokounmpo misses 3-pt shot from 30 ft
10:55.0,Defensive rebound by E. Payton,,0-0,,
10:46.0,N. Vucevic misses 2-pt shot from 19 ft,,0-0,,
10:45.0,,,0-0,,Defensive rebound by M. Dellavedova
10:39.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by N. Vucevic)
10:37.0,Defensive rebound by E. Fournier,,0-0,,
10:29.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Fournier),3,3-0,,
10:15.0,,,3-2,2,T. Snell makes 2-pt shot from 19 ft (assist by J. Henson)
9:53.0,J. Green makes 2-pt shot from 15 ft (assist by N. Vucevic),2,5-2,,
9:37.0,,,5-2,,Turnover by M. Dellavedova (bad pass; steal by J. Green)
9:26.0,J. Green makes 2-pt shot from 9 ft,2,7-2,,
9:19.0,,,7-2,,Offensive foul by G. Antetokounmpo
9:19.0,,,7-2,,Turnover by G. Antetokounmpo (offensive foul)
9:09.0,Turnover by N. Vucevic (offensive foul),,7-2,,
9:09.0,Offensive foul by N. Vucevic,,7-2,,
8:53.0,,,7-2,,Turnover by M. Dellavedova (bad pass; steal by E. Payton)
8:33.0,Turnover by S. Ibaka (lost ball; steal by J. Parker),,7-2,,
8:27.0,,,7-2,,Turnover by M. Dellavedova (bad pass; steal by S. Ibaka)
8:19.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton),3,10-2,,
8:18.0,,,10-2,,Milwaukee full timeout
8:12.0,,,10-2,,Turnover by M. Dellavedova (lost ball; steal by E. Payton)
7:49.0,J. Green makes 2-pt shot from 15 ft,2,12-2,,
7:25.0,,,12-2,,J. Henson misses 2-pt shot from 14 ft
7:24.0,Defensive rebound by S. Ibaka,,12-2,,
7:17.0,E. Fournier makes 2-pt shot from 1 ft (assist by J. Green),2,14-2,,
7:05.0,,,14-2,,J. Parker misses 2-pt shot from 3 ft
7:03.0,Defensive rebound by N. Vucevic,,14-2,,
6:56.0,Turnover by J. Green (step out of bounds),,14-2,,
6:56.0,,,14-2,,M. Brogdon enters the game for G. Antetokounmpo
6:56.0,,,14-2,,M. Teletovic enters the game for J. Parker
6:56.0,,,14-2,,M. Beasley enters the game for M. Dellavedova
6:42.0,,,14-2,,Turnover by M. Brogdon (lost ball; steal by S. Ibaka)
6:40.0,Shooting foul by M. Teletovic (drawn by J. Green),,14-2,,
6:40.0,J. Green makes free throw 1 of 2,1,15-2,,
6:40.0,J. Green makes free throw 2 of 2,1,16-2,,
6:29.0,,,16-4,2,M. Beasley makes 2-pt shot from 14 ft
6:18.0,,,16-4,,Personal foul by J. Henson (drawn by J. Green)
6:10.0,Turnover by N. Vucevic (bad pass; steal by M. Brogdon),,16-4,,
5:58.0,,,16-6,2,M. Beasley makes 2-pt shot from 1 ft
5:48.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,18-6,,
5:34.0,,,18-6,,Turnover by M. Brogdon (bad pass; steal by E. Payton)
5:30.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,20-6,,
5:15.0,,,20-6,,J. Henson misses 2-pt shot from 4 ft (block by S. Ibaka)
5:15.0,,,20-6,,Offensive rebound by Team
5:08.0,,,20-8,2,T. Snell makes 2-pt shot at rim (assist by J. Henson)
4:50.0,N. Vucevic misses 2-pt shot from 15 ft,,20-8,,
4:49.0,,,20-8,,Defensive rebound by M. Teletovic
4:35.0,,,20-8,,M. Brogdon misses 2-pt shot from 11 ft
4:33.0,Defensive rebound by N. Vucevic,,20-8,,
4:24.0,E. Fournier misses 3-pt shot from 25 ft,,20-8,,
4:23.0,Offensive rebound by S. Ibaka,,20-8,,
4:20.0,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Green),2,22-8,,
4:18.0,,,22-8,,Milwaukee full timeout
4:18.0,,,22-8,,M. Dellavedova enters the game for J. Henson
4:18.0,,,22-8,,M. Plumlee enters the game for M. Brogdon
4:07.0,,,22-10,2,M. Beasley makes 2-pt shot from 19 ft (assist by M. Dellavedova)
3:40.0,E. Payton misses 3-pt shot from 25 ft,,22-10,,
3:40.0,Offensive rebound by Team,,22-10,,
3:40.0,Turnover by Team (shot clock),,22-10,,
3:32.0,,,22-10,,M. Teletovic misses 3-pt shot from 24 ft
3:30.0,,,22-10,,Offensive rebound by M. Plumlee
3:29.0,,,22-10,,Shooting foul by E. Payton (drawn by M. Teletovic)
3:29.0,,,22-10,,M. Teletovic misses free throw 1 of 2
3:29.0,,,22-10,,Offensive rebound by Team
3:29.0,,,22-11,1,M. Teletovic makes free throw 2 of 2
3:29.0,A. Gordon enters the game for N. Vucevic,,22-10,,
3:29.0,B. Biyombo enters the game for J. Green,,22-10,,
3:17.0,Turnover by B. Biyombo (bad pass; steal by M. Teletovic),,22-11,,
3:12.0,,,22-11,,T. Snell misses 3-pt shot from 28 ft
3:10.0,Defensive rebound by B. Biyombo,,22-11,,
3:01.0,,,22-11,,Personal foul by M. Teletovic (drawn by S. Ibaka)
2:54.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,24-11,,
2:32.0,,,24-11,,M. Teletovic misses 3-pt shot from 26 ft
2:31.0,,,24-11,,Offensive rebound by M. Plumlee
2:30.0,,,24-11,,Shooting foul by A. Gordon (drawn by M. Teletovic)
2:30.0,,,24-12,1,M. Teletovic makes free throw 1 of 2
2:30.0,,,24-12,,M. Teletovic misses free throw 2 of 2
2:29.0,Defensive rebound by B. Biyombo,,24-12,,
