time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,J. Redick misses 3-pt shot from 25 ft
12:00.0,Jump ball: W. Cauley-Stein vs. D. Jordan (C. Paul gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Jordan (C. Paul gains possession)
11:37.0,Defensive rebound by W. Cauley-Stein,,0-0,,
11:19.0,A. Afflalo makes 2-pt shot from 13 ft (assist by S. Labissiere),2,2-0,,
10:59.0,,,2-2,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
10:38.0,B. Hield misses 2-pt shot from 3 ft (block by D. Jordan),,2-2,,
10:36.0,,,2-2,,Defensive rebound by B. Griffin
10:33.0,,,2-2,,Shooting foul by S. Labissiere (drawn by L. Mbah a Moute)
10:33.0,,,2-2,,L. Mbah a Moute misses free throw 1 of 2
10:33.0,,,2-2,,Offensive rebound by Team
10:33.0,,,2-2,,L. Mbah a Moute misses free throw 2 of 2
10:31.0,Defensive rebound by W. Cauley-Stein,,2-2,,
10:11.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by A. Afflalo),2,4-2,,
10:11.0,Shooting foul by B. Griffin (drawn by W. Cauley-Stein),,4-2,,
10:11.0,W. Cauley-Stein makes free throw 1 of 1,1,5-2,,
9:57.0,,,5-5,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
9:37.0,B. Hield misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,5-5,,
9:34.0,,,5-5,,Defensive rebound by C. Paul
9:31.0,Personal foul by L. Galloway,,5-5,,
9:23.0,,,5-5,,L. Mbah a Moute misses 2-pt shot from 19 ft
9:22.0,Defensive rebound by W. Cauley-Stein,,5-5,,
9:14.0,A. Afflalo misses 2-pt shot from 11 ft,,5-5,,
9:10.0,,,5-5,,Defensive rebound by B. Griffin
9:00.0,,,5-5,,L. Mbah a Moute misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by S. Labissiere,,5-5,,
8:51.0,W. Cauley-Stein misses 2-pt shot from 12 ft,,5-5,,
8:47.0,,,5-5,,Defensive rebound by D. Jordan
8:40.0,,,5-5,,C. Paul misses 2-pt shot from 13 ft
8:35.0,Defensive rebound by A. Afflalo,,5-5,,
8:31.0,B. Hield makes 3-pt shot from 27 ft (assist by A. Afflalo),3,8-5,,
8:17.0,,,8-5,,J. Redick misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by A. Afflalo,,8-5,,
8:10.0,,,8-5,,Personal foul by J. Redick
8:01.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by D. Jordan),,8-5,,
7:59.0,,,8-5,,Defensive rebound by L. Mbah a Moute
7:53.0,,,8-8,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
7:29.0,B. Hield makes 3-pt shot from 24 ft (assist by W. Cauley-Stein),3,11-8,,
7:10.0,,,11-8,,B. Griffin misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by B. Hield,,11-8,,
7:01.0,W. Cauley-Stein misses 2-pt shot at rim,,11-8,,
6:56.0,,,11-8,,Defensive rebound by B. Griffin
6:53.0,,,11-10,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
6:34.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Hield),2,13-10,,
6:17.0,,,13-10,,D. Jordan misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by W. Cauley-Stein,,13-10,,
6:03.0,Turnover by S. Labissiere (lost ball; steal by C. Paul),,13-10,,
6:00.0,,,13-10,,C. Paul misses 3-pt shot from 25 ft
5:58.0,,,13-10,,Offensive rebound by B. Griffin
5:58.0,,,13-12,2,B. Griffin makes 2-pt shot from 1 ft
5:31.0,B. Hield makes 2-pt shot from 15 ft (assist by A. Afflalo),2,15-12,,
5:16.0,,,15-15,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin)
4:57.0,B. Hield misses 2-pt shot from 19 ft,,15-15,,
4:54.0,,,15-15,,Defensive rebound by C. Paul
4:48.0,,,15-17,2,C. Paul makes 2-pt shot from 16 ft
4:31.0,L. Galloway misses 2-pt shot from 3 ft,,15-17,,
4:28.0,,,15-17,,Defensive rebound by D. Jordan
4:28.0,,,15-17,,LA Clippers full timeout
4:28.0,G. Papagiannis enters the game for S. Labissiere,,15-17,,
4:28.0,B. McLemore enters the game for B. Hield,,15-17,,
4:11.0,,,15-19,2,J. Redick makes 2-pt shot from 4 ft (assist by B. Griffin)
4:11.0,,,15-19,,Shooting foul by B. McLemore
4:11.0,,,15-20,1,J. Redick makes free throw 1 of 1
4:11.0,,,15-19,,J. Crawford enters the game for L. Mbah a Moute
3:51.0,B. McLemore makes 2-pt shot from 20 ft (assist by W. Cauley-Stein),2,17-20,,
3:37.0,,,17-20,,Shooting foul by B. McLemore
3:37.0,,,17-21,1,J. Redick makes free throw 1 of 2
3:37.0,,,17-22,1,J. Redick makes free throw 2 of 2
3:37.0,,,17-21,,M. Speights enters the game for B. Griffin
3:20.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,17-22,,
3:17.0,,,17-22,,Defensive rebound by D. Jordan
3:07.0,,,17-22,,M. Speights misses 3-pt shot from 26 ft
3:06.0,,,17-22,,Offensive rebound by D. Jordan
3:04.0,,,17-24,2,D. Jordan makes 2-pt shot at rim
2:47.0,A. Afflalo makes 2-pt shot from 16 ft (assist by W. Cauley-Stein),2,19-24,,
2:30.0,,,19-24,,M. Speights misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
2:28.0,Defensive rebound by B. McLemore,,19-24,,
2:26.0,,,19-24,,Personal block foul by C. Paul (drawn by B. McLemore)
2:26.0,Sacramento full timeout,,19-24,,
2:26.0,,,19-24,,R. Felton enters the game for C. Paul
2:15.0,A. Afflalo makes 2-pt shot from 16 ft (assist by L. Galloway),2,21-24,,
1:59.0,,,21-24,,J. Crawford misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by W. Cauley-Stein,,21-24,,
1:35.0,G. Papagiannis misses 2-pt shot from 3 ft,,21-24,,
1:33.0,,,21-24,,Defensive rebound by D. Jordan
1:21.0,,,21-27,3,M. Speights makes 3-pt shot from 22 ft (assist by D. Jordan)
0:59.0,Turnover by G. Papagiannis (lost ball),,21-27,,
0:59.0,,,21-27,,W. Johnson enters the game for J. Redick
0:59.0,S. Labissiere enters the game for W. Cauley-Stein,,21-27,,
0:59.0,B. Hield enters the game for L. Galloway,,21-27,,
0:46.0,,,21-27,,R. Felton misses 2-pt shot from 2 ft
0:45.0,,,21-27,,Offensive rebound by D. Jordan
0:45.0,,,21-27,,D. Jordan misses 2-pt shot from 2 ft
0:45.0,,,21-27,,Offensive rebound by D. Jordan
0:45.0,,,21-27,,Shooting foul by B. Hield (drawn by D. Jordan)
0:45.0,,,21-27,,D. Jordan misses free throw 1 of 2
0:45.0,,,21-27,,Offensive rebound by Team
0:45.0,,,21-28,1,D. Jordan makes free throw 2 of 2
0:32.0,B. McLemore misses 2-pt shot from 18 ft,,21-28,,
0:28.0,,,21-28,,Defensive rebound by M. Speights
0:13.0,,,21-30,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:03.0,A. Afflalo makes 2-pt shot from 21 ft,2,23-30,,
0:01.0,,,23-30,,Turnover by M. Speights (bad pass)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Labissiere makes 2-pt shot from 14 ft (assist by A. Afflalo),2,25-30,,
11:29.0,,,25-32,2,B. Bass makes 2-pt shot from 2 ft (assist by R. Felton)
11:14.0,B. McLemore makes 2-pt shot at rim (assist by G. Papagiannis),2,27-32,,
10:55.0,,,27-32,,W. Johnson misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by S. Labissiere,,27-32,,
10:40.0,A. Afflalo makes 2-pt shot from 12 ft,2,29-32,,
10:21.0,,,29-34,2,W. Johnson makes 2-pt shot at rim (assist by R. Felton)
10:07.0,B. Hield misses 2-pt shot from 16 ft,,29-34,,
10:04.0,,,29-34,,Defensive rebound by M. Speights
10:00.0,,,29-34,,Shooting foul by G. Papagiannis (drawn by B. Bass)
10:00.0,,,29-35,1,B. Bass makes free throw 1 of 2
10:00.0,,,29-36,1,B. Bass makes free throw 2 of 2
10:00.0,L. Galloway enters the game for A. Afflalo,,29-35,,
9:43.0,G. Papagiannis makes 2-pt shot from 1 ft (assist by L. Galloway),2,31-36,,
9:33.0,,,31-36,,M. Speights misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by L. Galloway,,31-36,,
