time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,S. Curry misses 3-pt shot from 25 ft
12:00.0,Jump ball: L. Nance vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: L. Nance vs. Z. Pachulia (S. Curry gains possession)
11:44.0,,,0-0,,Offensive rebound by Z. Pachulia
11:35.0,,,0-0,,K. Thompson misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by J. Randle,,0-0,,
11:13.0,T. Ennis misses 2-pt shot from 17 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by S. Curry
11:06.0,,,0-0,,Turnover by S. Curry (bad pass; steal by B. Ingram)
11:02.0,Turnover by J. Randle (bad pass; steal by K. Thompson),,0-0,,
10:49.0,,,0-0,,K. Durant misses 2-pt shot from 17 ft
10:48.0,,,0-0,,Offensive rebound by J. McAdoo
10:48.0,,,0-2,2,J. McAdoo makes 2-pt shot at rim
10:31.0,J. Clarkson makes 3-pt shot from 26 ft,3,3-2,,
10:19.0,,,3-4,2,Z. Pachulia makes 2-pt shot from 18 ft (assist by K. Durant)
10:02.0,L. Nance misses 2-pt shot from 10 ft,,3-4,,
10:01.0,,,3-4,,Defensive rebound by Z. Pachulia
9:45.0,,,3-4,,K. Thompson misses 3-pt shot from 22 ft
9:44.0,,,3-4,,Offensive rebound by Z. Pachulia
9:43.0,Personal foul by L. Nance (drawn by Z. Pachulia),,3-4,,
9:41.0,,,3-4,,Shooting foul by J. Clarkson (drawn by K. Thompson)
9:41.0,,,3-4,,K. Thompson misses free throw 1 of 2
9:41.0,,,3-4,,Offensive rebound by Team
9:41.0,,,3-5,1,K. Thompson makes free throw 2 of 2
9:29.0,,,3-5,,Def 3 sec tech foul by Z. Pachulia
9:29.0,J. Clarkson misses technical free throw,,3-5,,
9:29.0,Offensive rebound by Team,,3-5,,
9:19.0,J. Clarkson makes 2-pt shot from 2 ft (assist by J. Randle),2,5-5,,
9:01.0,,,5-8,3,S. Curry makes 3-pt shot from 25 ft (assist by Z. Pachulia)
8:47.0,J. Randle makes 2-pt shot from 4 ft (assist by B. Ingram),2,7-8,,
8:47.0,Shooting foul by J. McAdoo (drawn by J. Randle),,7-8,,
8:47.0,J. Randle makes free throw 1 of 1,1,8-8,,
8:39.0,,,8-8,,Shooting foul by L. Nance (drawn by Z. Pachulia)
8:39.0,,,8-9,1,Z. Pachulia makes free throw 1 of 2
8:39.0,,,8-10,1,Z. Pachulia makes free throw 2 of 2
8:29.0,B. Ingram misses 2-pt shot from 9 ft,,8-10,,
8:27.0,,,8-10,,Defensive rebound by K. Durant
8:23.0,,,8-13,3,K. Durant makes 3-pt shot from 26 ft
8:09.0,Turnover by B. Ingram (bad pass; steal by J. McAdoo),,8-13,,
7:57.0,,,8-16,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
7:57.0,LA Lakers full timeout,,8-16,,
7:57.0,T. Robinson enters the game for L. Nance,,8-16,,
7:46.0,J. Clarkson makes 2-pt shot from 16 ft,2,10-16,,
7:29.0,,,10-16,,K. Thompson misses 2-pt shot from 19 ft
7:28.0,,,10-16,,Offensive rebound by Z. Pachulia
7:28.0,,,10-18,2,Z. Pachulia makes 2-pt shot at rim
7:18.0,B. Ingram misses 2-pt shot from 1 ft,,10-18,,
