time,Milwaukee,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (T. Snell gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (T. Snell gains possession)
11:45.0,Offensive charge foul by G. Antetokounmpo,,0-0,,
11:45.0,Turnover by G. Antetokounmpo (offensive foul),,0-0,,
11:22.0,,,0-0,,J. Anderson misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by J. Parker,,0-0,,
11:13.0,J. Parker makes 2-pt shot from 17 ft,2,2-0,,
11:00.0,,,2-2,2,J. Anderson makes 2-pt shot from 2 ft (assist by A. Bogut)
10:44.0,J. Parker misses 2-pt shot from 19 ft,,2-2,,
10:43.0,Offensive rebound by M. Plumlee,,2-2,,
10:40.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by J. Anderson
10:23.0,Personal foul by G. Antetokounmpo (drawn by W. Matthews),,2-2,,
10:23.0,M. Beasley enters the game for G. Antetokounmpo,,2-2,,
10:12.0,,,2-4,2,J. Barea makes 2-pt shot from 1 ft (assist by A. Bogut)
10:02.0,M. Dellavedova makes 2-pt shot from 11 ft,2,4-4,,
9:49.0,Personal foul by M. Plumlee (drawn by H. Barnes),,4-4,,
9:40.0,,,4-4,,Turnover by J. Barea (lost ball; steal by M. Plumlee)
9:30.0,Turnover by M. Dellavedova (bad pass; steal by A. Bogut),,4-4,,
9:22.0,,,4-4,,Turnover by W. Matthews (lost ball; steal by M. Beasley)
9:17.0,J. Parker misses 2-pt shot from 2 ft,,4-4,,
9:16.0,,,4-4,,Defensive rebound by J. Anderson
9:05.0,,,4-4,,H. Barnes misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by M. Plumlee,,4-4,,
8:50.0,M. Plumlee misses 2-pt shot from 14 ft,,4-4,,
8:48.0,Offensive rebound by M. Plumlee,,4-4,,
8:30.0,T. Snell misses 3-pt shot from 24 ft,,4-4,,
8:30.0,Offensive rebound by Team,,4-4,,
8:30.0,Jump ball: A. Bogut vs. M. Plumlee (T. Snell gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (T. Snell gains possession)
8:19.0,J. Parker makes 2-pt shot from 18 ft (assist by M. Dellavedova),2,6-4,,
8:08.0,Personal foul by M. Beasley (drawn by J. Anderson),,6-4,,
8:08.0,,,6-4,,D. Powell enters the game for A. Bogut
7:59.0,Violation by J. Parker (kicked ball),,6-4,,
7:59.0,,,6-4,,Turnover by Team (5 sec inbounds)
7:47.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,8-4,,
7:46.0,,,8-4,,Dallas full timeout
7:23.0,,,8-4,,J. Barea misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by M. Dellavedova,,8-4,,
7:14.0,M. Plumlee makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,10-4,,
6:55.0,,,10-4,,H. Barnes misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by M. Beasley,,10-4,,
6:47.0,Turnover by J. Parker (bad pass),,10-4,,
6:34.0,,,10-4,,W. Matthews misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by J. Parker,,10-4,,
6:18.0,M. Beasley makes 2-pt shot from 10 ft (assist by M. Dellavedova),2,12-4,,
6:05.0,,,12-4,,Shooting foul by M. Beasley (drawn by H. Barnes)
6:05.0,,,12-5,1,H. Barnes makes free throw 1 of 2
6:05.0,,,12-6,1,H. Barnes makes free throw 2 of 2
6:05.0,,,12-5,,S. Curry enters the game for J. Barea
6:05.0,,,12-5,,A. Bogut enters the game for D. Powell
6:05.0,G. Monroe enters the game for M. Plumlee,,12-5,,
5:55.0,Turnover by M. Dellavedova (bad pass; steal by J. Anderson),,12-6,,
5:31.0,,,12-6,,J. Anderson misses 3-pt shot from 27 ft
5:30.0,Defensive rebound by M. Beasley,,12-6,,
5:19.0,J. Parker makes 2-pt shot from 18 ft,2,14-6,,
5:01.0,,,14-6,,W. Matthews misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by M. Beasley,,14-6,,
4:47.0,J. Parker makes 2-pt shot from 17 ft,2,16-6,,
4:46.0,,,16-6,,Dallas full timeout
4:46.0,,,16-6,,D. Powell enters the game for H. Barnes
4:46.0,M. Brogdon enters the game for M. Dellavedova,,16-6,,
4:22.0,,,16-6,,D. Powell misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by G. Monroe,,16-6,,
4:10.0,T. Snell makes 3-pt shot from 23 ft (assist by J. Parker),3,19-6,,
3:47.0,,,19-9,3,S. Curry makes 3-pt shot from 23 ft (assist by W. Matthews)
3:26.0,M. Beasley makes 3-pt shot from 25 ft (assist by G. Monroe),3,22-9,,
3:08.0,,,22-9,,W. Matthews misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by Team,,22-9,,
3:07.0,J. Terry enters the game for T. Snell,,22-9,,
2:57.0,G. Monroe misses 2-pt shot from 19 ft,,22-9,,
2:56.0,,,22-9,,Defensive rebound by A. Bogut
2:46.0,,,22-9,,J. Anderson misses 2-pt shot from 15 ft
2:45.0,Defensive rebound by G. Monroe,,22-9,,
2:31.0,Turnover by G. Monroe (lost ball; steal by W. Matthews),,22-9,,
2:14.0,,,22-11,2,J. Anderson makes 2-pt shot from 1 ft
2:01.0,M. Brogdon misses 2-pt shot from 11 ft,,22-11,,
2:00.0,,,22-11,,Defensive rebound by D. Powell
1:54.0,,,22-13,2,S. Curry makes 2-pt shot from 1 ft
1:53.0,Milwaukee full timeout,,22-13,,
1:52.0,,,22-13,,N. Brussino enters the game for J. Anderson
1:52.0,,,22-13,,H. Barnes enters the game for D. Powell
1:52.0,M. Teletovic enters the game for J. Parker,,22-13,,
1:42.0,M. Beasley misses 2-pt shot from 5 ft,,22-13,,
1:41.0,,,22-13,,Defensive rebound by A. Bogut
1:37.0,,,22-15,2,H. Barnes makes 2-pt shot from 2 ft
1:37.0,,,22-15,,Shooting foul by M. Brogdon (drawn by H. Barnes)
1:37.0,,,22-16,1,H. Barnes makes free throw 1 of 1
1:20.0,G. Monroe misses 2-pt shot from 8 ft,,22-16,,
1:18.0,,,22-16,,Defensive rebound by N. Brussino
1:04.0,,,22-16,,S. Curry misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by G. Monroe,,22-16,,
0:50.0,M. Beasley makes 2-pt shot from 8 ft,2,24-16,,
0:33.0,,,24-19,3,W. Matthews makes 3-pt shot from 27 ft
0:21.0,G. Monroe makes 2-pt shot from 6 ft,2,26-19,,
0:21.0,Shooting foul by A. Bogut (drawn by G. Monroe),,26-19,,
0:21.0,G. Monroe makes free throw 1 of 1,1,27-19,,
0:21.0,,,26-19,,J. Barea enters the game for W. Matthews
0:02.0,,,27-19,,Turnover by S. Curry (lost ball; steal by M. Brogdon)
0:00.0,M. Brogdon misses 3-pt shot from 42 ft,,27-19,,
0:00.0,Offensive rebound by Team,,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-19,,Turnover by J. Barea (lost ball; steal by G. Monroe)
11:32.0,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,30-19,,
11:23.0,Personal foul by G. Antetokounmpo (drawn by S. Mejri),,30-19,,
11:23.0,,,30-19,,D. Finney-Smith enters the game for N. Brussino
11:11.0,,,30-19,,H. Barnes misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by Team,,30-19,,
10:50.0,M. Brogdon misses 3-pt shot from 24 ft,,30-19,,
10:49.0,,,30-19,,Defensive rebound by D. Finney-Smith
10:40.0,,,30-21,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
10:26.0,M. Teletovic misses 3-pt shot from 26 ft,,30-21,,
10:25.0,,,30-21,,Defensive rebound by S. Mejri
10:18.0,,,30-23,2,S. Mejri makes 2-pt shot from 1 ft (assist by S. Curry)
10:02.0,,,30-23,,Personal foul by D. Finney-Smith (drawn by J. Terry)
9:51.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,30-23,,
9:50.0,,,30-23,,Defensive rebound by H. Barnes
9:36.0,,,30-23,,J. Barea misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by M. Brogdon,,30-23,,
9:29.0,J. Terry misses 3-pt shot from 25 ft,,30-23,,
9:28.0,Offensive rebound by M. Teletovic,,30-23,,
9:22.0,G. Monroe makes 2-pt shot at rim,2,32-23,,
9:22.0,Shooting foul by S. Mejri (drawn by G. Monroe),,32-23,,
9:22.0,G. Monroe makes free throw 1 of 1,1,33-23,,
9:04.0,,,33-23,,H. Barnes misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
9:02.0,,,33-23,,Offensive rebound by H. Barnes
8:58.0,,,33-23,,D. Finney-Smith misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by G. Monroe,,33-23,,
8:43.0,M. Brogdon misses 2-pt shot from 9 ft (block by S. Mejri),,33-23,,
8:41.0,,,33-23,,Defensive rebound by S. Mejri
8:25.0,,,33-25,2,J. Barea makes 2-pt shot from 8 ft
8:13.0,,,33-25,,Personal foul by S. Mejri (drawn by G. Monroe)
8:13.0,Official timeout,,33-25,,
8:13.0,J. Parker enters the game for G. Antetokounmpo,,33-25,,
8:05.0,G. Monroe makes 2-pt shot from 16 ft,2,35-25,,
7:56.0,Personal foul by M. Brogdon,,35-25,,
7:47.0,Personal foul by M. Brogdon (drawn by S. Mejri),,35-25,,
7:47.0,M. Dellavedova enters the game for M. Brogdon,,35-25,,
7:38.0,,,35-28,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Mejri)
7:19.0,G. Monroe misses 2-pt shot from 5 ft,,35-28,,
7:19.0,,,35-28,,Defensive rebound by S. Mejri
7:19.0,Loose ball foul by G. Monroe (drawn by S. Mejri),,35-28,,
7:19.0,T. Snell enters the game for J. Terry,,35-28,,
7:06.0,,,35-28,,S. Curry misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by M. Dellavedova,,35-28,,
6:54.0,M. Dellavedova misses 3-pt shot from 25 ft,,35-28,,
6:53.0,,,35-28,,Defensive rebound by H. Barnes
6:45.0,,,35-28,,S. Curry misses 2-pt shot from 21 ft
6:44.0,Defensive rebound by M. Dellavedova,,35-28,,
6:34.0,G. Monroe misses 2-pt shot from 2 ft,,35-28,,
6:31.0,,,35-28,,Defensive rebound by H. Barnes
6:24.0,,,35-30,2,J. Barea makes 2-pt shot at rim
6:06.0,Turnover by G. Monroe (bad pass),,35-30,,
6:06.0,J. Henson enters the game for G. Monroe,,35-30,,
6:06.0,,,35-30,,W. Matthews enters the game for S. Curry
5:55.0,,,35-33,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by J. Barea)
5:40.0,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,37-33,,
5:21.0,,,37-33,,Offensive foul by S. Mejri
5:21.0,,,37-33,,Turnover by S. Mejri (offensive foul)
5:21.0,,,37-33,,Dallas full timeout
5:21.0,,,37-33,,A. Bogut enters the game for S. Mejri
