time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (M. Morris gains possession),,,,Jump ball: M. Gortat vs. D. Howard (M. Morris gains possession)
11:43.0,,,0-0,,M. Morris misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by T. Waller-Prince,,0-0,,
11:30.0,P. Millsap makes 2-pt shot from 15 ft (assist by T. Waller-Prince),2,2-0,,
11:18.0,,,2-2,2,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall)
10:57.0,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder),2,4-2,,
10:44.0,,,4-5,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
10:26.0,T. Waller-Prince makes 2-pt shot from 19 ft (assist by D. Howard),2,6-5,,
10:16.0,,,6-7,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
10:08.0,D. Schroder makes 3-pt shot from 30 ft,3,9-7,,
10:00.0,,,9-7,,J. Wall misses 2-pt shot from 3 ft
9:58.0,Defensive rebound by D. Howard,,9-7,,
9:53.0,T. Hardaway misses 2-pt shot from 18 ft,,9-7,,
9:52.0,Offensive rebound by T. Waller-Prince,,9-7,,
9:37.0,P. Millsap makes 2-pt shot from 13 ft (assist by D. Schroder),2,11-7,,
9:19.0,,,11-7,,M. Gortat misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by P. Millsap,,11-7,,
9:05.0,T. Waller-Prince misses 2-pt shot from 5 ft,,11-7,,
9:04.0,Offensive rebound by T. Waller-Prince,,11-7,,
9:01.0,T. Waller-Prince misses 2-pt shot from 4 ft (block by M. Gortat),,11-7,,
9:01.0,Offensive rebound by Team,,11-7,,
8:58.0,D. Schroder misses 2-pt shot from 17 ft,,11-7,,
8:57.0,,,11-7,,Defensive rebound by M. Morris
8:43.0,,,11-9,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
8:24.0,Turnover by P. Millsap (lost ball; steal by J. Wall),,11-9,,
8:22.0,Personal take foul by D. Schroder (drawn by J. Wall),,11-9,,
8:07.0,,,11-9,,M. Morris misses 2-pt shot from 7 ft
