time,Boston,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Horford (P. Beverley gains possession),,,,Jump ball: C. Capela vs. A. Horford (P. Beverley gains possession)
11:41.0,,,0-0,,J. Harden misses 2-pt shot from 6 ft (block by A. Horford)
11:38.0,Defensive rebound by A. Bradley,,0-0,,
11:34.0,A. Bradley misses 2-pt shot from 15 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by R. Anderson
11:30.0,,,0-0,,Turnover by J. Harden (bad pass)
11:16.0,Turnover by A. Horford (lost ball; steal by C. Capela),,0-0,,
11:09.0,,,0-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:54.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Horford),3,3-3,,
10:32.0,,,3-3,,P. Beverley misses 2-pt shot from 8 ft
10:30.0,,,3-3,,Offensive rebound by C. Capela
10:28.0,,,3-3,,C. Capela misses 2-pt shot from 4 ft
10:27.0,Defensive rebound by A. Horford,,3-3,,
10:15.0,A. Bradley misses 2-pt shot from 21 ft,,3-3,,
10:14.0,,,3-3,,Defensive rebound by J. Harden
10:06.0,,,3-3,,P. Beverley misses 2-pt shot from 7 ft
10:03.0,Defensive rebound by A. Horford,,3-3,,
9:57.0,Turnover by A. Horford (bad pass; steal by J. Harden),,3-3,,
9:47.0,,,3-3,,R. Anderson misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by Team,,3-3,,
9:31.0,I. Thomas misses 2-pt shot from 17 ft,,3-3,,
9:30.0,,,3-3,,Defensive rebound by C. Capela
9:11.0,,,3-3,,T. Ariza misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by J. Jerebko,,3-3,,
8:58.0,J. Jerebko misses 2-pt shot from 4 ft,,3-3,,
8:57.0,Offensive rebound by A. Bradley,,3-3,,
8:52.0,A. Horford misses 2-pt shot from 3 ft,,3-3,,
8:50.0,Offensive rebound by A. Horford,,3-3,,
8:50.0,A. Horford makes 2-pt shot at rim,2,5-3,,
8:47.0,,,5-3,,Houston full timeout
