time,Washington,pts.away,score,pts.home,Miami
1:45.0,,,25-19,,O. White enters the game for H. Whiteside
1:45.0,,,25-19,,W. Reed enters the game for J. Richardson
1:44.0,,,25-19,,Defensive rebound by W. Reed
1:29.0,,,25-21,2,G. Dragic makes 2-pt shot from 3 ft
1:07.0,T. Burke misses 2-pt shot from 19 ft,,25-21,,
1:06.0,,,25-21,,Defensive rebound by W. Ellington
0:54.0,,,25-21,,Turnover by G. Dragic (lost ball)
0:54.0,B. Bogdanovic enters the game for K. Oubre,,25-21,,
0:54.0,T. Satoransky enters the game for M. Gortat,,25-21,,
0:54.0,J. Smith enters the game for B. Jennings,,25-21,,
0:40.0,J. Smith makes 2-pt shot from 1 ft (assist by T. Burke),2,27-21,,
0:22.0,,,27-21,,T. Johnson misses 2-pt shot from 14 ft
0:20.0,,,27-21,,Offensive rebound by W. Reed
0:19.0,,,27-23,2,W. Reed makes 2-pt shot at rim
0:01.0,T. Burke misses 3-pt shot from 40 ft,,27-23,,
0:00.0,Offensive rebound by Team,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-25,2,G. Dragic makes 2-pt shot from 16 ft
11:24.0,J. Smith misses 2-pt shot from 7 ft,,27-25,,
11:23.0,,,27-25,,Defensive rebound by W. Ellington
11:13.0,,,27-25,,O. White misses 2-pt shot from 2 ft
11:12.0,,,27-25,,Offensive rebound by W. Reed
11:11.0,,,27-27,2,W. Reed makes 2-pt shot at rim
10:58.0,B. Bogdanovic makes 2-pt shot from 19 ft,2,29-27,,
10:43.0,,,29-27,,W. Ellington misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by J. Smith,,29-27,,
10:29.0,J. Smith misses 2-pt shot from 18 ft,,29-27,,
10:28.0,,,29-27,,Defensive rebound by W. Ellington
10:17.0,,,29-27,,G. Dragic misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by J. Smith,,29-27,,
10:06.0,Turnover by T. Satoransky (traveling),,29-27,,
9:48.0,,,29-27,,Turnover by T. Johnson (step out of bounds)
9:48.0,,,29-27,,Violation by Team (jump ball)
9:28.0,T. Satoransky misses 3-pt shot from 24 ft,,29-27,,
9:27.0,,,29-27,,Defensive rebound by W. Reed
9:16.0,,,29-27,,W. Ellington misses 2-pt shot from 18 ft
9:15.0,,,29-27,,Offensive rebound by W. Reed
9:14.0,,,29-29,2,W. Reed makes 2-pt shot from 1 ft
9:02.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,31-29,,
8:48.0,,,31-31,2,W. Reed makes 2-pt shot from 1 ft (assist by G. Dragic)
8:41.0,Offensive foul by J. Smith,,31-31,,
8:41.0,Turnover by J. Smith (offensive foul),,31-31,,
8:41.0,Official timeout,,31-31,,
8:25.0,,,31-31,,Turnover by G. Dragic (bad pass)
8:08.0,Shooting foul by W. Reed (drawn by J. Smith),,31-31,,
8:08.0,J. Smith misses free throw 1 of 2,,31-31,,
8:08.0,Offensive rebound by Team,,31-31,,
8:08.0,J. Smith makes free throw 2 of 2,1,32-31,,
8:08.0,,,31-31,,J. Johnson enters the game for W. Reed
7:48.0,,,32-31,,W. Ellington misses 3-pt shot from 23 ft
7:47.0,Defensive rebound by J. Smith,,32-31,,
7:41.0,S. Mac makes 2-pt shot from 1 ft,2,34-31,,
7:22.0,,,34-33,2,G. Dragic makes 2-pt shot from 9 ft
7:10.0,T. Burke makes 2-pt shot from 6 ft,2,36-33,,
7:01.0,,,36-33,,Turnover by G. Dragic (bad pass; steal by T. Satoransky)
6:59.0,,,36-33,,H. Whiteside enters the game for O. White
6:59.0,O. Porter enters the game for T. Satoransky,,36-33,,
6:47.0,Offensive charge foul by J. Smith,,36-33,,
6:47.0,Turnover by J. Smith (offensive foul),,36-33,,
6:47.0,,,36-33,,J. Richardson enters the game for T. Johnson
6:47.0,M. Gortat enters the game for J. Smith,,36-33,,
6:30.0,,,36-36,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
6:16.0,B. Bogdanovic misses 2-pt shot from 16 ft,,36-36,,
