time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (E. Payton gains possession)
11:37.0,,,0-0,,E. Payton misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by M. Morris,,0-0,,
11:17.0,M. Morris makes 2-pt shot from 15 ft,2,2-0,,
11:08.0,,,2-2,2,S. Ibaka makes 2-pt shot from 6 ft (assist by N. Vucevic)
10:53.0,Shooting foul by S. Ibaka (drawn by M. Morris),,2-2,,
10:53.0,M. Morris misses free throw 1 of 2,,2-2,,
10:53.0,Offensive rebound by Team,,2-2,,
10:53.0,M. Morris makes free throw 2 of 2,1,3-2,,
10:35.0,,,3-2,,E. Fournier misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by M. Gortat,,3-2,,
10:26.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,6-2,,
10:16.0,,,6-2,,Turnover by N. Vucevic (bad pass; steal by M. Morris)
10:02.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,9-2,,
9:51.0,,,9-2,,N. Vucevic misses 2-pt shot at rim
9:50.0,Defensive rebound by B. Beal,,9-2,,
9:40.0,O. Porter misses 2-pt shot from 9 ft,,9-2,,
9:39.0,,,9-2,,Defensive rebound by N. Vucevic
9:35.0,,,9-2,,Shooting foul by O. Porter (drawn by E. Fournier)
9:35.0,,,9-3,1,E. Fournier makes free throw 1 of 2
9:35.0,,,9-4,1,E. Fournier makes free throw 2 of 2
9:26.0,B. Beal misses 2-pt shot from 16 ft,,9-4,,
9:25.0,,,9-4,,Defensive rebound by S. Ibaka
9:15.0,,,9-6,2,N. Vucevic makes 2-pt shot from 9 ft (assist by S. Ibaka)
8:59.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Gortat),2,11-6,,
8:38.0,,,11-6,,Turnover by J. Green (bad pass; steal by J. Wall)
8:35.0,,,11-6,,Personal foul by E. Fournier (drawn by B. Beal)
8:29.0,O. Porter misses 2-pt shot from 22 ft,,11-6,,
8:27.0,,,11-6,,Defensive rebound by N. Vucevic
8:20.0,,,11-6,,N. Vucevic misses 2-pt shot from 11 ft
8:17.0,,,11-6,,Offensive rebound by E. Payton
