time,Phoenix,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. A. Len (D. Jones gains possession),,,,Jump ball: A. Johnson vs. A. Len (D. Jones gains possession)
11:46.0,M. Chriss misses 2-pt shot from 1 ft,,0-0,,
11:45.0,Offensive rebound by D. Jones,,0-0,,
11:41.0,A. Len misses 2-pt shot from 16 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Horford
11:28.0,,,0-0,,A. Johnson misses 2-pt shot from 15 ft
11:26.0,,,0-0,,Offensive rebound by I. Thomas
11:21.0,,,0-0,,J. Brown misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by T. Ulis,,0-0,,
11:13.0,D. Booker misses 2-pt shot from 23 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by A. Horford
11:09.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by A. Johnson)
11:09.0,,,0-2,,Shooting foul by D. Jones (drawn by A. Horford)
11:09.0,,,0-2,,A. Horford misses free throw 1 of 1
11:09.0,Defensive rebound by A. Len,,0-2,,
10:55.0,T. Ulis misses 2-pt shot from 4 ft (block by J. Brown),,0-2,,
10:53.0,,,0-2,,Defensive rebound by J. Brown
10:49.0,,,0-4,2,A. Horford makes 2-pt shot at rim (assist by J. Crowder)
10:31.0,M. Chriss misses 2-pt shot from 1 ft,,0-4,,
10:31.0,,,0-4,,Defensive rebound by J. Crowder
10:26.0,,,0-4,,I. Thomas misses 3-pt shot from 27 ft
10:25.0,Defensive rebound by D. Jones,,0-4,,
10:19.0,Turnover by M. Chriss (lost ball; steal by A. Johnson),,0-4,,
10:15.0,Violation by M. Chriss (def goaltending),,0-4,,
10:15.0,,,0-6,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
10:01.0,D. Booker misses 2-pt shot from 16 ft,,0-6,,
10:00.0,Offensive rebound by D. Booker,,0-6,,
9:58.0,Turnover by D. Booker (bad pass; steal by A. Johnson),,0-6,,
9:55.0,,,0-6,,Turnover by A. Horford (traveling)
9:36.0,Turnover by T. Ulis (bad pass; steal by A. Horford),,0-6,,
9:20.0,,,0-6,,J. Brown misses 2-pt shot from 2 ft
9:19.0,,,0-6,,Offensive rebound by A. Johnson
9:18.0,,,0-6,,A. Johnson misses 2-pt shot from 2 ft (block by A. Len)
9:17.0,Defensive rebound by M. Chriss,,0-6,,
9:14.0,Shooting foul by J. Crowder (drawn by D. Jones),,0-6,,
9:14.0,D. Jones misses free throw 1 of 2,,0-6,,
9:14.0,Offensive rebound by Team,,0-6,,
9:14.0,D. Jones makes free throw 2 of 2,1,1-6,,
9:01.0,,,1-6,,J. Crowder misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by A. Len,,1-6,,
8:52.0,Shooting foul by I. Thomas (drawn by T. Ulis),,1-6,,
8:52.0,T. Ulis makes free throw 1 of 2,1,2-6,,
8:52.0,T. Ulis misses free throw 2 of 2,,2-6,,
8:52.0,,,2-6,,Defensive rebound by J. Brown
8:38.0,,,2-8,2,I. Thomas makes 2-pt shot from 18 ft
8:17.0,M. Chriss misses 2-pt shot from 21 ft,,2-8,,
8:16.0,,,2-8,,Defensive rebound by J. Crowder
8:08.0,,,2-8,,I. Thomas misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by D. Booker,,2-8,,
8:01.0,D. Jones misses 2-pt shot from 1 ft,,2-8,,
8:00.0,,,2-8,,Defensive rebound by A. Horford
7:53.0,,,2-8,,J. Crowder misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by M. Chriss,,2-8,,
7:47.0,,,2-8,,Personal foul by A. Horford (drawn by A. Len)
7:43.0,Shooting foul by J. Brown (drawn by D. Booker),,2-8,,
7:43.0,D. Booker makes free throw 1 of 2,1,3-8,,
7:43.0,D. Booker misses free throw 2 of 2,,3-8,,
7:43.0,,,3-8,,Defensive rebound by J. Crowder
7:24.0,,,3-10,2,J. Brown makes 2-pt shot from 10 ft
7:07.0,M. Chriss misses 3-pt shot from 27 ft,,3-10,,
7:06.0,,,3-10,,Defensive rebound by J. Brown
6:58.0,,,3-12,2,I. Thomas makes 2-pt shot from 7 ft
6:58.0,Phoenix full timeout,,3-12,,
6:58.0,A. Williams enters the game for A. Len,,3-12,,
6:35.0,A. Williams misses 2-pt shot from 9 ft (block by A. Johnson),,3-12,,
6:34.0,,,3-12,,Defensive rebound by J. Crowder
6:17.0,,,3-14,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
5:58.0,D. Booker misses 2-pt shot from 6 ft,,3-14,,
5:57.0,,,3-14,,Defensive rebound by J. Brown
5:54.0,,,3-16,2,J. Brown makes 2-pt shot at rim (assist by I. Thomas)
5:54.0,,,3-16,,Shooting foul by D. Jones (drawn by J. Brown)
5:54.0,,,3-16,,J. Brown misses free throw 1 of 1
5:54.0,Defensive rebound by M. Chriss,,3-16,,
5:54.0,,,3-16,,T. Zeller enters the game for A. Horford
5:54.0,L. Barbosa enters the game for D. Jones,,3-16,,
5:33.0,M. Chriss misses 3-pt shot from 26 ft,,3-16,,
5:32.0,,,3-16,,Defensive rebound by J. Brown
5:25.0,,,3-19,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
5:25.0,Phoenix full timeout,,3-19,,
5:13.0,A. Williams misses 2-pt shot from 9 ft,,3-19,,
5:12.0,,,3-19,,Defensive rebound by J. Crowder
4:58.0,,,3-22,3,J. Brown makes 3-pt shot from 26 ft (assist by I. Thomas)
4:40.0,D. Booker makes 2-pt shot from 7 ft,2,5-22,,
4:34.0,,,5-25,3,I. Thomas makes 3-pt shot from 25 ft
4:28.0,Shooting foul by J. Brown (drawn by D. Booker),,5-25,,
4:28.0,D. Booker makes free throw 1 of 2,1,6-25,,
4:28.0,D. Booker makes free throw 2 of 2,1,7-25,,
4:28.0,J. Dudley enters the game for M. Chriss,,6-25,,
4:28.0,,,6-25,,M. Smart enters the game for J. Brown
4:07.0,,,7-25,,M. Smart misses 3-pt shot from 28 ft
4:06.0,,,7-25,,Offensive rebound by A. Johnson
3:55.0,,,7-25,,T. Zeller misses 2-pt shot from 20 ft
3:54.0,Defensive rebound by L. Barbosa,,7-25,,
3:44.0,L. Barbosa misses 2-pt shot from 2 ft,,7-25,,
3:43.0,,,7-25,,Defensive rebound by J. Crowder
3:29.0,Personal foul by J. Dudley (drawn by I. Thomas),,7-25,,
3:29.0,,,7-25,,K. Olynyk enters the game for A. Johnson
3:17.0,,,7-25,,I. Thomas misses 2-pt shot from 20 ft
3:16.0,Defensive rebound by A. Williams,,7-25,,
3:04.0,D. Booker makes 2-pt shot from 6 ft,2,9-25,,
2:51.0,,,9-25,,Turnover by I. Thomas (lost ball; steal by T. Ulis)
2:44.0,D. Booker makes 3-pt shot from 25 ft (assist by J. Dudley),3,12-25,,
2:27.0,,,12-25,,Shooting foul by A. Williams (drawn by K. Olynyk)
2:27.0,,,12-25,,Boston full timeout
2:27.0,,,12-26,1,K. Olynyk makes free throw 1 of 2
2:27.0,,,12-27,1,K. Olynyk makes free throw 2 of 2
2:27.0,D. Jones enters the game for T. Ulis,,12-25,,
2:27.0,,,12-25,,T. Rozier enters the game for I. Thomas
2:15.0,L. Barbosa makes 2-pt shot from 9 ft,2,14-27,,
1:58.0,,,14-27,,T. Zeller misses 2-pt shot from 17 ft
1:56.0,,,14-27,,Offensive rebound by K. Olynyk
1:56.0,,,14-27,,Offensive charge foul by T. Zeller
1:56.0,,,14-27,,Turnover by T. Zeller (offensive foul)
1:56.0,,,14-27,,A. Horford enters the game for T. Zeller
1:30.0,J. Dudley misses 3-pt shot from 25 ft,,14-27,,
1:29.0,Offensive rebound by A. Williams,,14-27,,
1:28.0,A. Williams makes 2-pt shot from 2 ft,2,16-27,,
1:07.0,,,16-27,,M. Smart misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by A. Williams,,16-27,,
0:55.0,A. Williams misses 2-pt shot from 9 ft,,16-27,,
0:54.0,,,16-27,,Defensive rebound by K. Olynyk
0:45.0,,,16-27,,T. Rozier misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by A. Williams,,16-27,,
0:27.0,D. Booker misses 3-pt shot from 26 ft,,16-27,,
0:26.0,,,16-27,,Defensive rebound by K. Olynyk
