time,Philadelphia,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Embiid (S. Rodriguez gains possession),,,,Jump ball: A. Davis vs. J. Embiid (S. Rodriguez gains possession)
11:45.0,G. Henderson misses 2-pt shot from 2 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Ajinca
11:30.0,,,0-2,2,A. Ajinca makes 2-pt shot from 15 ft (assist by T. Frazier)
11:17.0,J. Embiid misses 2-pt shot from 5 ft,,0-2,,
11:16.0,Offensive rebound by R. Covington,,0-2,,
10:56.0,J. Embiid misses 3-pt shot from 26 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by T. Frazier
10:43.0,,,0-4,2,T. Frazier makes 2-pt shot from 2 ft
10:30.0,S. Rodriguez makes 3-pt shot from 27 ft (assist by E. Ilyasova),3,3-4,,
10:16.0,,,3-4,,A. Ajinca misses 2-pt shot from 21 ft
10:15.0,Defensive rebound by G. Henderson,,3-4,,
10:03.0,S. Rodriguez misses 3-pt shot from 26 ft,,3-4,,
10:01.0,Offensive rebound by J. Embiid,,3-4,,
9:59.0,E. Ilyasova misses 3-pt shot from 25 ft,,3-4,,
9:58.0,Offensive rebound by Team,,3-4,,
9:58.0,,,3-4,,Loose ball foul by A. Ajinca (drawn by J. Embiid)
9:43.0,Shooting foul by A. Ajinca (drawn by E. Ilyasova),,3-4,,
9:43.0,E. Ilyasova makes free throw 1 of 2,1,4-4,,
9:43.0,E. Ilyasova makes free throw 2 of 2,1,5-4,,
9:43.0,,,4-4,,O. Asik enters the game for A. Ajinca
9:28.0,,,5-4,,Turnover by T. Frazier (bad pass; steal by E. Ilyasova)
9:21.0,S. Rodriguez makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,8-4,,
9:03.0,,,8-4,,A. Davis misses 2-pt shot from 2 ft (block by J. Embiid)
9:01.0,Defensive rebound by G. Henderson,,8-4,,
8:57.0,Turnover by G. Henderson (lost ball; steal by O. Asik),,8-4,,
8:48.0,,,8-4,,Offensive foul by A. Davis
8:48.0,,,8-4,,Turnover by A. Davis (offensive foul)
8:43.0,,,8-4,,Personal foul by T. Frazier (drawn by S. Rodriguez)
8:28.0,J. Embiid misses 2-pt shot from 17 ft,,8-4,,
8:28.0,,,8-4,,Defensive rebound by O. Asik
8:20.0,,,8-6,2,O. Asik makes 2-pt shot at rim (assist by S. Hill)
7:59.0,R. Covington misses 3-pt shot from 25 ft,,8-6,,
7:58.0,,,8-6,,Defensive rebound by S. Hill
7:49.0,,,8-8,2,A. Davis makes 2-pt shot from 16 ft (assist by T. Frazier)
7:35.0,S. Rodriguez misses 2-pt shot from 2 ft,,8-8,,
7:34.0,,,8-8,,Defensive rebound by A. Davis
7:26.0,,,8-8,,Turnover by A. Davis (bad pass)
7:16.0,Shooting foul by T. Frazier (drawn by J. Embiid),,8-8,,
7:16.0,J. Embiid makes free throw 1 of 2,1,9-8,,
7:16.0,J. Embiid makes free throw 2 of 2,1,10-8,,
7:16.0,,,9-8,,L. Galloway enters the game for T. Frazier
