time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession)
11:41.0,M. Gortat misses 2-pt shot from 12 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Crowder
11:24.0,,,0-2,2,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder)
11:06.0,M. Morris misses 2-pt shot from 15 ft,,0-2,,
11:05.0,Offensive rebound by M. Gortat,,0-2,,
11:00.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Gortat),2,2-2,,
10:41.0,,,2-2,,J. Crowder misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by M. Morris,,2-2,,
10:29.0,Turnover by M. Gortat (traveling),,2-2,,
10:12.0,,,2-5,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
10:03.0,,,2-5,,Personal foul by A. Bradley (drawn by B. Beal)
10:00.0,B. Beal makes 2-pt shot from 7 ft (assist by J. Wall),2,4-5,,
9:42.0,,,4-5,,Turnover by J. Crowder (bad pass)
9:25.0,M. Morris makes 2-pt shot from 9 ft,2,6-5,,
9:07.0,,,6-7,2,A. Horford makes 2-pt shot from 13 ft
8:53.0,M. Gortat makes 2-pt shot from 9 ft,2,8-7,,
8:46.0,,,8-7,,Shooting foul by M. Gortat (drawn by I. Thomas)
8:46.0,,,8-7,,I. Thomas misses free throw 1 of 2
8:46.0,,,8-7,,Offensive rebound by Team
8:46.0,,,8-8,1,I. Thomas makes free throw 2 of 2
8:35.0,J. Wall makes 2-pt shot from 1 ft,2,10-8,,
8:28.0,,,10-8,,I. Thomas misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by J. Wall,,10-8,,
8:21.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,13-8,,
8:08.0,,,13-10,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
7:56.0,O. Porter misses 3-pt shot from 26 ft,,13-10,,
7:55.0,,,13-10,,Defensive rebound by I. Thomas
7:46.0,,,13-10,,I. Thomas misses 2-pt shot from 1 ft
7:45.0,,,13-10,,Offensive rebound by A. Bradley
7:44.0,,,13-10,,A. Bradley misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by M. Gortat,,13-10,,
7:39.0,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat),3,16-10,,
7:39.0,,,16-10,,Technical foul by I. Thomas
7:39.0,B. Beal makes technical free throw,1,17-10,,
7:27.0,,,17-12,2,I. Thomas makes 2-pt shot from 15 ft
7:14.0,J. Wall misses 2-pt shot from 19 ft,,17-12,,
7:14.0,Offensive rebound by Team,,17-12,,
7:14.0,,,17-12,,Loose ball foul by A. Johnson (drawn by M. Gortat)
7:03.0,M. Morris misses 3-pt shot from 25 ft,,17-12,,
7:02.0,,,17-12,,Defensive rebound by Team
7:02.0,Loose ball foul by M. Gortat (drawn by A. Johnson),,17-12,,
6:42.0,Personal foul by O. Porter (drawn by I. Thomas),,17-12,,
6:42.0,I. Mahinmi enters the game for M. Gortat,,17-12,,
6:33.0,,,17-12,,A. Bradley misses 2-pt shot at rim
6:32.0,,,17-12,,Offensive rebound by A. Johnson
6:27.0,,,17-12,,A. Bradley misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by I. Mahinmi,,17-12,,
6:20.0,M. Morris makes 2-pt shot from 21 ft (assist by J. Wall),2,19-12,,
6:19.0,,,19-12,,Boston full timeout
5:59.0,,,19-12,,A. Johnson misses 2-pt shot from 1 ft
5:58.0,,,19-12,,Offensive rebound by A. Bradley
5:58.0,,,19-14,2,A. Bradley makes 2-pt shot from 2 ft
5:38.0,B. Beal misses 2-pt shot from 21 ft,,19-14,,
5:37.0,,,19-14,,Defensive rebound by A. Bradley
5:26.0,,,19-16,2,A. Bradley makes 2-pt shot from 22 ft
5:07.0,O. Porter misses 2-pt shot from 10 ft,,19-16,,
5:06.0,,,19-16,,Defensive rebound by A. Horford
5:00.0,,,19-18,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
4:42.0,M. Morris misses 3-pt shot from 26 ft,,19-18,,
4:41.0,,,19-18,,Defensive rebound by I. Thomas
4:25.0,,,19-18,,Shooting foul by M. Morris (drawn by A. Horford)
4:25.0,,,19-19,1,A. Horford makes free throw 1 of 2
4:25.0,,,19-20,1,A. Horford makes free throw 2 of 2
4:25.0,J. Smith enters the game for M. Morris,,19-19,,
4:08.0,B. Beal misses 2-pt shot from 23 ft,,19-20,,
4:07.0,,,19-20,,Defensive rebound by J. Crowder
3:54.0,,,19-22,2,A. Horford makes 2-pt shot from 10 ft (assist by A. Bradley)
3:51.0,Washington full timeout,,19-22,,
3:51.0,,,19-22,,T. Zeller enters the game for A. Johnson
3:51.0,,,19-22,,K. Olynyk enters the game for A. Horford
3:51.0,B. Bogdanovic enters the game for O. Porter,,19-22,,
3:37.0,Turnover by B. Bogdanovic (lost ball),,19-22,,
3:24.0,,,19-22,,A. Bradley misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by J. Smith,,19-22,,
3:09.0,J. Wall misses 2-pt shot from 11 ft (block by K. Olynyk),,19-22,,
3:08.0,,,19-22,,Defensive rebound by I. Thomas
2:58.0,,,19-22,,I. Thomas misses 2-pt shot from 1 ft
2:57.0,,,19-22,,Offensive rebound by T. Zeller
2:56.0,,,19-24,2,T. Zeller makes 2-pt shot at rim
2:41.0,,,19-24,,Personal foul by J. Crowder (drawn by B. Bogdanovic)
2:41.0,B. Jennings enters the game for J. Wall,,19-24,,
2:41.0,,,19-24,,M. Smart enters the game for I. Thomas
2:27.0,B. Bogdanovic misses 3-pt shot from 25 ft,,19-24,,
2:26.0,,,19-24,,Defensive rebound by K. Olynyk
2:16.0,,,19-24,,J. Crowder misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by B. Beal,,19-24,,
2:07.0,B. Beal makes 2-pt shot from 1 ft,2,21-24,,
2:07.0,Shooting foul by K. Olynyk (drawn by B. Beal),,21-24,,
2:07.0,B. Beal makes free throw 1 of 1,1,22-24,,
1:48.0,,,22-26,2,M. Smart makes 2-pt shot from 5 ft
1:33.0,Offensive foul by J. Smith,,22-26,,
1:33.0,Turnover by J. Smith (offensive foul),,22-26,,
1:33.0,,,22-26,,J. Brown enters the game for J. Crowder
1:33.0,K. Oubre enters the game for B. Beal,,22-26,,
1:18.0,,,22-28,2,T. Zeller makes 2-pt shot from 1 ft (assist by A. Bradley)
0:55.0,J. Smith makes 3-pt shot from 25 ft (assist by B. Jennings),3,25-28,,
0:51.0,,,25-28,,Offensive foul by K. Olynyk
0:51.0,,,25-28,,Turnover by K. Olynyk (offensive foul)
0:31.0,Shooting foul by M. Smart (drawn by B. Jennings),,25-28,,
0:31.0,B. Jennings makes free throw 1 of 3,1,26-28,,
0:31.0,B. Jennings makes free throw 2 of 3,1,27-28,,
0:31.0,B. Jennings makes free throw 3 of 3,1,28-28,,
0:31.0,,,27-28,,I. Thomas enters the game for J. Brown
0:09.0,,,28-28,,T. Zeller misses 2-pt shot from 19 ft
0:08.0,,,28-28,,Offensive rebound by A. Bradley
