time,LA Clippers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Violation by Team (jump ball)
12:00.0,Jump ball: N. Jokic vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (A. Rivers gains possession)
11:32.0,M. Speights misses 2-pt shot from 20 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by K. Faried
11:14.0,,,0-2,2,N. Jokic makes 2-pt shot from 5 ft (assist by E. Mudiay)
11:14.0,,,0-2,,Shooting foul by D. Jordan (drawn by N. Jokic)
11:14.0,,,0-3,1,N. Jokic makes free throw 1 of 1
10:52.0,A. Rivers misses 3-pt shot from 27 ft,,0-3,,
10:51.0,,,0-3,,Defensive rebound by N. Jokic
10:45.0,,,0-3,,Shooting foul by A. Rivers (drawn by E. Mudiay)
10:45.0,,,0-3,,E. Mudiay misses free throw 1 of 2
10:45.0,,,0-3,,Offensive rebound by Team
10:45.0,,,0-4,1,E. Mudiay makes free throw 2 of 2
10:31.0,J. Redick makes 2-pt shot from 16 ft,2,2-4,,
10:29.0,Personal foul by M. Speights (drawn by N. Jokic),,2-4,,
10:22.0,,,2-4,,W. Barton misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by D. Jordan,,2-4,,
10:10.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,4-4,,
9:58.0,,,4-6,2,D. Gallinari makes 2-pt shot from 2 ft
9:58.0,,,4-6,,Shooting foul by L. Mbah a Moute (drawn by D. Gallinari)
9:58.0,,,4-7,1,D. Gallinari makes free throw 1 of 1
9:46.0,J. Redick misses 2-pt shot from 22 ft,,4-7,,
9:45.0,,,4-7,,Defensive rebound by N. Jokic
9:37.0,,,4-7,,E. Mudiay misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by J. Redick,,4-7,,
9:17.0,J. Redick makes 2-pt shot from 20 ft,2,6-7,,
8:57.0,,,6-7,,Shooting foul by A. Rivers (drawn by E. Mudiay)
8:57.0,,,6-8,1,E. Mudiay makes free throw 1 of 2
8:57.0,,,6-9,1,E. Mudiay makes free throw 2 of 2
8:57.0,R. Felton enters the game for A. Rivers,,6-8,,
8:44.0,J. Redick makes 3-pt shot from 24 ft (assist by R. Felton),3,9-9,,
8:30.0,,,9-11,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
8:13.0,J. Redick misses 2-pt shot from 2 ft,,9-11,,
8:12.0,,,9-11,,Defensive rebound by W. Barton
8:02.0,,,9-11,,E. Mudiay misses 2-pt shot from 19 ft
8:01.0,,,9-11,,Offensive rebound by K. Faried
8:01.0,,,9-11,,K. Faried misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by R. Felton,,9-11,,
8:00.0,,,9-11,,Personal foul by K. Faried (drawn by D. Jordan)
8:00.0,D. Jordan makes free throw 1 of 2,1,10-11,,
8:00.0,D. Jordan makes free throw 2 of 2,1,11-11,,
