time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. T. Maker (T. McConnell gains possession),,,,Jump ball: R. Holmes vs. T. Maker (T. McConnell gains possession)
11:38.0,,,0-0,,Turnover by T. McConnell (lost ball; steal by K. Middleton)
11:31.0,M. Dellavedova misses 3-pt shot from 24 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by D. Saric
11:07.0,,,0-0,,T. Luwawu-Cabarrot misses 2-pt shot from 13 ft
11:06.0,Defensive rebound by T. Snell,,0-0,,
10:47.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by D. Saric
10:27.0,,,0-0,,J. Anderson misses 3-pt shot from 27 ft
10:25.0,Defensive rebound by G. Antetokounmpo,,0-0,,
10:13.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,2-0,,
9:50.0,,,2-0,,J. Anderson misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by K. Middleton,,2-0,,
9:43.0,K. Middleton makes 2-pt shot from 6 ft,2,4-0,,
9:28.0,,,4-0,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by T. Maker)
9:27.0,,,4-0,,Offensive rebound by Team
9:19.0,,,4-2,2,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell)
9:06.0,K. Middleton misses 2-pt shot from 17 ft,,4-2,,
9:03.0,,,4-2,,Defensive rebound by T. McConnell
8:56.0,,,4-5,3,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell)
8:43.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-5,,
8:27.0,,,6-5,,Turnover by D. Saric (bad pass; steal by T. Snell)
8:14.0,K. Middleton misses 2-pt shot from 7 ft,,6-5,,
8:12.0,,,6-5,,Defensive rebound by D. Saric
8:05.0,,,6-5,,Turnover by T. McConnell (bad pass; steal by K. Middleton)
