time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. K. Towns (G. Dieng gains possession),,,,Jump ball: D. Nowitzki vs. K. Towns (G. Dieng gains possession)
11:40.0,,,0-0,,Turnover by K. Towns (bad pass)
11:40.0,,,0-0,,Loose ball foul by R. Rubio (drawn by W. Matthews)
11:19.0,D. Nowitzki misses 2-pt shot from 19 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by K. Towns
11:08.0,,,0-0,,R. Rubio misses 2-pt shot from 18 ft
11:07.0,Defensive rebound by D. Nowitzki,,0-0,,
10:56.0,Offensive foul by Y. Ferrell,,0-0,,
10:56.0,Turnover by Y. Ferrell (offensive foul),,0-0,,
10:45.0,,,0-2,2,A. Wiggins makes 2-pt shot from 19 ft
10:24.0,Y. Ferrell misses 2-pt shot from 17 ft,,0-2,,
10:23.0,,,0-2,,Defensive rebound by K. Towns
10:12.0,,,0-2,,Turnover by K. Towns (bad pass; steal by H. Barnes)
10:01.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-2,,
10:00.0,,,0-2,,Defensive rebound by K. Towns
9:56.0,,,0-4,2,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio)
9:56.0,,,0-4,,Shooting foul by D. Nowitzki (drawn by A. Wiggins)
9:56.0,,,0-4,,A. Wiggins misses free throw 1 of 1
9:56.0,Defensive rebound by H. Barnes,,0-4,,
9:37.0,W. Matthews makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,3-4,,
9:17.0,,,3-4,,A. Wiggins misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by H. Barnes,,3-4,,
9:06.0,H. Barnes misses 3-pt shot from 25 ft,,3-4,,
9:05.0,,,3-4,,Defensive rebound by K. Towns
8:48.0,,,3-4,,K. Towns misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by Y. Ferrell,,3-4,,
8:39.0,Turnover by Y. Ferrell (bad pass; steal by K. Towns),,3-4,,
8:33.0,,,3-4,,R. Rubio misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by D. Nowitzki,,3-4,,
8:21.0,S. Curry makes 2-pt shot from 9 ft,2,5-4,,
8:02.0,Personal foul by Y. Ferrell (drawn by R. Rubio),,5-4,,
8:02.0,D. Finney-Smith enters the game for Y. Ferrell,,5-4,,
7:50.0,,,5-4,,A. Wiggins misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by W. Matthews,,5-4,,
7:45.0,S. Curry makes 3-pt shot from 24 ft (assist by W. Matthews),3,8-4,,
7:28.0,,,8-6,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
7:15.0,D. Nowitzki misses 2-pt shot from 21 ft,,8-6,,
7:14.0,Offensive rebound by H. Barnes,,8-6,,
7:10.0,Turnover by H. Barnes (bad pass; steal by A. Wiggins),,8-6,,
7:05.0,,,8-8,2,A. Wiggins makes 2-pt shot from 1 ft
7:04.0,Dallas full timeout,,8-8,,
7:04.0,S. Mejri enters the game for D. Nowitzki,,8-8,,
6:47.0,H. Barnes makes 2-pt shot from 8 ft,2,10-8,,
6:33.0,,,10-11,3,B. Rush makes 3-pt shot from 25 ft (assist by R. Rubio)
6:19.0,Offensive charge foul by H. Barnes,,10-11,,
6:19.0,Turnover by H. Barnes (offensive foul),,10-11,,
