time,Phoenix,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. B. Lopez (M. Chriss gains possession),,,,Jump ball: A. Len vs. B. Lopez (M. Chriss gains possession)
11:46.0,M. Chriss misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,0-0,,
11:45.0,Offensive rebound by M. Chriss,,0-0,,
11:44.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Chriss),,0-0,,
11:44.0,M. Chriss makes free throw 1 of 2,1,1-0,,
11:44.0,M. Chriss misses free throw 2 of 2,,1-0,,
11:43.0,,,1-0,,Defensive rebound by R. Hollis-Jefferson
11:20.0,,,1-0,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Ulis)
11:12.0,T. Ulis misses 2-pt shot from 22 ft,,1-0,,
11:10.0,,,1-0,,Defensive rebound by R. Foye
11:01.0,,,1-0,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by D. Jones,,1-0,,
10:41.0,D. Booker misses 2-pt shot from 17 ft,,1-0,,
10:40.0,,,1-0,,Defensive rebound by R. Hollis-Jefferson
10:29.0,,,1-0,,R. Foye misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by A. Len,,1-0,,
10:19.0,T. Ulis misses 2-pt shot from 14 ft,,1-0,,
10:18.0,,,1-0,,Defensive rebound by C. LeVert
10:11.0,,,1-0,,B. Lopez misses 3-pt shot from 27 ft
10:08.0,Defensive rebound by A. Len,,1-0,,
10:03.0,D. Booker misses 3-pt shot from 26 ft,,1-0,,
10:01.0,Offensive rebound by D. Jones,,1-0,,
9:59.0,Shooting foul by B. Lopez (drawn by D. Jones),,1-0,,
9:59.0,D. Jones makes free throw 1 of 2,1,2-0,,
9:59.0,D. Jones misses free throw 2 of 2,,2-0,,
9:58.0,,,2-0,,Defensive rebound by R. Hollis-Jefferson
9:49.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
9:48.0,,,2-0,,Offensive rebound by R. Hollis-Jefferson
9:47.0,,,2-0,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Len)
9:42.0,M. Chriss makes 3-pt shot from 26 ft (assist by T. Ulis),3,5-0,,
9:29.0,,,5-2,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Lin)
9:22.0,Shooting foul by C. LeVert (drawn by D. Booker),,5-2,,
9:22.0,D. Booker makes free throw 1 of 2,1,6-2,,
9:22.0,D. Booker makes free throw 2 of 2,1,7-2,,
9:07.0,,,7-2,,R. Foye misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by A. Len,,7-2,,
9:00.0,D. Jones makes 2-pt shot from 1 ft,2,9-2,,
8:50.0,,,9-2,,J. Lin misses 3-pt shot from 26 ft
8:49.0,,,9-2,,Offensive rebound by R. Hollis-Jefferson
8:46.0,,,9-2,,J. Lin misses 3-pt shot from 25 ft
8:44.0,,,9-2,,Offensive rebound by J. Lin
8:35.0,,,9-2,,C. LeVert misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by A. Len,,9-2,,
8:26.0,Turnover by D. Booker (bad pass; steal by R. Hollis-Jefferson),,9-2,,
8:22.0,,,9-4,2,C. LeVert makes 2-pt shot at rim
8:04.0,D. Booker makes 3-pt shot from 29 ft,3,12-4,,
8:04.0,,,12-4,,Brooklyn full timeout
8:04.0,,,12-4,,Q. Acy enters the game for R. Hollis-Jefferson
7:54.0,,,12-4,,Q. Acy misses 2-pt shot from 12 ft (block by A. Len)
7:53.0,Defensive rebound by M. Chriss,,12-4,,
7:38.0,A. Len makes 3-pt shot from 24 ft (assist by T. Ulis),3,15-4,,
7:17.0,,,15-4,,Turnover by B. Lopez (bad pass; steal by A. Len)
7:12.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,17-4,,
6:48.0,,,17-4,,Shooting foul by D. Jones (drawn by Q. Acy)
6:48.0,,,17-4,,Q. Acy misses free throw 1 of 2
6:48.0,,,17-4,,Offensive rebound by Team
6:48.0,,,17-5,1,Q. Acy makes free throw 2 of 2
6:48.0,,,17-4,,I. Whitehead enters the game for R. Foye
6:34.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis),3,20-5,,
6:13.0,,,20-8,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Lin)
5:49.0,T. Ulis misses 2-pt shot from 18 ft,,20-8,,
5:48.0,,,20-8,,Defensive rebound by Q. Acy
5:40.0,,,20-11,3,C. LeVert makes 3-pt shot from 24 ft (assist by I. Whitehead)
5:28.0,,,20-11,,Personal foul by Q. Acy (drawn by D. Booker)
5:21.0,D. Booker misses 2-pt shot from 10 ft,,20-11,,
5:20.0,,,20-11,,Defensive rebound by B. Lopez
5:13.0,,,20-11,,Turnover by C. LeVert (bad pass; steal by D. Booker)
5:11.0,Shooting foul by B. Lopez (drawn by D. Jones),,20-11,,
5:11.0,D. Jones makes free throw 1 of 2,1,21-11,,
5:11.0,D. Jones misses free throw 2 of 2,,21-11,,
5:11.0,,,21-11,,S. Dinwiddie enters the game for J. Lin
5:10.0,,,21-11,,Defensive rebound by Q. Acy
5:00.0,,,21-11,,Turnover by I. Whitehead (bad pass; steal by D. Booker)
4:51.0,M. Chriss makes 2-pt shot at rim (assist by A. Len),2,23-11,,
4:40.0,,,23-13,2,Q. Acy makes 2-pt shot from 3 ft (assist by C. LeVert)
4:17.0,T. Ulis misses 2-pt shot from 9 ft,,23-13,,
4:15.0,Offensive rebound by D. Jones,,23-13,,
4:14.0,D. Jones misses 2-pt shot from 1 ft,,23-13,,
4:13.0,Offensive rebound by A. Len,,23-13,,
4:00.0,D. Booker makes 2-pt shot from 19 ft (assist by T. Ulis),2,25-13,,
3:36.0,,,25-13,,C. LeVert misses 3-pt shot from 25 ft
3:36.0,,,25-13,,Offensive rebound by Team
3:36.0,,,25-13,,K. McDaniels enters the game for C. LeVert
3:36.0,,,25-13,,T. Booker enters the game for B. Lopez
3:30.0,,,25-13,,K. McDaniels misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by D. Jones,,25-13,,
3:21.0,T. Ulis makes 2-pt shot from 21 ft,2,27-13,,
3:06.0,,,27-13,,T. Booker misses 2-pt shot from 19 ft
3:05.0,Defensive rebound by T. Ulis,,27-13,,
2:47.0,D. Booker misses 3-pt shot from 26 ft,,27-13,,
2:46.0,,,27-13,,Defensive rebound by K. McDaniels
2:26.0,,,27-15,2,S. Dinwiddie makes 2-pt shot from 17 ft (assist by Q. Acy)
2:08.0,M. Chriss makes 3-pt shot from 25 ft,3,30-15,,
1:58.0,,,30-15,,T. Booker misses 2-pt shot from 12 ft
1:57.0,Defensive rebound by M. Chriss,,30-15,,
1:33.0,D. Booker misses 3-pt shot from 26 ft,,30-15,,
1:32.0,,,30-15,,Defensive rebound by I. Whitehead
1:23.0,,,30-15,,T. Booker misses 2-pt shot from 11 ft (block by M. Chriss)
1:21.0,,,30-15,,Offensive rebound by T. Booker
1:19.0,,,30-17,2,K. McDaniels makes 2-pt shot at rim (assist by I. Whitehead)
1:19.0,,,30-17,,Shooting foul by A. Len
1:19.0,Phoenix full timeout,,30-17,,
1:19.0,,,30-18,1,K. McDaniels makes free throw 1 of 1
1:19.0,L. Barbosa enters the game for A. Len,,30-17,,
1:19.0,A. Williams enters the game for T. Ulis,,30-17,,
1:04.0,Turnover by A. Williams (lost ball),,30-18,,
0:52.0,,,30-18,,T. Booker misses 2-pt shot from 5 ft
0:50.0,Defensive rebound by M. Chriss,,30-18,,
0:40.0,A. Williams misses 2-pt shot from 4 ft (block by S. Dinwiddie),,30-18,,
0:38.0,,,30-18,,Defensive rebound by K. McDaniels
0:30.0,,,30-20,2,K. McDaniels makes 2-pt shot from 7 ft (assist by Q. Acy)
0:08.0,D. Booker makes 2-pt shot from 15 ft,2,32-20,,
0:02.0,,,32-20,,S. Dinwiddie misses 2-pt shot from 9 ft
0:01.0,,,32-20,,Offensive rebound by K. McDaniels
0:01.0,,,32-22,2,K. McDaniels makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-22,,T. Booker misses 2-pt shot from 2 ft
11:47.0,Defensive rebound by A. Williams,,32-22,,
11:35.0,L. Barbosa misses 2-pt shot from 2 ft (block by K. McDaniels),,32-22,,
11:33.0,,,32-22,,Defensive rebound by K. McDaniels
11:29.0,,,32-24,2,I. Whitehead makes 2-pt shot from 3 ft
11:29.0,,,32-24,,Shooting foul by A. Williams (drawn by I. Whitehead)
11:29.0,,,32-25,1,I. Whitehead makes free throw 1 of 1
11:27.0,Turnover by J. Eddie (bad pass),,32-25,,
