time,Denver,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Jokic,,,,Jump ball: D. Howard vs. N. Jokic
11:48.0,,,0-0,,Personal foul by D. Howard (drawn by N. Jokic)
11:36.0,N. Jokic misses 2-pt shot from 16 ft,,0-0,,
11:35.0,Offensive rebound by Team,,0-0,,
11:35.0,,,0-0,,Loose ball foul by K. Bazemore (drawn by W. Chandler)
11:29.0,Turnover by G. Harris (bad pass; steal by K. Bazemore),,0-0,,
11:20.0,,,0-3,3,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Hardaway)
11:06.0,Turnover by W. Chandler (bad pass; steal by T. Hardaway),,0-3,,
10:52.0,,,0-6,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
10:41.0,W. Chandler misses 3-pt shot from 25 ft,,0-6,,
10:40.0,,,0-6,,Defensive rebound by Team
10:24.0,,,0-6,,D. Howard misses 2-pt shot from 6 ft
10:21.0,Defensive rebound by W. Chandler,,0-6,,
10:10.0,N. Jokic misses 3-pt shot from 24 ft,,0-6,,
10:08.0,,,0-6,,Defensive rebound by P. Millsap
10:00.0,,,0-6,,P. Millsap misses 2-pt shot at rim
9:58.0,Defensive rebound by W. Chandler,,0-6,,
9:52.0,N. Jokic makes 2-pt shot from 5 ft (assist by K. Faried),2,2-6,,
9:38.0,,,2-8,2,D. Schroder makes 2-pt shot from 19 ft
9:21.0,W. Chandler makes 2-pt shot at rim (assist by G. Harris),2,4-8,,
9:03.0,,,4-10,2,D. Schroder makes 2-pt shot from 18 ft
8:43.0,W. Chandler makes 2-pt shot from 12 ft,2,6-10,,
8:43.0,Shooting foul by K. Bazemore (drawn by W. Chandler),,6-10,,
8:43.0,W. Chandler makes free throw 1 of 1,1,7-10,,
8:32.0,,,7-10,,K. Bazemore misses 2-pt shot from 8 ft
8:31.0,,,7-10,,Offensive rebound by D. Howard
