time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. D. Jordan (V. Oladipo gains possession)
11:43.0,,,0-3,3,V. Oladipo makes 3-pt shot from 22 ft (assist by R. Westbrook)
11:26.0,D. Jordan misses 2-pt shot from 4 ft,,0-3,,
11:26.0,,,0-3,,Defensive rebound by A. Roberson
11:20.0,,,0-3,,D. Sabonis misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by D. Jordan,,0-3,,
11:10.0,B. Griffin misses 2-pt shot from 20 ft,,0-3,,
11:09.0,,,0-3,,Defensive rebound by R. Westbrook
11:02.0,,,0-3,,Turnover by D. Sabonis (dbl dribble)
10:53.0,C. Paul misses 2-pt shot from 19 ft,,0-3,,
10:53.0,,,0-3,,Defensive rebound by A. Roberson
10:35.0,,,0-3,,Turnover by R. Westbrook (bad pass; steal by L. Mbah a Moute)
10:29.0,J. Redick makes 3-pt shot from 25 ft,3,3-3,,
10:11.0,,,3-5,2,V. Oladipo makes 2-pt shot from 13 ft
9:53.0,J. Redick misses 2-pt shot from 18 ft,,3-5,,
9:52.0,,,3-5,,Defensive rebound by Team
9:41.0,,,3-5,,R. Westbrook misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by L. Mbah a Moute,,3-5,,
9:32.0,B. Griffin misses 2-pt shot from 14 ft,,3-5,,
9:32.0,,,3-5,,Defensive rebound by R. Westbrook
9:24.0,,,3-7,2,R. Westbrook makes 2-pt shot from 1 ft
9:07.0,J. Redick misses 2-pt shot from 15 ft,,3-7,,
9:06.0,,,3-7,,Defensive rebound by R. Westbrook
9:01.0,,,3-9,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:35.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by B. Griffin),3,6-9,,
8:20.0,,,6-9,,V. Oladipo misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by D. Jordan,,6-9,,
8:09.0,Turnover by L. Mbah a Moute (step out of bounds),,6-9,,
7:54.0,,,6-9,,R. Westbrook misses 2-pt shot from 15 ft
7:54.0,Defensive rebound by D. Jordan,,6-9,,
7:39.0,Shooting foul by D. Sabonis (drawn by B. Griffin),,6-9,,
7:39.0,B. Griffin makes free throw 1 of 2,1,7-9,,
7:39.0,B. Griffin makes free throw 2 of 2,1,8-9,,
7:28.0,,,8-9,,R. Westbrook misses 2-pt shot from 14 ft
7:28.0,Defensive rebound by J. Redick,,8-9,,
7:18.0,Turnover by D. Jordan (3 sec),,8-9,,
7:00.0,,,8-9,,S. Adams misses 2-pt shot from 10 ft
7:00.0,Defensive rebound by D. Jordan,,8-9,,
6:37.0,L. Mbah a Moute misses 2-pt shot from 4 ft,,8-9,,
6:37.0,Offensive rebound by L. Mbah a Moute,,8-9,,
6:36.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by A. Roberson),,8-9,,
6:36.0,,,8-9,,Defensive rebound by Team
6:29.0,,,8-9,,Offensive foul by D. Sabonis
6:29.0,,,8-9,,Turnover by D. Sabonis (offensive foul)
6:17.0,B. Griffin misses 2-pt shot from 14 ft,,8-9,,
6:17.0,,,8-9,,Defensive rebound by V. Oladipo
6:07.0,,,8-12,3,V. Oladipo makes 3-pt shot from 24 ft
5:59.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,10-12,,
5:50.0,,,10-12,,R. Westbrook misses 2-pt shot from 10 ft
5:49.0,Defensive rebound by Team,,10-12,,
5:49.0,,,10-12,,Loose ball foul by R. Westbrook (drawn by D. Jordan)
5:49.0,,,10-12,,Oklahoma City full timeout
5:49.0,,,10-12,,E. Kanter enters the game for D. Sabonis
5:37.0,Turnover by J. Redick (traveling),,10-12,,
5:25.0,,,10-15,3,V. Oladipo makes 3-pt shot from 24 ft
5:04.0,C. Paul makes 2-pt shot from 16 ft,2,12-15,,
4:52.0,,,12-15,,V. Oladipo misses 3-pt shot from 27 ft
4:52.0,Defensive rebound by B. Griffin,,12-15,,
4:41.0,B. Griffin misses 2-pt shot from 20 ft,,12-15,,
4:40.0,,,12-15,,Defensive rebound by R. Westbrook
4:36.0,,,12-15,,Turnover by A. Roberson (bad pass; steal by J. Redick)
4:36.0,,,12-15,,Personal foul by S. Adams (drawn by J. Redick)
