time,New York,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. J. Noah (B. Jennings gains possession),,,,Jump ball: M. Harrell vs. J. Noah (B. Jennings gains possession)
11:43.0,C. Anthony misses 2-pt shot from 18 ft,,0-0,,
11:42.0,Offensive rebound by B. Jennings,,0-0,,
11:40.0,Turnover by B. Jennings (bad pass; steal by T. Ariza),,0-0,,
11:17.0,,,0-0,,C. Brewer misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by J. Noah,,0-0,,
11:01.0,L. Thomas makes 2-pt shot at rim (assist by D. Rose),2,2-0,,
10:43.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by J. Noah,,2-0,,
10:24.0,D. Rose makes 3-pt shot from 24 ft (assist by C. Anthony),3,5-0,,
10:09.0,,,5-3,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:50.0,L. Thomas makes 2-pt shot from 8 ft,2,7-3,,
9:39.0,,,7-6,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza)
9:22.0,B. Jennings makes 2-pt shot from 16 ft,2,9-6,,
9:10.0,,,9-6,,Turnover by J. Harden (bad pass)
9:00.0,Shooting foul by M. Harrell (drawn by J. Noah),,9-6,,
9:00.0,J. Noah misses free throw 1 of 2,,9-6,,
9:00.0,Offensive rebound by Team,,9-6,,
9:00.0,J. Noah makes free throw 2 of 2,1,10-6,,
8:45.0,,,10-9,3,J. Harden makes 3-pt shot from 26 ft (assist by M. Harrell)
8:33.0,B. Jennings makes 2-pt shot from 2 ft,2,12-9,,
8:25.0,,,12-9,,R. Anderson misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by J. Noah,,12-9,,
8:16.0,D. Rose misses 2-pt shot from 11 ft,,12-9,,
8:15.0,Offensive rebound by D. Rose,,12-9,,
8:13.0,D. Rose makes 2-pt shot from 8 ft,2,14-9,,
7:59.0,,,14-9,,M. Harrell misses 2-pt shot at rim
7:57.0,Defensive rebound by J. Noah,,14-9,,
7:48.0,C. Anthony misses 3-pt shot from 25 ft,,14-9,,
7:46.0,Offensive rebound by Team,,14-9,,
7:46.0,,,14-9,,Loose ball foul by C. Brewer (drawn by L. Thomas)
7:26.0,L. Thomas misses 2-pt shot from 1 ft (block by R. Anderson),,14-9,,
7:25.0,,,14-9,,Defensive rebound by C. Brewer
7:12.0,,,14-9,,R. Anderson misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by J. Noah,,14-9,,
7:03.0,J. Noah misses 2-pt shot at rim,,14-9,,
7:02.0,,,14-9,,Defensive rebound by R. Anderson
6:58.0,,,14-9,,Turnover by C. Brewer (bad pass; steal by D. Rose)
6:44.0,B. Jennings makes 3-pt shot from 24 ft (assist by D. Rose),3,17-9,,
6:26.0,,,17-9,,J. Harden misses 2-pt shot from 6 ft
