time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession)
11:41.0,,,0-2,2,A. Drummond makes 2-pt shot from 8 ft (assist by M. Morris)
11:20.0,A. Horford makes 2-pt shot from 12 ft,2,2-2,,
11:00.0,,,2-2,,M. Morris misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by I. Thomas,,2-2,,
10:55.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,4-2,,
10:36.0,,,4-2,,R. Jackson misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by A. Johnson,,4-2,,
10:30.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Crowder),2,6-2,,
10:30.0,,,6-2,,Detroit full timeout
10:24.0,Personal foul by A. Horford (drawn by J. Leuer),,6-2,,
10:14.0,,,6-5,3,J. Leuer makes 3-pt shot from 25 ft (assist by R. Jackson)
9:48.0,A. Horford misses 2-pt shot from 10 ft,,6-5,,
9:47.0,,,6-5,,Defensive rebound by R. Jackson
9:36.0,,,6-7,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
9:22.0,,,6-7,,Personal foul by J. Leuer (drawn by I. Thomas)
9:10.0,I. Thomas misses 2-pt shot from 2 ft,,6-7,,
9:09.0,,,6-7,,Defensive rebound by R. Jackson
9:08.0,,,6-7,,Turnover by R. Jackson (bad pass; steal by J. Brown)
8:52.0,A. Johnson misses 2-pt shot from 4 ft,,6-7,,
8:51.0,,,6-7,,Defensive rebound by J. Leuer
8:42.0,,,6-7,,A. Drummond misses 2-pt shot from 8 ft
8:40.0,Defensive rebound by A. Horford,,6-7,,
8:32.0,J. Brown misses 2-pt shot from 1 ft,,6-7,,
8:32.0,,,6-7,,Defensive rebound by A. Drummond
8:21.0,,,6-7,,J. Leuer misses 3-pt shot from 22 ft
8:21.0,Defensive rebound by A. Johnson,,6-7,,
8:08.0,I. Thomas makes 2-pt shot from 7 ft,2,8-7,,
7:55.0,,,8-9,2,R. Jackson makes 2-pt shot from 6 ft
7:35.0,J. Brown makes 3-pt shot from 26 ft (assist by J. Crowder),3,11-9,,
7:21.0,,,11-9,,R. Jackson misses 2-pt shot from 19 ft
7:21.0,Defensive rebound by J. Brown,,11-9,,
7:11.0,I. Thomas makes 2-pt shot at rim (assist by J. Crowder),2,13-9,,
6:58.0,,,13-9,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:58.0,Defensive rebound by A. Horford,,13-9,,
6:48.0,J. Brown makes 2-pt shot at rim (assist by A. Horford),2,15-9,,
6:33.0,,,15-9,,J. Leuer misses 2-pt shot from 12 ft
6:33.0,Defensive rebound by J. Crowder,,15-9,,
6:11.0,I. Thomas misses 2-pt shot from 10 ft,,15-9,,
6:11.0,,,15-9,,Defensive rebound by A. Drummond
6:05.0,,,15-9,,K. Caldwell-Pope misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by A. Johnson,,15-9,,
6:02.0,Turnover by A. Johnson (bad pass; steal by A. Drummond),,15-9,,
5:55.0,,,15-9,,R. Jackson misses 2-pt shot at rim (block by A. Horford)
5:54.0,Defensive rebound by A. Johnson,,15-9,,
5:51.0,I. Thomas makes 2-pt shot at rim (assist by A. Johnson),2,17-9,,
5:31.0,,,17-9,,Shooting foul by A. Johnson (drawn by A. Drummond)
5:31.0,,,17-11,2,A. Drummond makes 2-pt shot from 9 ft (assist by M. Morris)
5:31.0,,,17-11,,A. Drummond misses free throw 1 of 1
5:31.0,,,17-11,,T. Harris enters the game for M. Morris
5:30.0,Defensive rebound by A. Johnson,,17-11,,
5:12.0,A. Horford misses 2-pt shot from 1 ft,,17-11,,
5:11.0,Offensive rebound by A. Johnson,,17-11,,
5:08.0,A. Johnson makes 2-pt shot at rim,2,19-11,,
4:59.0,,,19-14,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Leuer)
4:43.0,I. Thomas misses 3-pt shot from 27 ft,,19-14,,
4:43.0,,,19-14,,Defensive rebound by A. Drummond
4:34.0,,,19-17,3,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson)
4:08.0,A. Horford misses 2-pt shot from 6 ft,,19-17,,
4:08.0,Offensive rebound by Team,,19-17,,
4:08.0,K. Olynyk enters the game for A. Johnson,,19-17,,
4:08.0,M. Smart enters the game for J. Brown,,19-17,,
4:01.0,A. Horford misses 3-pt shot from 27 ft,,19-17,,
4:00.0,,,19-17,,Defensive rebound by J. Leuer
3:54.0,,,19-17,,Turnover by T. Harris (lost ball; steal by J. Crowder)
3:53.0,,,19-17,,Personal foul by J. Leuer (drawn by J. Crowder)
3:53.0,T. Rozier enters the game for I. Thomas,,19-17,,
3:53.0,,,19-17,,M. Morris enters the game for J. Leuer
3:39.0,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford),3,22-17,,
3:22.0,,,22-17,,T. Harris misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by J. Crowder,,22-17,,
3:15.0,J. Crowder misses 3-pt shot from 25 ft,,22-17,,
3:14.0,,,22-17,,Defensive rebound by K. Caldwell-Pope
3:09.0,,,22-17,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:09.0,,,22-17,,Offensive rebound by R. Jackson
2:59.0,,,22-19,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by R. Jackson)
2:43.0,T. Rozier makes 2-pt shot from 1 ft (assist by K. Olynyk),2,24-19,,
2:29.0,,,24-21,2,R. Jackson makes 2-pt shot from 17 ft
2:14.0,M. Smart misses 2-pt shot from 2 ft (block by K. Caldwell-Pope),,24-21,,
2:13.0,Offensive rebound by M. Smart,,24-21,,
2:09.0,J. Crowder misses 3-pt shot from 26 ft,,24-21,,
2:09.0,,,24-21,,Defensive rebound by T. Harris
1:58.0,,,24-21,,A. Drummond misses 2-pt shot from 6 ft
1:57.0,Defensive rebound by K. Olynyk,,24-21,,
1:46.0,K. Olynyk misses 2-pt shot at rim,,24-21,,
1:45.0,,,24-21,,Defensive rebound by A. Drummond
1:41.0,,,24-21,,Turnover by M. Morris (traveling)
1:41.0,Boston full timeout,,24-21,,
1:41.0,J. Jerebko enters the game for J. Crowder,,24-21,,
1:41.0,J. Young enters the game for A. Horford,,24-21,,
1:41.0,,,24-21,,A. Baynes enters the game for A. Drummond
1:41.0,,,24-21,,I. Smith enters the game for R. Jackson
1:30.0,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart),3,27-21,,
1:11.0,,,27-21,,M. Morris misses 2-pt shot from 22 ft
1:11.0,Defensive rebound by K. Olynyk,,27-21,,
1:02.0,J. Jerebko misses 3-pt shot from 25 ft,,27-21,,
1:02.0,,,27-21,,Defensive rebound by I. Smith
0:59.0,,,27-23,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by I. Smith)
0:44.0,J. Young misses 3-pt shot from 23 ft,,27-23,,
0:44.0,Offensive rebound by T. Rozier,,27-23,,
0:44.0,,,27-23,,Loose ball foul by I. Smith (drawn by T. Rozier)
0:25.0,Turnover by K. Olynyk (lost ball; steal by T. Harris),,27-23,,
0:21.0,,,27-23,,Turnover by T. Harris (lost ball)
0:02.0,J. Jerebko misses 2-pt shot from 8 ft,,27-23,,
0:01.0,Offensive rebound by J. Jerebko,,27-23,,
0:00.0,J. Jerebko misses 2-pt shot from 1 ft,,27-23,,
0:00.0,Offensive rebound by Team,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by T. Rozier (bad pass; steal by S. Johnson),,27-23,,
11:42.0,,,27-23,,I. Smith misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by K. Olynyk,,27-23,,
11:34.0,M. Smart misses 3-pt shot from 25 ft,,27-23,,
11:32.0,,,27-23,,Defensive rebound by I. Smith
11:23.0,,,27-25,2,T. Harris makes 2-pt shot from 16 ft (assist by I. Smith)
11:02.0,K. Olynyk misses 2-pt shot from 1 ft,,27-25,,
11:02.0,,,27-25,,Defensive rebound by M. Morris
10:55.0,,,27-25,,Turnover by M. Morris (bad pass)
