time,LA Clippers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: D. Jordan vs. N. Noel (L. Mbah a Moute gains possession)
11:41.0,J. Redick makes 2-pt shot from 5 ft (assist by A. Rivers),2,2-0,,
11:19.0,,,2-0,,T. McConnell misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by D. Jordan,,2-0,,
11:04.0,B. Griffin misses 2-pt shot from 5 ft,,2-0,,
11:03.0,Offensive rebound by B. Griffin,,2-0,,
10:55.0,B. Griffin makes 2-pt shot from 1 ft,2,4-0,,
10:38.0,,,4-0,,N. Noel misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by D. Jordan,,4-0,,
10:29.0,A. Rivers misses 2-pt shot from 6 ft,,4-0,,
10:28.0,,,4-0,,Defensive rebound by E. Ilyasova
10:18.0,,,4-3,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell)
10:02.0,J. Redick misses 2-pt shot from 17 ft,,4-3,,
10:01.0,,,4-3,,Defensive rebound by E. Ilyasova
9:47.0,,,4-5,2,N. Noel makes 2-pt shot from 1 ft (assist by T. McConnell)
9:29.0,Turnover by A. Rivers (bad pass; steal by N. Noel),,4-5,,
9:27.0,,,4-5,,Shooting foul by B. Griffin (drawn by N. Noel)
9:27.0,,,4-6,1,N. Noel makes free throw 1 of 2
9:27.0,,,4-7,1,N. Noel makes free throw 2 of 2
9:15.0,Turnover by D. Jordan (bad pass; steal by N. Stauskas),,4-7,,
9:08.0,,,4-7,,R. Covington misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by D. Jordan,,4-7,,
8:58.0,B. Griffin misses 2-pt shot from 17 ft,,4-7,,
8:57.0,,,4-7,,Defensive rebound by R. Covington
8:51.0,,,4-10,3,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell)
8:28.0,A. Rivers makes 3-pt shot from 25 ft (assist by D. Jordan),3,7-10,,
8:17.0,,,7-10,,T. McConnell misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by J. Redick,,7-10,,
8:07.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,10-10,,
7:43.0,,,10-10,,E. Ilyasova misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by B. Griffin,,10-10,,
7:34.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,13-10,,
7:15.0,,,13-10,,N. Noel misses 2-pt shot from 16 ft
7:14.0,Defensive rebound by B. Griffin,,13-10,,
6:56.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,15-10,,
6:46.0,,,15-10,,E. Ilyasova misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by L. Mbah a Moute,,15-10,,
6:36.0,A. Rivers misses 2-pt shot from 2 ft,,15-10,,
6:35.0,,,15-10,,Defensive rebound by E. Ilyasova
6:27.0,,,15-13,3,N. Stauskas makes 3-pt shot from 24 ft (assist by E. Ilyasova)
6:09.0,B. Griffin misses 2-pt shot from 17 ft,,15-13,,
6:08.0,,,15-13,,Defensive rebound by N. Noel
5:48.0,,,15-13,,T. McConnell misses 2-pt shot from 10 ft
5:47.0,Defensive rebound by D. Jordan,,15-13,,
5:41.0,LA Clippers full timeout,,15-13,,
5:41.0,,,15-13,,G. Henderson enters the game for N. Stauskas
5:41.0,,,15-13,,D. Saric enters the game for E. Ilyasova
5:41.0,,,15-13,,R. Holmes enters the game for N. Noel
5:41.0,R. Felton enters the game for L. Mbah a Moute,,15-13,,
5:35.0,Shooting foul by D. Saric (drawn by D. Jordan),,15-13,,
5:35.0,D. Jordan misses free throw 1 of 2,,15-13,,
5:35.0,Offensive rebound by Team,,15-13,,
5:35.0,D. Jordan makes free throw 2 of 2,1,16-13,,
5:35.0,W. Johnson enters the game for B. Griffin,,15-13,,
5:20.0,,,16-13,,R. Holmes misses 2-pt shot from 17 ft
5:19.0,Defensive rebound by A. Rivers,,16-13,,
5:13.0,A. Rivers makes 2-pt shot from 2 ft,2,18-13,,
4:56.0,Personal foul by W. Johnson (drawn by D. Saric),,18-13,,
4:56.0,,,18-13,,S. Rodriguez enters the game for T. McConnell
4:48.0,,,18-15,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
4:29.0,Offensive foul by D. Jordan,,18-15,,
4:29.0,Turnover by D. Jordan (offensive foul),,18-15,,
4:29.0,J. Crawford enters the game for J. Redick,,18-15,,
4:16.0,,,18-15,,S. Rodriguez misses 2-pt shot from 18 ft
4:15.0,,,18-15,,Offensive rebound by R. Covington
4:08.0,,,18-15,,D. Saric misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by D. Jordan,,18-15,,
3:56.0,A. Rivers makes 2-pt shot from 10 ft,2,20-15,,
3:49.0,,,20-15,,Shooting foul by D. Jordan (drawn by R. Holmes)
3:49.0,,,20-17,2,R. Holmes makes 2-pt shot from 1 ft (assist by G. Henderson)
3:49.0,,,20-18,1,R. Holmes makes free throw 1 of 1
3:49.0,,,20-17,,T. Luwawu-Cabarrot enters the game for R. Covington
3:49.0,M. Speights enters the game for D. Jordan,,20-17,,
3:33.0,M. Speights misses 3-pt shot from 25 ft,,20-18,,
3:32.0,Offensive rebound by A. Rivers,,20-18,,
3:19.0,A. Rivers misses 3-pt shot from 24 ft,,20-18,,
3:18.0,,,20-18,,Defensive rebound by S. Rodriguez
3:08.0,,,20-20,2,R. Holmes makes 2-pt shot from 5 ft (assist by S. Rodriguez)
2:49.0,Turnover by A. Rivers (traveling),,20-20,,
2:49.0,,,20-20,,Philadelphia full timeout
2:49.0,B. Bass enters the game for A. Rivers,,20-20,,
2:38.0,,,20-23,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by S. Rodriguez)
2:12.0,J. Crawford makes 3-pt shot from 29 ft (assist by R. Felton),3,23-23,,
2:04.0,,,23-25,2,R. Holmes makes 2-pt shot from 1 ft (assist by S. Rodriguez)
1:48.0,J. Crawford misses 3-pt shot from 25 ft,,23-25,,
1:47.0,,,23-25,,Defensive rebound by D. Saric
1:40.0,,,23-27,2,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
1:36.0,LA Clippers full timeout,,23-27,,
1:21.0,M. Speights misses 3-pt shot from 25 ft,,23-27,,
1:19.0,Offensive rebound by B. Bass,,23-27,,
1:18.0,Shooting foul by R. Holmes (drawn by B. Bass),,23-27,,
1:18.0,B. Bass makes free throw 1 of 2,1,24-27,,
1:18.0,B. Bass makes free throw 2 of 2,1,25-27,,
0:57.0,,,25-27,,R. Holmes misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by W. Johnson,,25-27,,
0:52.0,Shooting foul by G. Henderson (drawn by B. Bass),,25-27,,
0:52.0,B. Bass makes free throw 1 of 2,1,26-27,,
0:52.0,B. Bass makes free throw 2 of 2,1,27-27,,
0:38.0,,,27-27,,G. Henderson misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by R. Felton,,27-27,,
0:23.0,J. Crawford makes 2-pt shot from 18 ft,2,29-27,,
0:07.0,Personal take foul by R. Felton (drawn by S. Rodriguez),,29-27,,
0:07.0,L. Mbah a Moute enters the game for J. Crawford,,29-27,,
0:07.0,A. Rivers enters the game for M. Speights,,29-27,,
0:02.0,,,29-27,,S. Rodriguez misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by W. Johnson,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,29-27,,N. Stauskas misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by W. Johnson,,29-27,,
11:30.0,,,29-27,,Personal foul by N. Stauskas (drawn by B. Bass)
11:22.0,M. Speights makes 3-pt shot from 23 ft,3,32-27,,
11:11.0,,,32-29,2,T. McConnell makes 2-pt shot from 2 ft (assist by N. Noel)
11:11.0,,,32-29,,Shooting foul by R. Felton (drawn by T. McConnell)
11:11.0,,,32-30,1,T. McConnell makes free throw 1 of 1
10:57.0,J. Crawford makes 3-pt shot from 25 ft (assist by R. Felton),3,35-30,,
10:46.0,,,35-30,,T. McConnell misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by M. Speights,,35-30,,
10:38.0,B. Bass misses 2-pt shot from 2 ft,,35-30,,
10:37.0,,,35-30,,Defensive rebound by E. Ilyasova
10:24.0,,,35-30,,Shooting foul by R. Felton (drawn by T. Luwawu-Cabarrot)
10:24.0,,,35-31,1,T. Luwawu-Cabarrot makes free throw 1 of 2
10:24.0,,,35-32,1,T. Luwawu-Cabarrot makes free throw 2 of 2
10:24.0,A. Rivers enters the game for R. Felton,,35-31,,
10:10.0,Shooting foul by N. Noel (drawn by B. Bass),,35-32,,
10:10.0,B. Bass makes free throw 1 of 2,1,36-32,,
10:10.0,B. Bass makes free throw 2 of 2,1,37-32,,
10:00.0,,,37-34,2,N. Stauskas makes 2-pt shot from 1 ft (assist by N. Noel)
9:43.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Crawford),3,40-34,,
9:29.0,J. Redick enters the game for W. Johnson,,40-34,,
9:29.0,,,40-34,,Philadelphia full timeout
9:29.0,,,40-34,,R. Covington enters the game for T. Luwawu-Cabarrot
9:19.0,,,40-36,2,N. Noel makes 2-pt shot at rim (assist by E. Ilyasova)
8:56.0,A. Rivers misses 2-pt shot from 8 ft (block by N. Noel),,40-36,,
