time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. P. Gasol (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (M. Chriss gains possession)
11:45.0,Turnover by P. Tucker (bad pass; steal by D. Green),,0-0,,
11:24.0,,,0-2,2,P. Gasol makes 2-pt shot from 17 ft (assist by T. Parker)
10:58.0,D. Booker misses 2-pt shot from 17 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by L. Aldridge
10:46.0,,,0-2,,K. Anderson misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by T. Chandler,,0-2,,
10:31.0,D. Booker misses 2-pt shot from 2 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by K. Anderson
10:25.0,,,0-2,,Turnover by T. Parker (bad pass; steal by D. Booker)
10:20.0,,,0-2,,Personal foul by K. Anderson (drawn by T. Chandler)
10:14.0,M. Chriss makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,3-2,,
9:54.0,,,3-4,2,L. Aldridge makes 2-pt shot from 7 ft
9:54.0,,,3-4,,Shooting foul by M. Chriss (drawn by L. Aldridge)
9:54.0,,,3-5,1,L. Aldridge makes free throw 1 of 1
9:45.0,,,3-5,,Personal foul by D. Green (drawn by D. Booker)
9:40.0,Turnover by D. Booker (bad pass; steal by P. Gasol),,3-5,,
9:36.0,,,3-5,,Turnover by K. Anderson (lost ball; steal by M. Chriss)
9:31.0,M. Chriss misses 2-pt shot from 5 ft,,3-5,,
9:30.0,,,3-5,,Defensive rebound by L. Aldridge
9:20.0,,,3-5,,K. Anderson misses 2-pt shot from 5 ft
9:19.0,,,3-5,,Offensive rebound by K. Anderson
9:19.0,,,3-5,,K. Anderson misses 2-pt shot from 2 ft
9:17.0,,,3-5,,Offensive rebound by P. Gasol
9:15.0,,,3-5,,K. Anderson misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by P. Tucker,,3-5,,
9:04.0,P. Tucker makes 2-pt shot from 2 ft,2,5-5,,
8:55.0,Personal foul by D. Booker (drawn by K. Anderson),,5-5,,
8:47.0,,,5-5,,P. Gasol misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by T. Chandler,,5-5,,
8:28.0,M. Chriss makes 2-pt shot from 2 ft,2,7-5,,
8:13.0,,,7-5,,K. Anderson misses 2-pt shot from 1 ft (block by P. Tucker)
8:12.0,,,7-5,,Offensive rebound by L. Aldridge
8:12.0,,,7-7,2,L. Aldridge makes 2-pt shot at rim
7:52.0,Turnover by D. Booker (bad pass),,7-7,,
7:44.0,,,7-7,,Shooting foul by E. Bledsoe (drawn by P. Gasol)
7:44.0,,,7-9,2,P. Gasol makes 2-pt shot from 2 ft (assist by T. Parker)
7:44.0,,,7-10,1,P. Gasol makes free throw 1 of 1
7:31.0,T. Chandler makes 2-pt shot from 2 ft (assist by P. Tucker),2,9-10,,
7:13.0,,,9-12,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
7:13.0,Phoenix full timeout,,9-12,,
6:55.0,E. Bledsoe makes 2-pt shot from 1 ft,2,11-12,,
6:33.0,,,11-14,2,T. Parker makes 2-pt shot from 2 ft
6:06.0,Turnover by Team (shot clock),,11-14,,
5:54.0,,,11-16,2,T. Parker makes 2-pt shot from 2 ft
5:27.0,Turnover by T. Chandler (bad pass; steal by P. Gasol),,11-16,,
5:16.0,,,11-16,,Turnover by T. Parker (bad pass; steal by P. Tucker)
