time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. R. Lopez (R. Rondo gains possession),,,,Jump ball: R. Holmes vs. R. Lopez (R. Rondo gains possession)
11:38.0,,,0-0,,R. Lopez misses 2-pt shot from 12 ft
11:38.0,,,0-0,,Offensive rebound by N. Mirotic
11:38.0,,,0-0,,N. Mirotic misses 2-pt shot from 2 ft
11:38.0,,,0-0,,Offensive rebound by N. Mirotic
11:38.0,,,0-0,,Shooting foul by R. Covington (drawn by N. Mirotic)
11:38.0,,,0-1,1,N. Mirotic makes free throw 1 of 2
11:38.0,,,0-1,,N. Mirotic misses free throw 2 of 2
11:37.0,Defensive rebound by T. McConnell,,0-1,,
11:21.0,R. Covington misses 2-pt shot from 2 ft,,0-1,,
11:20.0,,,0-1,,Defensive rebound by P. Zipser
11:08.0,,,0-4,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler)
10:55.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,2-4,,
10:41.0,,,2-4,,P. Zipser misses 2-pt shot from 4 ft
10:40.0,Defensive rebound by R. Holmes,,2-4,,
10:28.0,D. Saric makes 2-pt shot from 4 ft,2,4-4,,
10:04.0,,,4-4,,P. Zipser misses 2-pt shot from 3 ft (block by T. Luwawu-Cabarrot)
10:04.0,,,4-4,,Offensive rebound by Team
9:58.0,,,4-6,2,R. Rondo makes 2-pt shot from 8 ft (assist by N. Mirotic)
9:45.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,4-6,,
9:44.0,,,4-6,,Defensive rebound by R. Rondo
9:38.0,,,4-6,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Butler)
9:38.0,,,4-6,,J. Butler misses free throw 1 of 2
9:38.0,,,4-6,,Offensive rebound by Team
9:38.0,,,4-7,1,J. Butler makes free throw 2 of 2
9:27.0,Turnover by T. McConnell (bad pass; steal by R. Rondo),,4-7,,
9:23.0,,,4-9,2,J. Butler makes 2-pt shot from 3 ft (assist by R. Rondo)
9:07.0,Turnover by T. McConnell (bad pass),,4-9,,
8:59.0,,,4-9,,Turnover by R. Rondo (bad pass)
8:50.0,R. Holmes misses 3-pt shot from 24 ft,,4-9,,
8:49.0,,,4-9,,Defensive rebound by P. Zipser
8:42.0,,,4-11,2,J. Butler makes 2-pt shot from 19 ft
8:26.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Butler),,4-11,,
8:22.0,,,4-11,,P. Zipser misses 2-pt shot from 4 ft (block by R. Covington)
8:22.0,,,4-11,,Offensive rebound by Team
8:19.0,,,4-13,2,R. Rondo makes 2-pt shot from 5 ft
8:06.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by R. Rondo),,4-13,,
7:58.0,,,4-13,,R. Lopez misses 2-pt shot from 20 ft
7:57.0,Defensive rebound by D. Saric,,4-13,,
7:48.0,R. Holmes misses 2-pt shot from 6 ft,,4-13,,
7:47.0,,,4-13,,Defensive rebound by P. Zipser
7:38.0,,,4-13,,Turnover by R. Rondo (bad pass; steal by T. McConnell)
7:33.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,6-13,,
7:19.0,,,6-13,,R. Rondo misses 2-pt shot from 3 ft
7:17.0,,,6-13,,Offensive rebound by N. Mirotic
7:17.0,,,6-13,,N. Mirotic misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by T. McConnell,,6-13,,
7:16.0,Turnover by T. McConnell (lost ball; steal by R. Rondo),,6-13,,
7:10.0,,,6-16,3,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo)
7:04.0,Philadelphia full timeout,,6-16,,
6:52.0,T. McConnell makes 2-pt shot from 14 ft,2,8-16,,
6:34.0,,,8-16,,R. Lopez misses 2-pt shot from 5 ft
6:33.0,Defensive rebound by D. Saric,,8-16,,
6:27.0,D. Saric misses 3-pt shot from 24 ft,,8-16,,
6:26.0,,,8-16,,Defensive rebound by R. Rondo
6:16.0,,,8-16,,Turnover by R. Rondo (bad pass; steal by T. Luwawu-Cabarrot)
6:12.0,Shooting foul by N. Mirotic (drawn by R. Covington),,8-16,,
6:12.0,R. Covington makes free throw 1 of 2,1,9-16,,
6:12.0,R. Covington makes free throw 2 of 2,1,10-16,,
6:12.0,G. Henderson enters the game for D. Saric,,9-16,,
6:04.0,,,10-16,,N. Mirotic misses 3-pt shot from 26 ft
6:03.0,,,10-16,,Offensive rebound by R. Rondo
5:59.0,,,10-16,,R. Rondo misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by R. Covington,,10-16,,
5:49.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,12-16,,
5:49.0,,,12-16,,Chicago full timeout
5:48.0,,,12-16,,D. Valentine enters the game for P. Zipser
5:22.0,,,12-18,2,J. Butler makes 2-pt shot from 1 ft
5:00.0,G. Henderson makes 2-pt shot from 2 ft,2,14-18,,
4:32.0,,,14-18,,J. Butler misses 2-pt shot from 13 ft
4:32.0,,,14-18,,Offensive rebound by Team
4:32.0,Personal foul by R. Holmes (drawn by R. Lopez),,14-18,,
4:32.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,14-18,,
4:08.0,,,14-18,,R. Rondo misses 2-pt shot at rim
4:08.0,,,14-18,,Offensive rebound by Team
4:08.0,,,14-18,,Turnover by Team (shot clock)
3:50.0,R. Covington misses 3-pt shot from 24 ft,,14-18,,
3:49.0,,,14-18,,Defensive rebound by R. Rondo
3:43.0,,,14-21,3,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo)
3:29.0,G. Henderson makes 2-pt shot from 13 ft,2,16-21,,
3:19.0,,,16-23,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
3:06.0,R. Holmes misses 2-pt shot from 7 ft,,16-23,,
3:05.0,,,16-23,,Defensive rebound by N. Mirotic
2:42.0,,,16-23,,R. Lopez misses 2-pt shot from 10 ft
2:40.0,Defensive rebound by R. Covington,,16-23,,
2:34.0,R. Covington makes 2-pt shot from 3 ft,2,18-23,,
2:12.0,,,18-26,3,D. Valentine makes 3-pt shot from 26 ft (assist by N. Mirotic)
1:56.0,T. McConnell misses 2-pt shot from 1 ft,,18-26,,
1:55.0,,,18-26,,Defensive rebound by D. Valentine
1:50.0,,,18-26,,D. Valentine misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by R. Covington,,18-26,,
1:41.0,Offensive charge foul by R. Covington,,18-26,,
1:41.0,Turnover by R. Covington (offensive foul),,18-26,,
1:41.0,,,18-26,,M. Carter-Williams enters the game for R. Lopez
1:41.0,,,18-26,,B. Portis enters the game for N. Mirotic
1:41.0,,,18-26,,J. Lauvergne enters the game for R. Rondo
