time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic (D. Schroder gains possession),,,,Jump ball: D. Howard vs. N. Vucevic (D. Schroder gains possession)
11:43.0,,,0-2,2,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore)
11:27.0,A. Gordon misses 2-pt shot from 7 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by D. Howard
11:13.0,,,0-4,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
10:52.0,E. Payton makes 2-pt shot from 2 ft (assist by S. Ibaka),2,2-4,,
10:35.0,,,2-6,2,D. Schroder makes 2-pt shot from 19 ft (assist by T. Hardaway)
10:19.0,S. Ibaka misses 2-pt shot from 18 ft,,2-6,,
10:18.0,,,2-6,,Defensive rebound by D. Howard
10:00.0,,,2-6,,D. Howard misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by A. Gordon,,2-6,,
9:48.0,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon),2,4-6,,
9:35.0,,,4-9,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore)
9:21.0,Turnover by E. Payton (bad pass; steal by D. Schroder),,4-9,,
9:18.0,,,4-9,,Shooting foul by S. Ibaka (drawn by P. Millsap)
9:18.0,,,4-9,,P. Millsap misses free throw 1 of 2
9:18.0,,,4-9,,Offensive rebound by Team
9:18.0,,,4-10,1,P. Millsap makes free throw 2 of 2
9:06.0,S. Ibaka misses 2-pt shot from 19 ft,,4-10,,
9:05.0,,,4-10,,Defensive rebound by K. Bazemore
8:56.0,,,4-13,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Bazemore)
8:54.0,Orlando full timeout,,4-13,,
8:39.0,N. Vucevic misses 2-pt shot from 17 ft,,4-13,,
8:38.0,,,4-13,,Defensive rebound by T. Hardaway
8:30.0,,,4-13,,Turnover by D. Schroder (bad pass; steal by N. Vucevic)
8:22.0,E. Payton misses 3-pt shot from 24 ft,,4-13,,
8:20.0,Offensive rebound by E. Fournier,,4-13,,
8:13.0,S. Ibaka makes 3-pt shot from 24 ft (assist by E. Fournier),3,7-13,,
7:55.0,,,7-15,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
7:47.0,Shooting foul by D. Schroder (drawn by E. Payton),,7-15,,
7:47.0,E. Payton misses free throw 1 of 2,,7-15,,
7:47.0,Offensive rebound by Team,,7-15,,
7:47.0,E. Payton makes free throw 2 of 2,1,8-15,,
7:36.0,,,8-17,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
7:21.0,E. Fournier misses 2-pt shot from 20 ft,,8-17,,
7:20.0,,,8-17,,Defensive rebound by D. Howard
7:12.0,,,8-17,,T. Hardaway misses 2-pt shot from 15 ft
7:11.0,Defensive rebound by N. Vucevic,,8-17,,
7:03.0,Turnover by E. Fournier (lost ball; steal by T. Hardaway),,8-17,,
6:55.0,,,8-17,,D. Schroder misses 2-pt shot from 16 ft
6:53.0,Defensive rebound by N. Vucevic,,8-17,,
6:47.0,E. Payton misses 2-pt shot from 4 ft,,8-17,,
6:45.0,Offensive rebound by E. Payton,,8-17,,
6:42.0,N. Vucevic misses 2-pt shot from 20 ft,,8-17,,
6:40.0,Offensive rebound by S. Ibaka,,8-17,,
6:40.0,S. Ibaka makes 2-pt shot at rim,2,10-17,,
6:21.0,,,10-19,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
6:07.0,A. Gordon makes 2-pt shot from 4 ft,2,12-19,,
5:58.0,,,12-21,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
5:38.0,N. Vucevic makes 2-pt shot from 5 ft (assist by A. Gordon),2,14-21,,
5:20.0,,,14-23,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
4:58.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,16-23,,
4:39.0,,,16-25,2,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Millsap)
4:21.0,Turnover by E. Fournier (bad pass; steal by D. Schroder),,16-25,,
4:16.0,,,16-27,2,D. Schroder makes 2-pt shot from 2 ft
4:06.0,S. Ibaka misses 3-pt shot from 25 ft,,16-27,,
4:05.0,,,16-27,,Defensive rebound by D. Howard
3:55.0,,,16-29,2,P. Millsap makes 2-pt shot from 14 ft
3:54.0,Orlando full timeout,,16-29,,
3:54.0,,,16-29,,D. Bembry enters the game for D. Howard
3:54.0,,,16-29,,M. Muscala enters the game for K. Bazemore
3:54.0,D. Augustin enters the game for S. Ibaka,,16-29,,
3:54.0,J. Green enters the game for N. Vucevic,,16-29,,
3:54.0,B. Biyombo enters the game for E. Fournier,,16-29,,
3:54.0,C. Watson enters the game for E. Payton,,16-29,,
3:36.0,A. Gordon misses 2-pt shot from 20 ft,,16-29,,
3:33.0,,,16-29,,Defensive rebound by D. Schroder
3:28.0,,,16-29,,D. Schroder misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by B. Biyombo,,16-29,,
3:19.0,Shooting foul by P. Millsap (drawn by A. Gordon),,16-29,,
3:19.0,A. Gordon makes free throw 1 of 2,1,17-29,,
3:19.0,A. Gordon makes free throw 2 of 2,1,18-29,,
3:19.0,,,17-29,,M. Dunleavy enters the game for T. Hardaway
3:11.0,,,18-29,,P. Millsap misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by J. Green,,18-29,,
3:00.0,A. Gordon misses 2-pt shot from 1 ft,,18-29,,
2:59.0,,,18-29,,Defensive rebound by P. Millsap
2:46.0,,,18-29,,Offensive charge foul by M. Dunleavy
2:46.0,,,18-29,,Turnover by M. Dunleavy (offensive foul)
2:46.0,,,18-29,,Atlanta full timeout
2:46.0,,,18-29,,M. Delaney enters the game for D. Schroder
2:27.0,J. Green misses 2-pt shot from 2 ft,,18-29,,
2:26.0,,,18-29,,Defensive rebound by P. Millsap
2:07.0,,,18-29,,Turnover by M. Dunleavy (bad pass; steal by D. Augustin)
2:01.0,C. Watson makes 2-pt shot from 2 ft (assist by D. Augustin),2,20-29,,
1:49.0,,,20-29,,Turnover by M. Dunleavy (bad pass; steal by J. Green)
1:46.0,Shooting foul by M. Dunleavy (drawn by A. Gordon),,20-29,,
1:46.0,A. Gordon makes free throw 1 of 2,1,21-29,,
1:46.0,A. Gordon makes free throw 2 of 2,1,22-29,,
1:31.0,,,22-31,2,P. Millsap makes 2-pt shot from 1 ft
1:31.0,,,22-31,,Shooting foul by B. Biyombo (drawn by P. Millsap)
1:31.0,,,22-32,1,P. Millsap makes free throw 1 of 1
1:15.0,Shooting foul by M. Delaney (drawn by D. Augustin),,22-32,,
1:15.0,D. Augustin makes free throw 1 of 2,1,23-32,,
1:15.0,D. Augustin makes free throw 2 of 2,1,24-32,,
1:04.0,,,24-32,,P. Millsap misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by J. Green,,24-32,,
0:53.0,D. Augustin misses 3-pt shot from 25 ft,,24-32,,
0:51.0,,,24-32,,Defensive rebound by Team
0:32.0,Violation by C. Watson (kicked ball),,24-32,,
0:28.0,,,24-35,3,M. Delaney makes 3-pt shot from 24 ft (assist by M. Muscala)
0:12.0,Turnover by B. Biyombo (dbl dribble),,24-35,,
0:12.0,,,24-35,,T. Hardaway enters the game for D. Bembry
0:00.0,,,24-35,,T. Hardaway misses 2-pt shot from 19 ft
0:00.0,,,24-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Augustin misses 3-pt shot from 25 ft,,24-35,,
11:46.0,,,24-35,,Defensive rebound by Team
11:26.0,,,24-37,2,M. Delaney makes 2-pt shot from 18 ft (assist by D. Howard)
11:04.0,J. Green misses 2-pt shot from 9 ft,,24-37,,
11:02.0,,,24-37,,Defensive rebound by D. Howard
10:49.0,,,24-37,,M. Muscala misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by Team,,24-37,,
10:31.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,26-37,,
