time,New York,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. K. Porzingis (D. Rose gains possession),,,,Jump ball: J. Okafor vs. K. Porzingis (D. Rose gains possession)
11:44.0,K. Porzingis makes 2-pt shot from 2 ft (assist by D. Rose),2,2-0,,
11:26.0,,,2-2,2,J. Okafor makes 2-pt shot at rim (assist by D. Saric)
11:13.0,C. Anthony misses 2-pt shot from 20 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by T. McConnell
11:04.0,,,2-2,,D. Saric misses 2-pt shot from 24 ft
11:00.0,Defensive rebound by C. Lee,,2-2,,
10:55.0,C. Lee makes 2-pt shot from 17 ft,2,4-2,,
10:43.0,Personal foul by C. Lee (drawn by N. Stauskas),,4-2,,
10:21.0,,,4-2,,Turnover by J. Okafor (lost ball; steal by L. Thomas)
10:12.0,D. Rose misses 2-pt shot from 21 ft,,4-2,,
10:10.0,,,4-2,,Defensive rebound by R. Covington
10:01.0,,,4-4,2,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell)
9:43.0,L. Thomas makes 2-pt shot from 20 ft,2,6-4,,
9:25.0,,,6-6,2,T. McConnell makes 2-pt shot from 9 ft
9:15.0,C. Lee makes 2-pt shot from 3 ft (assist by D. Rose),2,8-6,,
8:59.0,,,8-6,,Shooting foul by L. Thomas (drawn by D. Saric)
8:59.0,,,8-6,,D. Saric misses free throw 1 of 2
8:59.0,,,8-6,,Offensive rebound by Team
8:59.0,,,8-7,1,D. Saric makes free throw 2 of 2
8:46.0,L. Thomas makes 2-pt shot from 23 ft (assist by D. Rose),2,10-7,,
8:37.0,,,10-7,,J. Okafor misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by C. Lee,,10-7,,
8:24.0,K. Porzingis makes 2-pt shot from 20 ft,2,12-7,,
8:15.0,,,12-7,,D. Saric misses 3-pt shot from 26 ft
8:14.0,,,12-7,,Offensive rebound by J. Okafor
8:13.0,,,12-7,,Shooting foul by K. Porzingis (drawn by J. Okafor)
8:13.0,,,12-8,1,J. Okafor makes free throw 1 of 2
8:13.0,,,12-9,1,J. Okafor makes free throw 2 of 2
7:53.0,C. Anthony misses 2-pt shot from 7 ft (block by R. Covington),,12-9,,
7:51.0,Offensive rebound by C. Anthony,,12-9,,
7:50.0,C. Anthony makes 2-pt shot from 11 ft,2,14-9,,
7:29.0,,,14-9,,N. Stauskas misses 3-pt shot from 27 ft
7:27.0,,,14-9,,Offensive rebound by D. Saric
7:24.0,,,14-11,2,D. Saric makes 2-pt shot from 1 ft
7:23.0,,,14-11,,Violation by Team (jump ball)
7:11.0,L. Thomas makes 3-pt shot from 24 ft (assist by C. Lee),3,17-11,,
6:54.0,,,17-11,,Shooting foul by K. Porzingis (drawn by R. Covington)
6:54.0,,,17-11,,R. Covington misses free throw 1 of 3
6:54.0,,,17-11,,Offensive rebound by Team
6:54.0,,,17-12,1,R. Covington makes free throw 2 of 3
6:54.0,,,17-13,1,R. Covington makes free throw 3 of 3
6:54.0,K. O'Quinn enters the game for K. Porzingis,,17-12,,
6:54.0,,,17-12,,R. Holmes enters the game for J. Okafor
6:47.0,,,17-13,,Personal foul by R. Covington (drawn by C. Anthony)
6:47.0,,,17-13,,T. Luwawu-Cabarrot enters the game for R. Covington
6:38.0,Shooting foul by D. Saric (drawn by C. Anthony),,17-13,,
6:38.0,C. Anthony makes free throw 1 of 2,1,18-13,,
6:38.0,C. Anthony makes free throw 2 of 2,1,19-13,,
6:23.0,,,19-13,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by C. Lee)
6:20.0,C. Lee makes 2-pt shot at rim,2,21-13,,
6:19.0,,,21-13,,Philadelphia full timeout
6:07.0,,,21-13,,Turnover by N. Stauskas (traveling)
5:47.0,D. Rose makes 2-pt shot from 3 ft (assist by C. Anthony),2,23-13,,
5:32.0,,,23-16,3,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by R. Holmes)
5:14.0,,,23-16,,J. Anderson enters the game for N. Stauskas
5:08.0,C. Anthony makes 2-pt shot from 13 ft,2,25-16,,
4:51.0,J. Holiday enters the game for L. Thomas,,25-16,,
4:44.0,,,25-16,,T. McConnell misses 2-pt shot from 1 ft
4:42.0,Defensive rebound by K. O'Quinn,,25-16,,
4:38.0,Shooting foul by T. McConnell (drawn by D. Rose),,25-16,,
4:38.0,D. Rose makes free throw 1 of 2,1,26-16,,
4:38.0,D. Rose makes free throw 2 of 2,1,27-16,,
4:38.0,,,26-16,,S. Rodriguez enters the game for T. McConnell
4:38.0,,,26-16,,R. Covington enters the game for D. Saric
4:16.0,,,27-19,3,J. Anderson makes 3-pt shot from 26 ft (assist by S. Rodriguez)
4:12.0,Turnover by D. Rose (inbound),,27-19,,
3:56.0,,,27-19,,T. Luwawu-Cabarrot misses 2-pt shot from 8 ft
3:55.0,,,27-19,,Offensive rebound by R. Holmes
3:55.0,,,27-21,2,R. Holmes makes 2-pt shot from 2 ft
3:35.0,C. Anthony makes 2-pt shot from 17 ft,2,29-21,,
